"","AEW541","Panobinostat","Nilotinib","Sorafenib","ZD-6474","Lapatinib","PD-0332991","Nutlin-3","Erlotinib","17-AAG","PLX4720","LBW242","Topotecan","Paclitaxel","RAF265","AZD6244","PF2341066","TKI258","PHA-665752","Irinotecan","PD-0325901","TAE684","AZD0530"
"AEW541",1,0.129032258064516,0.125,0.125,0.164948453608247,0.194444444444444,0.17,0.142857142857143,0.146067415730337,0.127118644067797,0.0909090909090909,0.206521739130435,0.156862745098039,0.166666666666667,0.128712871287129,0.106796116504854,0.197916666666667,0.172043010752688,0.242718446601942,0.212962962962963,0.105263157894737,0.188118811881188,0.180952380952381
"Panobinostat",0.129032258064516,1,0.147058823529412,0.125,0.0833333333333333,0.188118811881188,0.161290322580645,0.11,0.107142857142857,0.127272727272727,0.151162790697674,0.172413793103448,0.159574468085106,0.149122807017544,0.105263157894737,0.117021276595745,0.152173913043478,0.176470588235294,0.22680412371134,0.150943396226415,0.0909090909090909,0.13265306122449,0.138613861386139
"Nilotinib",0.125,0.147058823529412,1,0.212121212121212,0.116071428571429,0.137096774193548,0.194444444444444,0.137931034482759,0.14,0.1328125,0.153846153846154,0.160377358490566,0.111111111111111,0.142857142857143,0.272727272727273,0.166666666666667,0.175925925925926,0.141509433962264,0.12,0.144,0.158415841584158,0.222222222222222,0.105691056910569
"Sorafenib",0.125,0.125,0.212121212121212,1,0.138297872340426,0.194174757281553,0.13265306122449,0.1875,0.170731707317073,0.133928571428571,0.186046511627907,0.153846153846154,0.108910891089109,0.165217391304348,0.270588235294118,0.241379310344828,0.172043010752688,0.131868131868132,0.150943396226415,0.136363636363636,0.151162790697674,0.163265306122449,0.168316831683168
"ZD-6474",0.164948453608247,0.0833333333333333,0.116071428571429,0.138297872340426,1,0.267326732673267,0.148514851485149,0.202020202020202,0.346666666666667,0.137931034482759,0.215909090909091,0.145833333333333,0.181818181818182,0.112,0.141414141414141,0.255555555555556,0.2,0.186813186813187,0.133928571428571,0.192660550458716,0.195402298850575,0.307692307692308,0.28125
"Lapatinib",0.194444444444444,0.188118811881188,0.137096774193548,0.194174757281553,0.267326732673267,1,0.11864406779661,0.134453781512605,0.285714285714286,0.147286821705426,0.242424242424242,0.166666666666667,0.166666666666667,0.123188405797101,0.162162162162162,0.205607476635514,0.203703703703704,0.192307692307692,0.201680672268908,0.149606299212598,0.132075471698113,0.216216216216216,0.219298245614035
"PD-0332991",0.17,0.161290322580645,0.194444444444444,0.13265306122449,0.148514851485149,0.11864406779661,1,0.182692307692308,0.105263157894737,0.162393162393162,0.168421052631579,0.163265306122449,0.152380952380952,0.211864406779661,0.135922330097087,0.147058823529412,0.18,0.191489361702128,0.201834862385321,0.207207207207207,0.11340206185567,0.255102040816327,0.154545454545455
"Nutlin-3",0.142857142857143,0.11,0.137931034482759,0.1875,0.202020202020202,0.134453781512605,0.182692307692308,1,0.125,0.168067226890756,0.163265306122449,0.17,0.137614678899083,0.149606299212598,0.132075471698113,0.224489795918367,0.247422680412371,0.15,0.185840707964602,0.223214285714286,0.144329896907216,0.223300970873786,0.203703703703704
"Erlotinib",0.146067415730337,0.107142857142857,0.14,0.170731707317073,0.346666666666667,0.285714285714286,0.105263157894737,0.125,1,0.130841121495327,0.156626506024096,0.125,0.115789473684211,0.11304347826087,0.133333333333333,0.214285714285714,0.10752688172043,0.114942528735632,0.115384615384615,0.144230769230769,0.134146341463415,0.148936170212766,0.230769230769231
"17-AAG",0.127118644067797,0.127272727272727,0.1328125,0.133928571428571,0.137931034482759,0.147286821705426,0.162393162393162,0.168067226890756,0.130841121495327,1,0.144144144144144,0.130434782608696,0.161016949152542,0.143884892086331,0.108333333333333,0.136752136752137,0.135593220338983,0.12280701754386,0.1484375,0.181102362204724,0.0973451327433628,0.168067226890756,0.1171875
"PLX4720",0.0909090909090909,0.151162790697674,0.153846153846154,0.186046511627907,0.215909090909091,0.242424242424242,0.168421052631579,0.163265306122449,0.156626506024096,0.144144144144144,1,0.141304347826087,0.142857142857143,0.116666666666667,0.125,0.255813953488372,0.224719101123595,0.170454545454545,0.161904761904762,0.136363636363636,0.222222222222222,0.1875,0.18
"LBW242",0.206521739130435,0.172413793103448,0.160377358490566,0.153846153846154,0.145833333333333,0.166666666666667,0.163265306122449,0.17,0.125,0.130434782608696,0.141304347826087,1,0.138613861386139,0.132231404958678,0.13265306122449,0.13265306122449,0.131313131313131,0.152173913043478,0.19047619047619,0.185185185185185,0.120879120879121,0.17,0.198019801980198
"Topotecan",0.156862745098039,0.159574468085106,0.111111111111111,0.108910891089109,0.181818181818182,0.166666666666667,0.152380952380952,0.137614678899083,0.115789473684211,0.161016949152542,0.142857142857143,0.138613861386139,1,0.180327868852459,0.113207547169811,0.113207547169811,0.166666666666667,0.189473684210526,0.168141592920354,0.551724137931034,0.09,0.137614678899083,0.142857142857143
"Paclitaxel",0.166666666666667,0.149122807017544,0.142857142857143,0.165217391304348,0.112,0.123188405797101,0.211864406779661,0.149606299212598,0.11304347826087,0.143884892086331,0.116666666666667,0.132231404958678,0.180327868852459,1,0.12,0.138211382113821,0.137096774193548,0.144067796610169,0.132352941176471,0.207692307692308,0.190909090909091,0.158730158730159,0.12781954887218
"RAF265",0.128712871287129,0.105263157894737,0.272727272727273,0.270588235294118,0.141414141414141,0.162162162162162,0.135922330097087,0.132075471698113,0.133333333333333,0.108333333333333,0.125,0.13265306122449,0.113207547169811,0.12,1,0.151515151515152,0.138613861386139,0.172043010752688,0.103448275862069,0.139130434782609,0.105263157894737,0.16504854368932,0.158878504672897
"AZD6244",0.106796116504854,0.117021276595745,0.166666666666667,0.241379310344828,0.255555555555556,0.205607476635514,0.147058823529412,0.224489795918367,0.214285714285714,0.136752136752137,0.255813953488372,0.13265306122449,0.113207547169811,0.138211382113821,0.151515151515152,1,0.161616161616162,0.123711340206186,0.153153153153153,0.129310344827586,0.346153846153846,0.188118811881188,0.192307692307692
"PF2341066",0.197916666666667,0.152173913043478,0.175925925925926,0.172043010752688,0.2,0.203703703703704,0.18,0.247422680412371,0.10752688172043,0.135593220338983,0.224719101123595,0.131313131313131,0.166666666666667,0.137096774193548,0.138613861386139,0.161616161616162,1,0.145833333333333,0.131578947368421,0.178571428571429,0.139784946236559,0.260416666666667,0.168224299065421
