,STX12,STX2,VAMP5,SNAP29,STX7,STX6,STX1A,STX11,VAMP1,VAMP3,BNIP1,STX3,STX10,VAMP7,SNAP47,SEC22B,VAMP4,VAMP8,YKT6,SNAP23,BET1L,STX18,GOSR1,SNAP25,USE1,STX5,STX4,STX19,VTI1B,BET1,VTI1A,TSNARE1,STX8,STX1B,STX17
SIDM00519,0.6931730314391511,1.9666245651386365,-0.13532333234155336,0.0870369888413358,1.764258676563738,1.2319903186881629,-0.6972810915877887,0.40395627540165735,-0.7922207812815797,1.4792715700775108,0.13340221903955596,1.2771203584118294,1.4403164780531257,2.473465129490033,1.108144166604438,1.271470623591799,-0.10251608590820593,2.7119954932466594,1.2777008988003267,0.9689134694370416,-0.4682767615688516,0.4824325525746314,0.3770327921244831,-0.4120569480714369,0.7447632390373166,-0.19802978582619313,1.4888519614274711,-0.7780078058443185,0.19923057413112447,1.0905983031076425,-0.2891587655313298,-0.7791037200440499,2.0047234540076015,-0.7874560172635166,0.13824883599023385
SIDM00917,1.0252395769845628,0.9154768322783835,1.1633627856363873,0.10827760967346277,1.6097149787179796,1.2880930586784756,-0.7087306024768221,0.9399581093558342,-0.6389299724193191,0.5581259845460921,0.5751677757656076,0.54838041216808,1.1430173492807028,2.497214030199954,0.8476359522914306,1.4715476829630247,-0.06646338859742676,2.785042728117607,0.7509439173691964,1.2350893085094914,-0.006439170401292352,0.7952264551150046,0.5242816347960874,-0.8789813341187965,1.21644546769624,0.2539141003434615,1.607886986293127,-0.8039394030047897,0.4508649775535594,1.31372281434327,-0.2859440192658217,-0.8243490082514496,2.1751155050712123,-0.7227891944856396,0.5834658675472885
SIDM00309,0.9797054579836829,2.201375340123337,1.5530427225169465,0.20023718218002384,1.668066646490611,0.665918240594187,-0.7774604214585603,0.13432173635459754,-0.8563146674092927,1.5512343879833128,0.3525897870900873,0.9629295118135591,1.3401797964088615,2.5584328571326593,0.9500684415199093,1.4887840725878632,-0.47915032165996335,2.6548986128097303,1.072825501074214,0.9920957155212683,-0.1254825393906537,1.0783153478933332,0.31639198594736784,-0.9400016008853127,1.1068839244765023,0.021036881878675424,1.459282158530611,-0.7383917214253104,0.40721782924303696,1.507348063421561,-0.5195655871405066,-0.8901144128424583,1.8522216229445432,-0.7446127411222235,-0.1375705291857416
SIDM00099,0.5789647136470953,1.8181895002942552,-0.31498076430683347,0.07167370519858747,1.5458725424462416,1.1227520900320722,-0.7657409095278083,-0.6359076990681856,-0.769550574543086,1.654584458272725,0.632020385915533,0.3311789261230931,1.3192428615984324,2.4561946554006435,1.0185181425728924,1.4268048805192302,0.15704478519277007,-0.551217034714523,1.03183848041431,0.8311613787098199,0.06514888584899436,0.40255842202964914,0.3216190167255169,-0.9040058958506512,1.326930749645344,0.15771540828445946,1.8911882592391018,-0.7630493105885328,0.6487146627865239,1.4133169220423603,-0.4898021220321209,-0.9035611239006826,1.6841054606984867,-0.7763447268470038,0.025050345463132475
SIDM00276,0.5879790302644756,1.1151279060824055,1.480909799557072,0.2961029944372626,1.6711897506574247,0.9072336673473386,-0.5651696655557811,-0.5585334418288144,-0.793116960988109,1.4888857207755009,0.2889976675334193,1.0208793401045748,1.4478296767149161,2.412097601105522,1.5235333327392626,1.4980137386898287,-0.20572953976928904,2.67837062679626,1.222857267552366,0.7640407322992911,-0.2884196736338392,0.6822538235895057,0.3070513479764348,-0.9227975422092516,0.5484550622351414,0.5135279214775169,1.4587856748421806,-0.3631391830712388,0.5306434974107712,1.3865543692963989,-0.5217163229355418,-0.8445020233872684,1.8999487731136069,-0.712112347827389,0.08448484005767502
SIDM00311,1.0310956019709663,1.8216902574080298,1.497562741441319,0.29219778393267815,1.4429943545231347,0.2653149272908377,-0.583907965303742,0.38394776352663984,-0.7933344691569532,1.8028451385499846,0.5086973218691798,0.6149249805816185,1.4828224638270522,2.5020605040720203,0.907461794863956,1.7811425165811352,-0.3593437313147027,2.1104572005800537,1.1114837910499544,0.008470503415927188,-0.358063260348414,0.4426426721157042,0.46616440476837545,-0.5886404262927192,0.7686584935318053,0.1516855293878432,1.398390152785559,-0.7869246592688907,0.5903687748555195,1.2768675023560325,-0.5144445057641931,-0.7615908030854532,1.7756751702217168,-0.7779881409586186,0.16404542923820775
SIDM00970,1.3882743441859806,-0.004012731565292703,0.2507038614170532,0.4565377133688023,0.8831495026126596,1.2850080686688454,-0.6238686105575839,-0.7782072977823835,-0.8279327445416044,1.6053431868161023,-0.1061750070088221,0.6231330072330724,1.4326363477629445,2.3075182258573763,0.8302630647870108,1.2839166603098549,-0.1937885982738447,2.8182546050888972,0.6966138856159032,0.7107793818331654,-0.31970125224931895,0.4592328400869542,0.460433433076573,-0.9070762958549933,0.8851038052773721,-0.257506690430322,1.2103084606346088,-0.7728321727899127,0.7196171102925952,1.2143017447024858,-0.49189072048392685,-0.9625101419653108,1.0239902047134624,-0.7557273192997369,0.2694736758757725
SIDM00103,0.9937925965498741,2.086955362489525,2.053794200609715,0.27747377910481547,1.705531845200174,1.039846313500637,-0.6259151210354836,-0.56255801101855,-0.8271154533779949,1.5832534694592784,0.041607634498382264,1.0414344308409598,1.3818551344336583,2.355184719556853,0.8212863093290355,2.1975957460519164,0.21972989937667267,1.8136053777015952,1.0948444177141041,0.9228058776955229,-0.22660743697859215,0.24732369243272445,0.16055244648991795,-0.9178222644008732,1.342022479564127,0.18366839718896616,1.9918209480139555,-0.7804253484594025,0.8676623234680583,1.2414005274855844,-0.23627035354740988,-0.6981430916959344,2.3681517477299083,-0.7211861415714784,0.33436529749898675
SIDM00266,0.6629773018756009,1.8259346633308766,-0.7082726804133735,0.274088772257919,1.5950082126884704,0.7573426068646624,-0.7187887050534983,-0.7899181468967935,-0.7870748702357276,1.2651315781058958,0.7083398434863863,0.06150391962792948,1.6509582267481013,2.074126488677155,0.5385399051156724,1.0598481268731788,0.1420081749460183,-0.3018524431239151,0.9238486456050374,0.7579956956796795,-0.33993254584748683,0.18747995315184524,0.23830644168878756,-0.4741441033197301,1.5477379023373918,-0.10333248558373662,1.307193262603163,-0.64784035245737,0.29028059905086856,1.0929796996263863,-0.4348154429181949,-0.966564218906873,1.8295445348699013,-0.8271857819271389,0.1456551546585068
SIDM01064,1.1334496315376397,1.5840954220126495,2.181015698658185,0.44373530907582115,1.2608110352229591,0.5992178101042477,-0.6586457343944793,0.5725179025009736,-0.5870016036379841,0.3557556743842779,0.6985163444808128,-0.34660183358288815,1.6560859637055103,2.3761336194945626,1.0421815873439837,1.043098123801188,-0.003311916843775492,2.670751145356614,0.647487868436403,0.6408582565240849,-0.3412151084992271,0.43251329720704934,-0.026528889005071755,-0.7637941019108611,1.113281662002942,0.21731619026376234,1.4926860837209055,-0.8168120173215623,0.42593836211434905,1.0537282171734115,-0.3029359468228729,-0.8470812769641233,1.9044402736078745,-0.7813614176383792,0.41348906872679897
