,MAOB,MAOA,HPD,AOX1,AOC2,TYR,HGD,METTL6,ALDH3A1,COMT,AOC3,IL4I1,GSTZ1,DDC,ADH7,DBH,ADH6,METTL2B,ADH1B,ALDH1A3,ADH1C,ALDH3B1,ADH4,ALDH3B2,ADH5,HEMK1,ADH1A,GOT2,LCMT2,GOT1,TYRP1,TAT,MIF,PNMT,DCT,LCMT1,TPO,TH,FAH
SIDM00519,-0.9138550965516653,-0.5284558265761403,-1.0473211874096522,1.2388979099480115,-0.6773595835182094,-0.7135645404981119,-0.9969377068161595,0.10620589233650712,-0.4943125919693578,0.999045876152368,-0.7354788920999459,-0.3266712955654804,-0.38459068706184535,-0.7719249136759854,-0.7999371153626388,-0.8765754532243885,-0.7747153403065632,0.6026956527358038,-0.8639936704632867,2.201568402854045,-0.8865377809181778,1.232119752372071,-0.9246894509836264,-0.8287292028572647,1.4931135479183482,-0.5502118083454393,-0.8972642907709713,1.1210229936151281,0.3458794478724325,1.4784153732692813,2.296965001274727,-0.9194215558469359,3.344437662586076,-0.4441808900708635,-0.9055771089711574,1.3716555661887135,-0.8395456622369588,-0.7894210442519911,0.3843901798206127
SIDM00917,-0.9583647591876644,-0.5839396790370103,-0.9486366515865993,-0.5267516484735327,-0.5914750527795075,-0.7033557661134776,-0.7362600346694297,0.5106428000051099,-0.6387510042013984,1.476692038048022,-0.6975652984371609,2.26833699169626,0.8912180375222726,-0.9184987505693945,-0.8820351704267511,-0.8087019716859831,-0.748018008523109,0.30399067966558385,-0.8668439199695565,-0.7628504927195283,-0.8150553637703514,-0.3917130883246354,-0.9204021218444922,-0.556022597946201,1.1455941180254978,-0.10168489247898796,-0.7725774738490442,1.7411698039792476,0.15415115703727966,2.35277952475545,-0.8274882777746294,-0.9057358670531653,3.2334585268433282,-0.3898739210343538,-0.8041741183374572,1.357082569456696,-0.7904351993394199,-0.7157335973277495,0.28883987125457605
SIDM00309,-0.9112056394858054,-0.6167469588872668,-0.9391880507292891,2.11517691250498,-0.7720325925128061,-0.8714814962346986,-0.7579196987796135,0.5843595229696695,-0.544209361441012,0.933201919074598,-0.8667008081021658,-0.8108908128317466,-0.09294409606424353,-0.8486592576699037,-0.715599381672713,-0.8436742843966207,-0.8766172495321594,0.5870877255318196,-0.8887183344914309,2.507038407196217,-0.8245196013651369,1.2315013221627489,-0.9403106886783873,-0.8364496437560559,1.553993935262898,-0.04756899201444305,-0.8872896747363866,1.7269882951436972,0.019422443696258965,1.4314193353066715,-0.4177920861957386,-0.9094658448623827,3.3193396863379587,-0.45132733739843856,-0.963530269174305,1.4943457613114146,-0.8832859217620668,-0.7817967928372772,0.7049247486107868
SIDM00099,-0.8322537728278157,-0.6002430034108348,-0.9833461022108173,0.9425417376442524,-0.45671952384070974,-0.8634885973052357,-0.8866040673315779,0.8791029837964034,-0.6892421907487165,1.6059682594310196,-0.6061372755720383,-0.855153527618166,0.4945050585068194,-0.8344868935731302,-0.8670489196765222,-0.8246344617236505,-0.7927259969301272,0.6871150706239817,-0.8269146587852985,-0.4992900544528711,-0.8621557082615988,1.1017647634080756,-0.8854880254952894,-0.8145923068250598,1.8193570674188622,-0.31936966844613307,-0.987828231416663,1.0698879483084118,0.1756664411699018,1.8518056517128079,-0.8077868937595851,-0.9211937633616887,3.1216581905176217,-0.38318663440119866,-0.8644379793464323,0.9147122927588232,-0.7359190782155838,-0.7387611647285268,-0.14661710535785413
SIDM00276,-0.9348952740669156,-0.03844910393050507,-0.9746536529756219,-0.10701714320934143,-0.7487076210693027,-0.98491253720436,-0.9567780410271095,0.2912163431018611,1.134520216583569,1.4475081236630805,-0.841172276725411,-0.48578144874265866,1.3544866029389446,-0.8388968185034924,-0.8872468249286143,-0.7841714121898692,-0.7580648031074187,0.6743990362573101,-0.8155535563952719,0.2860005221020032,0.057271847344521606,0.7223954927403983,-0.8909251959568735,-0.7236065603977224,1.2484476224471972,-0.2784370176582996,-0.8283695572375359,1.8041537888618802,0.21017859601663047,1.6686750759342417,-0.7535973683018172,-0.9401052537806243,3.4021012719986548,-0.3532207082543691,-0.8108693712485527,1.649685489165149,-0.7931258390160667,-0.7138734445847437,0.43377595883462355
SIDM00311,-0.9548943350972524,-0.5835144092171077,-0.8986432206910587,0.40128585107144854,-0.5541310167986698,-0.7520485191284003,-0.8218583386052741,0.5154470512421424,-0.5814100970045081,1.3767062240465637,-0.7102294450579798,-0.7205199876370251,0.3507111789196912,-0.8989765295481721,-0.8680359316192019,-0.8072799497276989,-0.7550490335675363,0.6854905931145181,-0.7611277518148802,1.7980728328230706,-0.756682904280826,0.13066379173635326,-0.9904433143650033,-0.8058547336555968,1.95318936679265,0.02964906742632282,-0.9677750127508427,1.3287603098325493,0.2756579506043281,1.2245965676561699,1.1633489295043011,-0.9441795582307441,3.3607649550814354,-0.47608275164143615,-0.7978616890660926,1.3761963629325071,-0.8681346566818123,-0.8362889482914543,-0.2724037138019869
SIDM00970,-0.8974087032951485,2.014621095806215,-0.989884140996711,-0.6772120312570554,-0.43205282993818717,-0.8499372820978119,-0.9318620581480328,0.5876039494126319,0.6446979223660867,2.028677764975145,-0.7224096813055845,-0.8058323693460225,0.784922630438723,-0.8526947535285334,-0.8153819257416929,-0.8139966956985877,-0.7713124435329201,0.8131681566315897,-0.8150242130896151,2.279971983796373,-0.7928066946601496,0.2859330465149035,-0.8927754489628261,-0.6858233852615048,1.7099275011940989,-0.15535115855934462,-0.9171948463586909,2.000186856970254,0.5947333682326342,0.460806940540381,-0.8972166684311091,-0.9877439533505895,3.494113901959943,-0.1886361785929343,-0.845529599722788,0.9757119764751963,-0.893316596528636,-0.726581436382054,0.38626733192526136
SIDM00103,-0.9148178940841195,-0.6026042715409793,-0.9690954134585136,2.216053867429904,-0.8073253969699441,-0.8658149336288912,-0.9361093973552032,0.9025460709837594,-0.5647726997449514,1.2024621126118082,-0.7919031605883169,-0.8582191682437014,0.192612840727733,-0.8129887965938057,-0.8124479978251832,-0.8487558697409973,-0.7924359787075794,0.6611783767184228,-0.8908604158767134,-0.49144650089135417,-0.8535660708136315,1.2533507381313578,-1.0223034566746192,-0.791756556304869,1.9251759839969573,-0.2586999487815419,-0.8827647053872165,1.5256760200002415,0.24983913691381315,1.5975954047381216,-0.7478555602860133,-0.930088738342922,2.974356836766299,-0.3245163016526206,-0.7424875246011492,1.5240643686836153,-0.8446580881905329,-0.7721940844964162,0.4998180511670318
SIDM00266,-0.9137155544298667,-0.055017167614877675,-0.9977124114622284,-0.3490263656832899,-0.5410783409292869,-0.8101182221184245,-0.8237528128127137,0.893107189418465,-0.7592498385835662,1.2060209309565841,-0.6095028945112159,-0.5775937131823061,0.6889244250135003,-0.8214625772430381,-0.8155017324503779,-0.8113910024082689,-0.8109027286021374,0.5740424087003934,-0.8868621942949583,-0.8162536457833733,-0.8745974852188635,-0.5066299488730533,-0.937587049701355,-0.8342915428559363,1.7384996067940814,-0.20310174903731285,-0.9037726226685252,0.9499497386654009,0.17205217804939482,2.0322948148693776,-0.8703395826794765,-0.8820536680781845,3.531443728875609,-0.5019849643849287,-0.8675563257838719,1.4221257142593027,-0.8056907530149248,-0.7582443116154503,-0.12814019434134083
SIDM01064,-0.6821606625204357,-0.6308339435187512,-0.9027206012104514,-0.44756296883015007,-0.4723041408467074,-0.7580858030472204,-0.753033829632402,0.44137775163058,-0.7496058976159035,1.7104743390941433,-0.7306659830970589,1.640412713141765,0.4284488692882142,-0.8506583462531032,-0.7905561357647367,-0.7817533934992166,-0.7666016470171295,0.702516579753328,-0.854009946277104,-0.8893049815638298,-0.8500028666623597,-0.4723343463077326,-0.937290247774769,-0.7948221684280004,1.0593909845911706,1.0776365227905274,-0.5993474984851579,1.5990866417189897,0.5120265686181485,0.9017363021670682,-0.7917423057412728,-0.8524985096502509,3.4279317415870034,-0.39418248162182407,-0.7595032435850643,1.1258756171555067,-0.7326247118790143,-0.688174400167622,0.18064320580886312
SIDM00098,-0.89719835226221,-0.5588230806820473,-0.8919479150120113,0.4521517878008423,-0.7489258586637118,-0.7864290752156438,-0.9300048903097526,1.03306657885203,-0.39998890706257234,1.2622689112641983,-0.6471935071225929,-0.7582227124672409,0.4420514735102117,-0.885043909145236,-0.8033963027738128,-0.8699574499891716,-0.7882449072612816,0.5899873300733938,-0.8130434947923688,-0.24760524086892097,-0.8264934605159912,0.6318223876869464,-0.8690168863426024,-0.8152838037574568,1.9474995474707517,-0.5268677644430712,-0.917152305507159,1.5836978906052457,0.33619753895736937,1.6967717699555753,-0.33832438311168267,-0.9017474024571992,3.3867407741739437,-0.3600553313866153,-0.877581201139698,1.602369244659112,-0.737819228916319,-0.6187306660705887,0.2872000528436654
SIDM00225,-0.7889720906924979,-0.5829163420541229,-0.9159323032783925,-0.26578920664606387,-0.7860607828238685,-0.8900801599611714,-0.8124833226676106,0.5342358901289639,-0.7135335530844548,1.0636885738919195,-0.7778626038964874,-0.9970559342614058,0.1113178669473414,-0.8635500001359707,-0.8864843126034954,-0.8355659340554957,-0.7215781800457369,0.7558321363763042,-0.851934294525284,2.35701308068053,-0.8851165778992433,-0.48810512518375315,-0.8942915175313847,-0.7923210558197771,1.6267762822167735,-0.0696319068251489,-0.896165676432053,1.1916174219043325,0.6633941349045676,1.5811187958502855,-0.7614639227510568,-0.9572115091476102,3.6336461608113635,-0.3501625673730505,-0.9595186550196643,1.1677391074165888,-0.8223413431879142,-0.7710451753447735,0.47971571632879845
