,DSE,B3GALT6,CHPF,XYLT1,CHSY3,XYLT2,CHST14,B3GAT1,CHSY1,CHST11,CHPF2,CHST15,B4GALT7,CHST7,UST,CHST13,CSGALNACT2,B3GAT2,CSGALNACT1,CHST3,CHST12,B3GAT3
SIDM00519,1.352040323868142,0.6435361834496734,0.306931453093495,0.6048408103722662,-0.9633223600102131,-0.4863636819419504,0.8528545373386751,-0.6020816506003847,-0.32498781866452064,-0.08799265331152405,0.5952893970423437,-0.47079818217584957,-0.1997124066647369,0.6155346107622939,-0.990619232107938,-0.819104099031108,1.7760034504641424,-0.8212394317852033,-0.7802567399872207,-0.45764788803600476,1.0418648897831269,0.28415413260074246
SIDM00917,0.9430075119713992,1.1439460424947616,-0.3550219976987144,-0.418172538557204,-0.8610822134925937,-0.5045532983994452,0.4840311685055358,-0.7293559562336615,-0.6215901726091662,0.8348766965200316,0.27178673908291173,-0.893971026041549,-0.2018540337131033,0.47942360148190344,-0.31587497365519607,-0.8159047787636187,2.001235179082233,-0.8074208920655382,-0.8064751265030197,-0.7343139074278688,0.5654198396300243,0.10262277167474632
SIDM00309,0.9002617567590248,1.2499960572847177,-0.036901288908539435,-0.8935643168361876,-0.7206573956599422,-0.6903488871412654,0.20570583867777006,-0.7360862459341639,-0.5317837420253176,-0.7650613022632962,0.5499361768467516,-0.10790990097642601,-0.05038373269718058,-0.6782415598271642,-0.7741689192075624,-0.8353653864008725,1.6594559130960596,-0.7612427507717799,-0.653447968032453,-0.4948618969189246,0.5180948223619116,0.4186285992513886
SIDM00099,0.6541163697633167,0.8690420483555404,0.36311168008757,-0.7193458744603513,-0.48791772378504644,-0.42387498209344365,1.229663499931845,-0.6579854942494541,-0.4538641703551947,-0.5583860996200062,0.4425604720836049,-0.49891280097072704,0.05991368304256443,0.5583134822042181,-0.4667183756283188,-0.7116670825077918,2.241977865081174,-0.755202543936652,-0.8016288409458887,-0.44971510271233645,0.874484157881183,-0.19292001489215227
SIDM00276,0.6151692366489137,0.9386722108238263,-0.00958786092091932,-0.9288340355725614,-0.8314526350791847,-0.4502964532033436,1.2652855047443508,-0.7041346247952328,-0.8649717665481532,1.0686959209779396,0.41871536560528066,-0.6877119743001543,-0.008638955895755456,-0.4199951597138839,-0.7481836264419108,-0.7853209007652916,0.9732617535247373,-0.8397076958995381,-0.8106601743595125,-0.5899632357873426,0.8816148647368709,0.1720946108425055
SIDM00311,1.2274025076016377,0.7724825631661238,-0.09831754522621815,-0.933023229424163,-0.6763050642245366,-0.45322462561650534,0.4037819531005879,-0.7611978188111671,-0.18212989511469518,0.6643736878193397,0.4717282968226643,-0.20716489813228514,0.13262942774625872,0.7008721348885996,-0.6368055030645045,-0.812592366382021,2.1857822406261036,-0.7749890451722196,-0.4173037175983725,-0.4617194793555466,1.0712601899019876,0.1675419367734467
SIDM00970,-0.6722009331861046,1.086939103825697,-0.3340903513353496,1.2901862575486855,-0.8263341161709152,-0.7037283122502965,-0.7287800278157188,-0.6048177013149371,-0.6030635433483026,-0.7175906550378631,0.1340782731496256,-0.8751380896892776,-0.2635475920804496,-0.5900011855927617,-0.2820791407342978,-0.828149533176123,0.9278628970819855,-0.7646356857383796,-0.8225205137549139,-0.6695107839815511,0.5521171926666549,-0.4369386521250207
SIDM00103,0.7905193551580596,0.726883351253358,0.6761317153109854,-0.9410555423905786,-0.5814319426064621,-0.5126496266100021,0.8766067396510624,-0.5910800090524211,-0.47830361820480344,0.13380946433972302,0.42105510685004455,0.23796414839572386,-0.44563678183321104,1.0568852682407723,-0.02036583967368514,-0.7867890937867453,1.7554027946762099,-0.7905348827948758,-0.867588982756621,-0.4718956141403529,0.5948191581282866,0.006822088073008522
SIDM00266,0.38642427175352395,1.1358867099106509,-0.36963713844620405,-0.9824147714611103,-0.9792778453167148,-0.6561987455173839,0.30643356635688984,-0.7459881197195428,0.1737457675552217,-0.552720106610249,-0.5300246673826329,-0.719840521259392,-0.4508169101954548,-0.008752983543742857,-0.008750389960995444,-0.8460733652702395,1.7576469516287283,-0.7417903474140615,-0.817984111305633,-0.5294168927325065,0.1765479282690977,0.1698468001099065
SIDM01064,0.5900642868717463,1.3684002173089695,-0.2574052051205291,1.1107958872532826,-0.9124544348023012,-0.15615456491772456,1.1586153548766538,-0.7802768479466221,-0.33095991876809017,-0.7924960990328574,0.3429996687434044,-0.7474425299153306,0.6451467772465274,0.5224876257573925,-0.15410210470997743,-0.8054271296614897,1.8699221950066438,-0.6825181589750972,-0.5901505170060836,-0.8027625896247231,0.41767099508652544,0.611912552509963
