,QDPR,ALPP,GGH,GCH1,FPGS,SPR,ALPL,PTS,ALPI
SIDM00519,0.7960581646874388,-0.8419129124331606,1.4468833969566102,0.3618821887127452,0.11983211796634857,1.771784121467705,-0.816244762589514,1.9048879149916909,-0.8244295071265159
SIDM00917,1.11331067782665,-0.8499544336262743,1.4315188793610774,1.5554699563211303,-0.06575306747622325,0.7923269741370578,-0.8214906859261144,1.5295569510811668,-0.7852653227552371
SIDM00309,1.5474225265358112,-0.7956969154243279,1.4716539922178387,0.06630294121355768,-0.2033301505672529,1.675719237596549,-0.8482865394228531,2.0640604038279355,-0.8357736199524783
SIDM00099,0.67430466281102,-0.833652763171457,1.3525922599757423,-0.7084989403940771,0.009096831721995147,0.6292800707736268,-0.7059320184157186,1.8705800035198188,-0.8278986727862402
SIDM00276,1.3920141152644259,0.934376871966765,2.3226896007019917,0.22288223875373267,0.12366119072388135,1.3606834802463996,-0.8980194861053218,1.9175903923201214,-0.8782219298152633
SIDM00311,1.0981654833119032,-0.9244480250061952,2.360267804848704,-0.4734037582926536,0.3083910385213728,0.6829563367039763,-0.8248324000380073,1.8949816954431222,-0.8152804570584977
SIDM00970,1.0563924295586267,-0.7787308949136487,1.997625247990356,0.6421046721206799,0.10372344484760788,1.173355149814779,-0.880189984008092,1.4388287500821673,-0.7861242348181954
SIDM00103,1.1721552690207884,-0.8508816388696503,1.7541102263957233,-0.7877023521203612,0.5832033966858396,1.1336690388302266,-0.8687346756978442,1.3031900459360297,-0.8096261688287565
SIDM00266,1.1341309736662253,-0.8915734061207067,2.0894022321799266,0.6634688996034616,-0.10501923717695454,0.204950295752381,-0.4760953142339352,1.678156831697989,-0.880624660013587
SIDM01064,1.2610070047076354,-0.8839192378993774,2.7628605225335603,0.7466013858484227,0.10962999681853343,-0.25129982145210633,-0.8320812201782916,1.629569685364448,-0.7907097991304063
SIDM00098,0.5580289671640826,-0.7273332198753053,2.0731707350568707,-0.11101770564427385,0.19197950121334292,1.1816601026275275,-0.8221709825873609,1.7457905107852283,-0.7992976000196726
SIDM00225,1.5095373194849118,-0.795187921477874,2.6265524772547293,-0.7312175107874553,-0.1909286831239325,0.14998203816752917,-0.9046659184380661,2.1245587108128117,-0.7407632098809006
SIDM00846,1.2703783398095547,-0.849791315583666,2.547789752565946,-0.02845338031394343,0.36242156139140885,0.946760588427496,-0.5743836931838133,1.6387097525986216,-0.8444156400947822
SIDM00291,2.472299458648687,-0.9187584958238822,2.1579525904052868,0.3227758497425164,-0.17694812001884686,1.734986643957013,-0.9206523612189181,1.296709548604785,-0.7458061839314992
SIDM00520,1.1425616136224632,-0.9321919420608519,1.8623802460007832,0.3299777433220479,0.42072392536009384,1.31272080541602,-0.8396241974161115,2.0509077248720615,-0.833714207872809
SIDM00003,2.2082846531998945,-0.8236932608441846,2.3498507543997627,0.07494944496091359,0.18308495230641952,0.9899317518882856,-0.8505590402386987,2.0182241751470764,-0.7859649642026051
SIDM00136,0.8538219899155002,-0.8505044203904767,0.8769865166443096,0.5003109347701188,0.15469942967528444,1.2204834557388584,-0.8582516464385452,1.737892314673098,-0.8531844486485295
SIDM01155,1.353205911139576,-0.9699795560454103,2.424400056344086,-0.6767160246569418,-0.0065416780694413385,1.0567115003694918,-0.844968179136495,1.7967808073297886,-0.9155076926490333
SIDM00224,1.3043641512710327,-0.6957589392270517,2.1187449066466777,0.23877198665563198,-0.20108184651888666,1.100266117854035,-0.8266261244942927,2.0246762470295048,-0.8572731544338776
SIDM00783,1.2549914649605736,-0.8564231810267657,2.085889390709843,0.8957551708853246,-0.10250677711768988,1.2274136406944132,-0.9056592616695637,1.7327100691151487,-0.8431216421943527
