,CNDP1,MAOB,MAOA,ALDH1B1,ALDH2,METTL6,ALDH3A1,HAL,HNMT,DDC,ACY3,ALDH1A3,METTL2B,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,HEMK1,LCMT2,UROC1,ALDH7A1,FTCD,AMDHD1,ASPA,LCMT1,HDC
SIDM00519,-0.8934169323691848,-0.9138550965516653,-0.5284558265761403,0.3268015394243121,1.5815824349005054,0.10620589233650712,-0.4943125919693578,-0.8428720049081527,0.3824086768358072,-0.7719249136759854,-0.8358842315731987,2.201568402854045,0.6026956527358038,1.232119752372071,-0.8287292028572647,1.7085690665840134,0.8409676884375483,-0.5502118083454393,0.3458794478724325,-0.9451102988472228,-0.04734848633950823,-0.6360894454738986,-0.8545822937284786,-0.7697217069307498,1.3716555661887135,-0.8977401199699082
SIDM00917,-0.8824869454768282,-0.9583647591876644,-0.5839396790370103,0.16178218933883895,0.9875022302127456,0.5106428000051099,-0.6387510042013984,-0.8581227519273523,-0.8044521601183281,-0.9184987505693945,-0.35597582604274147,-0.7628504927195283,0.30399067966558385,-0.3917130883246354,-0.556022597946201,1.3250852221660985,-0.5058578943192685,-0.10168489247898796,0.15415115703727966,-0.6904050500791088,-0.7657183485170751,-0.7928349509630681,-0.8536499471815109,0.7833527995423929,1.357082569456696,-0.8247809639611314
SIDM00309,-0.8931339676717768,-0.9112056394858054,-0.6167469588872668,0.9844704359577299,1.6300128197525552,0.5843595229696695,-0.544209361441012,-0.7847355998741466,0.012606578675245606,-0.8486592576699037,-0.8109551376123738,2.507038407196217,0.5870877255318196,1.2315013221627489,-0.8364496437560559,1.8339944601095088,1.4691261244116733,-0.04756899201444305,0.019422443696258965,-0.8806457939274771,0.24218797152292582,-0.7497908337758359,-0.6736311006850456,-0.7711357935107074,1.4943457613114146,-0.9072732148044176
SIDM00099,-0.8391136470635183,-0.8322537728278157,-0.6002430034108348,-0.04974230606188002,0.8255992518663462,0.8791029837964034,-0.6892421907487165,-0.8367664928694547,-0.8161194323207707,-0.8344868935731302,-0.7536295668251142,-0.4992900544528711,0.6871150706239817,1.1017647634080756,-0.8145923068250598,1.6297378894987773,0.832568243536906,-0.31936966844613307,0.1756664411699018,-0.8346392504749632,-0.22052098185750413,-0.746486621515041,-0.8737717916252249,-0.807793902577814,0.9147122927588232,-0.7256175862622758
SIDM00276,-0.9329883400542486,-0.9348952740669156,-0.03844910393050507,0.2367673266587503,0.903857136505525,0.2912163431018611,1.134520216583569,-0.7891584599064085,-0.08391030376109927,-0.8388968185034924,-0.7132837471726725,0.2860005221020032,0.6743990362573101,0.7223954927403983,-0.7236065603977224,1.3776031459929157,1.4218166096185478,-0.2784370176582996,0.21017859601663047,-0.7902305451086113,-0.2715353348482606,-0.7671499162675319,-0.45802660339506207,-0.8360347095157917,1.649685489165149,-0.802369712229407
SIDM00311,-0.9059521360508885,-0.9548943350972524,-0.5835144092171077,0.5375278773673092,-0.39572946679666754,0.5154470512421424,-0.5814100970045081,-0.873020440013699,-0.31754101479631025,-0.8989765295481721,-0.7452448047096762,1.7980728328230706,0.6854905931145181,0.13066379173635326,-0.8058547336555968,1.403225295754775,0.7039665427985154,0.02964906742632282,0.2756579506043281,-0.8106808128700911,0.37060933935053214,-0.7358481517330093,-0.7509263590364813,-0.7905929191619592,1.3761963629325071,-0.7936291082509451
SIDM00970,-0.8182469432000304,-0.8974087032951485,2.014621095806215,0.33591301963711573,-0.7201920148016463,0.5876039494126319,0.6446979223660867,-0.8490056768875369,0.8690863012880481,-0.8526947535285334,-0.7757611177662844,2.279971983796373,0.8131681566315897,0.2859330465149035,-0.6858233852615048,1.4491222181167558,1.0380871160648786,-0.15535115855934462,0.5947333682326342,-1.0414611746341569,-0.6490675668523387,-0.7642542201494913,-0.6034939617331713,-0.8320245068434546,0.9757119764751963,-0.7823745710597062
SIDM00103,-0.9127244525228663,-0.9148178940841195,-0.6026042715409793,1.2594088871511915,0.4389370103908405,0.9025460709837594,-0.5647726997449514,-0.8126114722573226,-0.4927919644581123,-0.8129887965938057,-0.7947595177328324,-0.49144650089135417,0.6611783767184228,1.2533507381313578,-0.791756556304869,1.9695101279538043,0.24834820655537557,-0.2586999487815419,0.24983913691381315,-0.909344304541333,-0.2946678181916362,-0.752224624350921,-0.6742040711423077,-0.8636791219945258,1.5240643686836153,-0.8473358374264448
SIDM00266,-0.9400547168168991,-0.9137155544298667,-0.055017167614877675,-0.10244850770486642,1.6582370703601024,0.893107189418465,-0.7592498385835662,-0.8396087014353252,-0.8667667841056134,-0.8214625772430381,-0.7808788466495793,-0.8162536457833733,0.5740424087003934,-0.5066299488730533,-0.8342915428559363,1.8155206378386164,0.7871429610249502,-0.20310174903731285,0.17205217804939482,-0.9800516788126211,1.1381351972950031,-0.6892911345824122,-0.3744388962645399,-0.6748052385864682,1.4221257142593027,-0.9094825736667591
SIDM01064,-0.8257300370020454,-0.6821606625204357,-0.6308339435187512,0.5992779551442026,-0.7301487036633993,0.44137775163058,-0.7496058976159035,-0.7859520475801872,-0.7981895955507242,-0.8506583462531032,-0.6380490994718927,-0.8893049815638298,0.702516579753328,-0.4723343463077326,-0.7948221684280004,1.1305584264127977,0.4509594922089069,1.0776365227905274,0.5120265686181485,-0.7610133904514412,-0.6808861758033511,-0.7502183199354037,-0.604320392281403,-0.5407867141223329,1.1258756171555067,-0.8072377231675818
SIDM00098,-0.9377276549151252,-0.89719835226221,-0.5588230806820473,-0.06635347209409072,0.5761811551435289,1.03306657885203,-0.39998890706257234,-0.8638513127453739,-0.8323564825217405,-0.885043909145236,-0.5595041229373704,-0.24760524086892097,0.5899873300733938,0.6318223876869464,-0.8152838037574568,0.9842510271287487,1.623593964827056,-0.5268677644430712,0.33619753895736937,-0.7952073848223071,-0.6527187853564729,-0.7380444168360731,-0.7510178066100763,-0.8935573738121558,1.602369244659112,-0.7878554791154713
SIDM00225,-0.8462174578180668,-0.7889720906924979,-0.5829163420541229,-0.29563665618370144,0.6713468761532514,0.5342358901289639,-0.7135335530844548,-0.8588679404314074,-0.5509647404603968,-0.8635500001359707,-0.909107575065155,2.35701308068053,0.7558321363763042,-0.48810512518375315,-0.7923210558197771,1.358500960488616,0.6221571316640836,-0.0696319068251489,0.6633941349045676,-0.7771153636204651,0.4686842488259858,-0.7446141460370557,-0.7707967463871063,-0.6574408850077698,1.1677391074165888,-0.7990044894713606
SIDM00846,-0.9164891165554971,-0.6150841357923788,-0.152941732656193,0.9238200134030584,1.3828682917205475,0.7886395301089942,1.790838808285932,-0.803049551913196,0.15595048040033668,-0.8073218667935735,-0.7941165404605578,-0.42722660984685695,0.9675756436975838,1.2956893475116567,-0.8215123685011081,1.440411745512638,1.6678620989330197,-0.14705250624288616,1.1737540902588361,-0.8640586214509619,0.25370049956775415,-0.7293716007265904,-0.813157197840756,-0.7315110986317761,1.4054248055972518,-0.771622088919616
