,CASP9,SOS2,RAF1,ELK1,APC2,LEF1,BAD,ERBB2,MAP2K2,BRAF,MLH1,MAP2K1,PDPK1,ILK,AKT1,AKT2,NRAS,AKT3,GRB2,AXIN1,AXIN2,MAPK3,TCF7,CTNNA1,MYC,SOS1,MAPK1,TCF7L2,PIK3R5,HRAS,EGFR,GSK3B,KRAS,CTNNA2,EGF,CTNNB1,ARAF,CCND1,PTEN,PIK3R3,TCF7L1,FOXO3,TP53,PIK3CA,PIK3CB,PIK3CD,CTNNA3,PIK3CG,PIK3R1,PIK3R2,CDH1
SIDM00519,-0.16304697270656243,0.0498076182111507,0.41097071018801634,-0.7840267385326611,-0.510126572422362,-0.7667498242748586,1.3580295249854797,-0.2561277657813964,1.2117328419628624,-0.5413997596560421,-0.27290466421601184,1.4682702253736368,1.2480937511442078,0.531991184003307,-0.3955558339139622,-0.7032513775795374,1.221839698263148,-0.29600760340522414,1.7411622420718154,-0.12283781431877214,-0.6602126748609652,0.5154256853947725,-0.7871562844557515,2.510014987588172,2.1568489899129997,0.5708231736562318,0.20225978087680163,-0.3214029222485103,-0.8367236396892249,0.8798485214472693,-0.05966289601354394,1.3510624486918985,1.5419688881072011,-0.8683825457118206,-0.8929978167830748,1.2176476867537853,0.07456749189187163,1.4576129059103546,1.2291206931556173,-0.7187735136670106,-0.1982741848813393,0.9513773111389826,-0.5490992699972357,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.8196694973317736,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714,0.5996811532132683
SIDM00917,0.2536338368942526,0.777404455271312,0.6703226732559828,-0.40131305647021154,-0.6694990443666693,-0.845652064579716,0.7032882367405254,-0.6300975969652289,1.4353305093647586,-0.08737606934962737,0.07306648268743106,2.1682208807797045,1.1117795845019818,1.0171378910078077,-0.44961501627394507,-0.43991493639764384,1.5502036363871254,-0.53140709085529,2.0967618944171535,-0.416401493312339,-0.773726404624795,0.12581611851856564,0.6162921631342847,1.713674044796105,2.8043043388059963,0.5455241666444859,0.7518296918279702,-0.8294919534732412,0.4079912195723818,0.5785314872233444,-0.701575656143487,2.04988231234367,0.6747655177517772,-0.7707202916693584,-0.919667194283133,1.2852809793337285,0.3104583380836929,-0.5683018791586874,1.6334552938488958,-0.33826179106292537,-0.7452880684152653,-0.10697711300593805,-0.5377656233603392,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.820043555121857,-0.7207299110933022,0.09639864077465503,-0.45814276637380663,-0.8302974159753143
SIDM00309,0.3099802629052463,-0.055147137698300645,0.7255659061086115,-0.6731966554500092,-0.6080851532395329,-0.8265444768270023,1.4346878852123166,-0.3743296156063484,1.29693709399388,-0.5982155072109197,0.13959897711099276,1.533801591408699,1.0417012936541494,0.9875715584165098,-0.2912125403265399,-0.5673413731578653,1.256524659301111,-0.323607853268389,1.551214464507327,-0.31054032154941197,-0.6464496591068354,0.5986800821643932,-0.7015432307637346,2.4830444858174534,2.5090390498281514,0.6321035255310687,0.19821987316206793,-0.04938563469555932,-0.8541154838838494,1.0882773068400704,-0.033408677656909594,1.5938635558462186,0.44635764588407606,-0.9408828270553387,-0.6905337454649281,1.531051666763261,0.07713419241059723,1.750803738259115,1.5772688397020425,-0.5719067588538529,-0.42172379788324077,1.0949079089566751,-0.4883528195407754,0.9023372519923574,0.4332412209128918,-0.5018997117469767,-0.8372308856792499,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688,1.2032511283514795
SIDM00099,-0.16120780182301667,0.23750660699476628,1.1767266262913327,-0.5237087186392813,-0.7477413318460993,0.034040901227907885,1.2518102860044347,-0.31302835707563065,1.6865245406992782,-0.4747716843383623,0.039663155830897086,1.4524860221399285,0.9734616798497266,1.3496069671829842,-0.2291313922542609,-0.5616008280392394,1.2061207614674792,0.4590628778438762,1.5303667233180474,-0.02928372545294831,-0.6717366358307189,0.6202538847874911,-0.7347915157505426,2.4668765566174353,2.8580368365656548,0.833796751022729,0.4272251428179874,-0.4890676835513929,-0.8097681129008282,1.0093641595797609,0.21846877828626285,1.7953402335997541,0.6730085000785737,-0.9039020373397915,-0.886350060965009,1.4339588043516427,0.007434448992897634,1.9893804939894844,1.5501048087287475,-0.745840851085465,-0.2503047552254338,1.0298182545484318,-0.4606656978346491,0.9772417205774084,0.2470462313405816,-0.60403659056009,-0.7892358353104364,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994,-0.9146071897728487
SIDM00276,0.5405277638057181,-0.0659297637105213,0.6944907569106895,-0.5465460043217087,-0.7796352833776798,-0.9211039188489438,1.2834932020677752,-0.26410001922606646,1.5730502356630185,0.4225250613223542,0.002764890117021384,2.019959361654287,0.833516480644265,1.2786041902665468,0.11933883765264834,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,1.9575623215250881,-0.27162683998993337,-0.583964102634621,1.1105277507367421,-0.6869865589032614,2.123200865268304,2.115272456379971,0.4636340472715856,0.3901472004011665,-0.41397870405731296,-0.8267639290855728,1.1816656923996194,0.24900124400107013,1.6862762082929676,0.6515748950888393,-0.9157161797803411,-0.617326739525956,1.3183493700636075,0.3319259955565263,1.110777565362061,0.900585957550162,-0.6488194164256283,-0.6224876156625813,2.071218323955411,-0.3152874840479835,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.8136204198535125,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777,1.1936296443407253
SIDM00311,0.016676397282197126,-0.03247697834325912,0.5447987316773143,-0.6672810289345888,-0.8251381442988124,-0.8430178040505248,1.179641852767542,-0.2844104108884494,1.3593653195542226,-0.7453538371884136,0.2788588793045448,1.8896826961927777,0.9924763886210323,1.4660143648973014,-0.04068572253821361,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,1.635529327971572,-0.0685667908462816,-0.6486039079914081,0.29001810221540564,-0.4863196877432758,2.5427915109845625,2.967969496653463,0.6037743687259487,0.38729023043362193,-0.4086980928180935,-0.751888574666709,1.1499067182680816,0.11182122054986383,1.282951438624949,0.5102474431294666,-0.9043103028068641,-0.4807646145470617,1.7525331315109194,0.08589945360217498,1.1408512642531226,1.271290093423999,-0.677359328236902,-0.19058832911240217,1.5203619556731347,-0.4660973343828472,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,-0.7981058851862854,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473,-0.8511073983279972
SIDM00970,0.47699840145989814,0.06815208203162508,1.0032059249628758,-0.7488246410809445,-0.6615745010084358,-0.8504491830167896,0.926248724312014,-0.08106132453348147,1.0350064504926018,0.16764458696924706,0.08995091453046675,1.5480021660770813,1.2089254783997123,0.8909744187403436,-0.10547988580351268,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,1.7772022885091538,-0.26191338475256437,-0.7835965237620971,0.3293145122295789,-0.6940898776794232,2.2586948793605197,2.8190670787098924,0.7419548768709279,0.8119872597350951,-0.12257386523000707,-0.8149726060877294,1.3507311932125972,-0.4620419677363416,1.5783739419319924,0.8955143169693113,-0.8825215924447753,-0.9071411571691793,1.875124878476745,0.016143176077876336,2.0377973060067225,0.979103906486245,-0.4642723288066422,-0.7587748205084407,1.3805714920566645,-0.6567645675008575,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.7847700558924537,-0.8051315465966639,0.024174200640533106,-0.3230373291454919,1.583007419094312
SIDM00103,-0.21195830567363155,0.11201949844336118,0.842042295483723,-0.5670632686165039,-0.771258699060732,-0.8549719750111858,1.506035085821319,-0.33744940059802536,1.7208696588265395,-0.3199136617291577,-0.24712165650839193,1.3916393884940752,0.9419679025363212,1.4868253493619497,-0.06847722136698463,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,1.6238428467390442,-0.05049095843654175,-0.7633433489682021,0.80055510601947,-0.6853490195046105,2.3577220623358204,2.9416310920056388,0.6115918772422926,0.3533626797819316,-0.32664288476617903,-0.8467818040121766,1.4511064022891142,-0.0009420409975655662,1.8739563973929787,0.019609299068091418,-0.940046199371975,-0.8709323542503448,1.319050504339812,0.0004835080749557808,1.692495608595488,1.4321080197998055,-0.8018036490477344,-0.3875862553480194,1.6791806603972717,-0.5608796842096238,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.7756434530813229,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122,-0.9058538182479098
SIDM00266,0.1439342599588066,0.18691646827734318,0.7998530910773893,-0.5910757786974721,-0.7184499706923594,-0.3384008476793809,0.8550364573565588,-0.604682494559172,1.421884080467031,0.1151396341686013,0.11944158008741126,1.3033679463501235,0.6750494982901337,1.0349649326954573,-0.3555052293772311,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,1.4884797745308012,-0.2758500902788404,-0.6148931944708096,0.43598438125523226,-0.7361585838228143,2.264134672262455,2.4907638735127424,0.5948286514554698,0.5203234391390296,-0.6945217951117894,-0.8496389728152324,0.7427837498526729,-0.4727299439307586,1.608867664968994,0.9111993007529532,-0.9451345743921411,1.332916152465452,1.3629373334990487,-0.1599034263136676,2.5759797624614174,1.0316435530116193,-0.5568906287862644,-0.3696895716185509,1.2677237885106247,-0.6844618064062402,0.975240071825603,-0.33462897669646635,-0.6595534890448225,-0.8709410775601314,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085,-0.7989717166732344
SIDM01064,-0.1351704207431215,0.4878491632261718,1.1271093323880224,-0.734554988093518,-0.5465099484304817,-0.8129703626216489,1.1711456279706722,-0.7070937817670304,1.1257725690972324,-0.3823909016943919,0.10983759079608121,1.9344409784512715,1.5397970858077232,1.0425483945634715,0.12561007301362406,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,1.7085587502100803,-0.18836069374213119,-0.6454916392872737,1.0024155733741154,-0.7454782273242749,2.0927057028545057,2.881343173952386,0.8955226757344096,1.324784881453375,-0.7432987552748739,0.00999373611543667,0.8651038677438343,-0.6819687123538682,1.0044439342394096,1.139741061167428,-0.7721991156267811,-0.8499676609529545,1.187079652225721,0.11853981156144153,-0.7509793774513629,1.305311154087349,-0.5222596854068073,-0.6416339521020705,1.3996764346782715,-0.5881384431654524,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.8712444832903755,-0.7788569289509498,0.8846240816513324,-0.3221179351293593,0.2972462104533855
