,NEIL2,MPG,SMUG1,XRCC1,POLE4,HMGB1,POLE3,MBD4,OGG1,UNG,POLD3,PCNA,NEIL1,POLE2,PARP4,PARP3,PARP2,POLB,APEX1,POLL,POLD1,POLD2,POLE,NEIL3,TDG,APEX2,LIG3,HMGB1P1,NTHL1,LIG1,MUTYH,PARP1
SIDM00519,-0.2568468026829264,1.747123185258827,0.5627824882883692,-0.36302492119350754,2.1384924272638086,1.7739582417677615,1.6073513967262383,0.61748320955959,-0.4067952110766458,1.2883103740571202,-0.24936848684332732,2.7327606858126208,-0.7494844527708991,0.24244362235961178,-0.3502780710170762,-0.48464442966801524,0.6752525517209732,1.4065643226384252,2.308709703191277,-0.5883448472902051,0.3165848762445895,1.9498326923352205,1.244519140816281,0.10408415960416557,-0.4087156757097819,-0.17231629566722106,-0.4504028893491195,-0.6959010828337232,-0.24632726705317304,-0.016370748055882494,-0.571313651960111,1.3338149053140176
SIDM00917,-0.22377715042649846,1.6295702083432264,0.7123144027508678,0.011298548980703791,1.5930643807548268,1.6612314664096122,0.5981325387676407,1.6377827528072126,-0.47811705527620335,0.3396941215162363,-0.15151569130918577,2.779375140962102,-0.7665049244752763,-0.20664857677765444,-0.39786685697036767,0.14680140878730666,0.8525298690980143,1.7141713976533497,2.311466656820435,-0.3606444053661256,0.23644065543540851,1.4422157912653375,0.5171258587718964,-0.15865328630437128,-0.39128916128108426,-0.1300195878025439,-0.3922067648590319,-0.5856628578274408,-0.24271570937414627,-0.006317452076907383,0.3842290388968347,1.065966530326092
SIDM00309,-0.11568062393035779,1.8414448557455403,0.40962784916199707,0.11861532988609062,1.9293256216064725,1.3797432890701309,1.116975470976379,0.9499661964713971,-0.2801962563776966,1.4537255919939363,-0.13277874643576304,2.2400897259658406,-0.3470512042121466,0.5574197552918685,-0.30196977101061906,0.6731013126596878,0.7455601869265082,1.4076641259814513,2.2512892269561284,-0.5923679215341436,0.4855099255343653,2.108978496090682,1.2703486173462115,0.5429646714556231,-0.33339657188075583,-0.03557616503361558,-0.3147644824305627,-0.6612287550270585,-0.3141790582795524,0.32736060045912824,0.02773937221609865,1.0411163703284632
SIDM00099,0.1341036262500762,1.9753912015066122,0.10188433969761769,0.22067298715935926,1.250313914670259,1.5332794061359039,1.413661242184991,1.2957856743021947,-0.3521323815708974,1.2774454590052353,-0.07231240517742589,2.4102379300946764,-0.3384602545920549,0.07513913432336514,-0.31738897458454846,0.19161389609628468,1.790471175861058,1.1667884662357613,2.7520384689995776,-0.37262903517305546,0.10783445113612303,1.8477326628684752,1.111600889298744,-0.027645482107078727,-0.3465951058648805,-0.15818268458986148,-0.3572834772283905,-0.8016294534753673,-0.3839482166200722,0.06536540432971216,-0.19350202891330956,0.35795817651259154
SIDM00276,-0.15817710373256413,1.407466108021603,0.7222650458876954,0.2960475859208377,2.0742521001204244,1.3906478290024027,1.4886599059213106,0.8155529712739914,-0.2704527937840558,1.4916702364250267,0.1381613907523391,2.807448987669273,-0.1814278479888105,1.0541791905589033,-0.462441500516966,0.14490099569754736,1.4654736098274082,1.654890238043003,2.5698505909138905,-0.5252992324074163,0.5988639408418579,2.1725104258122925,1.5220077657656024,0.8523095564861243,-0.6060441092527217,0.42929559230767567,-0.1959063717141834,-0.498263180045567,-0.015541880591100862,0.38692869402556723,0.08775038231586477,1.3803104608638463
SIDM00311,-0.14603594612993964,1.5202817030452442,0.3311955288977792,0.018583812107581747,1.8287379202320553,1.2474021870972043,1.7430329551714643,0.844696027368985,-0.3902125800179345,1.6545541316259704,0.11750128245092141,2.6211745686540064,-0.5709748231036068,1.2344117968850297,-0.6009899143260014,0.2362032526603328,1.2814773221936004,1.4776799943348167,2.6095275324979834,-0.6072874021466009,0.3475943435645107,1.9148410002474876,1.4644693339928594,0.721244772707244,-0.5696668518396905,0.02750561568588605,-0.367948767231514,-0.6014510431376502,-0.2666311422546562,0.02834431891261846,0.008242266474609098,0.8968268822927586
SIDM00970,0.33091637960487585,1.5070829470923643,0.7023594624289033,0.31248615101051425,1.9062671507921236,2.0680467381378467,1.5372692915549475,1.0105688600177867,-0.4267237973631669,1.8335758644591793,0.27893309120855664,2.9113757645245517,-0.14988500688272843,1.5357497107100266,-0.2321045704805281,-0.1796731459454146,1.3421909994383765,1.7337762530528438,2.747207226526636,-0.7032420513870626,0.9271603799365454,1.9766710874095759,1.678644682477727,0.16534223766933848,-0.30388135372349967,0.25965849488480836,-0.2860351496118868,-0.39548568756774743,-0.16959153391061213,1.035980022857572,0.2858257640234795,1.0600689808728607
SIDM00103,0.2445276386852832,1.8634692545699705,0.2591124614938333,0.0798414067730834,2.092154416092051,1.0863782389067944,1.3880113860074303,0.9645018098914582,-0.25449328482365646,1.3068263946365013,-0.09967040348670823,1.9353683228481877,-0.12791279305529518,0.6152040352835054,-0.6840107581901774,0.8192796157520404,1.2950478816582793,1.487005018265366,2.6376071808620547,-0.42411721729313917,0.19028650149354615,2.256905844742905,1.006384585053371,0.5306249604652931,-0.5740123228487202,-0.22826723886848366,-0.5377236733730033,-0.7850454264058335,-0.4151649885319523,-0.12579776165426976,-0.2153200685622828,0.37546294550576453
SIDM00266,-0.2104683646329089,1.3011159571203366,0.2862122477064345,0.38983466270074285,1.4891651941304884,2.486404901341079,1.6007414743859696,1.1681999768441182,-0.04419159321301182,1.5477481261808412,-0.15931160319621784,1.9755240595868353,0.21472668737673373,0.9555700068270022,-0.26020468828146026,-0.2404430101388702,1.8179586762220319,1.7881989712941477,2.709748821584447,-0.5959847380019585,0.7896802950401414,2.1764890347533314,1.548025334036751,0.322344000863276,-0.5947574948175635,-0.2585857494908664,-0.32636235565760435,-0.4703984604980947,-0.05454209083832613,0.7713305876076951,-0.2739482465205782,0.865115914926056
SIDM01064,0.14212813408217,1.568544361761555,0.1718457791194887,0.25734338089301606,1.7410093733321257,2.354767253742088,1.3514531171464745,1.2868288310551803,0.10992757446025977,1.7849159187145085,0.29049725161110174,2.64791462958936,-0.8216564032784336,1.8964749650295192,-0.08896196078239317,0.7764190662989483,1.4642633691860207,1.286663838523884,2.4938285442466483,-0.6028494143890496,1.2491542433695075,1.675223970914805,1.4039378804725278,1.2180023856774052,-0.4539731423674527,0.007666488085928091,-0.5701894831904866,-0.6416467834811035,-0.37465610399888194,0.8434968559353442,0.131770715875482,1.3419860993886465
SIDM00098,0.16290816013401338,1.7148774593912146,0.24489761846440286,0.26262646574482285,2.4427639495438243,1.553697750847591,1.994106216195798,1.409535115578977,-0.14962779241117033,1.5765650871964225,0.2659597720062809,2.580035313926651,-0.6701379885945143,0.6935126533524363,-0.47947770269190837,-0.6884664423617091,1.3473839413851358,1.750345170766301,2.509409151044808,-0.6813221798299006,0.6910910980826369,2.5253709751932156,1.5822783469277206,1.371929692207462,-0.6202723695715983,-0.18385111798135084,-0.24613235057729926,-0.5088494666301417,-0.2959550858346273,0.3164164815017205,0.06074467981284966,1.0588750380681258
SIDM00225,-0.17840809731566562,2.0101460338944097,0.2643030147271121,0.8712025909180461,1.9576676862119644,2.179855509018882,1.471449263135213,1.1894310870570024,-0.18140905597833187,1.233126722734331,0.016203738056463995,3.1804878690513796,-0.4143714628776285,1.3357768318879657,-0.5070700582002597,-0.14762810503729593,1.48826356547378,1.6896941883705214,2.4363692233191983,-0.6774270328608606,1.0607540836553204,2.1158388831817296,1.5211594633745376,0.8477489987402691,-0.6128963256279801,-0.10606689265483377,-0.1557638444933942,-0.624595127219306,-0.24560312752086982,0.7726552669659772,0.07866281403585773,1.301182700097563
SIDM00846,-0.05732745773591752,1.6735452060187104,0.6059042142380018,0.23580154574257003,1.8265639309787483,1.2986170727649744,1.9199612855826147,1.1215071748748413,0.5292785110530562,1.7648076261191823,0.7647880173463554,2.665494372473694,0.3589558088090949,1.5418876481710502,-0.5042408809530882,0.12150386330770498,1.6432278891031624,1.2440275327530201,2.6186249872106315,-0.583867156543884,1.0481421160136632,2.421007128628781,1.6971320511463153,0.7390820777180445,-0.4308774070431283,0.18450312810154484,-0.4244660848680614,-0.5131058599661382,0.2270012474041857,0.7558149841516274,0.19730537991562647,1.1355293052015731
SIDM00291,0.4515466445888066,2.101500445297592,1.0538188563351538,0.09775921638263804,1.7762953885566042,1.4296211361598992,1.0998855476616338,1.0090511977594336,0.062054117583548354,1.340883017742449,-0.5424478202286336,2.446647036043986,-0.34772215566563563,0.49242023793089407,-0.3033292810959784,0.3492528991325941,1.1162476416239984,1.1892717317963901,2.5971965967530357,-0.29236642593892603,0.8818044833468327,2.2030288698217118,1.3782137739314422,0.24358688100868053,-0.7228947314009008,0.4886881983318769,-0.10062670286455508,-0.5819954368400779,0.16017091355328042,0.13435002924917083,0.2396818233759735,0.8569346359783618
SIDM00520,-0.14733561147196894,2.011116373552518,0.45434479310732445,-0.13285992580491124,1.6651146204550402,1.2003445411110814,1.556157134840189,1.06680190338857,-0.23390764454863058,1.6174674563113403,0.03626667990282283,2.6926191185883948,-0.5689713389075226,0.5202608795763252,-0.5259022118079503,0.519267265475788,0.8898858723176589,1.0466833080538414,2.2093909894439805,-0.5926582843763152,0.479620761482353,1.895684176596814,1.1928343144799214,0.44892886375500446,-0.5108289081976755,-0.11629866019376708,-0.5577602976570131,-0.7045376567553859,-0.3185734134172076,0.2195687583753522,-0.4610498629175495,0.9550844087542482
