,PIK3R5,GCK,MAPK8,TNF,MAFA,SOCS1,SLC2A4,SLC2A2,MTOR,SOCS2,SOCS3,PRKCD,PRKCE,MAPK9,HK2,CACNA1A,MAPK10,HK3,HK1,PIK3R3,CACNA1D,CACNA1E,CACNA1B,PDX1,CACNA1C,ADIPOQ,IKBKB,IRS2,ABCC8,SOCS4,PIK3CA,CACNA1G,PIK3CB,PIK3CD,PRKCZ,KCNJ11,MAPK3,IRS1,PKLR,INSR,PKM,PIK3CG,IRS4,PIK3R1,PIK3R2,MAPK1
SIDM00519,-0.8367236396892249,-0.851856790810811,-0.3898911071975693,-0.5600337566519754,-0.8780583316806345,-0.7865429481900047,-0.8996948666260057,-0.8538675353853221,-0.22371018627477357,0.2556745291791566,-0.08505715328462327,-0.16217541688124437,0.2467610685660952,0.7229490449626709,0.01468437794139422,-0.7333729305354163,-0.8000735354340742,-0.7483145559433166,0.8728449019245373,-0.7187735136670106,-0.9267804143791178,-0.9322870424341554,-0.8056814166878207,-0.7220192702788666,-0.8599463753321505,-0.8398055728152412,-0.13511638424224445,2.124287134227986,-0.7478087842287161,-0.8617051515061537,0.31954704636902964,-0.8485008500506352,-0.18112189125699452,-0.5861729564811344,0.13262809780131538,-0.7864432519473934,0.5154256853947725,-0.4435836720259733,-0.776407906036647,-0.21441901153788814,1.040664692787864,-0.8386561761109992,-0.8263879871868793,-0.22309303738012728,-0.07939079386696714,0.20225978087680163
SIDM00917,0.4079912195723818,-0.9308760474518427,0.7084240651382601,1.830999589279416,-0.9072963751386781,0.9911035056942923,-0.8834444058284323,-0.8619959751669786,0.0006267952656839542,-0.15883623333019153,-0.6590895983233006,1.5657473081576383,-0.34761794029644505,0.3279819575978883,0.9878059854859959,-0.17976425834833118,-0.4789249487721815,-0.7808321119030809,0.6073633654010221,-0.33826179106292537,-0.68834948379689,-0.6324631282649713,-0.783811224491228,-0.18821128744475737,-0.8989352661310939,-0.8334360166995834,0.36611728776337293,1.091507257011763,-0.7117279344976535,-0.3115787007045401,1.6959402178273975,-0.7768553848876961,0.29428175640692444,0.6552993831852555,-0.6398279575333379,-0.7161467126116813,0.12581611851856564,-0.634857320265725,-0.7749853803013764,0.07986583331952216,0.8551162367446061,-0.7207299110933022,-0.5581370125635631,0.09639864077465503,-0.45814276637380663,0.7518296918279702
SIDM00309,-0.8541154838838494,-0.8654967979506697,-0.39617924839638224,-0.8252947442022723,-0.9468149573332163,-0.8293436956899854,-0.9131706874536848,-0.9030674474978515,-0.2046267553936103,0.4693003860788844,-0.709968724027556,-0.16192114428717402,-0.010849607542058605,0.7807549866059781,0.23534756228249887,-0.7982499460586311,-0.8191751222390329,-0.7458371428922206,1.2193397084238555,-0.5719067588538529,-0.892140631001195,-0.8948297389353592,-0.7694471634651882,-0.6661872175859731,-0.8985738596381093,-0.8002733181563951,-0.03539533274547862,1.4753599176538554,-0.7565343794857076,-0.8612153757462647,0.9023372519923574,-0.827767143591018,0.4332412209128918,-0.5018997117469767,0.48785634927585225,-0.8171336946207697,0.5986800821643932,-0.5626684858600401,-0.7836999865545959,-0.05412817645347338,0.7259929512196759,-0.7952065883643438,-0.6847588939732595,-0.33145082133245723,-0.1603682274832688,0.19821987316206793
SIDM00099,-0.8097681129008282,-0.9140020422628103,0.13335399968062153,-0.8381578425807334,-0.8569487965669835,-0.19595091992640845,-0.8612573548185906,-0.8289922890681458,-0.27999962201641565,-0.33298676321099574,-0.8613565730986802,0.08749614809878069,-0.011093741128729333,0.3390362523399091,0.1200636428588885,-0.7121380004897893,-0.7705711201622135,-0.6674179921082567,1.3125618397379044,-0.745840851085465,-0.8726638848981728,-0.8448452761961041,-0.8255007327581445,-0.6238876155789873,-0.8819801281143722,-0.7621084701101909,-0.178519674526836,1.0977814616918724,-0.7704638856423289,-0.41832806985156173,0.9772417205774084,-0.8225382806202314,0.2470462313405816,-0.60403659056009,-0.25255558546287876,-0.8673236052839143,0.6202538847874911,-0.036740656709425924,-0.7419947159271147,0.17550582487835992,0.9287519574133235,-0.7412131459935081,-0.7219101589174964,-0.30151261608262947,-0.29295489699624994,0.4272251428179874
SIDM00276,-0.8267639290855728,-0.870078532919965,-0.0691404580401485,-0.7093612735075637,-0.858811750187261,-0.7578794856643887,-0.8408001463399994,-0.8065205228375634,0.02324145318821019,-0.6463637968261183,-0.6411683874823257,0.6637941091877231,0.21101288368288423,0.22516520348511637,0.5539035868355162,-0.770335393690034,-0.693685319706086,-0.8228190604383028,1.5279334381796006,-0.6488194164256283,-0.911619553627882,-0.8524586854573307,-0.7326227801023298,-0.665140934777805,-0.9475335632409008,-0.8205774151168328,-0.22945576373960963,1.012175613081893,-0.7109465208184349,-0.7823020450948065,0.4020237646019066,-0.7909027743776926,0.030209795559018312,-0.5315367247175582,0.9488431417238821,-0.8693430047389188,1.1105277507367421,0.5560974851628155,-0.7843056258198139,-0.732778511963785,0.8633541890310813,-0.8724342233570149,-0.783483967092334,-0.49045962005312094,-0.4121884693058777,0.3901472004011665
SIDM00311,-0.751888574666709,-0.8608042374066757,-0.07582413085830866,-0.7630319113703132,-0.813132551926247,-0.7376119924322165,-0.8713847365309729,-0.8304186337846439,0.03901809182694378,-0.2929414754678812,-0.7254499797297228,0.3732942372692227,0.6361110097270698,0.5474182472045206,1.0784918106849626,-0.4887904722846012,-0.8049432169992577,-0.8724701867505567,1.7179456415340506,-0.677359328236902,-0.9071954875508508,-0.8931355818508718,-0.8561930527116695,-0.7290079979535151,-0.9109247693103822,-0.8165953274275044,-0.1436366764423288,0.5912480432919356,-0.8016667544633265,-0.6783795602177564,1.2324268605147033,-0.8366672050476867,-0.16744840637044256,-0.5452007531527697,0.24616512042417918,-0.8408559649261048,0.29001810221540564,-0.2848084396692028,-0.8123729671874719,-0.19359475690584566,1.5363665717290682,-0.7787929081177212,-0.6224968022461734,-0.1528127154303174,-0.2815786822959473,0.38729023043362193
SIDM00970,-0.8149726060877294,-0.8127138879874172,-0.3662241185702077,-0.9528144348089674,-0.901545836482666,-0.8726795102076353,-0.8257856952914312,-0.8477852873104806,-0.08777845381550912,-0.9673722207461772,-0.8301128613864039,1.3945888705784915,0.11704625043704507,0.17957833961123676,1.0831821691631967,-0.743923029527322,-0.0005214666553748757,-0.9169784988868717,1.6211494532565083,-0.4642723288066422,-0.6532647387976468,-0.8799508933505513,-0.7558333365872155,-0.6065037639351785,-0.9687990573362196,-0.739499928579367,-0.0316694772888078,-0.3581124812228324,-0.7936712529777532,-0.623148520396898,0.6516507787099076,-0.7968240610473215,0.07842511824996666,-0.7197542934563707,1.1488491438852768,-0.880370077186546,0.3293145122295789,0.4802128873385446,-0.8650316453786014,-0.18781366534341587,1.1451164792831907,-0.8051315465966639,-0.6724583895381969,0.024174200640533106,-0.3230373291454919,0.8119872597350951
SIDM00103,-0.8467818040121766,-0.8472998312581437,-0.40114405850187046,-0.7985828210686804,-0.7984028069319677,-0.7756148140795807,-0.8664869267359537,-0.8366203656247734,-0.4002499698683956,-0.592543489262147,-0.7046357257404244,0.350730680716894,1.0314702720977094,0.06579980602104345,1.7664864651931547,-0.7076588731594482,-0.8092251083840144,-0.8320424784181192,1.6850886314318008,-0.8018036490477344,-0.885752070746853,-0.8604985782562489,-0.7782412899554636,-0.6896112994419925,-0.8723192999102393,-0.832984033950797,0.1526785008488658,1.2550382845557928,-0.7852730549975412,-0.7734435652952023,0.8649885642906499,-0.8100788601548092,-0.012228360223561519,-0.5742533021236681,-0.8337183163826827,-0.862800891475117,0.80055510601947,0.10073035652218339,-0.8341732326940375,-0.005295857444307438,1.264724710650215,-0.8415395909860525,-0.7084238119156647,-0.19631857119045654,-0.10318863179885122,0.3533626797819316
SIDM00266,-0.8496389728152324,-0.9203336529953521,-0.30005824183715535,-0.6886728367980001,-0.8261391633183031,-0.8628892302505423,-0.8236112243437496,-0.8914598951102074,-0.09193443216896079,0.9802922382546275,-0.7715215888242779,-0.05871988004598698,-0.4401287169458169,0.4323758508759002,1.3963905478109235,-0.6118404007079492,-0.3600812305976859,-0.9004506970951371,0.8779630766330278,-0.5568906287862644,-0.8972024279831587,-0.9419309776195013,-0.7665826307485886,-0.7022095390132713,-0.8612174626844602,-0.775514998474401,-0.2454207720614906,2.5351804051168005,-0.783658266802532,-0.5227082622938958,0.975240071825603,-0.7933240425433056,-0.33462897669646635,-0.6595534890448225,0.4826239544240373,-0.8397197889698258,0.43598438125523226,0.3390993745449397,-0.7518317989959907,-0.22575949848514418,0.763663823700026,-0.6325575608303017,-0.7229982020766618,-0.043248545248515055,-0.44868059800330085,0.5203234391390296
SIDM01064,0.00999373611543667,-0.9352146283943806,0.49006099709420986,1.2615577021538715,-0.8826864762349639,0.9845245960425025,-0.8422343657262831,-0.8350258624893944,0.05294810681312053,1.3808149044621483,0.07942893756764902,1.006196374863881,0.04558505890749956,1.5451934254228694,0.46040730652207634,-0.650489923661775,-0.8948051722627113,-0.6519672388145558,1.1505061654248148,-0.5222596854068073,-0.8954114719759686,-0.8713994805210181,-0.8005670154639666,-0.514580560960206,0.18335384756784337,-0.7844017996678443,-0.051216720492121844,0.21663335405689035,-0.7782550375020066,-0.3782225280720388,1.6317312906782862,-0.8118531075019055,0.201441486318639,0.5128280268281551,-0.3908068370725033,-0.7989494990760071,1.0024155733741154,-0.44830557261726045,-0.7626777218484814,-0.7128938637461991,1.4657151882263066,-0.7788569289509498,-0.6785879751150234,0.8846240816513324,-0.3221179351293593,1.324784881453375
