,CASP10,CASP8,CXCL10,CHUK,TRIM25,TNF,IFNA5,IFNA4,IFNA2,ATG12,TBKBP1,FADD,SIKE1,RIPK1,MAPK9,IL12B,MAPK10,ISG15,MAPK11,MAP3K1,IL12A,MAPK13,IKBKB,MAP3K7,IFNA21,IFNA6,IFNA7,IFNA8,IFNA10,OTUD5,IFNA14,IFNA16,DDX3X,IKBKE,NFKB1,NFKBIB,NFKBIA,IRF3,IFIH1,IKBKG,MAPK8,MAPK14,MAPK12,RELA,DDX3Y,TRAF6,TRAF3,TRAF2,IFNB1,TANK,CYLD,TRADD,ATG5,PIN1,MAVS,IFNK,DHX58,TBK1,IFNW1,AZI2,NLRX1,IRF7
SIDM00519,-0.7919340215007928,0.0006099864991469575,-0.42780199136002295,0.8161035609072119,0.03434546936654356,-0.5600337566519754,-0.9545172274613523,-1.0129931015747884,-1.0039804812469049,0.17141033338346717,-0.6035298044746065,1.6568903330029767,0.1205355256351011,0.3009024851672452,0.7229490449626709,-0.9078612974835442,-0.8000735354340742,1.0487978259433135,-0.4275518556801686,1.86493028849056,-0.1732660053484683,0.5838466638312486,-0.13511638424224445,1.4429260628253475,-0.8521458703408168,-0.934189271756039,-0.8809774858524404,-0.7783965622126561,-1.014608444281772,-0.12038233357526654,-0.7443906954699843,-1.005563280054395,0.6794362369138441,0.11745421659356035,1.6810797093900343,-0.34890968302054115,1.5124775933865677,-0.48351163077325715,0.2514233563333493,-0.46833018718845176,-0.3898911071975693,0.37111776949571185,0.22566466874088495,-0.04413591818367234,-0.9227952649461827,-0.17858717545229483,0.24880699117806257,-0.1720685776410113,-0.6918780635555453,1.133519063807421,-0.39590625859510664,-0.03454109159564684,1.3736050224677028,0.366669438097074,-0.47702897894039786,-0.9942044026347643,-0.42989105639781955,1.6388706153868304,-0.8384934099576346,0.5362667089101127,-0.3238549467991469,0.22464836262441756
SIDM00917,-0.6631918189477863,0.17923875659352212,-0.7148535000297576,0.9771338680956163,0.4972598453645259,1.830999589279416,-0.9846807475030495,-0.9034954879655271,-0.1912172530333991,-0.12255524539489779,-0.735972856658327,0.9217449476682111,0.7455631419372261,-0.36849187467602207,0.3279819575978883,-0.5848995554409336,-0.4789249487721815,3.245569212083642,-0.525953339268432,1.9594377141040287,-0.4113101972766817,0.47021257552627205,0.36611728776337293,1.3335708815362415,-0.9271066337250823,-0.7472278565975979,-0.9501366300578844,-0.6430285373891311,-0.8520899851215884,0.01376071596000576,-0.579628723323272,-0.9860393778203127,0.1799412590004312,0.42748987158923957,2.706514981805068,0.01275492218989675,2.926357499895323,0.017246985436043288,1.7068903727895228,-0.4990074757813973,0.7084240651382601,0.2015353129556218,0.181379694899807,-0.01219307294287043,1.2590882321815549,-0.01820099558756851,1.2632262210408287,-0.08635682900541788,0.298402417220705,1.65903240365216,1.3036667137188593,0.798646239107273,1.1744933750256226,0.22611866027939265,-0.6557868494692999,-0.858044410119487,0.8515014392465747,1.8525858066608791,-0.805036253139175,1.3453498914852386,-0.17200918115443323,2.2455559279497956
SIDM00309,-0.7137222216710134,0.04318044773879801,-0.7001147176379907,1.0570803897792147,0.12268827160494399,-0.8252947442022723,-0.9764532022570535,-0.786920370637195,-0.9890018209755258,0.0057494889210173315,-0.6648730603361946,1.4713581531465492,0.13625219529800314,0.1294836694756633,0.7807549866059781,-0.8779990737646883,-0.8191751222390329,1.5943435465861122,-0.6920362432120015,1.4924517353502713,-0.6676006313017869,-0.6167940378906848,-0.03539533274547862,1.3720361928870406,-0.9160398720931994,-0.7874953443645246,-0.9250245024213454,-0.6846273300573748,-0.9332687143000141,-0.15230074767109938,-0.6637140629338979,-0.9126444980590723,0.5458280325456365,-0.32002010924058955,1.4951173730900065,-0.32725474022634793,2.224831625741866,-0.12803825338191174,0.028265705709125722,-0.35404607635741997,-0.39617924839638224,0.027781658176252295,0.16320294456720882,-0.07075364474348073,-0.91151375328148,-0.09823501433670695,0.06557768777281105,-0.47485761876996296,-0.775524936227725,1.0142500944801585,0.7529013491191775,0.45717370260585904,1.2927946272578619,0.4928985487179394,-0.7203468941576925,-0.9327378139598342,-0.04429876946279555,1.6157650136668738,-0.9010731962940003,1.0250139829960032,-0.1215836099621653,0.4104921777641561
SIDM00099,-0.8998452323413563,-0.2420353614863415,-0.7073854955055547,0.9480620406235725,-0.0016482111652599196,-0.8381578425807334,-0.9314825197041255,-0.765466022188897,-0.839476962741347,0.342760637768543,-0.5482437347721067,1.2681470254519487,0.7262035924430719,0.10632656163102545,0.3390362523399091,-0.9321540167843939,-0.7705711201622135,0.2836787237700312,-0.6524415497699577,0.7171153766020953,-0.7390069908009805,-0.6743050407145389,-0.178519674526836,1.4850624809205493,-0.8483775017250621,-0.8748401624059226,-0.8642024137798934,-0.7194479493262311,-0.9689928714425293,-0.06315822282927092,-0.6168004833558962,-1.0013842105084956,0.22321218218587494,-0.5381350450691637,1.4286800173594663,-0.3128482765511934,1.3423688261952067,-0.14862822052531197,-0.40905320647785215,-0.48127298654902717,0.13335399968062153,0.15698173939898816,0.19782956718958974,0.13366079755805624,0.7442774167696323,-0.19688733199262035,0.18611870773196326,-0.34164731641932033,-0.7570747280547233,1.2337959434030157,0.1955641206800937,-0.1473769498770833,1.166530264043445,0.12075451565089691,-0.5186334885237324,-0.7999510333750152,0.06282867566952069,1.6894232706149346,-0.8565726336355644,1.1059675909676296,-0.07400197411748966,0.10830879768382208
SIDM00276,-0.6912479668789454,-0.15621800348254145,-0.7447525846740175,0.5164845613433473,0.20313571887168272,-0.7093612735075637,-0.9825985233488319,-0.9167971715193116,-0.9873527477870035,-0.34174571140198584,-0.7338502100395343,1.6145808363374572,0.452227170452105,-0.10074130873011701,0.22516520348511637,-0.8642806201423239,-0.693685319706086,2.200687608606441,-0.7072319325125542,1.412067477578907,0.1493108560269076,1.4914025585674724,-0.22945576373960963,1.2861609568192804,-0.809077285411035,-0.9158989527804375,-0.9047895635859892,-0.6948294171203327,-1.0397376885474026,0.36066622218006605,-0.6801464845557731,-1.0220052669089603,0.34606237374993143,-0.0378720707767677,1.5166522702960785,-0.17021109562150152,1.8837504521796675,-0.05020018146694398,-0.0933533550129639,-0.576300583743626,-0.0691404580401485,0.3161658464418772,-0.0616438838510233,0.2185667859797125,-0.9208270093189702,-0.483533278006994,0.11294906241816405,-0.08663290330210438,-0.7581147864036328,0.8092073853184105,-0.24157371396741156,0.5296424373586712,1.626922935843452,0.37021896439257307,-0.3155073285906383,-0.957557337643382,-0.22400880271814874,1.193984156749285,-0.9171598918446974,0.5635606131192734,0.06339627665925651,0.7574629833445701
SIDM00311,-0.876745807362576,-0.1161798164687677,-0.5168455364564795,0.8036714917234041,0.5282109587430059,-0.7630319113703132,-0.9430374891017629,-0.7182755826109317,-0.8524077813194925,0.3341317562636926,-0.6222507364896597,1.5216817724486587,0.4744829450425909,0.3701881271425634,0.5474182472045206,-0.8905014002495889,-0.8049432169992577,2.8314035238729285,-0.53551381406055,0.985245242607775,-0.3693355378255847,-0.558065289953534,-0.1436366764423288,1.5217649565572562,-0.8512110830222311,-0.8368740494826495,-0.8840334802052052,-0.7421597812625467,-0.9829654201076409,0.0825861483815742,-0.7050104279154906,-0.9090494889245361,0.478331172826547,-0.4047739335148927,1.7807493777478833,-0.21095981177158787,1.7433000336297542,-0.20303290357262016,0.6499949015386348,-0.41368099135544933,-0.07582413085830866,0.22038630050524832,0.1215856797023061,0.15884163586295352,1.6890079581734692,0.18508660345019287,0.5226809795931122,-0.08121727947938405,-0.864323879514576,0.6303880291583654,0.22829288070202522,0.14274477308652525,1.6294919117434863,0.32080426818529206,-0.521720430508013,-0.8437886269189029,0.27028364503526026,1.4590499534325299,-0.9648992174293861,1.4164760326575416,-0.29793509804251134,0.9975959139970584
SIDM00970,-0.7665951541860776,-0.08559988515420308,-0.7606796933933007,0.3015782067203512,0.35661868975163347,-0.9528144348089674,-0.950460404113569,-0.8086353560648755,-0.9628458212461521,-0.45189676471314116,-0.5779496298535729,1.2980681109729102,0.5865414797236469,0.08114046094978117,0.17957833961123676,-0.9347543444801301,-0.0005214666553748757,2.3513567237621764,-0.7101858439138434,0.9573364450226781,-0.8531308427409137,1.1320125379614268,-0.0316694772888078,1.1408235307705439,-0.9285609017144162,-0.8686470096722771,-0.8993150702671108,-0.5363557712034847,-0.9252176392017352,-0.13518372131971718,-0.8112331965919161,-0.9003975499844092,0.4669942966337423,-0.02911071373317435,2.047102764470724,-0.1340406003864184,2.2527880968170315,0.2902375309828419,-0.24347044247053828,-0.6183407853938081,-0.3662241185702077,0.22025738468349013,-0.283948733105749,0.02339370108682473,0.8492900171910045,-0.025831726989787737,0.20777358704481846,-0.3033534916504489,-0.7723320811045791,0.9737765169734514,-0.3660596151960159,0.27869684029625535,1.4208912255550041,0.05896421830754203,-0.49301909478706174,-0.8659773874274044,-0.1900600218731055,1.624719354962291,-0.9166257052225338,0.6488757277075131,-0.3757792286503195,-0.17380665617033697
SIDM00103,-0.8445312320257397,0.05666128670094899,-0.6967222105687646,0.8192588864072707,0.1653429641817902,-0.7985828210686804,-0.957865194267097,-0.877539704681847,-0.9658273185517992,0.12472790546999896,-0.5505427544900022,1.3533582671720505,0.6120918221593191,0.007930971797363677,0.06579980602104345,-0.9064598300519332,-0.8092251083840144,0.878189377492645,-0.6616446450437894,0.44417736463072555,-0.07200702243971076,-0.40427665466322144,0.1526785008488658,1.3831803282219355,-0.8664884361914473,-0.739806507655852,-0.892657891155546,-0.6929126982956768,-0.9216055554093888,0.05131500978566279,-0.763702385209971,-0.8888302497889217,0.13645247308958197,-0.4895226605241976,1.2461389920078365,-0.4345943136841946,1.3316515770819293,-0.46689302336236793,-0.09892731524297133,-0.4292891057591731,-0.40114405850187046,0.0013004073611845926,0.15811161940364743,0.05682964877522256,-0.8963303353349308,0.08536607866700835,0.2047325701929993,-0.42407888709718866,-0.8165113459856128,0.9621404601363448,1.1212796873582904,0.529661798737361,1.4179863609203536,0.4311318244257106,-0.30525985872212696,-0.8943585134655796,-0.25750336595247786,1.346629198988433,-0.9715935066727726,1.3081397047799364,-0.44965124760860153,-0.09222338244232163
SIDM00266,-0.8799115516157131,-0.1300122715286382,-0.09570510451100574,0.73891556292186,-0.1339568884228231,-0.6886728367980001,-0.9923470920742694,-0.8129946085672685,-0.8798001759838683,0.050499168828782595,-0.510127932454427,1.0402083790739116,0.9679898070244316,-0.34861612748532833,0.4323758508759002,-0.8230027830372577,-0.3600812305976859,0.7283362330732105,-0.7213032168910508,0.6015418295759732,-0.6029143542640338,0.020916236547061776,-0.2454207720614906,1.4709432974225625,-0.8746654531784199,-0.87606911962658,-0.9137514337276893,-0.5265917579278834,-0.7866057380276715,-0.20715126210964077,-0.7153788230482185,-1.0558918364766967,0.22274788118716976,-0.5868390087059432,1.2716264406624573,0.04159796809956709,1.5394493332535957,-0.3630853084573058,-0.058915962374472365,-0.5568467555927609,-0.30005824183715535,0.20226953876461828,-0.08669129486398476,-0.248028129252309,-0.8869117779194634,-0.4356357129989262,0.680688275400782,-0.47848187584721463,-0.7621357231027707,0.836165586396321,-0.599882708029839,-0.2812672797328062,1.127005490690351,0.5390034632517497,-0.7065527312246495,-0.8040172897606861,-0.42195303492792896,1.2564749997410072,-0.8442279217178776,1.6144402078130144,-0.6778035810037822,0.04423030413114099
SIDM01064,-0.8680774479121969,-0.4158480958375661,-0.6626763531566217,1.136571207278792,0.4141196214588492,1.2615577021538715,-0.8798472352642068,-0.7597015631410159,-0.8925987486119213,0.879071511608172,-0.5612419202742066,1.349767548081793,0.6816324172380125,0.502725520383832,1.5451934254228694,-0.812206662984279,-0.8948051722627113,1.809345492361946,-0.4817365671169845,0.5873584282448535,1.012873667397358,0.30136442387271595,-0.051216720492121844,1.3905928719004024,-0.8537455885241033,-0.8428301898563473,-0.8879849273672796,-0.7391270942505996,-0.9639943186570036,-0.04942836922245312,-0.6984660886578938,-0.9253239990831639,0.3310059325141982,-0.34838413710210075,2.224705986401305,0.3642839661736418,2.441087912138068,-0.12938310194022654,0.741579981548457,-0.2614683980259644,0.49006099709420986,0.3799612684593851,-0.003268500461773034,0.054157544537158105,0.8390225252808882,0.5276334487591244,1.18734204864023,0.12872733010654114,-0.6760600484738661,1.5352318112128234,1.1007487367033209,0.4931029347496464,1.5543245027671706,0.5576535935680319,-0.7155263659101022,-0.944997924300288,0.09637542696574822,1.6373055326308077,-0.8518503009927887,1.295733093245179,-0.20460749471601544,1.119494401188992
