,ACSS2,ALDH1B1,ABAT,ALDH2,ACADM,ACAT2,ACAT1,LDHC,MCEE,HADHA,ALDH6A1,ACSS1,LDHB,ECHS1,ALDH9A1,ALDH3A2,PCCB,HIBCH,EHHADH,PCCA,ALDH7A1,LDHAL6B,SUCLG1,LDHA,SUCLA2,ACACB,SUCLG2,ACACA,ACSS3,LDHAL6A
SIDM00519,0.29511761952327087,0.3268015394243121,0.04010448816818238,1.5815824349005054,0.5307946195844402,2.115628202017624,0.8010804861327718,-0.8435072148808965,0.25126335941114714,1.443053815955693,0.03712514000089112,-0.5232081993295642,3.1969906449327063,2.13216477576516,1.7085690665840134,0.8409676884375483,0.4648032080673126,1.271279222263452,-0.6502875112869839,1.0581586600381347,-0.04734848633950823,-0.9630461719698113,1.580809591316871,3.2514106245128693,1.386931916541774,-0.5895864126264033,-0.5858196846961818,0.04143448515804447,-0.7873125574998633,-0.8199571689843174
SIDM00917,-0.3012730783617963,0.16178218933883895,-0.7617938222712038,0.9875022302127456,1.3090953802334417,2.328122615397938,0.571618518517897,-0.17995731620204564,0.8325651699823244,1.830688492678727,1.060875315735805,0.7618701740394169,3.4506279829399045,1.96213778310516,1.3250852221660985,-0.5058578943192685,1.5853498491147224,0.4382505518502202,-0.7863668854579664,1.22776868658304,-0.7657183485170751,-0.9257808205868472,1.5661447018864278,2.8678666604260337,1.161489305225425,-0.7044831257380413,-0.4336598728630497,-0.3196029692773038,-0.6096132476759409,-0.8578580274183351
SIDM00309,-0.03028763836064123,0.9844704359577299,-0.4113585497876831,1.6300128197525552,1.1520040286868687,2.1905855387733393,0.954784090973499,0.0608437933490491,0.8391441415808647,1.4606726059453343,0.5889160828090827,-0.23573086709942173,3.477275800113581,2.4958403760741907,1.8339944601095088,1.4691261244116733,1.3457123805688005,1.1897352854468255,0.01654499889094244,0.949837753616929,0.24218797152292582,-0.9041400495394192,1.5273217600786293,3.3343110031972407,1.5396647208740275,-0.5933256468647696,0.197798911888526,0.0767295894549805,-0.8245263797182341,-0.9089258859309005
SIDM00099,-0.0013473714606467336,-0.04974230606188002,-0.6917474830066848,0.8255992518663462,0.9805136105405677,1.6880244254139187,0.6708620725392492,-0.9196515659196373,1.0999627816622135,1.6293688217924034,0.6585394025693718,-0.18928460949109388,3.463786142027431,2.327041973803112,1.6297378894987773,0.832568243536906,0.8897668041497283,0.5087650520680388,-0.5978801841570528,0.8019110245901263,-0.22052098185750413,-1.0206689738543115,1.2622992379950266,3.3186882941346876,0.4868538270108191,-0.6652942372952481,-0.39791162921991313,-0.3617213969293093,-0.818459523679744,-0.8236971253443145
SIDM00276,0.578721269719088,0.2367673266587503,0.0585426557177478,0.903857136505525,0.6487703604951425,2.631149885570977,0.6002457059117374,-0.7902924644522992,0.47365906157827853,1.4238177048177225,0.9124748518698846,0.0805496840526151,3.2970195384274934,2.246860824333088,1.3776031459929157,1.4218166096185478,1.1531365954988042,0.6024649524657032,-0.33487278870734893,-0.09833875222817232,-0.2715353348482606,-0.8657375953577826,1.2497561362465495,3.34544033941942,0.6893230084699434,-0.5732440366135313,-0.7312764734662685,-0.04310995448981765,-0.7850600910841203,-0.8716678248317035
SIDM00311,-0.27573942453245953,0.5375278773673092,-0.7756283680565433,-0.39572946679666754,0.7419550113048103,2.2510934519976646,0.8141880733349468,-0.8124379379720148,0.3140266004518235,1.475748643604438,0.6518037489225634,-0.0505908990557558,3.258151629066105,2.1618695618340547,1.403225295754775,0.7039665427985154,0.5247214054183754,0.8682538974967949,-0.2301716100759706,0.5853573772288765,0.37060933935053214,-0.912002358635423,1.2937204740759176,3.7035303705118965,0.7904488499670154,-0.6737463006462355,-0.2449200263549857,-0.25827882505059846,-0.8299814708366998,-0.834503014499932
SIDM00970,-0.20421617813623721,0.33591301963711573,0.4731437425641687,-0.7201920148016463,1.3854808618610146,2.4488725160241955,0.31301983138880823,-0.46676817287556144,0.4645687620320896,1.596942190473998,0.5998611376933446,-0.03546332023494202,3.499014681363831,2.6139217848980776,1.4491222181167558,1.0380871160648786,1.3238914863274667,1.3710169530704466,-0.042996307038224595,1.1288880987778827,-0.6490675668523387,-0.8456451255926264,1.199232239808151,3.034010313460711,1.0686562408952518,-0.6817314549894224,-0.13205126569459527,0.0910250679018899,-0.820354337467888,-0.8739730626653679
SIDM00103,0.22467955986547286,1.2594088871511915,-0.46806993798936175,0.4389370103908405,0.787759274957548,1.6886143139599472,0.6755126127311989,-0.7780216303914902,0.06864659790745606,1.6350494468922596,0.8331344772199537,-0.5252269030388881,3.1865614879524715,2.4335888331522795,1.9695101279538043,0.24834820655537557,1.0312568877935735,0.8996505911671071,-0.48274667227848644,1.1935167760296865,-0.2946678181916362,-0.9819859427627553,1.158576820956961,3.359897013087449,1.3654419123063604,-0.6395225325884406,0.2442347889930526,-0.26266618217155147,0.4329668674903859,-0.8265597023796025
SIDM00266,0.8195315435065648,-0.10244850770486642,0.0176142577268035,1.6582370703601024,0.8013014313342747,2.743270221112306,0.9519662327651953,-0.9376583186836714,0.7744580004049486,1.8039581052642732,0.7183476334826763,0.5028498374932346,3.56176928105793,2.0199176879113447,1.8155206378386164,0.7871429610249502,1.6179168617254798,1.404516449672576,-0.625798980939283,2.4066875436768735,1.1381351972950031,-0.8763090604513163,1.5182320310325446,3.325970090142578,1.2412359813033043,-0.024465516671967693,-0.48752603056806704,-0.08204248702817413,-0.8585483618055205,-0.8702297787241525
SIDM01064,-0.7145933846227724,0.5992779551442026,-0.5813017675796824,-0.7301487036633993,1.4913564051131514,2.004131513003939,0.7291323055269603,-0.8791317911286247,0.8665767130917049,1.9793839725593319,0.5932990487634205,-0.657689674646519,3.3148586521844505,1.8037023463312476,1.1305584264127977,0.4509594922089069,1.076293355659119,1.7336507530244505,-0.1848220692968016,1.187012337185976,-0.6808861758033511,-0.9000034165049233,1.5736651023740407,3.3769195498792537,1.0973686464559345,-0.5164717061249076,-0.53229698025221,-0.38254558336356764,-0.8258552632082484,-0.805417001290536
