,JUN,JAM3,ATP6V1G1,CHUK,PTPN11,CXCL1,MAP2K4,CCL5,NOD1,ADAM17,ATP6V0A1,ATP6V0B,ATP6V1G3,CXCR2,ATP6AP1,CXCR1,F11R,MAPK9,MAPK10,MAPK11,MAPK13,IKBKB,ATP6V1F,ATP6V0A4,CASP3,ATP6V0A2,ATP6V0D1,NFKB1,RAC1,NFKBIA,JAM2,IKBKG,MAPK8,MAPK14,MAPK12,EGFR,RELA,ATP6V0E2,ATP6V1H,ATP6V1E2,PTPRZ1,ATP6V0D2,MAP3K14,ATP6V0E1,ATP6V1C2,ADAM10,TJP1,MET,CSK,SRC,TCIRG1,IGSF5,PAK1,GIT1,ATP6V1D,ATP6V1A,PLCG1,PLCG2,HBEGF,ATP6V1E1,ATP6V1B2,LYN,ATP6V1B1,CDC42,ATP6V1C1
SIDM00519,1.450651171689224,-0.1740124223377273,2.907465011311493,0.8161035609072119,-0.41687740632795267,1.0406782873044311,0.8536117751585641,-0.3219774777435255,-0.046791494383586575,0.2561167679384067,-0.20059881179149502,1.5196592605107913,-0.4946481256628702,-0.9000605567195792,1.3947301542864174,-0.8904201977720989,1.309798122590218,0.7229490449626709,-0.8000735354340742,-0.4275518556801686,0.5838466638312486,-0.13511638424224445,2.5008979181890854,-0.02087325456552204,0.7134332037451958,-0.2605739971444991,1.436049661142533,1.6810797093900343,2.769353667407342,1.5124775933865677,-0.9162821623167544,-0.46833018718845176,-0.3898911071975693,0.37111776949571185,0.22566466874088495,-0.05966289601354394,-0.04413591818367234,-0.4935853712224422,1.0439494101047369,0.10056582644675856,-0.9337514153627476,-0.9072002982864708,-0.46043308971780417,2.776160872637635,-0.827963009765431,0.8640533093911591,1.9394143257115308,-0.47561600555413736,0.23678104292782648,-0.22313365013243827,1.252682822241085,-1.111799339356529,1.258227015239765,-0.49280391170550175,1.7793514150834784,0.905105922565385,-0.0034989349945850107,-0.23385840083667578,0.09854995844004207,2.1852263963548015,1.2346398017616511,1.0616726236766958,-0.45273724834585866,-0.25600809403688,1.5531267160709008
SIDM00917,0.3557040154974996,-0.7392815610931477,2.3944422849663862,0.9771338680956163,-0.5545172319292266,-0.5268467453068745,0.9061781709798711,1.5810691863936355,-0.18239715652809646,-0.05970290004989674,-0.08631967104613343,1.9617679464179987,-0.8971935829170196,-0.6306628896966555,1.1492829781447036,-0.7466142979079883,0.8473669178244688,0.3279819575978883,-0.4789249487721815,-0.525953339268432,0.47021257552627205,0.36611728776337293,2.260140323180828,-0.8736148877949553,0.9001218501554026,0.5772754179851607,1.5433563211987602,2.706514981805068,2.1032589178303955,2.926357499895323,-0.9196798288664224,-0.4990074757813973,0.7084240651382601,0.2015353129556218,0.181379694899807,-0.701575656143487,-0.01219307294287043,-0.6022886565255863,1.2212478567701608,0.13352268952292443,-0.9974890684906044,-0.27620945095051097,-0.2897616012455139,2.5091746385994966,-0.7706056041287815,0.11180396943251326,-0.875587153541646,-0.6733048419393598,1.5859381542918871,0.6796217501346691,1.4095064685663588,-0.9709783399935873,1.7345939641854828,-0.6580575492567319,2.0165828726783657,1.4113627934318338,-0.02056146040246094,2.521525918877269,-0.46485317728109304,2.516752248270955,1.611811617071035,2.599953714582175,-0.8935853131867245,0.44944808904324823,0.7510685324571527
SIDM00309,1.1989135914686246,-0.22217326812909924,2.2210616853795213,1.0570803897792147,-0.43675263706473116,-0.6065462223669263,0.6856889106587097,-0.7494871161450463,-0.27734429902538116,0.2685011764352977,-0.2502169445580526,2.1106327720909084,-0.9934238625374116,-0.9399032502551392,1.337500630948071,-0.8253717892553346,0.7018119115385888,0.7807549866059781,-0.8191751222390329,-0.6920362432120015,-0.6167940378906848,-0.03539533274547862,2.454779782214314,-0.6378497587850042,1.5199915871511618,-0.12648053171652965,1.7641720218225254,1.4951173730900065,2.5778827866642704,2.224831625741866,-0.901453340485617,-0.35404607635741997,-0.39617924839638224,0.027781658176252295,0.16320294456720882,-0.033408677656909594,-0.07075364474348073,-0.44057622434410637,1.2579923068213208,0.12643982764197795,-0.9518184488774679,-0.8198629987297726,-0.29934054273754584,2.7346133324056483,-0.8099950726496012,0.8591337598946793,1.5115203098904548,0.8732093846515993,0.05179843525337412,-0.35902608280166326,0.8769131060804838,-0.9131356480791549,0.8343008677626348,-0.5306859580892245,1.902819426270316,1.5468982109380953,0.03367052596493218,0.08187136456782916,-0.296811638228665,2.4250257737905154,0.9906293320683801,0.6441326067299576,-0.33026737417654634,-0.1229129380584758,0.9980398243917682
SIDM00099,1.2804267594778411,-0.5841418537962981,2.5010218991393596,0.9480620406235725,-0.48805428678273177,-0.5896182955865211,0.49088961829913735,-0.6856084021375127,-0.2941897662958676,0.32176451877767853,-0.48949013460945645,1.8503448374897904,-0.8758078102116572,-0.9783015871600317,1.1855805540293767,-0.7593270719392116,-0.09805315689427403,0.3390362523399091,-0.7705711201622135,-0.6524415497699577,-0.6743050407145389,-0.178519674526836,2.522900809748225,-0.821853075753285,0.7852054929480522,-0.23842620074957033,0.8518554611070398,1.4286800173594663,2.5640336413202114,1.3423688261952067,-0.5058698373953896,-0.48127298654902717,0.13335399968062153,0.15698173939898816,0.19782956718958974,0.21846877828626285,0.13366079755805624,-0.7403532747525846,1.2535817068253483,-0.06928484851216725,-0.9081985148374765,0.14241924446798002,-0.3193356044533718,2.5289037028995947,-0.7446270582952864,0.9179007258751751,1.2535097774651247,0.6938360648235127,0.2923976909650345,-0.09321407001821022,0.8261881263372265,-1.015202002818739,0.05773351879501439,-0.6650856943076965,2.103963079979293,0.8957683038405856,0.3041178582883408,-0.4496306432321909,-0.3904548774264213,2.0279992668368902,1.78240481951656,-0.13631200820160339,-0.4323605790096464,-0.3063931104141543,1.1231556874446922
SIDM00276,1.1495267237151896,-0.7372856980093423,2.4662264190120013,0.5164845613433473,-0.44887793886853683,-0.487072681013048,0.7319338128724997,-0.7966182986974407,-0.1345834724067888,0.207593030701589,-0.33582199827688586,2.0994378816566184,-0.9987876131903619,-0.952178721333283,1.807950755832988,-0.7850957766194356,1.3425733596298097,0.22516520348511637,-0.693685319706086,-0.7072319325125542,1.4914025585674724,-0.22945576373960963,2.8255224177875538,0.33474281828533337,1.1949182686427657,-0.2713210104100718,1.701294386361307,1.5166522702960785,2.537790164982142,1.8837504521796675,-0.8289526373289451,-0.576300583743626,-0.0691404580401485,0.3161658464418772,-0.0616438838510233,0.24900124400107013,0.2185667859797125,-0.5547287265040993,1.256633452195935,0.19857770754199938,-0.9752670666563132,-0.6823841895776848,-0.2838531134299047,2.288842402219206,-0.7959522911427194,0.6790423202574389,1.9487640109185833,0.3077758434506542,0.4748573177025822,0.5275392477335129,0.9497929254009825,-1.061234275523241,1.4485348529477764,-0.6346100095200576,1.9260550297942935,1.0469811322852232,-0.03665739673160678,-0.028502178643651007,-0.0816585197976808,2.349813824861233,0.986663215871402,1.538287484023975,-0.6507804738104336,-0.18699906706649816,1.14948660456975
SIDM00311,1.6009746532649622,0.6580002034683994,2.2644081270167313,0.8036714917234041,-0.48437306637563843,-0.5808825979994501,0.5121588476229368,2.6065702328105425,-0.18148114933996945,0.19783869995362555,-0.3607218230492301,1.8114655644210458,-0.836721611707752,-0.9010174650559246,1.356489928321301,-0.8478677677471108,-0.2839579983762916,0.5474182472045206,-0.8049432169992577,-0.53551381406055,-0.558065289953534,-0.1436366764423288,2.165017208711869,-0.6030845360693259,1.292328226521967,-0.07831120492194346,1.5870360524779976,1.7807493777478833,2.5336087504973483,1.7433000336297542,-0.8385623170425764,-0.41368099135544933,-0.07582413085830866,0.22038630050524832,0.1215856797023061,0.11182122054986383,0.15884163586295352,-0.6898305077292037,1.306798768135302,0.022534974559913417,-0.9159996758772501,-0.7296714411722941,0.16136630476819105,2.5916776300567372,-0.7201023699776503,0.8266979677133998,0.9868075994589622,0.5999032391756205,0.21865444517148808,-0.2006083380364833,0.9021687759712688,-1.0744450871571838,0.6672431865164238,-0.5649483015327826,1.9291052769974901,1.2705430010286605,0.24234045098963491,0.22047856944745903,0.0102690028368339,2.060162523854552,1.3224329699161004,0.5216602945623253,-0.8677098789880288,-0.029608362448675183,1.5558048330916556
SIDM00970,1.1125033789495749,-0.7345926363487001,2.5480772212412064,0.3015782067203512,-0.4807603789388971,-0.6959273293104542,0.2539807798261478,-0.7800737977166667,-0.26222102796717756,0.02027363399493361,-0.6227232538941051,1.824164644128188,-1.0167887184395468,-0.5641515522625918,1.4301245202860653,-0.7672124719157384,1.3050243050415238,0.17957833961123676,-0.0005214666553748757,-0.7101858439138434,1.1320125379614268,-0.0316694772888078,2.212404530155551,-0.1834073335877168,1.2696085940084265,-0.3283356554405496,1.3119153298660657,2.047102764470724,2.70133784532971,2.2527880968170315,-0.9126484593394634,-0.6183407853938081,-0.3662241185702077,0.22025738468349013,-0.283948733105749,-0.4620419677363416,0.02339370108682473,-0.6171378508445311,1.0640121198951444,-0.19140946947063492,-0.9989855901947072,-0.8970806245554135,-0.4917263410151084,1.8369668993033992,-0.9215684393379479,1.3277892537681488,1.120372046950549,-0.4468631785306011,0.6142378094921251,1.085885571358944,0.8483937255957914,-0.9257286393612437,0.9820464646986934,-0.6420390031162199,1.6082804463803406,0.9053859245915241,-0.20487850156093684,0.41264517800793504,-0.1870438669106171,2.046871788048204,0.8274824549410654,1.2608411430676931,-0.8041166242949351,-0.0044976200404464785,1.1446427770671446
SIDM00103,1.9346272657562575,0.17910305753053815,2.698730320451988,0.8192588864072707,-0.35016489112851445,-0.646926017935197,0.4193752403248207,-0.40439660552982293,0.03876613072813226,0.17748882342378333,-0.433623370405663,1.7473690623889526,-0.5110209820686333,-0.8703062942944857,1.1299963386379424,-0.8271436335954375,0.3334984901898532,0.06579980602104345,-0.8092251083840144,-0.6616446450437894,-0.40427665466322144,0.1526785008488658,2.7838505154110673,-0.11881102461503124,1.4164805506199207,-0.24217821462670766,1.617769459007423,1.2461389920078365,2.5729208617833472,1.3316515770819293,-0.8363487980105646,-0.4292891057591731,-0.40114405850187046,0.0013004073611845926,0.15811161940364743,-0.0009420409975655662,0.05682964877522256,-0.5634531741366781,1.1762761371366048,-0.42909931392257794,-0.9678447499673609,-0.8265572089176918,-0.43983027683691234,2.030049514855766,-0.8732304161912626,0.5824785414832435,1.0565694097283715,0.7022074629030362,0.4041161208650502,-0.057982224219576585,0.8288714111545904,-0.950321991936784,1.2219708033261014,-0.44453008216523027,2.1718111069499177,0.9022488055925546,-0.1470608013499035,-0.5946701851889066,-0.5035489528620382,2.1902246672065826,1.6344304923155153,0.8321479795950905,-0.8340025380730789,-0.28401500007289676,1.4543920507109132
SIDM00266,0.7547732186794955,-0.09772833640075418,2.6815412222852975,0.73891556292186,-0.35970337316955103,-0.10733497532627188,0.4011389814825354,-0.7286578393815804,-0.35797035487474393,0.33143008703768545,-0.37406288503485924,1.718060020204827,-0.83180528298944,-0.8854211685743244,1.094173107066291,-0.7714461125494515,0.1639797264013015,0.4323758508759002,-0.3600812305976859,-0.7213032168910508,0.020916236547061776,-0.2454207720614906,2.0419410169790586,-0.8971558811357331,0.6822150047002127,0.2827615096051464,0.6840059066962224,1.2716264406624573,2.423210183355695,1.5394493332535957,-0.6900818804082333,-0.5568467555927609,-0.30005824183715535,0.20226953876461828,-0.08669129486398476,-0.4727299439307586,-0.248028129252309,-0.7190408649933885,0.7810383759985414,0.19993442125474703,-0.7321800508461147,-0.8728874929288386,-0.7036240165569714,1.6156165118131522,-0.7164495466013804,0.15446684708102568,0.958712902678172,-0.7482514974901306,0.38771460408591246,-0.3861699825009486,0.02512181707537012,-0.9561534229558019,1.253827961612637,-0.696415702082582,2.1380984537306165,1.2276779714208543,0.12465917458109645,1.042684104369696,-0.5486084078752886,2.23910915765209,1.128691630817959,0.7012087593342549,-0.22438943697027044,-0.15869170900966262,0.8047402730173104
SIDM01064,1.1767698825357338,-0.6807461683348912,1.9162180693511066,1.136571207278792,-0.48667244666953907,-0.7240731012608229,0.49371136136102367,0.2926152772714306,-0.10388807898040554,-0.1118805209185571,-0.3987203525328494,1.9254884763587692,-0.9643292400365727,-0.7991524352034034,0.8226066954259099,-0.7516996871129101,-0.027493709231506656,1.5451934254228694,-0.8948051722627113,-0.4817365671169845,0.30136442387271595,-0.051216720492121844,2.202963735278934,-0.763905179627945,1.5209681332346896,0.41684229119850347,0.9333313467406501,2.224705986401305,1.8105522688699511,2.441087912138068,0.650617754126808,-0.2614683980259644,0.49006099709420986,0.3799612684593851,-0.003268500461773034,-0.6819687123538682,0.054157544537158105,-0.396734207760901,1.204282425766123,0.6052710649483474,-0.9472531041018742,-0.7869158028816086,-0.06396921498978138,2.920146764863215,-0.6904570887375447,0.22145248696238204,-0.9235022663099877,-0.6382688888875209,0.8680649300606127,-0.4978691802916767,1.161407847963382,-0.9845802787508409,1.218593717846548,-0.5455179489971511,1.5978905538456087,0.6613687019972625,-0.4206900010717696,-0.661233852400993,-0.4887249495245336,2.1321439447607102,0.9181487583250952,1.8926205883781668,-0.756890199727895,-0.10113901006162213,0.9901396018796591
