,GAL3ST1,SGPP2,GLB1,GALC,SGMS2,SPHK2,NEU2,NEU1,ACER2,UGCG,DEGS2,ARSA,SPHK1,SGPL1,NEU3,SMPD4,SGMS1,ACER3,CERK,SMPD2,ENPP7,DEGS1,SGPP1,NEU4,GLA,ACER1,ASAH1,SMPD1,B4GALT6,SPTLC2,SPTLC1,SMPD3,KDSR,UGT8
SIDM00519,-0.9573405668053272,-0.8043550856922841,1.6752053816951888,-0.15267889688842445,-0.5020609072798208,-0.6760207120188853,-0.4847627741784776,2.393347505668139,-0.8466876716657433,2.24920041712586,-0.7817672735273834,-0.7244288331129309,-0.14321916971815463,1.5280130952621802,-0.8182433224718852,-0.4340440319742291,0.7954276227526317,-0.2294644366497423,0.40660385868120036,0.23474327514297227,-0.8411128340507952,2.5278661656941117,0.7571298094844688,-0.4651123263894298,1.1789800186971144,-0.8365823196989466,1.586704209428889,0.20544441513745806,-0.48034903667368595,0.6181373465449542,0.5152871652533252,0.8652297078029529,0.6605025275730119,-0.8841528946921425
SIDM00917,-0.9967218112580158,0.4079775141464696,1.718281251049374,-0.37996278073164924,-0.8942040612736143,-0.5253829624246691,-0.6625270847015222,1.7943889237300228,-0.7096703456195059,1.8794404926364794,-0.8597804666562141,-0.6630155581289984,-0.7210758510530345,0.6436529363336296,-0.756350388513821,-0.6629538488431429,-0.34911118320336293,-0.6537728107730576,0.4806691489795435,0.4672583112498345,-0.684553634793195,1.724607804269702,1.5337961398850586,-0.2587834510915772,0.6219322835895315,-0.7196333870160977,2.302712998266957,0.12746034714616034,-0.04984999358459935,0.9189816386708695,0.3155244568639994,-0.8109928126988851,0.5070158279342044,-0.7637229815059787
SIDM00309,-0.8309216252629107,-0.8230293242321706,2.015947495909379,-0.03990111783472549,-0.45503671205067325,-0.5735111548704249,-0.5454390464533974,2.271923420299915,-0.8219561598516855,2.1158021066146646,-0.8002367941973557,-0.7267758258066275,-0.10173658180365215,0.8070116718636271,-0.8076314575432678,-0.4371257055371991,0.9415103059289656,-0.4775732980249922,0.3591132147616973,0.2594682301598723,-0.8490559788572034,2.1507460263953457,0.75091726511488,-0.4452528844863782,0.9118250625491823,-0.8860575148899706,1.4025976904580997,1.088006202499851,-0.5230863146987018,1.4562621476971451,0.39032555420877935,-0.12563665562012408,1.0401074970511197,-0.7352210112203342
SIDM00099,-0.9861573576752795,-1.0084150360417292,2.1315244285947155,-0.6848341184232638,-0.3682263674746022,-0.4857176350760171,-0.664888491473701,1.5321099819516868,-0.9310963478296433,3.0835986794985457,-0.8333194860816651,-0.7579681523589993,0.730435235902761,1.1183000584366198,-0.7418248837257705,-0.3504215227186855,1.3090374661974613,-0.707832762569119,0.14636681724410558,-0.10833882315444403,-0.941259289428282,2.317658230458302,1.1944519961582911,-0.4172876157406758,0.9909832295112327,-0.8190025154551893,1.0785031692984561,0.5303752071775979,-0.5447178782358835,1.3913734507760314,0.9218533015182859,-0.716647299961127,1.5149851252084459,-0.7378425029384489
SIDM00276,-1.041172038153631,-0.895889073069597,1.5121758071734541,-0.7250519622273041,-0.5671229670094732,-0.550590107487806,-0.6027094298006286,2.36207400431113,-0.8414981885609188,2.3544204479255693,-0.746897435184345,-0.7040866981894462,-0.30401293681990393,1.2233253735624234,-0.8288614501287506,-0.2002879073397255,0.744751413269993,-0.291662233369322,0.2254711177323484,0.7258131107069324,-0.8146932806670425,2.346940725517681,0.8930387746230045,-0.4998202066878157,2.040271361127568,-0.7374291336217897,1.5675141575100868,0.38933686711446447,-0.7064835889879285,0.6362584625626685,0.6921750808341133,-0.8224080980566286,0.26033688593317084,-0.6031481202996354
SIDM00311,-1.0436041070604043,-0.8959985994687122,1.9994451970580627,-0.09214185638545513,-0.3412602930013684,-0.6812345633654411,-0.6236913705144874,1.7909940388127852,-0.7985656866050742,2.68459558087305,-0.890795612668487,-0.717644579985994,0.6537605824375601,0.85270297034642,-0.824031108223632,-0.3450306760216383,0.9089791208703552,-0.2504845083900914,-0.025533507838564975,0.11735621719260164,-0.8556633023662306,2.0976104457794427,1.1730429342062763,-0.5646669414871395,1.6204151019459299,-0.8614606615577868,1.045127074596689,0.8987394979328024,-0.5264311610604268,0.9192757700573553,0.6546615390195951,-0.6746262642318164,1.0062576531817382,-0.7916314560162966
SIDM00970,-1.1030810126174604,-0.6257402665085056,1.6679272554772433,-0.34308867185501457,-0.6033198942180087,-0.5219932219807462,-0.6909808557896158,0.8909399810509051,-0.23433895823127793,1.6016855132683931,0.7660369300535632,-0.7672929655069621,-0.5895570161768897,1.7614821023427372,-0.8654036198887013,-0.5414590646633082,0.9902281274167455,-0.4596810237772891,-0.3327127015401909,0.5287864890982366,-0.968552653596801,1.1376148582872843,1.0678793497914434,-0.540978248179517,1.070461185531863,-0.7103197840609222,2.0497201855717564,-0.18120775920878462,-0.712358392026777,1.3891160276963317,0.36902157984190703,-0.7860219710602502,0.5652487445492047,-0.7677421774048283
SIDM00103,-1.093945434647633,-0.9581434065082836,1.5419966569361414,-0.21989784718254485,-0.00539592109203491,-0.6327146618625623,-0.6641962718514723,1.7591035089427938,-0.759401528931054,3.2403072619609756,-0.8516176730651153,-0.8495289678464018,1.0113237974228253,0.7890991445704951,-0.7479888058602321,-0.4986833789572336,0.9007110909353833,-0.4571370912959037,0.04376726540178239,0.08537839497276713,-0.780161650504091,1.9968084094611098,1.2373017769731087,-0.3442037827088978,0.8820539495646539,-0.8998894015822961,2.0455668880624756,0.8629439437778322,-0.6549780057520622,1.0724230462819488,0.78779480346346,-0.671105083596038,1.1224756744249806,-0.8285572294071577
SIDM00266,-0.9558380248765262,-0.9860215673156625,1.5103851422036285,-0.13855127447656013,-0.9299111135338657,-0.6408422478295971,-0.8332458881678341,1.6441918507937463,-0.802227384834589,0.9827131488357352,-0.7189755800033562,-0.7602631563970427,-0.040217909704459126,1.1549318504080535,-0.7634202700802952,-0.6968667280481383,-0.08543663747476345,-0.4461153527881236,0.26365949993119625,0.16064517167963166,-0.7428153152770443,1.7292172736553237,1.21729475347231,-0.2963173253948686,0.9305034845603436,-0.8288764583845744,0.8733610013613616,2.0470911719402562,-0.3868646324769637,0.8680902997428291,0.5126073147328589,-0.8521892603383948,1.98861610832394,-0.731926019784664
SIDM01064,-0.9980166550252431,-0.9035108585945131,1.900677309127898,-0.699529110798738,-0.5628623582369197,-0.5537646951378851,-0.5519350686662091,0.9665417016583816,-0.8874913331250825,0.8831830833968617,-0.8248682647370902,-0.884878795527299,-0.5001409307647425,1.1462783873335558,-0.7553494044310098,-0.17424352588958913,0.7785025927809701,-0.27363373801299434,0.04865877933139917,0.07455760640661989,-0.85662158655599,2.1588422740467856,1.5656091770532927,-0.33418077573379645,0.9777008807817232,-0.8246878617991287,0.7195328232104612,0.5562944967675992,0.36938707175041574,0.5996297061011965,0.3555260590381805,-0.8628862824449648,1.3195491695313266,-0.7680106137481115
SIDM00098,-0.9645500157950365,-0.941905731824115,2.015664790972788,-0.6773350994194494,-0.7241900019780061,-0.6864433531257456,-0.6496896782479581,2.3878226453383813,-0.8245711665358659,2.4529328174867073,-0.843520923879543,-0.7619858551236598,0.4153279726594751,0.8701744450017902,-0.8262446566868441,-0.23947971886009972,0.04588712499463033,-0.3917052937632675,0.8654953419251978,0.21411537645905052,-0.7942890791626916,1.7189293243349246,0.5708328768474252,-0.44954544106566985,1.5519528198241639,-0.8300532931199125,1.0711852260156054,-0.06712396339648302,-0.7282309391338031,0.5529338102418596,0.715344859851673,-0.33122976928054554,0.6479625076116248,-0.6477336080278076
SIDM00225,-0.9610915128630465,-0.7786705917180327,1.5843883858823948,-0.5350555554587701,-0.8840749321865744,-0.3624966141329671,-0.6593929816914156,1.3894426342121833,-0.6862809813809816,1.5424786943711981,-0.7941408516571524,-0.7042080476853828,-0.5181319461740125,0.4682531115377887,-0.8332301702403903,-0.2963888614178459,0.18678807305011236,-0.36831782739568003,0.7898569411622434,0.19932308671751262,-0.9160043418794783,2.367685923099549,0.5392951114087059,-0.3691535594875193,1.4903445737331245,-0.9147395402139565,0.7750328389528407,0.11894278972819745,-0.0783956722574432,0.6642795021328005,0.4317782711426235,-0.8137445732285914,0.6428251645832703,0.5642109017542243
SIDM00846,-1.0549934488951178,-0.9633278104662656,2.027104596637837,-0.7229855534822998,-0.453446178963741,-0.6771371303949906,-0.6272648032234476,1.0450570047919394,-0.786187955383187,1.4671236181454712,-0.7061451058812421,-0.668720314367255,1.3883201919184702,0.6047249334799277,-0.8004044176066496,-0.3780379634201786,1.021886594798679,-0.4019477319970248,0.7546821213541458,0.3194491609966372,-0.8024230042440352,2.2159728165757255,0.8517846709886618,-0.48755005949065877,2.2628503346044297,-0.8971445925661135,1.3179985710151865,0.7288666788899015,-0.7573128112802203,0.7073105262745991,0.5055644194734653,-0.7133093795395176,1.091654014315366,1.447485509858626
