,LSM5,MPHOSPH6,PATL1,EXOSC4,PNPT1,EXOSC2,XRN2,EXOSC5,LSM6,EXOSC1,EDC4,CNOT3,CNOT2,XRN1,PARN,C1D,PAPOLA,DDX6,DCP1A,ZCCHC7,ENO1,CNOT4,CNOT7,EXOSC8,HSPA9,LSM1,CNOT6L,EXOSC6,LSM7,LSM4,CNOT1,CNOT10,EXOSC7,LSM3,DIS3,ENO3,ENO2,CNOT6,LSM2,DCP2,HSPD1,EXOSC9,EXOSC10,EDC3,DCPS,DCP1B,CNOT8,PAPOLG
SIDM00519,1.0120751917997177,-0.4631573883128368,-0.0055540792547913425,1.513154486986465,1.3684974937070644,0.922367892407147,1.9714509124327262,0.48443479581822946,1.8033447636327464,2.1663789060362206,-0.6846482750343328,-0.547888104309206,1.1555123395530864,-0.4060886868266324,0.5681823011541609,0.19226644421166314,0.5096994347950307,-0.32172079849869906,0.6196455144331875,-0.479961520570137,3.3394096141079452,-0.5062087267708533,1.5748974197964585,1.8516872614363102,2.5482105460653934,1.7740597007535905,-0.6451987555167091,1.1159449073565242,2.3070764475544294,2.13039168799949,-0.38013983109175686,0.15870811288894557,-0.952782349111859,1.402706924994181,0.4504046788239929,-0.40687027975127665,-0.02464902215756948,1.2945249091072426,2.20853324940157,-0.6611658686603082,-0.09486814432930907,1.2551117851349982,0.34499596106963965,0.4300741868693509,1.527178486106556,-0.5856232455284045,1.136989946183492,0.34937518164156595
SIDM00917,0.6933565666721413,-0.7870704313199931,0.06662761743370858,1.3358305624384301,1.6684975314324437,0.278556944538353,1.3914471156316808,1.3085538531419019,2.625313556391024,2.3514379228254927,-0.534332597399899,-0.5080220524570722,1.3291145804997226,0.683352237902917,0.5913030294542035,0.3795468525824024,1.1072206542476228,-0.32736908647775154,1.6322744616260265,0.7938493344334105,3.3607177271714765,-0.35699241043393715,1.7049888397677326,2.075573891638411,2.7472011569972588,1.546192249367505,-0.7223050059617127,1.1637409566955486,2.180899624308268,1.4287568112494373,-0.01736528463747181,0.8719014462243754,-0.9843538536901542,1.598190502761072,1.030773932985631,-0.20818022390694546,1.1702572970822882,0.9877108781719243,2.388468330412775,-0.17503771982322286,-0.06654603551776955,1.8179269898167991,0.660810654681139,0.5680012033215907,2.000900099645123,0.40601090442754023,0.9064068966272224,0.7901946522515786
SIDM00309,0.8907128788143769,-0.02935101673826095,0.017939286249349533,1.0847990385142752,1.6976858996174056,0.30380475031899873,1.169000255893791,0.9337033943231674,1.7910094547408935,1.9688007783222965,-0.5315842271730374,-0.6052235958881487,1.2211853027571415,-0.05175573709847723,0.6018600019508734,0.13326481221672393,0.7554133077464811,-0.4263313205833346,0.9780386305466332,-0.5445747863305046,3.4241012094564334,-0.6177396405700459,1.6118199883506932,1.810413841833401,2.5456486056876395,1.8285954456376463,-0.5302755825457024,1.5300970350047247,2.217212441008869,2.1593447698263173,-0.19139951237302458,0.7214128562294038,-0.964142701784999,2.019576946817147,0.5579890476654741,-0.6672755618657508,0.05580135471598455,1.3429907260834166,2.0796247000960664,-0.5288439625365157,-0.019374039279086985,1.4425962800925196,0.30828514180934413,0.11864823572067364,1.5014338126767415,-0.1527169379072408,0.9355206783095884,0.16695831841049025
SIDM00099,0.8376661591571762,-0.8323261661487136,0.04237438665210424,1.115378937722243,1.1726795667042573,0.7006271920076822,1.7122794465840105,0.9064512524899617,1.828978288108322,2.248043002144481,-0.5887457297723677,-0.41801190895756046,1.428030299175046,0.15324887438804133,0.31785845034135857,0.1328749987283873,1.391726971551213,-0.28147600092463476,0.9188827269454545,-0.4372448114914781,3.179472929765802,-0.38199319999952824,1.9683414156976393,1.731286659093357,2.6874680397531043,1.8318399468135018,-0.3858331732368598,0.9601855614329081,2.3787315603367563,1.999773900953191,-0.3938703475599045,0.9370002096097874,-0.8974713540789795,1.699560945553983,0.3174452139841184,-0.4209744967471994,0.391804853417168,1.134156403588143,2.0807921719659346,-0.6750154400640846,-0.20527175440015347,1.3235641880585625,0.5059846352174152,0.49506125422044567,1.0031769529469547,0.40477399393682584,1.1325086306675785,0.3915010805988699
SIDM00276,0.8493977819350337,-0.39793172782121533,0.3088141040112141,1.5974535175569162,0.8710507164144213,0.4437555057049591,1.4636016395533342,0.9409333769999643,2.360558307074095,2.0750915209626455,-0.7183716749080575,-0.5836306102076024,1.063377666891216,-0.7394144365679923,0.23060687158636012,0.23244555343045858,0.9543695602656013,-0.109032206753682,0.8207818922609474,-0.5813237744320581,3.5647231299674456,-0.5647161999747582,1.688373600678387,1.7598817280166639,1.8139590476969576,1.4190808755464202,-0.6334087193979707,1.6714944252952166,1.9358514445613222,2.3437685883875803,-0.3039626082404251,0.40075611334921885,-0.965728351860735,1.8715110379360007,-0.1991237274755602,-0.6716898971116653,-0.26729516414635845,0.9690373093442229,2.3911452133227606,-0.7470008588206286,-0.3074396655726799,1.3362085693623889,0.7524755513998511,0.6819158108256235,1.8939215012135553,-0.6253201423391771,1.0031237664684094,0.15696384734384686
SIDM00311,0.933379240196432,-0.18524373961357168,0.17904067488579803,1.3952397659523157,1.7368406891271195,1.085971128283162,1.788229611234603,1.0945239506746418,2.2257700149456094,1.9925169650338004,-0.5811477886155926,-0.5977236447777284,1.159081910890596,-0.14745627376762788,0.3335993527115759,-0.14793662899305896,0.9769917042402511,-0.3211957298005148,1.3214869112555125,-0.34915631119102597,3.7120285392827914,-0.5620948768608984,1.6771564331117665,1.5886130395738718,2.491535282743207,1.9102108393524253,-0.5948658627037805,1.8923483200931746,2.0743646175423365,2.013102611659283,-0.19705246988859332,0.8992853754907317,-0.9589199175600024,1.4954823685435532,0.355801401671335,-0.7884630118412129,0.6074517070316661,1.2808329408622374,2.4585052889679337,-0.6339230147608614,-0.20540861106421013,1.8042276350494946,0.7409231297310385,0.6794260345575249,1.2233295600833598,-0.2366790674015004,1.2318287698948784,0.044256150509042906
SIDM00970,1.0736343997152868,-0.08779362621087433,-0.03006583865934517,1.8045686982330382,1.2380590149827144,0.9999738544216944,1.7859070204413392,1.3961448686351305,2.555115514674215,1.5363678738622248,-0.7345062612613631,-0.26984940237832333,1.5048766221445062,-0.20872870379211178,0.3287360267510105,0.06019751674233066,1.3981289455790205,-0.29996441868227447,1.425245269999305,-0.4909271654490417,3.3890189717594286,-0.5175398340742445,2.0708259451462356,1.7886678510382248,1.9691348930527977,1.7828282323459794,-0.5195003936988906,1.6932269886032207,2.5276302373635584,2.0792505165754434,0.04247092548283126,0.7777609872776166,-0.8634352512604399,2.0365413861881896,0.7196954138829331,-0.7345239099047823,0.12989885613225666,1.1343419407765822,2.4522783914535986,-0.7563585484929992,-0.23869145954338722,1.36322288091124,0.8627624826622239,0.28292302679360903,1.5272210781855635,-0.1874822639437801,0.7150417116286043,0.30400243655068854
SIDM00103,0.8463021298900462,0.009025829543190478,0.4040062967810413,1.4308719865751784,1.2619007639709,0.8674786304308658,1.857592962404162,1.1403477500558736,2.1047514443309487,2.1152168220271523,-0.6056910181775079,-0.5203073671637846,1.2779024660415683,0.03552955648536462,0.5615594028189679,0.2659145165358264,1.2561253675566184,-0.4454892642194845,1.0638078435745988,-0.21197193139696127,3.193379733591826,-0.5555122118432391,1.8656071543362143,1.6210447667773815,2.6101140871652246,1.4106764458376395,-0.6951276232118909,1.5438240386516007,1.9964748582436311,1.8017052726853555,-0.16035927709306227,0.3259448781881982,-0.9366141543756055,1.6456133472165408,0.7709062972669967,-0.6462468734654875,-0.018561000399530316,0.2460196553984734,1.9587300163223238,-0.8596484448053717,-0.23681103590246652,1.8711369269350917,0.4717982629655374,0.49551079570754586,0.6647032942368664,-0.3994352449108031,0.8526053186564152,0.2214317578691705
SIDM00266,1.1534416780513959,-0.3583920704794209,-0.0249546654579648,2.2095990197142,1.575711373713599,1.0151901025889631,2.025329517959268,1.5949058926251256,2.2139603119850118,2.232653988636645,-0.5728257892715615,-0.5768756668229995,1.1092942382789464,-0.24711408459998574,0.3438497119864377,0.02531008088742232,1.7048112710578103,-0.3705939650228566,1.1400239452222931,-0.11454411364960741,3.3994390419649667,-0.6641628367984413,1.4973877999684255,2.223842063544651,2.9456451977724267,1.7404664838396764,-0.34879296454499914,1.222582448226058,2.0716943362809075,2.1697941172027404,-0.3422743991752319,1.043528183602496,-0.8579902280870356,1.6700835248790076,0.432684632754244,-0.2132167679018919,0.8851543432436291,1.5372060200422752,2.3988946292602,-0.40215947471230096,-0.04273185326228324,1.9428894204555014,0.9398060061304392,0.504430389043935,1.420471648915704,-0.2909000545227323,1.1344633664423924,0.509659516063881
SIDM01064,0.7018133399229052,-0.335513585479288,0.17769213194170722,1.3558524608866311,1.5573252105989415,1.073251049558058,1.286967680393321,1.4709773655101006,2.6993255817223747,2.0597503092666085,-0.485968322384077,-0.5586779967924027,1.2367965954342992,0.37475891644634984,0.8898589521969787,0.79175878402862,1.1111592062939877,-0.007632265810787138,1.2985779846165442,-0.11376824103637863,3.4641040654964903,-0.3823123144947706,1.3411064928923009,2.4726906715696897,2.3541266566544077,1.4293893770050667,-0.06955128676027067,0.9158147592153892,2.4107379191040286,2.1197418993628085,-0.22790596093847199,0.9973905095397166,-0.902720601210456,1.9259348208266824,0.91770215743502,1.5659396122272426,1.4671430501240004,1.8634936169673317,2.595051501392722,-0.6527203700960761,-0.22907226106105139,2.0350630873436777,1.1652909727881942,0.47431029934472535,2.1951444541250695,0.56451498315385,0.6166424661060981,1.0017745149468753
