"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,5.906604,1
"2","Cisplatin","SIDM01114",2.006427,3.3997397,1
"3","WIKI4","SIDM00244",3.914198,4.4515567,1
"4","BMS-536924","SIDM00537",1.733863,1.9836061,1
"5","Bortezomib","SIDM01093",-4.115848,-4.290147,1
"6","MK-1775","SIDM00094",1.91712,2.9186127,1
"7","LY2109761","SIDM00539",5.400771,5.113101,1
"8","LGK974","SIDM01233",3.895076,4.49838,1
"9","GDC0810","SIDM00496",4.965005,4.597885,1
"10","Sorafenib","SIDM00551",2.384396,3.4248655,1
"11","BMS-536924","SIDM01093",3.1085975,2.4779754,1
"12","Bortezomib","SIDM01161",-4.938108,-4.7701087,1
"13","LGK974","SIDM00520",3.924767,4.458013,1
"14","Fulvestrant","SIDM00136",3.78035033333333,4.309164,1
"15","Entospletinib","SIDM00244",1.924032,4.6784897,1
"16","MIM1","SIDM01175",4.770428,3.1470542,1
"17","Oxaliplatin","SIDM00561",1.8525435,3.0793993,1
"18","Epirubicin","SIDM00565",-0.311385,0.68024206,1
"19","VE821","SIDM01090",3.11085,2.6855733,1
"20","Dinaciclib","SIDM00291",-2.624957,-1.9453654,1
"21","Cediranib","SIDM00837",1.05822,3.4980803,1
"22","Vorinostat","SIDM01187",1.608329,3.0610127,1
"23","Buparlisib","SIDM00077",0.013728,1.9055772,1
"24","Cisplatin","SIDM00064",1.76325366666667,3.814453,1
"25","PCI-34051","SIDM00332",5.746768,4.492057,1
"26","Vinblastine","SIDM00174",-4.4932405,-3.6018112,1
"27","IWP-2","SIDM00793",2.146301,2.328758,1
"28","VX-11e","SIDM00758",1.657313,3.1126807,1
"29","LY2109761","SIDM00837",4.501555,5.1341343,1
"30","Nilotinib","SIDM01247",1.1534605,1.7668883,1
"31","Linsitinib","SIDM00699",2.579066,2.5619452,1
"32","AT13148","SIDM00537",2.842459,3.9901628,1
"33","Cisplatin","SIDM00120",2.25017733333333,4.248808,1
"34","BMS-345541","SIDM00719",5.569043,3.8172538,1
"35","WIKI4","SIDM01229",4.344849,4.273986,1
"36","Oxaliplatin","SIDM00539",4.1511535,5.716023,1
"37","BMS-345541","SIDM00332",4.2296025,3.7219055,1
"38","Niraparib","SIDM01161",4.115739,4.1040688,1
"39","Cyclophosphamide","SIDM00561",4.404114,3.8831856,1
"40","Luminespib","SIDM00699",-0.6123465,0.9873947,1
"41","Obatoclax Mesylate","SIDM00094",1.1680755,4.1138363,1
"42","AT13148","SIDM00758",3.034989,3.938794,1
"43","PCI-34051","SIDM00244",2.471069,4.213954,1
"44","Entospletinib","SIDM01161",3.186478,4.646081,1
"45","Crizotinib","SIDM01247",1.223581,2.575865,1
"46","Dasatinib","SIDM01161",-3.3886935,-0.85715437,1
"47","Fulvestrant","SIDM00565",4.18899233333333,3.669575,1
"48","AZD7762","SIDM01175",2.46670966666667,-0.48323402,1
"49","Irinotecan","SIDM00539",3.010363,5.152317,1
"50","CZC24832","SIDM01114",3.823074,4.7497387,1
"51","MK-8776","SIDM00699",4.530687,3.339527,1
"52","AZD8186","SIDM00837",1.471513,2.828187,1
"53","BIBR-1532","SIDM01114",4.037107,5.364303,1
"54","Vinblastine","SIDM00699",-2.907739,-2.5753863,1
"55","OF-1","SIDM00537",4.217272,4.576419,1
"56","PCI-34051","SIDM01233",4.978184,5.283055,1
"57","OF-1","SIDM00565",4.979893,4.199651,1
"58","MIRA-1","SIDM00793",4.095742,4.2463307,1
"59","CZC24832","SIDM00174",3.977655,4.9427657,1
"60","WZ4003","SIDM00551",2.017036,4.482635,1
"61","Sorafenib","SIDM01175",5.0521495,2.8616996,1
"62","VE-822","SIDM01090",3.316805,4.2294044,1
"63","Dabrafenib","SIDM00291",1.8860145,2.4724975,1
"64","I-BET-762","SIDM00064",3.430299,4.4191875,1
"65","Camptothecin","SIDM00537",-3.133379,-1.0993557,1
"66","Alpelisib","SIDM00699",4.345543,3.8214366,1
"67","Axitinib","SIDM00332",-0.0051045,5.089231,1
"68","GSK2606414","SIDM01093",3.633744,4.4525023,1
"69","MK-1775","SIDM00719",2.743954,2.157265,1
"70","VE821","SIDM01233",5.84664,4.110964,1
"71","Obatoclax Mesylate","SIDM00539",1.778222,4.212935,1
"72","Lapatinib","SIDM00539",0.913972,2.7759187,1
"73","VX-11e","SIDM01229",2.402507,2.9112418,1
"74","Pevonedistat","SIDM01175",4.3406435,0.8201258,1
"75","AZD7762","SIDM01247",-1.898701,-1.507797,1
"76","Temozolomide","SIDM00094",5.9999665,6.8041515,1
"77","GSK343","SIDM01233",5.1984295,4.960407,1
"78","I-BRD9","SIDM01187",5.630752,5.1807714,1
"79","Daporinad","SIDM00517",-6.723251,2.4182417,1
"80","EPZ5676","SIDM00517",6.292871,6.3508167,1
"81","Uprosertib","SIDM00120",5.593971,3.6243255,1
"82","MIM1","SIDM00077",3.948924,3.341852,1
"83","Irinotecan","SIDM00551",1.099242,4.6442604,1
"84","EPZ004777","SIDM00064",5.539148,5.701454,1
"85","PFI3","SIDM00517",5.774298,5.445722,1
"86","OF-1","SIDM00136",4.818226,4.721199,1
"87","Vinorelbine","SIDM00496",-3.901771,-1.775964,1
"88","5-Fluorouracil","SIDM00719",6.5891225,4.649123,1
"89","Foretinib","SIDM01233",1.689614,3.402393,1
"90","Linsitinib","SIDM00517",2.102586,2.1905851,1
"91","Cyclophosphamide","SIDM00332",6.559315,4.9954095,1
