"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,0.7942466,1
"2","Cisplatin","SIDM01114",2.006427,2.7930532,1
"3","WIKI4","SIDM00244",3.914198,-0.7828399,1
"4","BMS-536924","SIDM00537",1.733863,-0.9924757,1
"5","Bortezomib","SIDM01093",-4.115848,2.6075516,1
"6","MK-1775","SIDM00094",1.91712,-0.35761356,1
"7","LY2109761","SIDM00539",5.400771,4.7652006,1
"8","LGK974","SIDM01233",3.895076,3.6857574,1
"9","GDC0810","SIDM00496",4.965005,3.2899973,1
"10","Sorafenib","SIDM00551",2.384396,-0.22499986,1
"11","BMS-536924","SIDM01093",3.1085975,0.09273169,1
"12","Bortezomib","SIDM01161",-4.938108,-0.34783918,1
"13","LGK974","SIDM00520",3.924767,3.4558742,1
"14","Fulvestrant","SIDM00136",3.78035033333333,-1.8690783,1
"15","Entospletinib","SIDM00244",1.924032,-3.5994694,1
"16","MIM1","SIDM01175",4.770428,4.120612,1
"17","Oxaliplatin","SIDM00561",1.8525435,1.1694984,1
"18","Cisplatin","SIDM00064",1.76325366666667,3.2932515,1
"19","LY2109761","SIDM00837",4.501555,4.0406785,1
"20","Cisplatin","SIDM00120",2.25017733333333,3.505644,1
"21","WIKI4","SIDM01229",4.344849,1.7604412,1
"22","MK-1775","SIDM00381",0.971567,0.05840276,1
"23","Oxaliplatin","SIDM00539",4.1511535,2.8969495,1
"24","WIKI4","SIDM00056",3.873413,-0.061910316,1
"25","MIM1","SIDM00042",3.76392,2.9319718,1
"26","MIRA-1","SIDM00817",5.042824,2.324035,1
"27","LGK974","SIDM01126",3.0547295,3.3715029,1
"28","Entospletinib","SIDM00375",4.530611,-2.6599593,1
"29","Cisplatin","SIDM01197",5.91721833333333,3.1227643,1
"30","Cisplatin","SIDM00842",2.67653266666667,2.915893,1
"31","BMS-536924","SIDM01095",-0.1175565,-1.144078,1
"32","BMS-536924","SIDM00202",0.331521333333333,-3.2609699,1
"33","GDC0810","SIDM00540",5.695754,3.0070856,1
"34","WIKI4","SIDM00377",4.253178,2.074392,1
"35","MIRA-1","SIDM00896",3.206583,0.5051622,1
"36","LGK974","SIDM00230",3.247925,2.8367207,1
"37","Entospletinib","SIDM00407",0.132074,-1.9256117,1
"38","GDC0810","SIDM00091",6.973783,3.5978339,1
"39","Fulvestrant","SIDM00196",3.37484533333333,2.171209,1
"40","Sorafenib","SIDM00377",3.169837,1.9843667,1
"41","Entospletinib","SIDM01161",3.186478,-3.2292855,1
"42","MK-1775","SIDM00792",0.563692,0.6683623,1
"43","Oxaliplatin","SIDM00550",5.7256415,2.3748353,1
"44","Oxaliplatin","SIDM00287",1.0486,0.024640761,1
"45","MK-1775","SIDM01140",-0.266866,-2.1994026,1
"46","LY2109761","SIDM00317",7.386086,5.8665743,1
"47","Fulvestrant","SIDM00565",4.18899233333333,0.9792173,1
"48","BMS-536924","SIDM01146",2.648853,-0.91936296,1
"49","Cisplatin","SIDM00003",3.28203,2.1731188,1
"50","WIKI4","SIDM00842",3.679508,1.5703018,1
"51","Fulvestrant","SIDM01197",4.60808466666667,0.29006526,1
"52","LY2109761","SIDM00835",6.28493,5.260702,1
"53","LY2109761","SIDM00688",3.231947,3.2240438,1
"54","Fulvestrant","SIDM00154",3.34695333333333,-0.54843193,1
"55","Oxaliplatin","SIDM00953",3.4108355,0.23687753,1
"56","MIRA-1","SIDM00793",4.095742,2.356215,1
"57","Sorafenib","SIDM00974",1.369742,1.7449341,1
"58","LGK974","SIDM00346",2.4880465,1.3722646,1
"59","Cisplatin","SIDM00216",2.102376,2.2250054,1
"60","Sorafenib","SIDM01175",5.0521495,3.030808,1
"61","Sorafenib","SIDM00324",1.6373965,0.92237836,1
"62","MIRA-1","SIDM01205",4.267002,1.4619393,1
"63","GDC0810","SIDM00834",4.574205,3.931732,1
"64","Bortezomib","SIDM00411",-3.866131,2.8982942,1
"65","Entospletinib","SIDM00182",3.681224,-0.84082127,1
"66","Bortezomib","SIDM00328",-3.679071,2.1506855,1
"67","LY2109761","SIDM01064",5.144615,4.14999,1
"68","Oxaliplatin","SIDM00252",5.741103,3.4229705,1
"69","MK-1775","SIDM00719",2.743954,1.5578953,1
"70","LY2109761","SIDM00195",6.166521,4.317944,1
"71","Cisplatin","SIDM01140",0.8183185,1.8078345,1
"72","LGK974","SIDM00655",2.6276195,2.89371,1
"73","Oxaliplatin","SIDM00251",3.969453,1.6544869,1
"74","Oxaliplatin","SIDM00309",4.0868735,2.3843195,1
"75","BMS-536924","SIDM00606",4.2037495,0.23215574,1
"76","LGK974","SIDM00156",2.9715695,2.9985378,1
"77","MIM1","SIDM00077",3.948924,2.9401019,1
"78","WIKI4","SIDM00121",3.710353,-1.1998159,1
"79","Sorafenib","SIDM00631",3.021151,0.23458517,1
"80","Cisplatin","SIDM00577",1.556485,2.8064592,1
"81","Cisplatin","SIDM00530",3.66276733333333,2.5093224,1
"82","GDC0810","SIDM00444",5.8931,3.420503,1
"83","Cisplatin","SIDM00316",2.198929,2.884125,1
"84","GDC0810","SIDM00375",5.476823,3.2375445,1
"85","LGK974","SIDM00438",3.2050435,3.1333473,1
"86","Bortezomib","SIDM00266",-4.999663,-1.044913,1
"87","WIKI4","SIDM00472",3.497884,1.6391658,1
"88","Oxaliplatin","SIDM00003",4.0931755,0.56910026,1
"89","Entospletinib","SIDM00577",4.895605,-1.4072102,1
"90","Fulvestrant","SIDM00813",3.984098,1.5318564,1
"91","Sorafenib","SIDM00976",4.695765,0.07915455,1
"92","MK-1775","SIDM00543",0.342718,-0.3715467,1
"93","LY2109761","SIDM00975",3.761119,4.049761,1
"94","LGK974","SIDM00496",3.1396395,2.2949717,1
"95","Oxaliplatin","SIDM00488",6.628916,2.6550238,1
"96","Oxaliplatin","SIDM00832",4.5897575,3.1768844,1
"97","Entospletinib","SIDM00056",2.671582,-3.5581777,1
"98","WIKI4","SIDM00418",3.522113,3.6044462,1
