"","drug","cell_line","IC50","prediction","fold"
"1","MIRA-1","SIDM00517",6.073941,4.954998,1
"2","Cisplatin","SIDM01114",2.006427,1.9045229,1
"3","WIKI4","SIDM00244",3.914198,3.1115134,1
"4","BMS-536924","SIDM00537",1.733863,1.0157855,1
"5","Bortezomib","SIDM01093",-4.115848,-0.11313058,1
"6","MK-1775","SIDM00094",1.91712,1.2081264,1
"7","LY2109761","SIDM00539",5.400771,5.701159,1
"8","LGK974","SIDM01233",3.895076,3.7134616,1
"9","GDC0810","SIDM00496",4.965005,5.059414,1
"10","Sorafenib","SIDM00551",2.384396,1.6576707,1
"11","BMS-536924","SIDM01093",3.1085975,2.031182,1
"12","Bortezomib","SIDM01161",-4.938108,-2.5388339,1
"13","LGK974","SIDM00520",3.924767,3.9443884,1
"14","Fulvestrant","SIDM00136",3.78035033333333,1.85489,1
"15","Entospletinib","SIDM00244",1.924032,1.4432578,1
"16","MIM1","SIDM01175",4.770428,4.5908184,1
"17","Oxaliplatin","SIDM00561",1.8525435,2.8472984,1
"18","Epirubicin","SIDM00565",-0.311385,-1.3332602,1
"19","VE821","SIDM01090",3.11085,3.4893177,1
"20","Dinaciclib","SIDM00291",-2.624957,-0.8310643,1
"21","Cediranib","SIDM00837",1.05822,1.4397798,1
"22","Vorinostat","SIDM01187",1.608329,2.6333396,1
"23","Buparlisib","SIDM00077",0.013728,1.0445067,1
"24","Cisplatin","SIDM00064",1.76325366666667,2.1589463,1
"25","PCI-34051","SIDM00332",5.746768,4.9155016,1
"26","Vinblastine","SIDM00174",-4.4932405,-2.9840481,1
"27","IWP-2","SIDM00793",2.146301,2.8316033,1
"28","VX-11e","SIDM00758",1.657313,3.2794845,1
"29","LY2109761","SIDM00837",4.501555,5.2043533,1
"30","Nilotinib","SIDM01247",1.1534605,1.6227025,1
"31","Linsitinib","SIDM00699",2.579066,4.2392244,1
"32","AT13148","SIDM00537",2.842459,3.2007244,1
"33","Cisplatin","SIDM00120",2.25017733333333,2.917238,1
"34","BMS-345541","SIDM00719",5.569043,4.81425,1
"35","WIKI4","SIDM01229",4.344849,3.7047138,1
"36","GSK1904529A","SIDM00287",2.695081,2.8749626,1
"37","XAV939","SIDM00964",2.5174255,3.7414439,1
"38","AZD8186","SIDM00098",3.6110575,2.921306,1
"39","Alpelisib","SIDM00309",4.972602,3.4022086,1
"40","Navitoclax","SIDM00381",3.9914675,3.160054,1
"41","Nutlin-3a (-)","SIDM00885",4.1170585,4.695649,1
"42","MK-1775","SIDM00381",0.971567,1.1135683,1
"43","Oxaliplatin","SIDM00539",4.1511535,4.709773,1
"44","SCH772984","SIDM00826",-2.371284,1.8035097,1
"45","WIKI4","SIDM00056",3.873413,3.383497,1
"46","AMG-319","SIDM00351",4.381102,4.799142,1
"47","MIM1","SIDM00042",3.76392,4.0399413,1
"48","Luminespib","SIDM00655",-3.239524,-2.9269578,1
"49","MIRA-1","SIDM00817",5.042824,5.003436,1
"50","BIBR-1532","SIDM01159",4.30429,5.0227094,1
"51","Alpelisib","SIDM00263",1.009765,2.1636214,1
"52","Vinorelbine","SIDM01006",-5.701762,-2.0446496,1
"53","Venetoclax","SIDM00388",3.261062,1.2614564,1
"54","Pictilisib","SIDM00542",2.492094,2.7542222,1
"55","Irinotecan","SIDM00111",2.03566,2.592777,1
"56","LGK974","SIDM01126",3.0547295,3.3976915,1
"57","Dabrafenib","SIDM00201",4.4734655,2.38418,1
"58","AZD7762","SIDM00346",-0.446281,-1.4714636,1
"59","Leflunomide","SIDM00859",4.32032,3.3322809,1
"60","Wnt-C59","SIDM00534",2.810193,3.3344834,1
"61","WEHI-539","SIDM00203",3.061166,2.479061,1
"62","OTX015","SIDM00974",3.725203,2.1891975,1
"63","Dinaciclib","SIDM00976",-3.108552,-0.8962675,1
"64","Ibrutinib","SIDM00411",5.899052,6.145458,1
"65","Sepantronium bromide","SIDM00042",-5.8211975,-3.5397518,1
"66","Dactinomycin","SIDM00632",-5.825258,-0.7721339,1
"67","CZC24832","SIDM00540",5.488764,4.073115,1
"68","VX-11e","SIDM00096",2.2575585,1.4546574,1
"69","Wnt-C59","SIDM00612",4.5870045,4.38019,1
"70","BMS-754807","SIDM00216",-1.291566,0.94496167,1
"71","Sabutoclax","SIDM00308",-1.98858,-1.4590788,1
"72","Wee1 Inhibitor","SIDM00489",0.980307,1.5815935,1
"73","Ruxolitinib","SIDM00599",4.3168945,3.3041022,1
"74","Rapamycin","SIDM00542",-1.799362,-1.5354581,1
"75","GSK2578215A","SIDM00218",7.581259,7.3605175,1
"76","ML323","SIDM00951",2.854192,2.851021,1
"77","PLX-4720","SIDM00958",2.60725733333333,2.5759041,1
"78","AGI-6780","SIDM00579",2.1536795,2.2678263,1
"79","VX-11e","SIDM00197",3.5317465,4.096158,1
"80","Uprosertib","SIDM00417",4.6382995,3.7057912,1
"81","Ipatasertib","SIDM00596",5.244861,3.8888807,1
"82","Foretinib","SIDM00410",0.6407845,1.6340716,1
"83","Wee1 Inhibitor","SIDM00003",1.012738,1.4059529,1
"84","BMS-345541","SIDM00332",4.2296025,3.6924033,1
"85","IWP-2","SIDM00422",2.032252,2.4147446,1
"86","Leflunomide","SIDM00427",4.257889,4.1169915,1
"87","Gefitinib","SIDM01228",0.2812125,2.2364051,1
"88","Entospletinib","SIDM00375",4.530611,2.3378649,1
"89","Dactolisib","SIDM00504",-3.410548,-2.4522545,1
"90","Nilotinib","SIDM01160",3.765993,3.7084358,1
"91","Alpelisib","SIDM00962",4.46513,1.6305296,1
"92","Dabrafenib","SIDM00826",-0.075091,2.7284677,1
"93","Cisplatin","SIDM01197",5.91721833333333,3.5134227,1
"94","Cisplatin","SIDM00842",2.67653266666667,1.9785622,1
"95","PD173074","SIDM00259",3.424969,0.68804413,1
"96","Niraparib","SIDM01161",4.115739,4.126739,1
"97","WZ4003","SIDM00632",2.238154,3.3276296,1
"98","Daporinad","SIDM01245",-6.725857,-5.1364317,1
"99","Afuresertib","SIDM00127",1.532706,2.2817688,1
"100","Trametinib","SIDM00234",-0.684452,1.0271943,1
"101","Navitoclax","SIDM00197",-2.674453,0.84245914,1
"102","Trametinib","SIDM00600",-3.9769335,0.097406246,1
"103","BMS-536924","SIDM01095",-0.1175565,0.88743323,1
"104","PD0325901","SIDM00638",0.9421035,0.80286294,1
"105","AZD7762","SIDM01183",0.205513666666667,0.17675653,1
"106","Dasatinib","SIDM00488",-0.674317,0.45715705,1
"107","Cyclophosphamide","SIDM00561",4.404114,3.435164,1
"108","Navitoclax","SIDM00362",1.79578,0.012358256,1
"109","PD173074","SIDM00935",2.8530415,-0.034268163,1
"110","Osimertinib","SIDM00549",0.792496,1.7582765,1
"111","Luminespib","SIDM00699",-0.6123465,-0.6727431,1
"112","Cediranib","SIDM00491",3.399394,3.0177724,1
"113","Dinaciclib","SIDM00343",-2.027895,1.570718,1
"114","BMS-536924","SIDM00202",0.331521333333333,0.36605242,1
"115","Gefitinib","SIDM00266",2.5749515,1.3943343,1
"116","Buparlisib","SIDM00638",0.366617,1.968853,1
"117","Afuresertib","SIDM00968",2.512336,2.7264535,1
"118","PRT062607","SIDM00393",2.385608,3.434308,1
"119","Cediranib","SIDM00350",2.2844,2.4376957,1
"120","PFI3","SIDM00362",3.486362,2.60794,1
"121","CZC24832","SIDM01007",3.507873,3.4961076,1
"122","ABT737","SIDM00202",-2.39304,2.2914095,1
"123","Ibrutinib","SIDM01120",5.42526,3.6835237,1
"124","Talazoparib","SIDM00260",5.934196,4.0310216,1
"125","AMG-319","SIDM00448",4.236596,4.389536,1
"126","CZC24832","SIDM00211",2.866025,3.0434506,1
"127","MK-2206","SIDM00243",-0.0307494999999999,1.9486593,1
"128","Linsitinib","SIDM00410",3.46691,3.4168966,1
"129","BMS-345541","SIDM00201",2.1755675,2.488986,1
"130","Ruxolitinib","SIDM00781",5.242806,5.185663,1
"131","Venetoclax","SIDM00808",1.713215,1.2523534,1
"132","GSK591","SIDM00427",4.140573,2.5565376,1
"133","VX-11e","SIDM00424",2.413135,2.8567286,1
"134","Ulixertinib","SIDM00274",1.6454695,3.605693,1
"135","GSK2578215A","SIDM00114",6.25368,6.2858953,1
"136","Erlotinib","SIDM01133",4.309572,2.362662,1
"137","Olaparib","SIDM00875",2.91205033333333,3.3850214,1
"138","GDC0810","SIDM00540",5.695754,4.897326,1
"139","Ipatasertib","SIDM01149",2.057895,2.6085649,1
"140","Vorinostat","SIDM00444",1.80079,0.86741954,1
"141","Talazoparib","SIDM00418",2.9362455,3.0567076,1
"142","Dabrafenib","SIDM00680",5.525158,3.128925,1
"143","Entinostat","SIDM01140",0.385456,0.2030904,1
"144","Luminespib","SIDM00951",-3.966141,-4.486756,1
"145","Obatoclax Mesylate","SIDM00094",1.1680755,0.7457517,1
"146","Cyclophosphamide","SIDM01259",5.129478,3.6606283,1
"147","Palbociclib","SIDM00599",3.0441155,2.2629955,1
"148","AZD6738","SIDM00420",2.4414755,3.1983066,1
"149","Nutlin-3a (-)","SIDM00527",2.238203,3.051514,1
"150","Linsitinib","SIDM00832",3.7264865,3.5244548,1
"151","Pictilisib","SIDM00227",1.03166633333333,2.1688728,1
"152","Ulixertinib","SIDM00835",3.2002795,4.234541,1
"153","Entinostat","SIDM00501",2.45602,2.968453,1
"154","MN-64","SIDM00814",5.15109,3.3087816,1
"155","Uprosertib","SIDM00176",3.2102975,2.933452,1
"156","Savolitinib","SIDM00422",1.949934,2.1877477,1
"157","Dabrafenib","SIDM00389",3.288884,1.6328299,1
"158","AZD4547","SIDM00817",3.81219666666667,3.5139978,1
"159","NVP-ADW742","SIDM00550",1.679199,2.482998,1
"160","Wnt-C59","SIDM00047",4.068933,3.0808218,1
"161","Palbociclib","SIDM00638",4.2234255,2.4514415,1
"162","XAV939","SIDM00316",4.2158325,4.5327487,1
"163","Cytarabine","SIDM00974",-0.0426374999999999,0.057966292,1
"164","IWP-2","SIDM00864",2.35505,2.7728546,1
"165","Taselisib","SIDM00627",-0.696875,-0.34579235,1
"166","Dasatinib","SIDM00251",4.14583,2.531629,1
"167","Sabutoclax","SIDM00577",-2.165106,-1.1557832,1
"168","WIKI4","SIDM00377",4.253178,4.204755,1
"169","Sepantronium bromide","SIDM00047",-5.463869,-3.9832027,1
"170","PFI3","SIDM00846",5.050288,4.527631,1
"171","AGI-6780","SIDM01042",2.189475,1.7430438,1
"172","WEHI-539","SIDM00528",4.668635,3.1264908,1
"173","Daporinad","SIDM01155",-1.381173,-2.794628,1
"174","Gefitinib","SIDM00205",1.0962685,1.9138367,1
"175","MIRA-1","SIDM00896",3.206583,2.7221029,1
"176","VE-822","SIDM01095",1.836412,2.3673413,1
"177","LGK974","SIDM00230",3.247925,3.342969,1
"178","Luminespib","SIDM00465",-2.04523,-2.8094175,1
"179","Gemcitabine","SIDM00535",-1.66712733333333,0.13388956,1
"180","AZD3759","SIDM00384",1.73871,2.1728842,1
"181","Luminespib","SIDM00129",-1.9222365,-3.469455,1
"182","Dasatinib","SIDM01174",3.357426,2.673914,1
"183","AT13148","SIDM00241",2.059037,1.7821465,1
"184","RVX-208","SIDM00214",5.345416,5.231414,1
"185","I-BRD9","SIDM00261",3.161915,2.4075067,1
"186","Venetoclax","SIDM00951",2.499558,1.1328804,1
"187","AZD7762","SIDM00527",-1.591596,-1.149596,1
"188","Tamoxifen","SIDM01259",2.3264295,3.1278741,1
"189","Lapatinib","SIDM00045",2.0251475,0.61899763,1
"190","XAV939","SIDM00227",3.9083025,4.257456,1
"191","Gemcitabine","SIDM00659",-3.50887133333333,0.35209072,1
"192","Daporinad","SIDM00680",-4.55978,-2.9052792,1
"193","EPZ004777","SIDM00783",5.083257,4.9192553,1
"194","EPZ5676","SIDM00896",4.458965,4.1190476,1
"195","Dabrafenib","SIDM00632",1.724149,1.3436024,1
"196","Entospletinib","SIDM00407",0.132074,1.1410148,1
"197","GDC0810","SIDM00091",6.973783,5.6233597,1
"198","AT13148","SIDM00758",3.034989,3.7387788,1
"199","Vorinostat","SIDM00427",0.38209,0.04455349,1
"200","Ibrutinib","SIDM00103",6.349576,5.541962,1
"201","I-BRD9","SIDM00917",3.280439,2.4375842,1
"202","PCI-34051","SIDM00244",2.471069,1.8981596,1
"203","IWP-2","SIDM00056",2.97579,2.55442,1
"204","Dactinomycin","SIDM00218",0.3218265,4.7592897,1
"205","VX-11e","SIDM01132",3.3916905,3.5093906,1
"206","Osimertinib","SIDM00214",1.115264,1.5510995,1
"207","NVP-ADW742","SIDM00592",2.270735,1.5973487,1
"208","Venetoclax","SIDM01168",3.390214,3.8239474,1
"209","Nilotinib","SIDM00154",3.3176005,2.9353452,1
"210","Fulvestrant","SIDM00196",3.37484533333333,3.5525682,1
"211","GSK1904529A","SIDM01160",3.757111,4.0389433,1
"212","Foretinib","SIDM00216",-0.894025,1.7276475,1
"213","KU-55933","SIDM00954",4.5482245,3.8668087,1
"214","PLX-4720","SIDM00532",3.96653133333333,4.204602,1
"215","EPZ004777","SIDM00114",6.607752,6.3203635,1
"216","Erlotinib","SIDM00367",3.712832,3.0512338,1
"217","Epirubicin","SIDM00299",-0.624894,-2.4582877,1
"218","Sorafenib","SIDM00377",3.169837,3.5897057,1
"219","Entospletinib","SIDM01161",3.186478,1.5252533,1
"220","Crizotinib","SIDM00606",3.93993,3.0463333,1
"221","Sapitinib","SIDM00930",5.364807,1.6085734,1
"222","PD0325901","SIDM00302",-0.49516,-0.8207751,1
"223","AZD8186","SIDM00540",1.186744,1.9812552,1
"224","BMS-345541","SIDM00905",3.097411,3.5217245,1
"225","AZD5582","SIDM00218",5.3412885,4.599518,1
"226","PRT062607","SIDM00420",4.218709,3.8540165,1
"227","EPZ004777","SIDM00256",4.339178,4.1450887,1
"228","Pictilisib","SIDM00826",0.0008939999999999,1.0149337,1
"229","BIBR-1532","SIDM00374",5.214057,4.3471384,1
"230","Crizotinib","SIDM01247",1.223581,1.8190932,1
"231","AZD4547","SIDM00308",2.083488,1.9339266,1
"232","Gefitinib","SIDM00969",1.7519695,2.1164777,1
"233","Dasatinib","SIDM00375",0.144782,0.40498865,1
"234","UMI-77","SIDM00917",2.442734,2.4757566,1
"235","Linsitinib","SIDM00242",0.6660615,2.5185876,1
"236","I-BET-762","SIDM00198",3.416004,3.4139876,1
"237","Cediranib","SIDM00047",1.290583,1.7689524,1
"238","Camptothecin","SIDM00917",-5.095388,-3.4456031,1
"239","MK-1775","SIDM00792",0.563692,0.8116717,1
"240","5-Fluorouracil","SIDM00472",5.961737,3.580574,1
