,SUV39H2,AASDHPPT,DLST,ALDH1B1,AASDH,ALDH2,ACAT2,PLOD2,PLOD1,TMLHE,EHMT2,ACAT1,HADH,SETMAR,OGDH,HADHA,BBOX1,AASS,ECHS1,ALDH9A1,ALDH3A2,SUV39H1,ASH1L,SETD1B,DOT1L,EHHADH,OGDHL,SETD1A,GCDH,SETD7,ALDH7A1,EHMT1,SETDB1,AADAT,SETD2,SETDB2,PLOD3,NSD1,PIPOX
SIDM00519,0.5633501263996985,1.7913559229483662,0.13538416852150423,0.3268015394243121,0.14097413428119393,1.5815824349005054,2.115628202017624,2.35287989534116,0.45827200377409893,0.3032065107273105,0.8166439932114217,0.8010804861327718,1.2177984333023095,0.0272063305971564,-0.1635723843452114,1.443053815955693,-0.9887475533186062,-0.2823047940059362,2.13216477576516,1.7085690665840134,0.8409676884375483,-0.40128350495989745,0.7313740140483489,0.9623440877380103,-0.2823619459164396,-0.6502875112869839,0.07288333381555571,-0.3318979674894462,-0.34263670647238326,-0.4400342257772293,-0.04734848633950823,0.43225862405077,0.438662458264433,-0.8061104724213621,0.6530152526343662,-0.43197845590812495,0.268896187980663,-0.2503549424915996,-0.6750867503047814
SIDM00917,-0.18086210032989494,1.4846465692435011,0.4498621349932252,0.16178218933883895,1.28344992483221,0.9875022302127456,2.328122615397938,1.945592966478044,-0.09020909792943473,0.4676866296722918,-0.08152532341713475,0.571618518517897,1.3994936900238482,-0.08840173097977852,-0.34299018659547365,1.830688492678727,-0.9259015032285199,-0.5575738414353186,1.96213778310516,1.3250852221660985,-0.5058578943192685,-0.4586705469564304,0.8660036967693218,0.6884110266562686,0.33063491120499067,-0.7863668854579664,-0.7956126042914476,-0.6012794748482913,0.19215466610534623,-0.6246055489524982,-0.7657183485170751,0.4298833553892682,0.26166294401902795,-0.8019313905203492,1.1241317142807061,0.7517569171859046,-0.24837318583557622,-0.26719520140884256,-0.3319851455720741
SIDM00309,0.37729331146476197,1.7995035540043016,-0.006912934129565968,0.9844704359577299,0.8272787141108316,1.6300128197525552,2.1905855387733393,2.8579149798668877,0.1515910426835249,0.40248499879847227,0.36034019333494194,0.954784090973499,1.2656898353677066,0.35061288560346254,-0.24838893834958134,1.4606726059453343,-0.9951023777940118,0.5472339232450397,2.4958403760741907,1.8339944601095088,1.4691261244116733,-0.4330129640992798,0.6596669849466932,0.9821413864755698,-0.3403188014792068,0.01654499889094244,-0.07092568413268724,-0.36795175405145636,0.2640977314185859,-0.14978536355973707,0.24218797152292582,-0.1962051950798627,0.02408218044642944,-0.42220727425737037,1.088709008434578,-0.2753741318714834,-0.15005507900887943,-0.12851944927215933,-0.6335712979538287
SIDM00099,0.36212407621976384,1.5044188497554485,0.5111425002765042,-0.04974230606188002,0.5018986331527956,0.8255992518663462,1.6880244254139187,2.1121664550807315,0.1284522856261495,0.049429908001056296,0.2720819481202414,0.6708620725392492,1.2544683191286632,0.22101773933594612,-0.38746960481634035,1.6293688217924034,-0.9572928885233913,0.7289124446957544,2.327041973803112,1.6297378894987773,0.832568243536906,-0.3691759482993913,0.8460229346537339,1.0747101046155774,-0.6613710704113149,-0.5978801841570528,-0.661567048666693,-0.33923050988679015,-0.36612251449177313,-0.24341213217050334,-0.22052098185750413,0.19591925784584913,0.13240979016754373,-0.5385457430738534,0.8705780519337086,-0.4480776186227653,0.3762271822896092,-0.1639385787601804,-0.361306681922007
SIDM00276,0.30735846921452725,1.5609799038488756,0.37672995291755307,0.2367673266587503,0.23674714854500412,0.903857136505525,2.631149885570977,1.423268696236177,0.9632741851006956,0.3468071187849894,0.7638337058454436,0.6002457059117374,1.4868981790754163,0.0013288075909342564,-0.24065615693452772,1.4238177048177225,-0.9456766016663328,-0.0033911817589586768,2.246860824333088,1.3776031459929157,1.4218166096185478,-0.03452087583910279,0.06326454740305905,1.2143353098823366,-0.4242713519366946,-0.33487278870734893,-0.6214710338073194,-0.46085049934843736,0.044249036224029474,-0.019699118081428168,-0.2715353348482606,0.0469869728040792,0.444048987208864,-0.04486122036560725,0.4941343579664294,-0.46235330316494544,0.1370886172020959,-0.5725462257400856,-0.7058246337045675
SIDM00311,0.6088012477720863,1.7637058988099192,0.18457209089916654,0.5375278773673092,0.5404598676206308,-0.39572946679666754,2.2510934519976646,2.733369547863111,-0.6484350623965931,0.390710453218997,0.3185753246351648,0.8141880733349468,1.1739065687588905,0.3165790370586593,-0.42214223996040856,1.475748643604438,-0.9525559495612499,0.19444394211764454,2.1618695618340547,1.403225295754775,0.7039665427985154,-0.32915421051437926,0.3084818495166412,0.9726587749574966,-0.34476158517361144,-0.2301716100759706,-0.8075602325028248,-0.48327718231207645,0.0013606330383575452,-0.2542155688034972,0.37060933935053214,0.15498644259544564,-0.3642249457867944,-0.7195417388299813,1.1287971177357115,-0.5795224994663524,0.22247160946009417,-0.32949345864199964,-0.6489621452393817
SIDM00970,0.5554609954528267,1.5879233138251563,0.3918509403765905,0.33591301963711573,0.8673167963934768,-0.7201920148016463,2.4488725160241955,0.5179083596866784,0.3923251570850565,0.2763451469636248,0.15610097979189116,0.31301983138880823,2.357603171885655,0.6609182186595289,-0.5049268057025575,1.596942190473998,-0.8790509609400546,-0.8135879361666788,2.6139217848980776,1.4491222181167558,1.0380871160648786,-0.3338481459708829,0.825033870813365,1.229354736140798,-0.23589929003973464,-0.042996307038224595,-0.7317488835416578,-0.6168266741949255,-0.1749923503371542,-0.24014372920753338,-0.6490675668523387,0.21048441136755838,0.17590933026524502,-0.05387105888080106,1.1996966351847589,-0.47998024088041497,-0.25903705904386004,-0.6242874837545128,-0.7777690417375202
SIDM00103,0.20787643936434375,1.5937635783202766,0.5364973883569695,1.2594088871511915,0.49714396842017733,0.4389370103908405,1.6886143139599472,2.5159384883616083,0.279337939369125,0.48508703493251126,0.5065679251481071,0.6755126127311989,1.4209711079921135,-0.05839556014926957,-0.5328887323724381,1.6350494468922596,-0.9660581609546407,-0.1281792826045757,2.4335888331522795,1.9695101279538043,0.24834820655537557,-0.4198270753156816,0.4210289899091037,1.0077007840089274,-0.6884707883624754,-0.48274667227848644,-0.6538663696741116,-0.46901750074173437,0.060626486516501384,-0.11485399298622136,-0.2946678181916362,0.19333274492032818,-0.06499115301775853,-0.21640966833170133,0.830385201655402,0.15975366045410888,0.1680052949435996,-0.6400702802610879,-0.6333947362869168
SIDM00266,0.5126737068214098,1.7954644373897681,0.6236956240744466,-0.10244850770486642,0.704666822290785,1.6582370703601024,2.743270221112306,1.5217964114200873,0.31987352762863114,0.5389107958035516,0.19821018728204146,0.9519662327651953,2.0115804561874238,0.20348792214172348,-0.5341145081901647,1.8039581052642732,-0.987498619184789,0.5972154024960452,2.0199176879113447,1.8155206378386164,0.7871429610249502,-0.43565476690462085,0.8577512500704053,0.8883852656340928,-0.2639862127873272,-0.625798980939283,-0.22574328822346584,-0.4535915002332272,0.2035848177475604,0.41223771241007345,1.1381351972950031,0.23423690071571118,0.53672145054795,-0.3324990291599685,0.9396058675683882,-0.21707691225607706,0.29167038668048234,-0.32950559507934013,-0.2424707022291641
SIDM01064,0.6472701737379364,1.77056446614883,0.3439106796575746,0.5992779551442026,0.6097834057962918,-0.7301487036633993,2.004131513003939,-0.7097908081519011,0.548742332537043,0.250889697044727,0.2977697941262527,0.7291323055269603,1.8731302715930938,0.520628875607306,-0.37196632882614605,1.9793839725593319,-0.9597592203907479,-0.8634807607358792,1.8037023463312476,1.1305584264127977,0.4509594922089069,-0.11803417636232383,0.5565221402379428,1.2203361330786358,-0.24897013775900273,-0.1848220692968016,-0.6748075048936889,-0.4556483877119794,0.03226393077740954,-0.08782698876378933,-0.6808861758033511,0.26915387085784076,-0.03427060057979378,-0.9905943803284105,1.254534468565306,-0.16936939500255865,-0.08479931088129433,0.3728372072728397,-0.44883530871963584
SIDM00098,0.2500869016721004,1.4981953726139623,0.1557618049291246,-0.06635347209409072,0.7919716092841431,0.5761811551435289,3.193944153244925,2.3064371920515585,0.3748569133622401,0.0003626741719177308,0.9622201819635828,0.36292904551226707,1.3891907522807947,0.586689729326481,0.0032439830161045493,1.4145889953887472,-1.0071203473318235,0.017215957636944314,2.3216922664753876,0.9842510271287487,1.623593964827056,-0.3568225622394506,0.4589443607124237,1.0968167349504017,-0.3162014839680031,-0.6594912139479627,-0.5665047522514072,-0.38429309734119155,-0.19931502162594283,-0.34507295743106636,-0.6527187853564729,0.38997818269389084,-0.18649506940306854,-0.6611355853519993,0.6601778278075425,-0.39285422668175196,0.4509734476660119,-0.017903732085532198,-0.5972635504888703
SIDM00225,0.6342309127603923,1.7156060707496184,0.21248751267910992,-0.29563665618370144,0.7261943597776787,0.6713468761532514,2.6313486717997474,2.281225689424701,1.67265581886256,-0.18001549024374724,0.5613957252352388,0.5812838966013902,1.7647164942339635,0.2146240642513443,-0.326807706784948,1.744132655698531,-0.9349555992547096,0.37546548910578975,1.9408470784160685,1.358500960488616,0.6221571316640836,-0.3007464871471939,0.7945165031052481,0.9007673436512122,-0.3324539415199097,-0.5500139180266984,-0.7401828806879028,-0.4949939116596428,-0.11253166271351482,-0.39933889254804644,0.4686842488259858,0.07379926063374523,0.0899535643709018,0.27648914180060735,0.9040814385892327,-0.31801664588964224,1.0936492151123824,-0.4120948978787981,-0.484491273302462
SIDM00846,0.555023620788506,1.0462018088583314,0.6234250974180162,0.9238200134030584,0.7050043448805455,1.3828682917205475,2.349522224078931,2.3540457224914726,1.6349377804286866,0.38130010469934816,0.288267762193531,0.7467880133494741,2.2704289234588013,0.31912966865409875,-0.19165350448889917,1.7933397343280884,-1.044475045727161,-0.12548805993528264,2.1703975565330142,1.440411745512638,1.6678620989330197,-0.07654504402923135,0.5669292132006561,1.050207476914402,-0.4317674126683744,-0.713581891418147,-0.7889995254645755,-0.2775468501096213,0.3232166814089897,-0.032263782772655195,0.25370049956775415,0.331050521503015,0.3745567353314834,-0.2090705402574372,1.0352180747960078,-0.43323478030129436,0.26048869940381847,-0.345735243871325,-0.8094503837978262
SIDM00291,-0.005223211657472635,1.5618277173955537,0.8154163118421013,-0.5544699149988913,0.8857111046290438,-0.6241745926626697,2.3874757207094217,1.5243926198803075,1.4529138949551927,0.6832901629322545,0.8155858752510361,0.909937224633139,1.943911466153084,0.5468280475151202,0.1306525322898397,1.9683463541445982,-1.0089579898164505,-0.036254423096545314,1.7464980101795977,1.4981781380878465,1.0927225743085471,-0.1715173572542592,0.2813496541927603,1.55374755519627,-0.1513959953147341,-0.385602950240719,0.04863204482793445,-0.25027246478707443,0.43652229596293557,0.11207886157440701,-0.8931123829889631,0.11625906855967968,0.5656602962613123,0.06368253091996084,-0.07676287173416617,0.29727406974457377,1.0934783058183415,-0.13811063194987083,-0.5500693524849728
SIDM00520,0.33013300470013124,1.639046732735815,0.0007716937916704685,0.5023747738009452,0.5342704761977177,0.07089782903247402,1.8731266663670554,3.040904338321467,0.6458167073507538,0.31472419444473987,0.3089851540906322,0.9862219531466997,1.2117864427408194,0.4206802399911492,-0.4986204026984067,1.2229672427563112,-0.9014605462634373,0.2923055969002951,2.2074329307967124,1.5467747697618395,0.7462904789140488,-0.4216031737071606,0.5420766376558682,1.0522994535433219,-0.490511692938659,-0.7152751052481235,-0.874536095993414,-0.4155217105329831,0.07422032072942965,-0.653106607066615,-0.10892524641018639,0.3142221330970157,0.024556290720421575,-0.5060201689078614,1.0824352654599245,-0.4231697689024288,0.2850340239233587,-0.3353080058480504,-0.7436070148909567
