,E2F1,RAF1,FGF9,HGF,FGF8,FGF7,IGF1,FGF6,FGF5,PDGFD,IGF1R,FGF3,FGF4,FGF1,FGF2,FGF21,BAD,PDGFRB,MAP2K2,BRAF,MAP2K1,MDM2,RB1,AKT1,AKT2,FGFR1,FGF14,FGF17,FGF16,AKT3,NRAS,FGF10,FGF11,FGF12,FGF13,MAPK3,FGF19,MAPK1,PIK3R5,FGF20,HRAS,EGFR,PDGFC,CDKN2A,KRAS,EGF,FGF23,FGF18,ARAF,MET,CCND1,PTEN,PIK3R3,PDGFA,FGF22,PDGFB,PDGFRA,CDK4,TP53,E2F3,E2F2,PIK3CA,PIK3CB,CDK6,PIK3CD,MITF,PIK3CG,PIK3R1,PIK3R2,CDH1
SIDM00519,0.08599586272353803,0.41097071018801634,-0.6958184882483528,-0.9085898653431372,-0.8710981020082038,-0.9626900090740408,-0.8069700227069544,-1.0063904130273196,-0.692841165091801,0.5336500995101349,0.24168238824328261,-0.942363772942296,-0.9258922006210457,-0.7392448898668975,1.8941067514151988,-0.7281065231001213,1.3580295249854797,-0.3413995178739834,1.2117328419628624,-0.5413997596560421,1.4682702253736368,0.3744561848381576,-0.451706616899581,-0.3955558339139622,-0.7032513775795374,0.9925237741571317,-0.893502503535473,-0.8391086569974979,-1.0406594325388483,-0.29600760340522414,1.221839698263148,-0.9511114127649555,-0.44966410990199296,-0.9814996502455181,-0.8712980740025386,0.5154256853947725,-0.7404483256906388,0.20225978087680163,-0.8367236396892249,-0.8384934099576346,0.8798485214472693,-0.05966289601354394,1.5242470486576607,-0.6310219058229348,1.5419688881072011,-0.8929978167830748,-0.899918691978088,2.659379684525598,0.07456749189187163,-0.47561600555413736,1.4576129059103546,1.2291206931556173,-0.7187735136670106,0.9237323056587069,-0.8062078623153699,-0.5727786583839554,-0.5097922111675702,2.234465398685669,-0.5490992699972357,0.9026138924628194,-0.6049584536004887,0.31954704636902964,-0.18112189125699452,2.1685863377808317,-0.5861729564811344,0.4469164711751845,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714,0.5996811532132683
SIDM00917,-0.2135355422889387,0.6703226732559828,-0.8302989832027056,-0.7306371601004805,-0.7485077874503772,-1.0044418007294058,-0.7610539101750744,-0.9256225056601861,-0.7751440302229676,-0.9074525606234912,-0.724651281633404,-0.7590729567308163,-0.8239290728598827,-0.8860944024494395,0.11800637832563975,-0.7674681465922838,0.7032882367405254,-0.7330364839617154,1.4353305093647586,-0.08737606934962737,2.1682208807797045,0.782457254819834,-0.20693165105610548,-0.44961501627394507,-0.43991493639764384,0.08467401772111477,-0.7735026050288706,-0.7702459045887813,-0.9654154532774694,-0.53140709085529,1.5502036363871254,-0.990435669804248,-0.3101384394504827,-0.9091482820143628,-0.888302198415702,0.12581611851856564,-0.6906630489464546,0.7518296918279702,0.4079912195723818,-0.3270730440518206,0.5785314872233444,-0.701575656143487,1.2801219036293354,-0.13914854844665173,0.6747655177517772,-0.919667194283133,-0.8371238580075485,-0.8928620513361792,0.3104583380836929,-0.6733048419393598,-0.5683018791586874,1.6334552938488958,-0.33826179106292537,0.8048113347755264,-0.7071243964649054,-0.6685680443627056,-0.63225772631521,1.8123176406853694,-0.5377656233603392,0.5712278422207611,-0.7207177122178672,1.6959402178273975,0.29428175640692444,1.6434028863032866,0.6552993831852555,-0.6900693941989298,-0.7207299110933022,0.09639864077465503,-0.45814276637380663,-0.8302974159753143
SIDM00309,0.20761519131939282,0.7255659061086115,-0.4067320454157861,-0.9093535814206749,-0.5960028069519696,-0.9217151529265621,-0.8123720685046184,-1.1054585873599838,-0.8432621583240868,-0.7253333694814766,-0.19003279365953166,-0.8560214536968863,-0.8448284177254631,-0.7551810626957536,0.1254897922129202,-0.7802961502457287,1.4346878852123166,-0.5656181264521617,1.29693709399388,-0.5982155072109197,1.533801591408699,0.04136872496734211,-0.20130190250486923,-0.2912125403265399,-0.5673413731578653,0.4936599235207511,-0.8507640391345271,-0.8323560625137136,-0.981170721548086,-0.323607853268389,1.256524659301111,-0.8648144993773972,-0.5555066886308878,-0.8082343114515613,-0.8647805414056914,0.5986800821643932,-0.8392133374310501,0.19821987316206793,-0.8541154838838494,-0.7999697691016583,1.0882773068400704,-0.033408677656909594,0.8246431740491675,-0.4729076891930827,0.44635764588407606,-0.6905337454649281,-0.7929309113510088,1.6192619249163196,0.07713419241059723,0.8732093846515993,1.750803738259115,1.5772688397020425,-0.5719067588538529,0.8865008859242206,-0.5854528359394573,-0.5076810135194458,-0.7274256664601348,2.108265807077271,-0.4883528195407754,0.8186152745784866,-0.4331368386889992,0.9023372519923574,0.4332412209128918,1.7905076222712484,-0.5018997117469767,0.8047971812654048,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688,1.2032511283514795
SIDM00099,-0.08057002665373103,1.1767266262913327,-0.42604355776232866,0.19084219223620755,-0.7566658235264736,-0.9585903756709024,-0.8420840144334021,-0.9108999686259497,-0.6161503968731787,-0.8560101906788121,0.37613355995859515,-0.8714032214836104,-0.8969365775365294,-0.7484232453225126,1.1605520682128398,-0.730095984566705,1.2518102860044347,-0.31714104277833766,1.6865245406992782,-0.4747716843383623,1.4524860221399285,0.6150369187560697,-0.21125073452829746,-0.2291313922542609,-0.5616008280392394,0.8170545542886334,-0.8531419696649299,-0.8305734212830503,-0.7517089511917221,0.4590628778438762,1.2061207614674792,-0.8415803619490415,-0.5243639849437668,-0.8736492037692366,-0.3498379828800423,0.6202538847874911,-0.849205958869438,0.4272251428179874,-0.8097681129008282,-0.9109874804419483,1.0093641595797609,0.21846877828626285,1.0564531830981947,-0.6583672314984758,0.6730085000785737,-0.886350060965009,-0.7637060037551004,-0.6280442507760511,0.007434448992897634,0.6938360648235127,1.9893804939894844,1.5501048087287475,-0.745840851085465,1.152907459884284,-0.9106972050106198,-0.5075803602465088,-0.6312933061823776,2.35319881192637,-0.4606656978346491,1.1122126124745342,-0.7296459678057524,0.9772417205774084,0.2470462313405816,2.543351426805786,-0.60403659056009,0.9169260014563315,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994,-0.9146071897728487
SIDM00276,0.6494015291488326,0.6944907569106895,-0.814683566281248,-0.9040710505366087,-0.7268135889871413,-0.9485908712706078,-0.8100300141193602,-0.9832331165007453,-0.9326618534090254,-0.7349948855980704,-0.40741203898103584,-0.8170802926779824,-0.8866664395521355,-0.7828014604825698,-0.679499460074718,-0.81008230252523,1.2834932020677752,-0.7453663818845296,1.5730502356630185,0.4225250613223542,2.019959361654287,-0.6031037443706602,-0.5708864249561418,0.11933883765264834,-0.5956790432627415,-0.5236253301058503,-0.7826491471205016,-0.9104048429557852,-0.7758035810724625,-0.5519477570600904,1.9524905147513523,-0.9565516657335974,-0.09087534595082998,-0.6887102741214327,-0.8571338250192146,1.1105277507367421,-0.7188920586835655,0.3901472004011665,-0.8267639290855728,-0.7709684281606686,1.1816656923996194,0.24900124400107013,1.077163353343616,0.2468311246617019,0.6515748950888393,-0.617326739525956,-0.8294382866519945,-0.8615804012571785,0.3319259955565263,0.3077758434506542,1.110777565362061,0.900585957550162,-0.6488194164256283,-0.2544386692240276,-0.7094154553549008,-0.45069797981220244,-0.6782755746943571,2.049498912743563,-0.3152874840479835,0.6775051647594175,-0.4785287508458978,0.4020237646019066,0.030209795559018312,1.0723546854252366,-0.5315367247175582,0.6937031676186611,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777,1.1936296443407253
SIDM00311,0.48251935496648896,0.5447987316773143,-0.7695076136588541,-0.9207453109683621,-0.7201443125312363,-0.6967242237250343,-0.8127392125710633,-0.9612816318919086,-0.6295830124928113,-0.7791801749211242,-0.19024781705445357,-0.9283577867711119,-0.9108586227658477,-0.8202054098047673,1.503447195227296,-0.8642210842135233,1.179641852767542,-0.3746368084386204,1.3593653195542226,-0.7453538371884136,1.8896826961927777,-0.5754608576763738,-0.48704365733361277,-0.04068572253821361,-0.6105409974472994,1.2196250811804759,-0.8868836971779561,-0.8260730307723517,-0.9425539286434452,-0.27243689547260147,1.5785594577365645,-0.9608667889282813,-0.20780563741214428,-0.61210076032266,-0.7456531944083504,0.29001810221540564,-0.7826689040221321,0.38729023043362193,-0.751888574666709,-0.9184684371658134,1.1499067182680816,0.11182122054986383,0.6097701032741664,-0.7234958444085249,0.5102474431294666,-0.4807646145470617,-0.8761501393239952,-0.8431685649108953,0.08589945360217498,0.5999032391756205,1.1408512642531226,1.271290093423999,-0.677359328236902,0.5427949534708034,-0.8184279644197852,-0.7006534144687454,1.4863560720807152,2.154206687974875,-0.4660973343828472,0.942535290863256,-0.512969308183406,1.2324268605147033,-0.16744840637044256,1.4788793169273584,-0.5452007531527697,0.00826473711098673,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473,-0.8511073983279972
SIDM00970,0.2927011409601079,1.0032059249628758,-0.9140643792410641,-0.922839698860075,-0.8957298725060758,-0.9362547249380445,-0.7702518987849236,-0.9774984594115013,-0.9463136733268241,-0.9281528192964889,-0.17167322440950866,-0.7966127635315042,-0.9353363731128381,-0.923580359010978,-0.8502704547066551,-0.7881911545752136,0.926248724312014,-0.7313323960086201,1.0350064504926018,0.16764458696924706,1.5480021660770813,-0.25477635394625303,-0.25018499616597295,-0.10547988580351268,-0.32945864135872244,-0.6749385025122266,-0.9959739103084044,-0.7573463589451154,-1.0336900879130961,-0.8508602838977936,1.2890579677789475,-0.7829358349742114,-0.2523876520356221,-0.4097711700173185,-0.8465740409026548,0.3293145122295789,-0.9631971228229248,0.8119872597350951,-0.8149726060877294,-0.8725451061496005,1.3507311932125972,-0.4620419677363416,-0.4398353532196122,-0.780307409634175,0.8955143169693113,-0.9071411571691793,-0.8632331516534326,-0.7969713632104367,0.016143176077876336,-0.4468631785306011,2.0377973060067225,0.979103906486245,-0.4642723288066422,0.20635956422258805,-0.6227295222899185,-0.7777194797983332,-0.683605856009126,2.0836698866468724,-0.6567645675008575,0.9291838685627761,-0.46976142432206475,0.6516507787099076,0.07842511824996666,-0.6233670239583565,-0.7197542934563707,0.41109105116388955,-0.8051315465966639,0.024174200640533106,-0.3230373291454919,1.583007419094312
SIDM00103,-0.11479201140650103,0.842042295483723,-0.8322794304606146,-0.9424373403135204,-0.8109304394840252,-0.9356981024206235,-0.7969174172790026,-0.9073668928083909,-0.34639763268608575,-0.8208301879573763,0.023540062073262376,-0.9846801357213626,-0.896228852039924,0.4233888923263197,1.5611862149988631,-0.8746993700845094,1.506035085821319,-0.4893605069602958,1.7208696588265395,-0.3199136617291577,1.3916393884940752,-0.1605100913713362,0.019129677406904372,-0.06847722136698463,-0.5499446939252121,1.206228634618821,-0.9157260513069186,-0.7631570271778346,-1.011585977054381,-0.24893693507670495,1.5912580346491147,-0.7828104928309384,-0.37072930920129143,-0.8600564007683826,-0.776162810604951,0.80055510601947,-0.8809811562719461,0.3533626797819316,-0.8467818040121766,-0.8048455439461798,1.4511064022891142,-0.0009420409975655662,1.1768239371450604,-0.6547130715364519,0.019609299068091418,-0.8709323542503448,-0.7662868474331984,-0.7558135862643458,0.0004835080749557808,0.7022074629030362,1.692495608595488,1.4321080197998055,-0.8018036490477344,0.23137660798610885,-0.8063084082382843,-0.5650777545370397,-0.17383274304553611,2.343809602022163,-0.5608796842096238,0.7256121625759887,-0.7236374164487444,0.8649885642906499,-0.012228360223561519,1.12683149848289,-0.5742533021236681,0.15595452281856428,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122,-0.9058538182479098
SIDM00266,-0.19522280359195227,0.7998530910773893,-0.8754846015344825,-0.8571403446396317,-0.8312387885052981,-0.9138557212011186,0.3009426408206368,-0.8481673863790363,-0.9110199063563909,-0.5165211405650123,0.43328065627730916,-0.987498619184789,-0.914189716245386,-0.8683720548748639,0.33643301703180495,-0.8300595581391159,0.8550364573565588,-0.70960985344988,1.421884080467031,0.1151396341686013,1.3033679463501235,-0.4149837736893541,-0.20465054875850483,-0.3555052293772311,-0.5117967119573102,0.4801144684698076,-0.509470289917116,-0.8011573705983945,-0.9208060734460273,-0.8347357449295455,1.6647147494627599,-0.868855767273636,0.8883475122245231,-0.9275142822530491,1.8477717344009372,0.43598438125523226,-0.7827761614944145,0.5203234391390296,-0.8496389728152324,-0.8450201546899442,0.7427837498526729,-0.4727299439307586,0.5006342939130843,-0.6946544374414192,0.9111993007529532,1.332916152465452,-0.8945229665902729,-0.7920852517345339,-0.1599034263136676,-0.7482514974901306,2.5759797624614174,1.0316435530116193,-0.5568906287862644,0.2817151301678457,-0.8862565425195787,-0.7816475923831315,-0.6778363514919016,2.1912185207380555,-0.6844618064062402,0.9126078970805189,-0.576195003003543,0.975240071825603,-0.33462897669646635,-0.08315933928135008,-0.6595534890448225,0.1093771764618308,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085,-0.7989717166732344
SIDM01064,0.314366468197255,1.1271093323880224,-0.74313256733057,-0.8632894307302654,-0.8608100307556864,-0.9090835916517099,1.0895075749060357,-0.9198395447454359,-0.9188368049769181,-0.8213093923086365,-0.8080556540446873,-0.845497562522275,-0.9341741874055568,-0.8518532547636234,0.3742788027501189,-0.8075299523977381,1.1711456279706722,-0.7211204087121691,1.1257725690972324,-0.3823909016943919,1.9344409784512715,-0.021125039430176577,0.25313698106360166,0.12561007301362406,-0.5099221426094163,-0.11945178075025636,-0.8507055258848205,-0.8217331405481394,-0.8824985798359841,-0.4457132286410602,1.8509542624253292,-0.8172117033957826,0.22056674768359102,-0.8744924307316685,-0.8204623483056139,1.0024155733741154,-0.5401110871972692,1.324784881453375,0.00999373611543667,-0.8091099028496331,0.8651038677438343,-0.6819687123538682,-0.43489550792283205,1.4889527258331234,1.139741061167428,-0.8499676609529545,-0.8334916017825138,-0.81713706807399,0.11853981156144153,-0.6382688888875209,-0.7509793774513629,1.305311154087349,-0.5222596854068073,0.03996000980825288,-0.7375539960978776,-0.6385175427619414,0.5621847384858191,1.855068768194796,-0.5881384431654524,0.607367515044863,-0.09958872918827921,1.6317312906782862,0.201441486318639,2.2707506791410754,0.5128280268281551,-0.7393248349100255,-0.7788569289509498,0.8846240816513324,-0.3221179351293593,0.2972462104533855
