,ALG13,DOLPP1,RPN1,ALG14,MAN1B1,ALG3,B4GALT1,MGAT5,RPN2,STT3A,DAD1,MGAT2,ALG12,TUSC3,MAN1C1,DPM2,DPM1,GANAB,ALG1,MGAT4A,STT3B,MAN1A2,ALG8,ALG2,DPAGT1,RFT1,DPM3,DDOST,MGAT4B,ALG6,MAN2A2,MAN1A1,MAN2A1,ST6GAL1,B4GALT3,ALG5,B4GALT2,MGAT5B,ALG9,MOGS,FUT8,MGAT1
SIDM00519,0.9306981467808105,-0.4855249256740482,1.8398394662071784,0.800286724147617,0.5220315662823984,0.6168668228157598,-0.3570816542236682,-0.8751305020313117,2.85886440788358,2.556315911161055,2.4641999991782053,0.288526276280709,-0.878632090696602,1.3857095177022276,-0.7994792104897218,1.3122117088630587,2.3594676754101496,1.5898022853376876,-0.16971973623104283,-0.6897694663585683,1.0755238738755393,-0.1893345311121677,1.2816520486774883,0.6190508162666152,1.001962239521047,-0.06322607454664411,1.515517243690986,2.177732584442878,1.7839516879015955,-0.9229225214199236,0.13949047152256344,-0.34076928004871154,1.9574696178995357,0.3734274342369893,1.3941383898555113,2.209536830951919,0.3668430836596042,-0.6090693887209623,0.40956424169672956,-0.22504777032757114,0.7267851588731871,0.6411079786709449
SIDM00917,1.06538825777169,-0.643583487101213,1.6803031404565423,0.862374234624458,0.23815146381452482,0.9059409584237891,-0.4069326756790907,-0.9623417678264375,2.4243318207482205,2.071610112843645,2.6877795283637664,0.21308132956172945,-0.7737774642306242,1.9115182195651983,-0.8888445437436774,1.1868108031289906,2.5116199087931186,1.1189558967062292,-0.7677730281861529,-0.8231131265417267,1.4867043756406368,0.42040289301885186,0.6678515749143971,0.5976420174331666,0.36303620279378085,0.16645652074055406,0.7166769250522766,2.077693868267541,1.0120340174024804,-0.8340867039872042,-0.11117122970481519,0.4236753898962278,0.7401958620306309,1.4426026601969544,1.3137359961151716,1.782824696702056,0.04864245912098151,-0.6624262737686057,0.49968665124198147,-0.04974130516984145,0.6732717640999998,0.3184016680529705
SIDM00309,1.1828229362040907,-0.703905255154256,2.162430409424967,0.8408969140469571,0.19758342412401853,0.8385255370448683,-0.4996110138969836,-0.8810480594594851,2.830192303953609,2.467865219782719,2.618679116217425,0.2349062248780767,-0.7554049709085376,1.1380407462538562,-0.7449146807422359,0.7373300658488817,2.475927677002623,1.5592510950447322,0.1603893580458318,-0.5900826587700418,1.3275044490434038,-0.19406171176626683,1.2702043929949418,-0.014490433338393442,1.030737310806916,0.12349003948585088,1.6924913101847066,2.4952221505240586,1.4317497791500657,-0.7066198568759449,-0.09298824211714984,-0.19027754753539378,1.8275904034179007,0.011873237773884607,0.7626640352559975,1.8958679631808346,0.7582036103155168,-0.7222530580583038,0.19748494612615738,-0.21604426941708688,0.5837105895762709,0.4152580226591186
SIDM00099,0.41692057563217544,-0.5683562776581822,2.008407871955673,1.3076794676693266,0.5460876969155771,0.7244456986654843,-0.5079507573765537,-0.9703300523153499,2.6295536005061564,2.478027195901464,2.740320227047314,0.4807378791934543,-0.9053045056324655,1.2964527557432195,-0.8117932454787476,1.0845426013382555,2.5590445204149774,1.6347298602904021,-0.29062511847341177,-0.8713382181938055,1.4108598851794607,0.0007381760255366186,0.9668543263118262,0.7551825347628478,0.5156540793241231,-0.22123445933073332,0.7732142504955842,2.121625764824072,1.5535368183820701,-0.8522698025066647,-0.23040252031217165,-0.569814164766461,2.3945340755079263,0.20644183606212624,1.3264082193563795,1.729593412054853,1.1499582950577403,-0.6694982391493925,0.19948298738408,0.15123775060008351,0.4306954705553648,0.6168798352719026
SIDM00276,0.8675722347515024,-0.43632899899910743,2.1429655729572277,1.06084841230036,0.7303643633787124,0.9560338146552796,-0.37228751539032306,-0.8965065860911734,3.0198133719792875,2.6571593773077753,2.8853441581646244,0.164388523159232,-0.6944870898354739,0.04646408744804304,-0.8740163953118573,1.0627449304987167,2.3934993976916696,2.0452653271782024,-0.6458444145816855,-0.35705012531707153,1.1415979427725853,0.25261997354254345,1.496303310036545,0.19333640626819523,1.223484015791959,0.03551641143876455,1.686869378265867,2.6021771375059335,1.8611262248269553,-0.9684561160572848,-0.39417941174927085,-0.27545317948197007,1.4084648544591774,-0.09745538726648616,1.4439342072579426,1.4260723905559927,0.8530873465250995,-0.6638375894796055,0.4471653969448395,0.052848443428908605,1.4106391763930106,0.2687813739080083
SIDM00311,0.7642992257528979,-0.32145547078005665,1.88811334593441,1.1066371499230219,0.46688110436381086,0.9108858355499703,-0.31185116878864194,-0.9210652055607995,3.0326772989194675,2.639790476530562,2.6414765355515906,0.48028444243832086,-0.7586795872577994,1.3972957733332565,-0.8448989292377548,1.2347228341869845,2.509536216461638,1.844282076113701,-0.3891116548067315,-0.8422048768384796,1.4349498591667347,0.15724475033040575,1.3934036105560357,0.5948411647580076,0.9000417534233103,0.38270021660475456,1.1938908485244568,2.468187472850524,1.765830685208745,-0.8691877355649011,-0.23456956836349335,0.14093117250556875,1.2846856241592226,0.008634621547687705,0.932121395726278,1.500635812407721,0.8089105905804903,-0.7970057883334206,0.5075010553736654,-0.17335107255010807,1.5216535799444773,0.7027281074682873
SIDM00970,0.8609865277660118,-0.4069416046234083,2.1744978691944463,1.2524304899082621,0.03963803402571352,0.7013525068699504,-0.34908008634370985,-0.8461601400401365,2.9464053176534666,2.3220292367846986,2.715711614146262,0.20083137380338864,-0.562003219471644,2.3157699231017514,-0.6507940979586613,0.932123831082915,2.433063671911764,1.543745056431783,-0.522766813799349,-0.534240552258892,1.500141858383056,0.4085353983203652,1.378397548281802,0.28233977720923076,1.0666610596512485,0.22023665477183618,1.7728324229708587,2.614100694993334,1.1590202669225782,-0.6436074443506045,-0.25759193906413563,0.08007911660931877,1.5485512559520425,-0.8049595195661738,1.2743894580271045,2.061685924779999,0.7452848895805091,-0.7456592940962603,0.2917659486880917,-0.24226070464425858,0.7709475987498687,0.3621545279019046
SIDM00103,0.7961571582511789,-0.7052810976508747,1.7624442965278087,0.4119181690264479,0.6923740693981622,0.7300038629559756,-0.3284305822145648,-0.9967753976499377,2.4448002443972054,1.6475474010753521,2.8599878705274544,0.3984251126371725,-0.8228793349447409,1.0455921625144278,-0.8066875214884183,1.3468499044625262,2.4014986256760267,1.4471765282839313,-0.5744032911154889,-0.8274408820604554,0.7261356545258281,-0.4505606022910161,0.9750793137227994,0.6058264948138551,0.15587625518214443,0.09498850172274224,0.20360128226692079,1.911627911835724,1.5157308542619403,-0.8395783840061283,-0.05063727144732868,0.02620397709106035,1.8872321142749073,0.10822807841166945,1.2641363772259575,1.56940098592846,0.9339730003097616,-0.6119672061706922,-0.000480697145113526,-0.31951084480006364,0.5408525397788263,0.36305999226977803
SIDM00266,0.6847003621682308,-0.47061919982247036,1.8658367940323457,0.9903284747179315,-0.052453748157753055,0.885481195292197,-0.5906293265535952,-0.9649341847960252,2.664640164997567,2.4748965356099535,2.901976719020506,0.18110807044299596,-0.7838256425714738,1.3723914222765257,-0.870987126972744,1.2881722646881673,2.3508353727389477,1.5842573848937571,-0.3614691697965845,-0.5088246449856122,1.4896746827465146,0.07854275223590552,1.215235633813031,0.3073532064834531,1.1223954246686958,0.18599404223183455,1.674439942383973,2.390116838156714,0.5783646260830102,-0.6171701814800221,0.14797180372370966,-0.8355112622819544,2.6050714063439835,0.7013519888727244,1.4341727234018273,1.8570728116719277,0.7411202508217538,-0.7099071538781556,0.5308974041272981,-0.19599699504590332,0.3916530340685215,0.1877165131951449
SIDM01064,0.8260879474349296,-0.4057625015028302,1.8538315747859897,1.587383448188826,0.2268455666222397,0.9361816657971669,-0.00873577998921473,-0.7936494426166815,2.3354516337682223,2.3399240836864053,2.6888024858576784,0.4879011000401189,-0.7600981716536578,-0.5631851298518475,-0.42492443609990754,1.4268977120787916,1.8437881527416768,1.2817163993924654,-0.3187102323046521,-0.5832010372097521,1.7598244887098677,0.4591887711899706,1.1944937981475543,0.3605360443257406,0.7819934710983467,0.48363390715748095,1.2405350013267713,2.2431799699913055,1.5857080122694787,-0.4777686094655952,0.24880406476572833,0.9148095804980864,1.5268658322542807,-0.3417474981993136,1.2470784173463478,2.215502205623801,0.6618323694897517,-0.6530806134920755,0.7735219587927866,0.0411614958906162,2.0724055829640045,1.30612060972413
