,CASP9,SOS2,E2F1,PRKCB,RAF1,PRKCA,RARB,BAD,PRKCG,ERBB2,MAP2K2,TGFA,BRAF,MAP2K1,RXRB,PDPK1,RXRG,RB1,RXRA,RASSF1,AKT1,AKT2,NRAS,AKT3,GRB2,MAPK3,SOS1,MAPK1,PIK3R5,HRAS,EGFR,KRAS,CDKN2A,EGF,RASSF5,FHIT,STK4,ARAF,CCND1,PIK3R3,FOXO3,CDK4,TP53,E2F3,E2F2,PIK3CA,PIK3CB,CDK6,PIK3CD,PLCG1,PLCG2,PIK3CG,PIK3R1,PIK3R2
SIDM00519,-0.16304697270656243,0.0498076182111507,0.08599586272353803,-0.693256665426057,0.41097071018801634,-0.14177020028773454,-0.13038750543396876,1.3580295249854797,-0.7837771690016947,-0.2561277657813964,1.2117328419628624,-0.6571157534642592,-0.5413997596560421,1.4682702253736368,-0.26789981353743914,1.2480937511442078,-0.8671989843390221,-0.451706616899581,0.6223185880347919,0.009556189827165976,-0.3955558339139622,-0.7032513775795374,1.221839698263148,-0.29600760340522414,1.7411622420718154,0.5154256853947725,0.5708231736562318,0.20225978087680163,-0.8367236396892249,0.8798485214472693,-0.05966289601354394,1.5419688881072011,-0.6310219058229348,-0.8929978167830748,-0.6855807113202307,-0.4053876110408998,0.4266800290501424,0.07456749189187163,1.4576129059103546,-0.7187735136670106,0.9513773111389826,2.234465398685669,-0.5490992699972357,0.9026138924628194,-0.6049584536004887,0.31954704636902964,-0.18112189125699452,2.1685863377808317,-0.5861729564811344,-0.0034989349945850107,-0.23385840083667578,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.2536338368942526,0.777404455271312,-0.2135355422889387,1.6723657668354104,0.6703226732559828,-0.5834552659254151,-0.6007228722825874,0.7032882367405254,-0.8209437091275041,-0.6300975969652289,1.4353305093647586,-0.6847001029446194,-0.08737606934962737,2.1682208807797045,-0.11107106572296516,1.1117795845019818,-0.825796317543983,-0.20693165105610548,0.4172663715719339,0.17813336151354528,-0.44961501627394507,-0.43991493639764384,1.5502036363871254,-0.53140709085529,2.0967618944171535,0.12581611851856564,0.5455241666444859,0.7518296918279702,0.4079912195723818,0.5785314872233444,-0.701575656143487,0.6747655177517772,-0.13914854844665173,-0.919667194283133,0.24173694614754007,0.9147493609667474,1.3312817054348198,0.3104583380836929,-0.5683018791586874,-0.33826179106292537,-0.10697711300593805,1.8123176406853694,-0.5377656233603392,0.5712278422207611,-0.7207177122178672,1.6959402178273975,0.29428175640692444,1.6434028863032866,0.6552993831852555,-0.02056146040246094,2.521525918877269,-0.7207299110933022,0.09639864077465503,-0.45814276637380663
SIDM00309,0.3099802629052463,-0.055147137698300645,0.20761519131939282,-0.8444723115073255,0.7255659061086115,-0.2444585548068717,0.673474944330178,1.4346878852123166,-0.7892785415681088,-0.3743296156063484,1.29693709399388,-0.5761599240701236,-0.5982155072109197,1.533801591408699,-0.13070142208776891,1.0417012936541494,-1.017779917657865,-0.20130190250486923,-0.1299889697400401,0.23357809675293945,-0.2912125403265399,-0.5673413731578653,1.256524659301111,-0.323607853268389,1.551214464507327,0.5986800821643932,0.6321035255310687,0.19821987316206793,-0.8541154838838494,1.0882773068400704,-0.033408677656909594,0.44635764588407606,-0.4729076891930827,-0.6905337454649281,-0.5784470722509514,0.6292231263010312,0.26312748229308996,0.07713419241059723,1.750803738259115,-0.5719067588538529,1.0949079089566751,2.108265807077271,-0.4883528195407754,0.8186152745784866,-0.4331368386889992,0.9023372519923574,0.4332412209128918,1.7905076222712484,-0.5018997117469767,0.03367052596493218,0.08187136456782916,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688
SIDM00099,-0.16120780182301667,0.23750660699476628,-0.08057002665373103,-0.8126854339693373,1.1767266262913327,-0.13137744725192088,-0.8079586052726948,1.2518102860044347,-0.7737446713268549,-0.31302835707563065,1.6865245406992782,-0.7950408368578683,-0.4747716843383623,1.4524860221399285,-0.18224330928209767,0.9734616798497266,-0.9177369605752332,-0.21125073452829746,0.3019017433800442,0.21814976969575034,-0.2291313922542609,-0.5616008280392394,1.2061207614674792,0.4590628778438762,1.5303667233180474,0.6202538847874911,0.833796751022729,0.4272251428179874,-0.8097681129008282,1.0093641595797609,0.21846877828626285,0.6730085000785737,-0.6583672314984758,-0.886350060965009,-0.6230045108591539,-0.4999436811786546,0.44503544976272663,0.007434448992897634,1.9893804939894844,-0.745840851085465,1.0298182545484318,2.35319881192637,-0.4606656978346491,1.1122126124745342,-0.7296459678057524,0.9772417205774084,0.2470462313405816,2.543351426805786,-0.60403659056009,0.3041178582883408,-0.4496306432321909,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994
SIDM00276,0.5405277638057181,-0.0659297637105213,0.6494015291488326,-0.7890798899543415,0.6944907569106895,-0.40676241488024195,-0.02406680721932326,1.2834932020677752,-0.7574964145062062,-0.26410001922606646,1.5730502356630185,-0.051046874548187834,0.4225250613223542,2.019959361654287,0.11281690019491557,0.833516480644265,-0.9127967189285877,-0.5708864249561418,0.6273179601490205,-0.001831092346892247,0.11933883765264834,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,1.9575623215250881,1.1105277507367421,0.4636340472715856,0.3901472004011665,-0.8267639290855728,1.1816656923996194,0.24900124400107013,0.6515748950888393,0.2468311246617019,-0.617326739525956,-0.627769583913363,-0.6781698185208029,0.2772618018934369,0.3319259955565263,1.110777565362061,-0.6488194164256283,2.071218323955411,2.049498912743563,-0.3152874840479835,0.6775051647594175,-0.4785287508458978,0.4020237646019066,0.030209795559018312,1.0723546854252366,-0.5315367247175582,-0.03665739673160678,-0.028502178643651007,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777
SIDM00311,0.016676397282197126,-0.03247697834325912,0.48251935496648896,-0.8105801305761055,0.5447987316773143,0.7056643480085137,0.4650335706494705,1.179641852767542,-0.7393564213780424,-0.2844104108884494,1.3593653195542226,-0.6762071721589009,-0.7453538371884136,1.8896826961927777,-0.30908518314063327,0.9924763886210323,-0.9653775300495114,-0.48704365733361277,0.5809582883918367,0.8127882750567921,-0.04068572253821361,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,1.635529327971572,0.29001810221540564,0.6037743687259487,0.38729023043362193,-0.751888574666709,1.1499067182680816,0.11182122054986383,0.5102474431294666,-0.7234958444085249,-0.4807646145470617,-0.7555720967556963,-0.4508626323175474,0.6239270750053241,0.08589945360217498,1.1408512642531226,-0.677359328236902,1.5203619556731347,2.154206687974875,-0.4660973343828472,0.942535290863256,-0.512969308183406,1.2324268605147033,-0.16744840637044256,1.4788793169273584,-0.5452007531527697,0.24234045098963491,0.22047856944745903,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473
SIDM00970,0.47699840145989814,0.06815208203162508,0.2927011409601079,-0.7355939801807603,1.0032059249628758,-0.23316708625249377,-0.6677257656857781,0.926248724312014,-0.8510645530002491,-0.08106132453348147,1.0350064504926018,-0.426249581568136,0.16764458696924706,1.5480021660770813,-0.258225501266485,1.2089254783997123,-0.9498949336668708,-0.25018499616597295,1.0638361103115348,0.08538813503852238,-0.10547988580351268,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,1.7772022885091538,0.3293145122295789,0.7419548768709279,0.8119872597350951,-0.8149726060877294,1.3507311932125972,-0.4620419677363416,0.8955143169693113,-0.780307409634175,-0.9071411571691793,-0.51640709843844,-0.1659027084924979,0.45443282534137147,0.016143176077876336,2.0377973060067225,-0.4642723288066422,1.3805714920566645,2.0836698866468724,-0.6567645675008575,0.9291838685627761,-0.46976142432206475,0.6516507787099076,0.07842511824996666,-0.6233670239583565,-0.7197542934563707,-0.20487850156093684,0.41264517800793504,-0.8051315465966639,0.024174200640533106,-0.3230373291454919
SIDM00103,-0.21195830567363155,0.11201949844336118,-0.11479201140650103,-0.8670659958030608,0.842042295483723,-0.28424573269653736,-0.7713261848266668,1.506035085821319,-0.7682631555429059,-0.33744940059802536,1.7208696588265395,-0.6938380170967033,-0.3199136617291577,1.3916393884940752,0.04614482880642706,0.9419679025363212,-0.8957544925934747,0.019129677406904372,0.2987497200555495,0.3180115715028042,-0.06847722136698463,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,1.6238428467390442,0.80055510601947,0.6115918772422926,0.3533626797819316,-0.8467818040121766,1.4511064022891142,-0.0009420409975655662,0.019609299068091418,-0.6547130715364519,-0.8709323542503448,-0.6990819511484635,0.2338331717362535,0.712262675342528,0.0004835080749557808,1.692495608595488,-0.8018036490477344,1.6791806603972717,2.343809602022163,-0.5608796842096238,0.7256121625759887,-0.7236374164487444,0.8649885642906499,-0.012228360223561519,1.12683149848289,-0.5742533021236681,-0.1470608013499035,-0.5946701851889066,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.1439342599588066,0.18691646827734318,-0.19522280359195227,2.4447941496261234,0.7998530910773893,-0.4922111936441592,-0.7911202527393741,0.8550364573565588,-0.7934670783701385,-0.604682494559172,1.421884080467031,-0.7207346332098546,0.1151396341686013,1.3033679463501235,-0.068863008347731,0.6750494982901337,-0.778794521329002,-0.20465054875850483,0.39520691193177704,-0.02466244936621206,-0.3555052293772311,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,1.4884797745308012,0.43598438125523226,0.5948286514554698,0.5203234391390296,-0.8496389728152324,0.7427837498526729,-0.4727299439307586,0.9111993007529532,-0.6946544374414192,1.332916152465452,-0.6551453960734175,-0.5567793975398857,0.22146994336583212,-0.1599034263136676,2.5759797624614174,-0.5568906287862644,1.2677237885106247,2.1912185207380555,-0.6844618064062402,0.9126078970805189,-0.576195003003543,0.975240071825603,-0.33462897669646635,-0.08315933928135008,-0.6595534890448225,0.12465917458109645,1.042684104369696,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085
SIDM01064,-0.1351704207431215,0.4878491632261718,0.314366468197255,-0.8145439237286827,1.1271093323880224,0.17604218848619743,-0.6515864183514272,1.1711456279706722,-0.7491547537256324,-0.7070937817670304,1.1257725690972324,-0.6653671393407016,-0.3823909016943919,1.9344409784512715,-0.06694816192885211,1.5397970858077232,-0.9169660559268452,0.25313698106360166,0.11711991448442115,0.8229557482483115,0.12561007301362406,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,1.7085587502100803,1.0024155733741154,0.8955226757344096,1.324784881453375,0.00999373611543667,0.8651038677438343,-0.6819687123538682,1.139741061167428,1.4889527258331234,-0.8499676609529545,-0.4945115889456618,-0.586809679121046,0.6996531597984946,0.11853981156144153,-0.7509793774513629,-0.5222596854068073,1.3996764346782715,1.855068768194796,-0.5881384431654524,0.607367515044863,-0.09958872918827921,1.6317312906782862,0.201441486318639,2.2707506791410754,0.5128280268281551,-0.4206900010717696,-0.661233852400993,-0.7788569289509498,0.8846240816513324,-0.3221179351293593
