,ABCA7,ABCG4,ABCD1,ABCC12,ABCA1,ABCA6,TAP1,ABCA5,ABCB8,ABCA10,ABCD4,ABCA3,ABCB11,ABCD3,ABCA2,ABCC2,ABCC11,ABCC6,ABCC3,ABCC9,ABCG2,ABCC4,ABCC5,ABCA12,ABCG1,ABCB4,CFTR,ABCB1,ABCC1,ABCD2,ABCB7,ABCA8,ABCA4,ABCC8,ABCC10,ABCB10,ABCB9,ABCA13,ABCA9,ABCB5,ABCG5,ABCG8
SIDM00519,-0.49405144836813164,-0.919912702165262,-0.6259335308441613,-0.9918480935024259,1.1678438935594289,-0.8415259735042918,1.8774137436730343,-0.6633859196312376,-0.5294845400431438,-0.8971237035960274,-0.5077219176590738,0.250390619757793,-0.7613513937051286,0.1857484915697454,-0.8044757319936929,-0.7231307037048202,-0.8932461312403037,-0.8299719073898277,-0.4397686012820596,-0.9869351137025887,-0.8039223951200284,-0.13464374741235854,0.14933034138576676,-0.8342033022983021,-0.6025628932095197,-0.8966403150342606,-0.8664959692990208,-0.8617471149253991,1.0853420763064987,-1.0382088750439087,1.5963152859215195,-0.9183027147889872,-0.8499711927994676,-0.7478087842287161,0.6581797909181801,1.303198778223873,-0.6881898725677765,-0.9761944024544621,-0.9349713678308598,-0.9174298593008517,-0.9789136768165152,-0.9785651850812214
SIDM00917,-0.4554906993860514,-0.9756314205633734,-0.817044922920671,-0.9320514611097943,-0.7774772040764786,0.4872817175918489,2.5830140794243523,-0.43412051166074,-0.5443004354758362,1.4387475938206302,-0.48113522109208356,-0.2831992458783664,-0.8045840026252978,0.30437759629663613,-0.9330429662645844,-0.8271642930404296,-0.8009144010023463,-0.8990753544847334,-0.5730196380026265,-0.8150921340575753,-0.901576147120255,0.711990146330538,-0.18124932271753758,1.624865468304172,-0.633468065316571,-0.16129246246809606,-0.8696775084180387,-0.12936541022074108,0.6281950682274493,-0.9610490317623547,2.064222778283654,-0.863090366700488,-0.707183779101582,-0.7117279344976535,-0.26852644485570626,0.957355061809731,-0.7424609822435894,-0.7702307707259007,-0.7772330777105263,-0.8855135190663898,-0.915609002477533,-0.8631738603495941
SIDM00309,-0.42790834881819045,-0.9195550591119884,-0.5682735586110231,-1.0140270891066794,-0.4341671248908563,-0.8439588159296859,1.6256012349893956,-0.24721419536702932,-0.49671580546821825,-0.8285469254437525,-0.43759116433858386,0.6545000860167504,-0.8347693634833562,0.2937070527947327,-0.8601693825793352,-0.7486611759819025,-0.8154857740878718,-0.8694622122627711,-0.7759852188026876,-0.8902923449114497,0.3806790218973138,0.19947470168903814,0.16664231572963778,-0.7198840942279382,-0.6762554186015822,-0.8133034465018425,-0.8444521280594237,2.044774031231466,0.8530639082720205,-0.9622037703256336,1.466156722455228,-0.7382307418636149,-0.8860935270090299,-0.7565343794857076,0.494972134564718,1.314746325059782,-0.6983964161268739,-1.0316632432421344,-0.852998542419009,-0.8470533490056734,-0.9045001769025129,-0.9376457302549556
SIDM00099,-0.6523112790246446,-0.8967563668670306,-0.6014015634392791,-0.9617611829949786,-0.11636030151300474,-0.9577538408113349,1.1543223341610744,-0.6586345986597113,-0.6156965599219009,-0.9823624111749071,-0.3683867496765151,0.09425755963886018,-0.7883601931011769,0.6780944096886731,-0.8079487157864548,-0.6336525277678917,-0.8697311636791832,-0.7564165745350964,-0.002826382767093354,-0.9351342951109272,-0.7729244414014069,0.5218212573920977,-0.04406299263714597,-0.7902481231698181,-0.3155252702205952,-0.8502699539268768,-0.7927493895234924,-0.8270481380977348,1.0643663534127346,-1.0166406692382568,1.4645798995134676,-0.8439675383827584,-0.6875381503744783,-0.7704638856423289,0.04900314332907559,1.2044828532189842,-0.7612968968073532,-0.99614253649874,-0.8331809069076587,-0.9001109536351872,-0.7683841615428784,-0.8704025601492525
SIDM00276,-0.34930774949707466,-0.9515159844374113,-0.5613525085958819,-1.017373740971611,-0.7381802989533521,-0.986827053627995,1.431995758667243,-0.7758754193101892,-0.5067804700594427,-0.9894431718701522,-0.38008426680983837,-0.738541391076054,-0.8947247710736714,0.623951470484178,-0.8514810244998955,1.157001588480598,-0.8115856976159167,-0.7979145881946214,0.4358487121202672,-0.9584887406105174,-0.6577542619416687,-0.6653204163365315,1.048503899701436,-0.8093008924553414,-0.760571936258552,-0.9236302826609456,-0.8761684013512079,-0.940347005614751,1.0297705211700359,-1.0207243371141779,1.7783719957336879,-0.8991809909230539,-0.6361805998126349,-0.7109465208184349,0.010101825994200838,1.5008532805512302,-0.6851670921664883,-0.5031121730899452,-0.8853059725479389,-0.8151031289540331,-0.9061618973664106,-0.8148050270896487
SIDM00311,-0.706524855052333,-1.012135954828423,-0.43468965155729095,-0.9064435735222184,-0.6030682535648907,-0.049544418714557274,1.527369846736349,-0.3428574564953322,-0.5579647525970208,-0.8919916335002508,-0.2772984445043173,-0.48568145117428535,-0.9070044945007891,0.5214735628234435,-0.90894741819379,-0.7796358161091139,-0.8587252634099528,-0.8171324044129352,-0.7119541684194591,-0.9144397673376978,0.23800288867851785,-0.2377733094601428,0.5208209188711074,-0.8468722732653265,-0.8577851286911419,-0.8259635333918882,-0.7883362440832801,-0.6464461765108825,0.7003402445099186,-0.9716934718407712,1.5692014832119852,-0.7384438886796473,-0.7165836396925223,-0.8016667544633265,0.23746515017378847,1.2435721100979797,-0.8050975302640047,-0.8226890679123049,-0.7832401923549283,-0.884528685458007,-0.8170806630399956,-0.6942975423740365
SIDM00970,-0.6522299368995749,-0.9977220060460171,-0.8164558071809768,-1.0541612518562777,-0.41977026541835155,-0.9139883445191472,0.633849371360299,-0.7908969686115782,-0.616711890492675,-0.2237621837481732,-0.2906441323054481,-0.6753051884255884,-0.8274659440475997,1.398697837597897,-0.8857364825303571,-0.7872071765034117,-0.9143070069113098,-0.8725568911749174,1.1304651118684579,-0.8881600375914782,-0.793282386793761,0.8368843794671682,1.0574671803579228,-0.44854944022057075,0.5738266821603327,-0.8766112452956167,-0.7757611177662844,-0.8953558658824403,0.689132076319165,-0.9899268711348522,1.4350698862136795,-0.9234337296103079,-0.7189819809387699,-0.7936712529777532,0.38663993186265605,1.186829139018396,-0.7749650127914157,-0.983225347232082,-0.8631888845801003,-0.9160967376543125,-0.8380239332280592,-0.9147498020285327
SIDM00103,-0.6307472687255533,-0.9305272755666678,-0.3916889801883835,-0.9063363259332251,0.6033032401311192,-0.8887462039308194,1.553491247129207,-0.6977440444857388,-0.5499607112235166,-1.023784906498182,-0.4541910634011493,0.11550003349220478,-0.7989593964252764,-0.07311421818607731,-0.7896940710459421,-0.6631069642731398,-0.8116143129340454,-0.7007386187140172,-0.533606303814481,-0.9572016259773228,-0.9341924798469241,-0.07687635866155282,-0.1526921503926763,-0.8098543903361417,-0.853736825845845,-0.8219000241381885,-0.7377227514563173,-0.8693723623144779,0.7295646475422068,-0.9506905730519832,1.614798097697098,-0.6224275359279916,-0.6948636120726894,-0.7852730549975412,0.0617447722022053,1.1275980819444793,-0.8215483840533291,-0.9456346926138912,-0.7696864311829305,-0.862560465384948,-0.8211880676867657,-0.8557284279282339
SIDM00266,-0.549461795767539,-0.9371528529851489,-0.7788074319164031,-0.9610584746014189,-0.5375538676191515,-0.9087479550010992,0.4710524905673902,0.08503841580536346,-0.5855580387401996,-0.8525867673536738,-0.3684542140894549,-0.1576782121811162,-0.7167378608025282,0.6360173900427324,-0.7412687752958931,-0.8465067676524457,-0.9086893277177746,-0.7823932890025657,-0.7548092558744625,-0.9525783127763942,-0.9554519151421111,-0.30288037017545766,0.5598605144991652,-0.6837059460649848,-0.3773082239610218,-0.9527586035403359,-0.8001194398487154,-0.8495218275631513,0.5526505595204196,-0.9951008851110316,2.0124316175545545,-0.8657617561368176,-0.7053318933438067,-0.783658266802532,0.09342577542568596,0.9398444577606756,-0.7777838586750006,-0.899287360393651,-0.8484331643310203,-0.9013829767448951,-0.7713904484753291,-0.881956259689437
SIDM01064,-0.3396277240198692,-0.8344060642142455,-0.6052834092728161,-0.888496051997393,-0.9173526530135864,-0.9491397298358971,2.296593853517435,-0.9451705043471798,-0.5131325621797366,-0.9377149576756918,-0.1760869891502627,0.521987057418643,-0.7978382270556733,0.7418427432511318,-0.8134371692089298,-0.6012164930488092,-0.81826661941587,-0.8161725812979086,-0.8230856834921284,-0.8554945893267006,-0.13549307402978972,0.3611967805388998,0.13713607669191433,-0.8240015900304517,0.4086369072542296,-0.8885254624214268,-0.7680449572161135,-0.7062762756588188,1.1383594247915931,-0.23878091229230103,2.1979269759514306,-0.8677111442302312,-0.6671242690992637,-0.7782550375020066,0.36286625707047443,1.693390639994625,-0.7866217059739992,0.7117114161803868,-0.885933074889062,-0.8719917568914392,-0.7854256347629613,-0.8950445475701972
