,XRCC4,POLL,POLM,LIG4,DNTT,XRCC5,RAD50,PRKDC,DCLRE1C
SIDM00519,-0.4134074595681033,-0.5883448472902051,-0.4361371265460383,-0.3638388538031675,-0.7329673059587991,2.523708500832278,1.0339972357348755,0.7712693702456251,0.3153143342340417
SIDM00917,-0.29388002258153323,-0.3606444053661256,-0.22640269043753725,0.36723837250786334,-0.8855444982355947,2.0798321053908633,1.2720269470242367,0.3681638250949418,0.214209424189237
SIDM00309,-0.3003063690868415,-0.5923679215341436,-0.4215391988731998,-0.2998286888506747,-0.8205679669372116,2.060246069053044,1.389608899044719,0.48163093095503606,-0.025418220725526554
SIDM00099,-0.3064121632418802,-0.37262903517305546,-0.4295540340440104,-0.4946595412779736,-0.8031798939350149,2.2946103878253483,0.9652393684665017,0.8644743190982658,0.24383052607199937
SIDM00276,-0.601373175289256,-0.5252992324074163,-0.5934369818833918,-0.6764771832717212,-0.8074304723407004,2.2396242105818147,0.1582589669258244,0.5455211173417305,0.2807448993169663
SIDM00311,-0.3240071385847452,-0.6072874021466009,-0.5554341197759772,-0.3688097834249595,-0.6569317216884515,2.2640464390948596,1.0716548758971995,1.0463128697884665,0.4754192368813825
SIDM00970,-0.4514297104536819,-0.7032420513870626,-0.6344852837737182,-0.5995577209921008,-0.8322667866286292,2.426190674367415,0.3282879776001414,1.142742122728677,0.5805773448245675
SIDM00103,-0.34107195531924517,-0.42411721729313917,-0.2776524013707515,-0.41029428982181326,-0.716279811247124,2.3559754595517046,1.0223892119310083,0.8241035867209405,0.28929450519452166
SIDM00266,-0.6086874827878562,-0.5959847380019585,-0.5300637283715933,-0.13483509231130017,-0.8766529294557345,2.3833204777927137,0.7512350807313597,1.1207625645288612,0.06890060962795243
SIDM01064,-0.3648860194587174,-0.6028494143890496,-0.26265487896395306,-0.11199686215954392,-0.8312432449113147,1.9935670639097622,1.254805147119032,0.4769162338665905,0.6790225049114134
SIDM00098,-0.17859247366035447,-0.6813221798299006,-0.4843142993839377,-0.004867248795480588,-0.6906827143450863,2.5994867558488415,0.09845581403636036,0.8772941200285167,-0.24418739175052973
SIDM00225,-0.18228950126478827,-0.6774270328608606,-0.4867306996450755,-0.5666646578785458,-0.8483585124590916,2.5375317707924543,0.39546726770478274,1.1027650955896289,0.4520738315129184
SIDM00846,-0.4349324061238203,-0.583867156543884,-0.5155633267187184,-0.3537890483936692,-0.7903152005546841,2.7276567391037307,0.4963575503470923,1.0612187177095544,0.16787935383303165
SIDM00291,-0.6251657830989111,-0.29236642593892603,-0.23737706083229346,-0.5095509141405598,-0.7867180254699921,2.3059427092048086,-0.7005279076087919,0.9467525063027487,0.07201822322732532
SIDM00520,0.0066664829070619104,-0.5926582843763152,-0.575463439041277,-0.506864472664419,-0.8303588489064664,2.302811819125062,1.1522796771277481,0.47693795246235166,0.2548626498622322
SIDM00003,0.014780647099052531,-0.6748391873500701,-0.4766980462346619,-0.2749724276856692,-0.7466271075109547,2.55605796782586,0.3057645756695938,0.6500152641078896,0.8896309047948339
SIDM00136,-0.02762838169664382,-0.4213495485507728,-0.25814282089155577,-0.2763891437292509,-0.8000336846425165,2.4910506563578942,0.9506817697162326,0.6124462939491006,0.36555919186746627
SIDM01155,-0.09651751154043545,-0.7017370132342736,-0.529219772997177,-0.31623139833900227,-0.7392937359212713,2.3761864379159743,1.1100748247243144,0.7033976657322741,0.3170356364823173
SIDM00224,-0.6108760115145447,-0.5945618406968752,-0.5710227047173805,-0.2349584370887433,-0.8019980147526713,2.346664165212425,1.2943391423353408,0.6364638249347594,0.053631472653527974
SIDM00783,0.2494597577383036,-0.4848523238947963,-0.4622944837365854,-0.18166912863982515,-0.8063189287998999,2.577918162508345,1.0162172526548594,0.9205632498559425,0.417556039494112
SIDM00490,-0.3652369675125953,-0.6699222885768665,-0.42971274815459287,-0.595257753214711,-0.7705745107713883,2.2897502492111563,0.8005048583713864,0.5807311641722237,0.011899421411314176
SIDM01090,-0.4116135837286486,-0.4515470807061287,-0.5877963401739614,-0.29864536551344806,-0.7583651231813449,2.4190905109728917,0.5530140943507397,1.1330818357210424,0.8933682596229368
SIDM00394,-0.04332904697478385,-0.5312971185860811,-0.450999282865226,-0.4515825136381476,-0.8485733709504811,2.199424942051224,0.9058203408827946,1.1136297482933681,0.635651328388493
SIDM00538,-0.2627861082185921,-0.3746182317182729,-0.5277370627732967,-0.48926519865219664,-0.6920528270220628,1.628265649514136,0.6579440681581543,0.47659297885282165,0.5721172046285897
SIDM01140,0.007656161112072402,-0.4627455560956878,-0.5576283048385583,-0.42096520966856865,-0.7949775840523922,2.642883481717974,-0.026754898516537198,0.7448904287644788,-0.21792888787228804
SIDM00101,-0.42371934369001146,-0.40370623076596035,-0.21501328953312482,-0.5206172584035291,-0.7636222892708538,2.322100884750528,0.7639802959553155,0.6831303323912462,0.07904011215344865
SIDM00114,-0.3825496070374814,-0.656322437443375,-0.5979436901229987,0.12751436700202612,-0.8755353508143268,2.187651678175941,1.1257412394294986,0.48261239004601586,0.46230099003579517
SIDM00102,-0.2732478392078692,-0.6139638242224402,-0.3938060978221848,-0.4915881198055395,-0.7961924534729979,2.353231187339263,1.0247396834293918,0.8543681268127165,0.1605061097218295
SIDM01122,-0.6047686861456038,-0.6283598375150808,-0.5057745712403501,-0.5834644048365882,-0.8360163286248479,2.3181124435922764,1.1277334860517922,1.1018199910109034,0.43928002840500485
SIDM00261,-0.4351482359770287,-0.49897113949653166,-0.5294131384386757,0.08130476856223086,-0.8339834683402598,2.392020952091485,1.476395720126227,0.8293962322574082,0.32926620829302855
SIDM00154,-0.25513230437716705,-0.73644597386466,-0.6484136978861208,-0.22940101013566136,-0.8232397937277728,2.4263649331809045,1.189073030038358,0.5889581664254894,0.574856166388263
SIDM00104,-0.48592243788388945,-0.5004177831724724,-0.4764019446780102,-0.3631587391625323,-0.766811936556405,2.1059217434216406,1.1498818493432734,0.6221158929397427,0.20736714840843806
SIDM00267,-0.21752460229307957,-0.45259553565090405,-0.5292597089204077,-0.44786704981482744,-0.831553264605185,2.727188743956199,0.658922164532868,0.9217980564839336,0.619053568159261
SIDM00100,-0.630741476144165,-0.6620167614387338,-0.607102622374975,-0.10360153796668821,-0.9111455568531183,2.3424727019267726,1.1516605056976585,1.0954510753163487,-0.4531751507816236
SIDM00826,0.2801423327403298,-0.6088967150106152,-0.3269184470110187,0.26420864793808296,-0.7606747247877325,2.3736802010434532,1.1067209092635037,0.42224342897589767,0.2037843367134577
SIDM00310,-0.20556459915499814,-0.5984511782094767,-0.4826754808177816,-0.39566002597950684,-0.7885749211628637,2.1074604787035303,0.3196091764025669,0.7956399864505729,-0.2561215657356752
SIDM00482,0.34463210041417175,-0.5216533021038978,-0.31999830388879796,-0.07284771120589185,-0.6844597127932287,2.464933471668886,1.2562174549828042,0.7895200995354235,0.5366809889440862
SIDM01247,0.02806354961176331,-0.6863799690270044,-0.39037651090808156,0.3960080715644378,-0.6143940987725046,2.2588832379990786,1.5163944704814216,0.7637366027848759,1.172576953651603
SIDM00817,0.4001736234191569,-0.46291491313460453,0.0019412953574555656,-0.366056738386558,-0.5532305780802237,2.4898865608906466,1.241945898217928,0.6568285131108801,0.8434512458648025
SIDM00448,-0.1856468370219551,-0.6020795114966196,-0.4442935808743561,0.23053909334874553,-0.6647124272521676,2.747162600645424,0.8326274928176042,0.8811656937488546,0.19619666246011447
SIDM00086,-0.15702376153744987,-0.6957110888681717,-0.5973094664521162,-0.4345945493792963,-0.7418687809234441,2.4853077778308337,1.2055938296969961,0.5999433379584757,0.4665822462949161
SIDM00466,-0.3560935180267955,-0.7603908065812317,-0.5250562611839191,-0.5944558454575877,-0.8009652807663102,2.4425585699167454,0.5752496527153179,-0.02263533859779542,0.7038979913349807
SIDM01132,0.13989706178641703,-0.46726963192794313,-0.5250150175636931,-1.147381110499374,-0.7133016275837121,2.5810370177180446,-0.36709285738916897,0.9954395318399702,0.2146613428781983
SIDM00465,-0.2316468375156911,-0.5035399873678679,-0.4926044233866875,-0.12656618809671633,-0.7520741396854599,2.4415680882589452,1.028525803638218,1.2807585850523189,0.06450637701554433
SIDM00565,0.05801046088265487,-0.5495723772029212,-0.5563324469898285,-0.3690179705311436,-0.7331790383736504,2.1812623333207366,0.7972812386158936,0.5336276162604918,0.6787657803355408
SIDM01092,-0.20907386107499432,-0.552794165068671,-0.43430977908598606,-0.36824179432019327,-0.7678927187890823,2.551165534986852,0.8156271811122113,0.6641937646426685,0.32794781618190394
SIDM00218,-0.5515808756671834,-0.6425710148372692,-0.5627006683104344,-0.879125193084904,-0.6858189208248964,1.8906887903237195,0.07453231007591808,0.2892336741750118,-0.42940100286361266
SIDM00044,-0.37612569161246745,-0.5909568656940898,-0.579856828177958,-0.8370752898870231,-0.731092094280065,2.2039482654414986,0.4878473507043783,0.6114513730952683,0.5044793740093376
SIDM00362,0.6183034563051036,-0.6774225358733691,-0.01165750654280535,0.8431477029853918,-0.45178911885021794,2.5648699677729914,1.0486068463767657,1.2860582876036535,0.9603639461635315
SIDM00813,-0.18384296215215465,-0.545651168701878,-0.38163963545126184,0.09848686906893091,-0.8315181163919424,2.1865862216584238,1.3983091819991906,0.10853568644163934,0.14662392941458877
SIDM00364,-0.10004713436038794,-0.6521469441984428,-0.4157059118234557,-0.4325070372122136,0.42270921265725514,2.5681916855223283,0.2629450029792179,0.670347905860874,0.34999174304742575
SIDM00792,-0.30902608550803906,-0.7267469934345169,-0.5691385653143556,-0.6960411176837906,-0.723975516285163,2.5060491319981764,-0.08800993191208226,0.9195061113129316,0.39889475509801714
SIDM00241,-0.4493769972742431,-0.693658319392879,-0.5233219066918148,-0.455364941653109,-0.6972948277359154,2.46968427586537,0.5990557692132352,0.7900578912003577,0.39429605952941044
SIDM00091,-0.5643709364041465,-0.6581370655457758,-0.3735473778935343,-0.16520697160416425,-0.7737460837224912,2.616661016152208,1.1114129740228167,0.7825810294739353,0.10770093558832806
SIDM00427,-0.4655773333810257,-0.6118740102246729,-0.6201745899906275,-0.17237610093956696,-0.76299590238327,2.359425686470258,0.9966111327962353,0.6319942724895444,0.14476672145768651
SIDM00758,0.25751242232233124,-0.3905741337935703,-0.03485850241226972,-0.40099912099756563,-0.6839913011232774,1.966217068568906,0.9615578116830766,0.5938180979137286,-0.16030312955750695
SIDM00612,-0.07359387185449454,-0.7046571350324972,-0.5388939935239824,-0.4160388556052542,-0.783097693512025,2.3311194030175098,0.6007632323416693,0.736600703426665,0.2867459750098271
SIDM00553,-0.044664911101071014,-0.485478681798786,-0.14035035351636888,-0.31142716645623486,-0.7394517958867114,2.5144453542008405,0.8301923071197509,1.0376583054986976,0.9626767079963544
SIDM00343,-0.09758119832204722,-0.7109429415535709,-0.5773525441539145,0.18832517260531384,-0.8228463311059091,2.245088325254847,0.6951904624936843,0.7562748700281264,0.1259459416241353
SIDM00543,-0.5001283087724291,-0.5097146454683381,-0.16759298598113406,-0.26853110076023057,-0.7734736009496743,2.0517172744301213,-0.3188959392302491,0.6038417421943086,0.3099181554180254
SIDM00537,-0.40952653081133644,-0.38913530608012775,-0.25535337390548746,-0.33702974336569497,-0.7050139601852121,2.207055130313943,0.7756908264217927,0.34436885260139105,0.357556221231117
