,SRM,GLUD2,GLS2,ARG1,ARG2,GLUD1,GLS,ASL,P4HA2,SMS,CKB,NOS3,NOS2,NOS1,GOT2,GLUL,P4HA1,ALDH7A1,LAP3,AGMAT,GOT1,PYCR1,ASS1,ALDH18A1,SAT1,NAGS,DAO,AMD1,MAOB,MAOA,CPS1,P4HA3,ALDH1B1,GATM,ALDH2,PRODH2,OAT,CKM,SAT2,ALDH9A1,ALDH3A2,GAMT,PRODH,CKMT2,ODC1
SIDM00519,1.265043644054707,-0.43800582839538643,-0.7205424237967444,-0.9697469674767563,-0.7081744657862092,1.8961743271692626,1.3966387516537488,-0.39124288075838537,2.416497682187884,-0.8339410542407065,-0.2679887037105103,-0.6838417718551728,-0.6331306056587033,-0.8581953720467783,1.1210229936151281,-0.22957847414395158,0.7382393474799182,-0.04734848633950823,0.2079635061633634,-0.8809312395259629,1.4784153732692813,-0.08396140695376267,2.9078027329946496,1.2870183942233604,1.467804031064745,-0.6387384112850791,-0.9733309226715656,1.2758748224426115,-0.9138550965516653,-0.5284558265761403,-0.7224652878266823,-0.3506120364063342,0.3268015394243121,-0.6667399328066705,1.5815824349005054,-0.7680709051843915,2.6123329394535864,-0.7834855617679437,1.956076307042014,1.7085690665840134,0.8409676884375483,0.9350684637045552,-0.8186677107515982,-1.0509995358936581,2.0653201219581
SIDM00917,1.2401493367534466,-0.8470976652522795,-0.6959647835206765,-1.0176526546359927,-0.5509593854040974,1.9383841622630822,0.8456341602327946,0.14109862261796513,-0.005066097622211699,-0.7829008177999752,0.40360906942519875,-0.6702079367432965,-0.6323221672871422,-0.7901190618414349,1.7411698039792476,-0.6187601879468131,1.0368902531970405,-0.7657183485170751,1.723752529732644,-0.08838660206204618,2.35277952475545,0.44694074760116653,3.5046092407163556,0.8985715650404297,1.6907482660237552,-0.7120411224099955,-0.9497741463757655,1.575351596257296,-0.9583647591876644,-0.5839396790370103,-0.8480839857654019,-0.6328172618735501,0.16178218933883895,1.1202627581173872,0.9875022302127456,-0.6971231498263636,-0.8069357033488798,-0.772802910780287,1.9220742871501657,1.3250852221660985,-0.5058578943192685,0.14514851026724382,0.006413267579982206,-1.0590586824456758,2.0015978048671488
SIDM00309,1.4933181693206452,-0.7250433898221245,-0.6598265686516978,-0.9543790701519472,-0.42568698720731174,2.101566858909275,1.9918944994714156,-0.3411698799966152,1.887751621013198,-0.7279045379574769,-0.4050992096063175,-0.797474053571878,-0.6793310402760483,-0.8456682406461499,1.7269882951436972,-0.22354695052096715,0.31860557168905634,0.24218797152292582,1.3772620146093784,-0.4136316463471173,1.4314193353066715,0.4932747762567314,2.3420065136305697,1.2711054896832839,1.5071681084700892,-0.7710167990702178,-0.989871805252933,1.7576998350331159,-0.9112056394858054,-0.6167469588872668,-0.7191086133707623,-0.5433789475380626,0.9844704359577299,0.07213254855337077,1.6300128197525552,-0.7705783011882298,2.735674792378773,-0.7552566259989735,2.0074665268764416,1.8339944601095088,1.4691261244116733,0.6536207748731141,-0.8093779172400669,-0.9810675983259886,2.7843023063782315
SIDM00099,1.4689708733197107,-0.7972808918422636,-0.741577316538603,-0.9665061441098451,-0.4885429014542533,2.3658472768852206,1.5076325707256926,-0.40450009510587737,2.089291036600402,-0.7285946436823303,1.6983597366437924,-0.7031491897666944,-0.5965254590731098,-0.889306792091601,1.0698879483084118,-0.3209482784816685,1.3730606805568448,-0.22052098185750413,-0.014725645174205835,-0.7721604658884977,1.8518056517128079,0.8073276927325036,2.6536721777762833,1.3241658147675333,1.7347435930957293,-0.6720024040750596,-0.9074853391700546,1.4418061797883606,-0.8322537728278157,-0.6002430034108348,-0.8902330083071053,0.06756910853560492,-0.04974230606188002,-0.8985759948747049,0.8255992518663462,-0.6391176528969801,2.375915977137759,-0.7721560734664652,2.03577069499805,1.6297378894987773,0.832568243536906,0.8569512695864289,-0.9472648335330163,-0.9407866523528007,2.5138790252746563
SIDM00276,1.6302237468058887,-0.7121125296787959,-0.7954865891823367,-0.9089286202196547,1.004493642951148,1.9279388020177153,0.7163794960149816,0.2427400401097412,1.7634357142904233,-0.8133339904605756,0.6207494961490155,-0.4236450646729623,-0.6810067277751112,-0.7513960091459745,1.8041537888618802,-0.03228563278176348,0.46485183664365737,-0.2715353348482606,0.6079452284964039,-0.778246192829458,1.6686750759342417,0.0901967342715947,0.42261249736314677,0.9004316199538054,1.5861195875726892,-0.4296052114692509,-0.8450532240885481,1.2929900340282479,-0.9348952740669156,-0.03844910393050507,-0.9324145952233631,-0.4746451548415204,0.2367673266587503,0.6806160649123725,0.903857136505525,-0.8110179640672049,2.2769956091165198,-0.7662232203014292,2.0161121458565012,1.3776031459929157,1.4218166096185478,0.5299259292038048,-0.8398491133793389,-0.965728351860735,1.5640216781455674
SIDM00311,2.019113746757003,-0.7863600650040056,-0.8100911738238447,-0.9160548823347316,-0.5393621142271714,2.0651759853800185,0.7639403769399651,-0.28993904793207126,2.7247093640056614,-0.8243050477368966,0.3062052262080384,-0.7892409548241577,-0.7367984097517243,-0.8170338047222186,1.3287603098325493,-0.5665916100689014,1.6666857896275484,0.37060933935053214,1.6873910413251691,-0.8596249622643605,1.2245965676561699,0.686406073102516,-0.05478624323998392,1.199513803354122,1.0406249634832587,-0.4640031098841051,-0.8574205400741357,1.7296596211920425,-0.9548943350972524,-0.5835144092171077,-0.4678481896638572,-0.3613049736719497,0.5375278773673092,-0.8435180285003817,-0.39572946679666754,-0.7969880721161717,2.3841054808999207,-0.8090079836439673,1.4207213230771185,1.403225295754775,0.7039665427985154,0.583641398830122,-0.890519911205858,-0.9503276692334452,2.539045279415608
SIDM00970,1.6828886966493928,-0.7319076005933005,-0.6285356254317156,-0.9162591314873658,1.5321817057410991,1.9179638334438662,0.4092612260199761,-0.22784634362416634,0.9538348557461697,-0.8954558190393963,0.30968834611537005,-0.8593532855708754,-0.8191555360615993,-0.8307747727808694,2.000186856970254,0.3611550038706518,0.2516973598786182,-0.6490675668523387,0.3953463617241305,-0.3068809209885119,0.460806940540381,0.19272190080521476,2.252779221026614,0.6421738081203832,1.2667625206229494,-0.6450883902846256,-0.9936807912859938,1.7416126196571975,-0.8974087032951485,2.014621095806215,-0.7405674229327486,-0.6195904831518456,0.33591301963711573,-0.8573359598168345,-0.7201920148016463,-0.7984183590506565,2.2201622133975327,-0.8376457392022955,0.8954782804814851,1.4491222181167558,1.0380871160648786,0.43973616458774223,-0.9539362479933285,-0.9477125088425377,1.7641131068923004
SIDM00103,1.6311875056487737,-0.6959290191350921,-0.7279784096511676,-0.8587129323473475,-0.5746288710781832,2.1753058279218815,0.7476298930834242,0.17534312316277298,1.5106710177851104,-0.6303944617303543,1.6942613499254269,-0.6093430879671461,-0.6445999849338306,-0.8198624622143239,1.5256760200002415,-0.2692161472302321,0.009172912733802474,-0.2946678181916362,0.1641086574777166,-0.8780459271324688,1.5975954047381216,0.17858619168231274,2.7237131824493326,0.9034647190348731,1.4866529556614934,-0.6124911073258105,-0.8570364813733722,1.3771884680025426,-0.9148178940841195,-0.6026042715409793,-0.3848948873283412,-0.18411276294400658,1.2594088871511915,-0.9173526502981728,0.4389370103908405,-0.4534287775094983,2.480470788708389,-0.7782003136234829,2.1178416211703945,1.9695101279538043,0.24834820655537557,0.930730015267251,-0.8762272451891543,-1.0734422958890588,1.6914407568994079
SIDM00266,1.9435217453244567,-0.8714839814776341,-0.7929109142488646,-0.8940862519200811,1.6268500114471403,2.264377989136242,0.4424743232511456,-0.34405018235332996,2.2337083718774213,-0.7862531755837845,1.4142280185489857,-0.8358855079624437,-0.6001897490612128,-0.46341943486929016,0.9499497386654009,-0.21619384462491664,0.5772469080825818,1.1381351972950031,0.2389111801250424,-0.8721196738433803,2.0322948148693776,0.6865518674065915,3.055028041140887,0.7205790813603747,1.6768720970588946,-0.6035775213664433,-0.979367900120799,1.560411122281358,-0.9137155544298667,-0.055017167614877675,-0.847591396256049,-0.6664106086111804,-0.10244850770486642,0.19500029505135003,1.6582370703601024,-0.6793032672394226,1.2997851744117044,-0.7982598457623765,2.185254668917117,1.8155206378386164,0.7871429610249502,0.5905378976565736,-0.6534905812384459,-0.8603417094557463,2.481160321277678
SIDM01064,1.934369961966477,-0.7214233637431751,-0.7837122339536081,-0.9494168230417425,-0.41572673516914116,2.1294581108023913,0.9271711955697693,-0.3903991737605278,1.8150565550949964,-0.8536832036649854,0.5472820780761072,-0.7148353963249289,-0.5907150346783359,-0.8467547284349406,1.5990866417189897,-0.2208262465295961,0.4831323557410645,-0.6808861758033511,1.2926019289491277,0.39110993761026586,0.9017363021670682,-0.13566901183067276,0.5921050550295004,0.991227384872103,0.6425758722354076,-0.4761164056757075,-0.8642443657633396,1.749946475362594,-0.6821606625204357,-0.6308339435187512,-0.8724929128733164,-0.6665013832248926,0.5992779551442026,-0.6070178897731012,-0.7301487036633993,-0.8890383741652957,1.9220408905938693,-0.8464199922621216,1.0291431348665763,1.1305584264127977,0.4509594922089069,0.9884105681359444,-0.8185476787598982,-0.9792954178839999,2.7355063187965105
