,DNA2,POLE4,POLE3,PRIM1,PRIM2,RFC4,RFC5,RPA1,POLA1,RPA3,POLD3,RNASEH2B,RPA2,PCNA,RNASEH2C,MCM4,POLE2,MCM3,MCM6,MCM5,POLA2,MCM7,POLD1,POLD2,RNASEH2A,POLE,RFC1,RFC3,RFC2,MCM2,LIG1,SSBP1
SIDM00519,-0.06955729515808831,2.1384924272638086,1.6073513967262383,0.3046025336418704,0.021627167260782138,-0.7856649413334567,0.6259420829693065,1.0199962751745408,0.7635070986088709,1.4185303772704332,-0.24936848684332732,0.7433296168490909,1.297476143247851,2.7327606858126208,-0.05093578465405354,0.7291136048405075,0.24244362235961178,1.5972849003066958,0.36619745538124093,-0.48156541168806793,0.5089204496990921,1.3502453496187072,0.3165848762445895,1.9498326923352205,1.1253802304669136,1.244519140816281,0.9144054890035103,0.5878876220118293,1.1961362456712947,0.4708626035806829,-0.016370748055882494,2.497366567933896
SIDM00917,-0.6324256480168327,1.5930643807548268,0.5981325387676407,0.6032860519805713,-0.4020795103376627,-0.824680528625459,0.06442434817354681,0.8938098834241912,0.5870802938651745,1.5723315369111255,-0.15151569130918577,0.8208280872300537,1.9387927910450704,2.779375140962102,-0.14438877954656962,-0.4933470119401825,-0.20664857677765444,1.0378177051407955,-0.04061503338750357,-0.14777755547487145,0.6569075959172628,1.119265564733648,0.23644065543540851,1.4422157912653375,0.6908791220340144,0.5171258587718964,0.9027227627811961,-0.010147148589549043,0.18956200078510252,0.6577435823522039,-0.006317452076907383,2.2412399935990788
SIDM00309,-0.30674591082007197,1.9293256216064725,1.116975470976379,0.8736839930386013,0.0437712156711973,-0.7706286476749068,0.9041138267707612,1.020300056303163,0.6453680523523674,1.5183868527498223,-0.13277874643576304,0.8835387372758452,1.8772496252033897,2.2400897259658406,-0.23910654382077373,0.41648291614770677,0.5574197552918685,1.597842334290358,0.42962447769346723,-0.45324007824904816,0.6599843685018182,0.9445264823500557,0.4855099255343653,2.108978496090682,1.4970297163527932,1.2703486173462115,1.2728908357743036,0.6210633918163055,1.178023496908233,1.1109900864679823,0.32736060045912824,2.5575664556560054
SIDM00099,-0.21908838437979838,1.250313914670259,1.413661242184991,0.11961214082244641,0.10357465331095007,-0.7901847092549532,0.6954371178230333,0.8306037336091929,0.5577426820450933,1.2716767434247465,-0.07231240517742589,0.18245214169122137,1.3293418742384464,2.4102379300946764,-0.22632684107688583,0.41533620302225316,0.07513913432336514,0.9043442353673667,0.2787769712116931,-0.5893896579242803,0.22439087112385872,1.3667774984354175,0.10783445113612303,1.8477326628684752,1.0788277078933466,1.111600889298744,1.1009126097878976,0.14225917723915335,0.8881965865120495,0.5723819558706408,0.06536540432971216,2.37633818374597
SIDM00276,0.020924703261012173,2.0742521001204244,1.4886599059213106,1.4268567505514762,0.34017657826310144,-0.6839707246044628,1.1933196349360378,1.1210831579637184,1.0358704663597806,2.0597926609058246,0.1381613907523391,0.989044544349241,1.5020510570202696,2.807448987669273,0.4656166573972421,1.3897904715236786,1.0541791905589033,1.8728748962539878,0.016422222814957928,-0.37290956056829205,1.3805344522185563,2.0861734420199034,0.5988639408418579,2.1725104258122925,1.915280989362174,1.5220077657656024,0.6149185060633026,0.5608279621292168,1.8585772734769863,1.705716087337924,0.38692869402556723,2.5668222162357814
SIDM00311,-0.1572319201972793,1.8287379202320553,1.7430329551714643,1.3180050729274975,0.4151850960801304,-0.6486212331744713,1.2100652225605382,0.8449839128498353,1.2813178207824538,1.6960682306073087,0.11750128245092141,0.3549543634610134,2.0177624920070993,2.6211745686540064,0.06095310959047871,1.2088369877409972,1.2344117968850297,1.9535417029691509,0.3374097154275044,-0.4830188742296665,0.8682203000636163,1.737395742431099,0.3475943435645107,1.9148410002474876,1.8016136240383853,1.4644693339928594,1.09438369676663,0.6538591721593988,1.624771999701859,1.005907318041182,0.02834431891261846,2.4811677996663195
SIDM00970,0.24452332242502273,1.9062671507921236,1.5372692915549475,1.1929602398305126,0.0894344204496294,-0.785873656265848,1.2523650490218858,0.7494328251234996,1.2704759341415246,1.792940262583739,0.27893309120855664,0.8748665179862734,2.133304345614857,2.9113757645245517,-0.23257055443031724,1.5697421196883894,1.5357497107100266,1.9407311916454049,0.6485609380438696,-0.372945563663683,0.6591272211258179,1.7859816633670573,0.9271603799365454,1.9766710874095759,1.599892135241686,1.678644682477727,1.0446464881727533,1.0405434791924653,1.699928395543959,1.3286756315548858,1.035980022857572,2.434591284058609
SIDM00103,-0.5384743729948155,2.092154416092051,1.3880113860074303,0.469507411717121,0.07829661877294265,-0.7096898945652024,0.711419430957769,0.7845451062670067,0.8279546048843304,1.2050163693968814,-0.09967040348670823,0.861670969627226,1.1422137631214453,1.9353683228481877,-0.1429194836791572,0.43972521461381053,0.6152040352835054,1.244448255773077,-0.09083524342244353,-0.6088360256882455,-0.022411572585490272,1.3718810461079003,0.19028650149354615,2.256905844742905,1.2755907322593114,1.006384585053371,1.1509508610170491,-0.010365725081697289,1.0248794688604002,0.6702187128295259,-0.12579776165426976,2.5099656063276012
SIDM00266,-0.38830950812980214,1.4891651941304884,1.6007414743859696,1.4187475436556494,0.048551398621399455,-0.6334065330849381,1.065664101443661,0.7948505466979907,1.5497387880143842,1.4813996617949452,-0.15931160319621784,1.3181039693294712,2.144979063584971,1.9755240595868353,0.20652561355393728,0.41986017026848554,0.9555700068270022,1.668161457247327,0.20007193010426205,-0.5889298639635683,0.28551340343121995,1.9500869685991233,0.7896802950401414,2.1764890347533314,1.800963585674802,1.548025334036751,1.1794493229846756,0.810827309130315,1.510063538176753,0.7427994538661341,0.7713305876076951,2.3069107221620184
SIDM01064,0.502596098351461,1.7410093733321257,1.3514531171464745,1.7371488038514138,0.541729742374298,-0.40877258593019544,1.3641171923430622,0.9458913019841614,1.3908287190345356,1.463707760719896,0.29049725161110174,1.042090292052232,2.382273721554794,2.64791462958936,0.37705981587218085,0.8089394537153513,1.8964749650295192,2.3622775091317094,0.9422536803885941,-0.4137912896028924,0.6945501959619408,1.9857094340680639,1.2491542433695075,1.675223970914805,1.7555794825165936,1.4039378804725278,0.9026564437748412,1.1980676174484994,1.5221066720485699,1.7539109331873555,0.8434968559353442,2.4245414530286387
SIDM00098,0.013694092831182047,2.4427639495438243,1.994106216195798,1.5073093229006764,0.7619439906176517,-0.43277389170117586,1.3622829289258842,1.1274021316988818,0.9879458596669987,2.071665098472365,0.2659597720062809,0.7381686985216189,2.0523554796836345,2.580035313926651,-0.07376278123571312,1.0675125970738364,0.6935126533524363,2.12868470657939,0.488821752761406,-0.6048681390343996,0.7367469398952502,2.156819533665872,0.6910910980826369,2.5253709751932156,2.052138207600561,1.5822783469277206,1.6179048599801718,0.877407985182638,1.6898407304057315,1.5239133981193593,0.3164164815017205,2.589098515880849
SIDM00225,0.05054694446718588,1.9576676862119644,1.471449263135213,1.4856085355038773,0.2576230142165462,-0.6006216999237697,1.2890077840946907,0.9561088411501732,1.3919186015068614,2.143739113813378,0.016203738056463995,0.4427882697603758,2.0731882577068372,3.1804878690513796,0.034638794681219685,1.2971336073156203,1.3357768318879657,1.8609074784652242,0.7585493986950328,-0.4704887100156412,0.9631702309028677,2.146068087474551,1.0607540836553204,2.1158388831817296,1.8399669572314843,1.5211594633745376,1.22756359370615,1.0519571775048284,1.8391302422258078,1.109425559887865,0.7726552669659772,2.6502343790361116
SIDM00846,-0.11386568276403129,1.8265639309787483,1.9199612855826147,1.4884782222216122,0.16998933437582586,-0.5307447690687991,1.5586666749048517,1.2381418559997277,1.825898190176591,2.0116911946638547,0.7647880173463554,0.8910325650435397,2.1156341059387334,2.665494372473694,0.1985803179617703,1.516753887063519,1.5418876481710502,2.3773902652509373,1.0239177888045632,-0.041058380833622114,1.0849205792574566,2.2012747204658747,1.0481421160136632,2.421007128628781,2.1737923776871177,1.6971320511463153,1.2153780051411542,1.2504705993179646,1.8825177068562755,1.6839367114295987,0.7558149841516274,2.2886362202658734
