,PLCB2,PLCB1,INPP1,IPMK,PLCD1,PLCB3,PLCB4,MIOX,TPI1,INPP5A,INPP5B,INPP4A,INPPL1,SYNJ2,PIP4K2B,PLCD3,PIKFYVE,IMPA1,IMPA2,PIP5K1A,PIP5K1B,ISYNA1,INPP5J,INPP5K,SYNJ1,PLCD4,ITPKA,ITPKB,ITPK1,CDIPT,INPP4B,PLCE1,ALDH6A1,PIP5K1C,PIK3C3,PIK3C2B,PIK3C2G,PIP4K2A,PIK3C2A,PTEN,PIP4K2C,MINPP1,IPPK,PIK3CA,PIK3CB,PIK3CD,PLCG1,PLCG2,PLCZ1,PI4KB,PIK3CG,INPP5E,OCRL,PI4KA
SIDM00519,-0.5224688389682631,-0.28388167354621846,1.753939101607814,-0.2630399334611987,-0.6811673848792261,-0.17219165357449026,0.07490848976441174,-0.8534978297716607,2.1364894738284255,0.43424094438932276,-0.609077520975554,0.039617837012446394,0.7976780132225622,-0.5984957859151064,0.23509716739136644,-0.4461535310843368,-0.617269527312013,1.7371984074660392,0.10485513790847739,0.7538690841306975,-0.8521291484005075,0.9151338359305851,-0.5369989431343961,0.14259694222249877,-0.6675313221649455,-0.7835404996496732,-0.5190905093127788,-0.4447494395691043,-0.4180995964565849,0.7201559756661072,-0.8667845909575544,0.731410762855249,0.03712514000089112,-0.4645254166695385,1.5744915998006301,0.9593474641728034,-1.023656317284506,-0.5773747315606148,-0.5018868941263531,1.2291206931556173,1.7188069430572321,2.167627369424284,-0.07088500880392747,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.0034989349945850107,-0.23385840083667578,-0.9761814520050398,0.902664532680247,-0.8386561761109992,-0.3704770189414888,0.3941038290873018,1.3730776600842527
SIDM00917,-0.7484199006984038,-0.8155343332125046,1.723248255467042,-0.26758657986803996,-0.383156913804892,-0.625387120020742,-0.7800565199128136,-0.6951033720439519,2.2619298609629737,0.30217488963482053,-0.1829138951928801,0.5584878165537651,0.5896374640572658,-0.3730192204955714,-0.05309255270785134,-0.8091532623484908,-0.42733563348673537,2.072338075608331,-0.5878106595390363,0.10147381392824177,-0.09428310444106462,-0.5949542791421378,-0.6105540581227594,0.5683691176113173,-0.7366559947576115,-0.8697428073613566,-0.5331126941658254,-0.06724327113558017,-0.2814166323424211,0.368390504414435,0.005608474114685615,-0.6714974693300418,1.060875315735805,-0.265492339294578,1.7191057031092314,1.3621119304653566,-0.9452286775041521,-0.09152266355555506,-0.45585766176651515,1.6334552938488958,1.264521020954868,1.9789590621792617,-0.3457619493891176,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.02056146040246094,2.521525918877269,-0.9894974249443049,0.8598631907629547,-0.7207299110933022,-0.32313118936209634,0.1865953121375808,1.4154564502826639
SIDM00309,-0.8288201783708491,-0.8099176556565033,1.773795171255385,-0.4757698542173634,-0.13019234612195024,-0.30167521091617444,-0.6675338271001798,-0.7688619002779445,2.5235568104245925,0.11245539769286435,-0.4472088980878928,-0.1013062397487005,0.866712496734002,-0.4919056758685728,0.3131013133985392,-0.02584102739056873,-0.5912013280866811,0.9844082165186464,1.0013377172230813,0.46041332734125145,-0.7509386625626394,0.4936602590867107,-0.5624716402281217,0.45368055549132674,-0.7330664164307765,-0.7897871460306076,-0.574465636742286,-0.5580419604904112,-0.21034889934891596,0.6476021811272032,-0.6329050649627455,-0.16388895724269734,0.5889160828090827,-0.32510670110076234,1.4092759633739211,-0.0323738983467374,-0.9145382318536637,-0.5921958015081707,0.01905657524949854,1.5772688397020425,1.7167259112960922,2.165323774656896,-0.4811080848879493,0.9023372519923574,0.4332412209128918,-0.5018997117469767,0.03367052596493218,0.08187136456782916,-0.9946806583470564,0.4574525107149673,-0.7952065883643438,-0.5966399144658181,0.4999047202888529,1.190045024169677
SIDM00099,-0.828473055770185,-0.06562375297592993,0.722401225179832,-0.38859861316791994,-0.5909615284647721,-0.2828811985284016,-0.010766273318534629,-0.7527701642975879,2.517481208501184,-0.23577952877602215,-0.3547665912167904,0.3243285058299105,0.9695580111538835,-0.6013751144676224,0.2799900249898952,0.0300461742572514,-0.5747824787164777,1.2872089904471067,0.1287219881429454,0.5684240373982458,-0.8293608305966537,-0.2266175947680727,-0.5715768483234114,0.4195249278087753,-0.7230619861503622,-0.753208059883349,-0.09294515279545092,-0.6173972600552243,-0.5412783052492222,0.6408752462124792,-0.7858989057523997,-0.4737812024313766,0.6585394025693718,-0.31917394894543316,1.964452238578116,-0.3836839703356939,-0.9640417008631221,-0.3739364976139604,-0.26696389446740304,1.5501048087287475,1.1816567033336054,2.1636686231414646,-0.31987257726731083,0.9772417205774084,0.2470462313405816,-0.60403659056009,0.3041178582883408,-0.4496306432321909,-0.922788473245279,0.5558628801784619,-0.7412131459935081,-0.3154191179665953,0.9442900929843312,0.911531378667739
SIDM00276,-0.8201330135193009,-0.7788636541550895,0.9683864160537193,-0.31717515737293056,0.04810277118431698,0.003181374961338923,-0.7093503530086754,-0.6391468583282374,2.8083507448105047,0.4530714829161849,-0.6165299291457957,0.03795725827156937,0.9738916632772417,-0.45807718837757155,0.034905459787874314,-0.6534035876681872,-0.6859664485581259,0.7791963514522582,1.3868663437440742,0.3777133068419122,-0.7947879020197687,-0.4667865591304824,-0.6034398298712191,0.7280530410610359,-0.8602203255660377,-0.5242995623956992,-0.42517991378677544,-0.08104199862332875,0.3134391897587577,0.9005027929904568,0.15319876970083357,0.40640188687616946,0.9124748518698846,-0.4050827120773105,1.1630161759410993,0.7005767560687519,-0.8383058041250577,-0.5907589013270879,-0.5358988296283649,0.900585957550162,1.9167186620196222,1.9064124144554442,-0.3538324007298223,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.03665739673160678,-0.028502178643651007,-1.0764486861444873,0.9008152303376881,-0.8724342233570149,-0.6255070958336347,0.5123324697393474,0.9002347606835809
SIDM00311,-0.8575282564558809,-0.6990640606832124,1.148015283428618,-0.25157660796433706,-0.14988099255204276,-0.011229847868629248,-0.14213813901389724,-0.7612615147820132,2.852880605722651,0.24874534306325466,-0.5503785236850659,-0.2343869806821074,1.0160919635225003,-0.3642962155474048,0.33130657437952143,-0.5503164526501161,-0.6286564135674927,1.6853115221255217,0.35036831111076633,0.22190172765399782,-0.8562188283286094,-0.44247542185975447,-0.3526891435308758,0.3127193240235862,-0.7439413983958115,-0.8454699983242059,-0.6390245061278982,-0.5704477129314356,0.023798257934076975,0.5541929355885332,-0.6510632403709842,-0.6662014749943638,0.6518037489225634,-0.20768318779909117,1.630790769865548,-0.6657875008264027,-0.9517652526206087,-0.5374901158728704,-0.10317190079658745,1.271290093423999,1.4019006853236535,2.1155427601782972,-0.18158376778875962,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,0.24234045098963491,0.22047856944745903,-0.8892983950492612,0.39900706982209294,-0.7787929081177212,-0.27800210060133396,0.28514078840706936,1.1129956832402734
SIDM00970,-0.8729264863234977,-0.2056887890907924,2.000954798791536,-0.5571325259088212,1.9423378831269906,0.3691638520888408,0.018608130776813853,-0.8193888570529508,2.666583944705898,0.7587037299434386,-0.6154700887108473,0.7044952342526298,0.35202409715560695,-0.5961529828413357,0.18170442777458007,0.033504308181786104,-0.6833200777143145,1.6524814995531834,1.0066481044235203,0.09836607148141062,-0.8839027404965354,0.35406079562434817,-0.2835563213480815,-0.1919043945827655,-0.8541056402010324,-0.871117689217135,-0.6653336813691104,-0.4968226175735744,-0.3360118740792578,0.5603609270873405,0.5612482247041318,0.31737117848876706,0.5998611376933446,-0.24776095997986278,1.309753707442717,2.018925840295898,-0.9631971228229248,-0.5943335188316304,-0.5082421980086488,0.979103906486245,1.6236592362107611,1.3208115455154958,-0.3365055396578115,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.20487850156093684,0.41264517800793504,-0.9106457984011357,0.47868495560256324,-0.8051315465966639,-0.5267667891221091,0.4514731276185901,1.4828189196496162
SIDM00103,-0.7878343911565672,-0.8394236156336857,2.2519101374816333,-0.2703454976698287,0.09468838355272673,0.10537069320392656,0.6929036419545747,-0.8693186711162596,2.223157549172616,0.4712965852233159,-0.37691704843391144,0.2048743726402529,0.9626695006868857,-0.7082956810372089,0.23076105241188097,-0.24117446875520035,-0.6089064479207409,1.6334503770855269,0.9057358969479143,0.30655549978105123,-0.831451795699067,-0.45901926552212935,-0.6659549542695743,0.5649292531382759,-0.8610278789012872,-0.8570633719924177,-0.45522764290705314,-0.5939164617343471,0.03828061796930577,0.8165496614580582,-0.35279198778917503,-0.006894081551640171,0.8331344772199537,-0.09958507986715248,1.8377856311426923,-0.2582429320977663,-0.8620453132627314,-0.40651032339950116,-0.04305336992312115,1.4321080197998055,1.4645503924137984,1.8141286015940254,-0.1512588178757842,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.1470608013499035,-0.5946701851889066,-0.8640604990218843,0.4748719807775792,-0.8415395909860525,-0.3647701435729556,0.6653121581917945,0.4289173594160928
SIDM00266,-0.8498200598777886,-0.5241061003921688,1.3059910065260132,-0.7197031509944931,-0.24315547061340106,-0.30980612618380193,-0.43998132982956734,-0.76468236780218,2.5349479527814944,0.12687949613447197,-0.4821583315115069,0.11063703566493908,0.46800681843224085,-0.7209810603806782,0.16571177821635227,-0.8899291600738533,-0.442682288037836,1.5357661346180604,1.1719581398231884,0.4222214025100966,-0.8300242578001157,0.7164712529499945,-0.009677886741359958,0.14709641823928327,-0.6656217119230312,-0.8241499549265003,0.35368602966842383,-0.4405620107024597,-0.4805791146570338,0.38825623662789954,-0.5280362297941681,-0.7247485622640121,0.7183476334826763,-0.5718530709306198,2.077700414993858,0.21313480322960493,-0.9586928947689899,-0.6645515558883914,-0.3292142113557249,1.0316435530116193,1.3869062782665331,1.7918238966108744,-0.32328799783943457,0.975240071825603,-0.33462897669646635,-0.6595534890448225,0.12465917458109645,1.042684104369696,-0.7709635546478725,0.47670950500183573,-0.6325575608303017,-0.31419723303430064,0.47869434057445787,1.3145745512947018
SIDM01064,-0.8419211342160129,-0.8149221125354579,1.94210918602123,-0.37312414888785567,-0.019309375256637246,-0.12677338058176302,-0.737437860661444,-0.14508276022939814,2.9028367693055124,-0.1443239416570484,-0.12530019624812966,0.6445583864295594,0.6941429743593266,-0.596200655550897,0.18586263914150872,-0.838750430317397,-0.7656715211091727,1.9066758615308341,1.2616280737711674,0.16784293565056468,-0.35741841218448406,-0.13790788122327605,-0.6468252783081297,0.43724995784390336,-0.7153594445381881,-0.870475051899374,-0.23494508486633298,-0.615633444204545,-0.04651728050078142,0.40050628416564593,-0.8900579935557603,-0.6775550571871832,0.5932990487634205,-0.24988837920432286,1.4988959375950188,0.03594865529844241,-1.0148707793806322,0.2954967527571008,-0.49829405800749954,1.305311154087349,0.9775528492419423,2.264982693533226,-0.028127197542316237,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.4206900010717696,-0.661233852400993,-0.8733208061971858,0.7195534650069203,-0.7788569289509498,-0.06368381305071082,-0.6730811275579796,1.6427592922246101
