,ENPP3,GCK,ENPP1,UGT2B28,PGM2,UXS1,UGDH,MGAM,GYS1,GYS2,HK2,HK3,HK1,GBA3,GUSB,TREH,UGT2B11,PYGB,PYGM,PYGL,UGT2A3,PGM2L1,AGL,SI,UGT2A1,GBE1,G6PC2,GANC,UGP2,PGM1,UGT2B10,UGT2B7,UGT2B4,GAA,GPI,UGT2B17,UGT2B15
SIDM00519,-0.9353491232465649,-0.851856790810811,-0.41591830264314517,-0.82031647201751,0.9335897091139952,1.0440660258690073,0.711481257646751,-0.8822524936554705,-0.7627403731628323,-0.9014628610518279,0.01468437794139422,-0.7483145559433166,0.8728449019245373,-0.902002503338718,2.0984424754996764,-0.75220622777625,-0.9668374874718498,0.5318881917440882,-0.07633787572346029,2.4954560398708843,-0.9755920119544125,-0.05652853103288639,0.10969803797968453,-0.989107384644747,-0.9042632837709682,0.7464550018340779,-0.9005579995358337,-0.3145635761856373,3.138661816830269,1.5147393731037777,-0.8136425030719703,-0.7881922421034362,-0.9822907899181706,0.6075816663687432,2.0722138518839395,-1.0507368802864394,-0.8346090656911848
SIDM00917,-0.8715078992276435,-0.9308760474518427,-0.845782793621135,-0.8003932286815031,0.6257092828936457,0.6178318926758197,0.8176659512758493,-0.9858169199784856,-0.593661326349428,-0.8639922681225161,0.9878059854859959,-0.7808321119030809,0.6073633654010221,-0.17111059644161705,1.9841508690064054,-0.7646526642305995,-1.0244361502091766,0.11816541297981985,-0.6731967053697558,-0.2583633693021928,-0.9296821275975992,-0.8550617400354379,0.9849699293432511,-0.9238479649089438,-0.8555782531987597,1.29867093296906,-0.838126928839499,-0.1470730191347889,2.6431043132575684,0.7972197694338519,-0.830892609094296,-0.7401498117258457,-0.9102517800415708,-0.35426446656421,1.6739062990161744,0.1910455290305892,-0.7194089580653549
SIDM00309,-0.8376500938957716,-0.8654967979506697,-0.6710177541211539,-0.8070125815292547,1.627901556053579,1.2978507963154229,1.045729202842332,-0.8757767662587655,-0.2767858000663054,-0.9288208932685439,0.23534756228249887,-0.7458371428922206,1.2193397084238555,-0.9325852754667925,2.0429822207105683,-0.7590212474838242,-0.9345691724377109,-0.12141745649439581,-0.6823054958751136,1.4257153956136692,-0.9423795121048735,-0.5529585584033911,0.17795720304167945,-0.9897705074759137,-0.881424689446013,1.618918821056998,-0.8744728788856433,-0.3604516924180098,3.418205849547397,2.616625162759445,-0.9799512328916787,-0.8086807680226303,-0.9434718914778469,0.6200235993744613,2.097252756886021,-1.0158685466878936,-0.9107215858057593
SIDM00099,-0.8033785334989738,-0.9140020422628103,-0.7078439302514312,-0.7239348108304712,0.06260766498664262,1.0967170458996562,1.1734807870878137,-0.8482385788363206,-0.5573654612227561,-0.7588240839832247,0.1200636428588885,-0.6674179921082567,1.3125618397379044,-0.7725321892845949,1.8886265194174343,-0.8644948889773937,-0.9503559895003176,1.1266477055581756,-0.6630783587993471,1.8695124988125738,-0.9172709158309721,0.38991148468025105,-0.09196675101536676,-0.9169421737125392,-0.7894889988141145,1.7278082004854944,-0.8440222625693281,-0.07927201094306384,2.746765709712492,1.447934290585334,-0.9314442936494274,-0.6452563150686119,-0.9512975048674717,1.003047939592406,1.9523074184377895,-1.0250560029306743,-0.8647849849280048
SIDM00276,-0.8807662481244803,-0.870078532919965,-0.23638666720104418,-0.683542219825438,0.8195282200972472,1.5293460497517786,1.8547868228309636,-0.8939517933398612,-0.6516673051043111,-0.8619129399086897,0.5539035868355162,-0.8228190604383028,1.5279334381796006,-0.7788054267208541,2.2650178888030843,-0.7673257836373942,-0.9824906556451823,0.6178048887962837,-0.665447642848825,2.0819375632868877,-0.9703098908795459,0.909215770198916,0.20148697741195282,-0.9552243554154959,-0.8626312100008882,1.4247727093642797,-0.9277700812222082,-0.23225765917053234,2.7158680276510765,1.9963310881134306,-0.843052717652555,-0.7897514042333919,-0.9935646626331794,1.0359136140832816,2.5509270642727837,-1.0612419988128055,-0.827480726584247
SIDM00311,-0.9004687985953198,-0.8608042374066757,-0.7488970454796309,-0.7655543728869196,1.1924093760073244,0.852844387441891,1.4745833711961833,-0.9208727782081452,-0.2334844544734934,-0.8336536594085039,1.0784918106849626,-0.8724701867505567,1.7179456415340506,-0.7422003434844161,1.7542827524438147,-0.835261836412427,-0.9382193360420664,0.48786156547978776,-0.6433510924373977,1.639173363796249,-0.9212547752531339,0.08502966887399686,0.3014936457790713,-0.9189072796613497,-0.8083436238400878,2.1735935908202726,-0.8989250110153957,-0.4417753827211579,2.790587599143513,1.5850749380918925,-0.8803820812056731,-0.9030402014050612,-1.0316916503671039,0.3521701398407934,2.2841977532406013,-1.0604807042078208,-0.896525161195093
SIDM00970,-0.8447625088890212,-0.8127138879874172,-0.8914612002646172,-0.8381245557622392,1.6195398455499674,1.2328907545689265,1.8280704069762521,-0.7836134501473173,-0.02765665202022843,-0.8657960306526317,1.0831821691631967,-0.9169784988868717,1.6211494532565083,-0.8456122454126191,2.239763696414414,-0.6816335072651535,-1.0083395456659905,0.21064022081779274,-0.7540321350261296,2.5786411343353746,-0.9002148254246108,-0.35095232587874536,0.638246629906773,-0.9098071982094948,-0.8144136820398553,0.14462583844441246,-0.8756620268608777,-0.17662779408783125,2.6160742971262407,-0.509864224696751,-0.8420200451141695,-0.7555930864907768,-0.98687876025118,0.7140191392224793,2.2461391084797464,-1.0126214878689273,-0.8567025082469868
SIDM00103,-0.8922442942193746,-0.8472998312581437,-0.8949405498541874,-0.8014826063347923,1.3048529343636555,0.5744413111246484,1.3346697800839635,-0.9177901726894268,-0.4192110074085631,-0.7677917878558095,1.7664864651931547,-0.8320424784181192,1.6850886314318008,-0.896831268381121,1.8820308612475356,-0.6743072339160412,-0.8721697320264769,0.9121503484345209,-0.5463072528299043,2.7473565508044944,-0.956050263172138,-0.33434714388003495,-0.09462548846745111,-0.8331938138289751,-0.8394946533168942,2.258066350197735,-0.850646164936155,-0.08877274123594255,2.6224569682036125,1.5904794964365891,-0.8962325681924299,-0.8326916053243125,-0.9934736543805543,0.6604137611130392,2.0897286531506625,-1.0328781822069153,-0.8569153754104231
SIDM00266,-0.44609071474676537,-0.9203336529953521,1.5514313196333078,-0.7930657289755331,1.0851446184717681,0.7257068865178223,1.1746664093102366,-1.0265411764559704,-0.5070395229572591,-0.9003474470937475,1.3963905478109235,-0.9004506970951371,0.8779630766330278,-0.656134903283789,1.9758662638261915,-0.6140763635337044,-0.9567034788102454,0.5003700401132518,-0.6797176067638453,1.7191451615596127,-0.9637016174958742,0.6606147684402002,1.5713126854699084,-1.0187786347088863,-0.8501808671803883,0.4919602425782336,-0.8791640368401177,-0.24739523263236768,2.535986011650079,1.4981546744962324,-0.8543325455427438,-0.7795239061140025,-0.9804455810288456,-0.36993697454553387,1.8511321279834905,-1.0362888754175024,-1.0503499681557618
SIDM01064,-0.7032345132313812,-0.9352146283943806,-0.7204471430325006,-0.7914102568807918,0.8930305251125091,0.9824764390707821,0.5485734931500257,-0.8678708743016997,-0.5944442159968029,-0.7110992612178914,0.46040730652207634,-0.6519672388145558,1.1505061654248148,-0.7263807571293847,1.9242031597156506,-0.8196138573007458,-0.7362692051402573,-0.0981941355066778,-0.6979755978210717,-0.36000232233568635,-0.8814729325127854,-0.5523510238992946,0.723511493888212,-0.9027206012104514,-0.7727916312462797,1.2495211548955367,-0.9162873713441665,-0.3431292733977182,2.7839092049364838,1.235733839367164,-0.8199123305446021,-0.7411651663062993,-0.9213748659044738,-0.12561737672692844,2.308721806569674,-0.9748527805476254,-0.7599006955685264
