,MLH3,POLD1,MLH1,POLD2,RFC1,MSH2,RFC3,RFC2,MSH3,PMS2,RFC4,LIG1,RFC5,RPA1,MSH6,RPA3,POLD3,RPA2,PCNA,SSBP1,EXO1
SIDM00519,-0.5266466074681917,0.3165848762445895,-0.27290466421601184,1.9498326923352205,0.9144054890035103,1.2391569309440982,0.5878876220118293,1.1961362456712947,0.78717568159403,-0.6936408147290275,-0.7856649413334567,-0.016370748055882494,0.6259420829693065,1.0199962751745408,1.5596272116828387,1.4185303772704332,-0.24936848684332732,1.297476143247851,2.7327606858126208,2.497366567933896,0.7098062434225297
SIDM00917,-0.28038187847142915,0.23644065543540851,0.07306648268743106,1.4422157912653375,0.9027227627811961,0.9587969039030441,-0.010147148589549043,0.18956200078510252,0.63615278262708,-0.7641656333272947,-0.824680528625459,-0.006317452076907383,0.06442434817354681,0.8938098834241912,0.5813986428491118,1.5723315369111255,-0.15151569130918577,1.9387927910450704,2.779375140962102,2.2412399935990788,-0.5984626846587731
SIDM00309,-0.3626175129779548,0.4855099255343653,0.13959897711099276,2.108978496090682,1.2728908357743036,1.481038196637313,0.6210633918163055,1.178023496908233,0.9755053565903525,-0.7321828886106466,-0.7706286476749068,0.32736060045912824,0.9041138267707612,1.020300056303163,1.4341982110195035,1.5183868527498223,-0.13277874643576304,1.8772496252033897,2.2400897259658406,2.5575664556560054,0.6960939983107114
SIDM00099,-0.47671755997177534,0.10783445113612303,0.039663155830897086,1.8477326628684752,1.1009126097878976,1.1389197521450347,0.14225917723915335,0.8881965865120495,1.2170517487984007,-0.36858985420522716,-0.7901847092549532,0.06536540432971216,0.6954371178230333,0.8306037336091929,1.6158182027489807,1.2716767434247465,-0.07231240517742589,1.3293418742384464,2.4102379300946764,2.37633818374597,0.35735999644359373
SIDM00276,-0.5737688034939408,0.5988639408418579,0.002764890117021384,2.1725104258122925,0.6149185060633026,1.4438586478504385,0.5608279621292168,1.8585772734769863,0.7757389196061645,-0.9328448166431242,-0.6839707246044628,0.38692869402556723,1.1933196349360378,1.1210831579637184,1.2391791246279664,2.0597926609058246,0.1381613907523391,1.5020510570202696,2.807448987669273,2.5668222162357814,0.9862233082967145
SIDM00311,-0.5354317382901916,0.3475943435645107,0.2788588793045448,1.9148410002474876,1.09438369676663,1.6766297430977826,0.6538591721593988,1.624771999701859,1.1202137587166474,-0.7307257301388582,-0.6486212331744713,0.02834431891261846,1.2100652225605382,0.8449839128498353,1.782644605496457,1.6960682306073087,0.11750128245092141,2.0177624920070993,2.6211745686540064,2.4811677996663195,1.0494212915445529
SIDM00970,-0.23738891042158766,0.9271603799365454,0.08995091453046675,1.9766710874095759,1.0446464881727533,1.6015161697337896,1.0405434791924653,1.699928395543959,0.6286197821510683,-0.788084502491837,-0.785873656265848,1.035980022857572,1.2523650490218858,0.7494328251234996,1.4004587372608697,1.792940262583739,0.27893309120855664,2.133304345614857,2.9113757645245517,2.434591284058609,0.5437840570505531
SIDM00103,-0.4107030469777393,0.19028650149354615,-0.24712165650839193,2.256905844742905,1.1509508610170491,0.8979950399884152,-0.010365725081697289,1.0248794688604002,0.8850971183003414,-0.8646871031171498,-0.7096898945652024,-0.12579776165426976,0.711419430957769,0.7845451062670067,1.235284590692662,1.2050163693968814,-0.09967040348670823,1.1422137631214453,1.9353683228481877,2.5099656063276012,0.09371964594095941
SIDM00266,-0.328659102518842,0.7896802950401414,0.11944158008741126,2.1764890347533314,1.1794493229846756,1.257149639483857,0.810827309130315,1.510063538176753,1.1933249818500395,-0.8030902965512309,-0.6334065330849381,0.7713305876076951,1.065664101443661,0.7948505466979907,1.4761506705933412,1.4813996617949452,-0.15931160319621784,2.144979063584971,1.9755240595868353,2.3069107221620184,1.0039264018068772
SIDM01064,-0.25096173058989085,1.2491542433695075,0.10983759079608121,1.675223970914805,0.9026564437748412,1.800298184933194,1.1980676174484994,1.5221066720485699,0.962694304422983,-0.7972133340693616,-0.40877258593019544,0.8434968559353442,1.3641171923430622,0.9458913019841614,1.790055870990513,1.463707760719896,0.29049725161110174,2.382273721554794,2.64791462958936,2.4245414530286387,2.0052201526987607
SIDM00098,-0.6183449450987727,0.6910910980826369,0.3364715096171835,2.5253709751932156,1.6179048599801718,1.6763027021223855,0.877407985182638,1.6898407304057315,1.2810706130320317,-0.7631340362431996,-0.43277389170117586,0.3164164815017205,1.3622829289258842,1.1274021316988818,1.8228019673625726,2.071665098472365,0.2659597720062809,2.0523554796836345,2.580035313926651,2.589098515880849,1.2930265914987995
SIDM00225,-0.5715687125157807,1.0607540836553204,0.18476902254627825,2.1158388831817296,1.22756359370615,1.7133122507549905,1.0519571775048284,1.8391302422258078,1.0729027291224198,-0.5494897834147482,-0.6006216999237697,0.7726552669659772,1.2890077840946907,0.9561088411501732,1.7961122073062528,2.143739113813378,0.016203738056463995,2.0731882577068372,3.1804878690513796,2.6502343790361116,1.5499448527024566
SIDM00846,-0.3809206444198772,1.0481421160136632,0.309283990496421,2.421007128628781,1.2153780051411542,1.4655031427789853,1.2504705993179646,1.8825177068562755,0.9975037086534897,-0.8733677229712788,-0.5307447690687991,0.7558149841516274,1.5586666749048517,1.2381418559997277,1.5984804240975974,2.0116911946638547,0.7647880173463554,2.1156341059387334,2.665494372473694,2.2886362202658734,1.6441232468458598
SIDM00291,-0.5131161468719749,0.8818044833468327,0.24127215729554746,2.2030288698217118,-0.23118251882096988,0.8028133626447078,0.5954228996698481,1.1686088633891953,0.6652112459300429,-0.9342417070801374,-0.8742527195741036,0.13435002924917083,1.1234657528061,0.9835099619236808,1.1186629603128657,1.395271915461821,-0.5424478202286336,2.098613122227756,2.446647036043986,2.43118111887057,0.24559247344070914
SIDM00520,-0.5484475432242583,0.479620761482353,0.1665984994942104,1.895684176596814,0.670697113510632,1.2690553919331478,0.27040077676573926,1.1419783119640106,0.6807444085201935,-0.8468132248305791,-0.7344839448522018,0.2195687583753522,0.7666887022312274,0.9198292686298901,1.1756150050378338,1.5894221464925602,0.03626667990282283,1.9915415555598353,2.6926191185883948,2.5143488240029073,0.9269711060293176
SIDM00003,-0.6215032168783065,1.0818721023742877,0.32893886061051714,2.049338198881483,0.6751321685903144,1.8245520505252673,1.3395410708498696,1.972125588552419,1.1746797824187831,-0.7134244890921786,-0.4655107117120888,1.0132615387972475,1.5424815264506562,1.395429598752175,1.5921382825596582,1.7387763971514607,0.27832696125172457,2.3247858780395383,2.9293902148901094,2.750651864339129,1.736080080716374
SIDM00136,-0.44222525312760824,0.658356693294669,-0.2947755942941433,1.8057082210633681,1.1745844694346417,1.2266199086985516,0.41921779782163415,0.9845947791809162,1.1636783122380159,-0.9562211397607423,-0.8126644714445357,0.3757855398152779,0.6032276567908722,0.770878732696001,0.814668766756979,1.3069883432365006,0.013646102036430475,1.7069424017547998,2.1981872459025533,2.4478489588111523,0.27218007914395803
SIDM01155,-0.3977661461363618,0.586271631394478,0.11723076987802644,2.4868244270544015,1.1306774292052242,1.4769583708813314,0.7212850988559281,1.717003585798246,0.8056096407379805,-0.9198041839649542,-0.7198979012266512,0.29714418945018506,1.2323763248294834,1.1178714217921184,1.5660476676708839,1.8367628991196747,0.08641688467083589,1.88595646898631,2.7874715161004073,2.6588091129056806,1.0541065619763232
