,SLC27A5,SLC27A4,SORBS1,ACADL,CYP4A11,ACADM,APOA2,CD36,FADS2,APOA1,CYP7A1,SLC27A1,SCD,CYP8B1,UCP1,DBI,NR1H3,ACSL6,ME1,MMP1,GK,GK2,APOA5,RXRB,RXRG,PLTP,PDPK1,RXRA,ILK,APOC3,ACOX2,ACOX3,CYP27A1,OLR1,CPT2,ACAA1,ANGPTL4,SLC27A2,LPL,FABP1,CPT1A,PCK2,FABP4,CPT1C,FABP2,PCK1,SCP2,PPARA,AQP7,PLIN1,FABP3,FABP6,FABP7,ACSL5,ADIPOQ,SLC27A6,HMGCS2,EHHADH,UBC,PPARG,PPARD,ACSL1,SCD5,ACOX1,ACSL3,ACSL4
SIDM00519,-0.11864645928250715,0.5631822656550914,-0.9186446790895788,-0.8668570164049966,-0.614436203822954,0.5307946195844402,-1.0231670421196926,-0.983320010249022,0.5679944652281944,-0.8138051503618075,-0.9479146661828053,-0.7437973528379085,2.0155606807403617,-0.9191990693359745,-0.9804169295756667,2.8106930977623494,-0.6001036765298746,-0.9309422757648084,1.5835178765014222,-0.848354679063088,-0.9105315716907804,-0.9382558288883608,-0.8248846936686022,-0.26789981353743914,-0.8671989843390221,0.03777969694007707,1.2480937511442078,0.6223185880347919,0.531991184003307,-0.6679324095823131,-0.06330199591787268,0.2000336517211482,0.9584082815497263,1.3078544086282542,0.22006383128756699,0.27295001943534053,-0.5969514802670028,0.9866106831769028,-0.8841106461497684,-0.9426927894707064,0.36975921779837595,-0.520767737402791,-0.7490362714489532,-0.759479303410868,-1.0821282945790356,-0.9713397927461586,1.1845585129950047,-0.5793876764283903,-0.764873649912969,-0.8955553311522945,1.2865436063115654,0.227569698742883,-1.0358711901710684,-0.7863828726652579,-0.8398055728152412,-0.9132732997559746,-0.6881149978942297,-0.6502875112869839,3.9583502222247935,-0.1700906585253548,-0.7241122156228903,0.3491272353651706,-0.6502667497688438,0.7955803835811279,2.0228355321948706,-0.25673340427632185
SIDM00917,1.093839453332441,0.3334344023430334,-0.8667413329060427,-0.8830273991420418,-0.5484942115618944,1.3090953802334417,-0.9304806272667263,-0.8002284137952793,0.1716274194002879,-0.8689808288602926,-0.8484144303456282,-0.8709455937841865,1.5250138755994995,-0.854959306567899,-1.0164969772388341,2.8892068968882523,-0.6203707791348947,-0.9494386004412713,0.7546099411742857,-0.873870603542347,0.8425561925633275,-0.9311206792568314,-0.823906609243194,-0.11107106572296516,-0.825796317543983,-0.16527441351208183,1.1117795845019818,0.4172663715719339,1.0171378910078077,-0.9127877483179548,-0.6403330260763782,0.9117217179509433,-0.30533723294931,-0.8585978289059256,0.756094162507657,1.0313466394691266,-0.38313940529153284,0.18043225836964988,-0.7391453614115787,-0.8913981846287252,-0.43633983441759716,1.5628348025876244,-0.9428756424948543,-0.9116114573370824,-1.0227803639702797,-0.8772411303974126,0.9969353154349787,-0.16962606392600235,-0.8189897236688856,-0.8835359483691808,-0.8020708904008691,0.6361999573821527,-0.949724453706398,1.0865483264958478,-0.8334360166995834,-0.899982341095928,-0.7121309401864092,-0.7863668854579664,3.826490968609359,-0.3640478483180394,-0.7835557695079748,1.7462020592958247,-0.7702621800814872,0.5932969580769787,1.6562054414504421,-0.362863193744382
SIDM00309,0.8651235627120307,0.3912388900370345,-0.9061358574221332,-0.828562966772963,-0.6962775749869374,1.1520040286868687,-0.9630001675794774,-0.9694505598307935,0.4379594824963152,0.14544390696828494,-0.8378511059891465,-0.7122799462951521,1.891954865633965,-0.8368618787678516,-0.9047606942304084,2.932880589340049,-0.36821181487092514,-0.9290133907354758,1.695969799275439,-0.7832224652250569,1.1748227989441469,-1.0838577876182365,-0.9195261402743977,-0.13070142208776891,-1.017779917657865,-0.21766535671063392,1.0417012936541494,-0.1299889697400401,0.9875715584165098,-0.6840638233721495,-0.14099036567756698,0.8223741489603241,-0.8120351877263776,2.054316643358559,0.719082362956878,0.9150009216813584,-0.5633281932703881,1.0659580724435842,-0.8719129129682028,-0.9533534245480654,0.8046562203464478,-0.1836013138611848,-0.8036149628305085,-0.8423175188807993,-1.0857108969198657,-0.9947996642237837,1.648148666041226,-0.5268407853867604,-0.80575592897277,-0.9254206722878637,1.8163118610208977,-0.6438769024709112,-0.9689955642382404,1.0518633049608574,-0.8002733181563951,-0.894592272326222,-0.7476333256616885,0.01654499889094244,3.7276964555830996,-0.4836466316349483,-0.8089422745147886,0.8799188313795923,-0.6405026446497432,1.0412652561731683,1.6212011999150493,-0.2550972818611836
SIDM00099,0.05222269295456034,0.49007699693492296,-0.9176102204892571,-0.8670361554527043,-0.6465783724065638,0.9805136105405677,-0.9049816405074786,-0.9229485099043484,0.2510270982806781,-0.8027377406989962,-0.8933045145655631,-0.6230186005489005,1.758808977372308,-0.8716261317878148,-0.8682419851590693,2.128084211680835,-0.5055656569458002,-0.9107404145304971,0.7537540674193322,-0.4823880321711869,-0.7198608408571576,-1.042199108758825,-0.7732255592616621,-0.18224330928209767,-0.9177369605752332,-0.05379724628780623,0.9734616798497266,0.3019017433800442,1.3496069671829842,-0.9089029791462928,-0.7188574540772755,0.13139396550341237,-0.01281536584589626,-0.6508061441241833,0.3665649181324981,0.15403558111272542,-0.4900031600463458,-0.7308432523653731,-0.8264687957559667,-0.9344039805797469,0.2766617769380456,0.8156044688297786,-0.8093119061873896,-0.3896317997092145,-1.0092439094804935,-0.9518379246629353,1.2495473688937433,-0.34773376067628453,-0.8870865276047023,-0.9078892332303677,-0.556323226060598,-0.5166385270829699,-0.8163781259670156,-0.6548915494210273,-0.7621084701101909,-0.8088395256066129,-0.7021279910715764,-0.5978801841570528,4.000485181561479,-0.0892813221649675,-0.7568017765522924,0.3583828174744509,-0.6457729580799014,0.5760785449418231,1.7707731665101776,-0.34712417722036126
SIDM00276,0.04159619297376284,0.6727875806892699,-0.8138765875084489,-0.8768640053434659,-0.5956059660062517,0.6487703604951425,-1.0134362544805948,-0.9349780195503837,0.6577331478813253,-0.8377954993213339,-0.8857020536418566,-0.7084075528641239,2.1782246048660947,-0.8494398779305119,-0.9182438459961585,2.903152815876566,-0.4172889613510731,-0.910138237447085,2.4374289794873776,-0.854882732958866,-0.43842761259763924,-1.0081354522131023,-0.8193385627830256,0.11281690019491557,-0.9127967189285877,-0.5106661685696674,0.833516480644265,0.6273179601490205,1.2786041902665468,-0.889075931718099,-0.7039986736006507,0.4873748875012283,-0.25816407092394184,-0.8491564432357422,0.42263445091139934,1.0971796149917779,-0.5470307467687539,0.8147906445753871,-0.8614836085986767,-0.9172102275892601,0.5383782593656816,0.7416376797674441,-0.9072154673881742,-0.48593024345549196,-1.113518273891184,-0.9095681404847161,0.9449282215923305,-0.3708561416020296,-0.9255521782439896,-0.9605996430776558,-0.6756432260851296,-0.49866807712771866,-0.9529320661953883,0.69620847965388,-0.8205774151168328,-0.6842094436067504,-0.681701640348292,-0.33487278870734893,3.7235796679527002,1.2639958822345088,-0.6892101952810716,1.6261137028085917,-0.48465851236877944,0.8818583283366955,1.7397649199941088,-0.45959532174503276
SIDM00311,0.6939150269951694,0.8733165916472699,-0.8356709318239021,-0.861506606405707,-0.5667415817865045,0.7419550113048103,-0.9516470992027904,-0.7838900012384836,-0.68131834023302,-0.8675153743591777,-0.8881489395832861,-0.8544347205351523,1.2799104262742445,-0.9820201982253189,-0.9832686043948308,2.15197636242498,-0.46381689342979865,-0.8289893046232123,1.6560147014352513,0.9198883081195917,-0.3311614453389899,-0.9480082364909148,-0.9081129736860284,-0.30908518314063327,-0.9653775300495114,-0.27467411640864603,0.9924763886210323,0.5809582883918367,1.4660143648973014,-0.8855095218594529,-0.6018612287318369,0.6757109989001546,0.046081246742341535,-0.6503740348935382,0.1485169580010944,0.8851307764353045,-0.17473204702331782,-0.7117335071929475,-0.8031470091300378,-0.9412650048991108,0.8893363869581167,0.5335854535840204,-0.8761289529042415,-0.4837011682911766,-1.0698626894321837,-0.9358074124728981,1.2146987330299526,-0.5632991462451801,-0.8939911424951765,-0.939232176414294,-0.754635078490372,-0.7868544758354776,-0.8868028894554677,0.04224101047585957,-0.8165953274275044,-0.8509383425263705,-0.7532563228023135,-0.2301716100759706,3.7954407681709723,0.886441704822219,-0.6600650402872856,0.5028587900916814,-0.7849220403544769,0.5707895788630091,1.8252516507111032,-0.048211525330830986
SIDM00970,0.5747714805488086,1.0618772751128458,-0.8267757490901659,-0.7619061397116842,-0.65992885125319,1.3854808618610146,-0.9600219088427995,-0.8903793994328356,-0.7253814115258522,-0.8310293576801325,-0.9424440922794897,-0.8482274478761594,1.74486392209863,-0.9439220853049511,-0.9372652613370248,2.8387811113429113,-0.05713170449142806,-0.9742373656968164,0.7608278006670409,-0.8257700904057259,0.10430541804488982,-1.033497663369123,-0.9298803599949744,-0.258225501266485,-0.9498949336668708,0.6577356874871685,1.2089254783997123,1.0638361103115348,0.8909744187403436,-0.8403486346854718,-0.49712359487446595,1.2228649583433018,-0.9386702488236848,-0.6306399827548477,1.036638451129967,1.5413686982450499,-0.4479982998137458,1.5524317728456434,-0.8696734062198419,-0.9636101530878202,0.4584026002567436,0.37070217563053226,3.7605642281408063,-0.25394720909825674,-1.0345062942369845,-0.8865654963797573,1.4438991887202097,-0.3762044658337955,-0.9180262445826338,-0.9987706847357654,-0.7198297645786923,0.42227240517395453,-0.958043337097266,1.926673151233441,-0.739499928579367,-0.8790053939065745,1.4205250776208762,-0.042996307038224595,3.803093091537979,2.5533724248740395,-0.5548906613917406,1.738654866649809,-0.7785006434753181,2.238835985342139,2.3398300265738095,-0.6505875087818936
SIDM00103,0.6691808320668329,0.8906098935717913,-0.9492682005499268,-0.8186022763696694,-0.6021590407304915,0.787759274957548,-0.944870764786962,-0.5210109632433801,-0.05073249883699191,-0.8468473494830902,-0.8604267542555263,-0.4145637298375523,2.006733303203083,-0.9383875201631787,-0.9403713467199359,2.4418309561685745,-0.47727765685988904,-0.8945530315137452,0.9351822444174724,-0.719474480860089,-0.4206713418217234,-0.9330643031964848,-0.8153742432325931,0.04614482880642706,-0.8957544925934747,0.05560572142049936,0.9419679025363212,0.2987497200555495,1.4868253493619497,-0.9281315690008783,-0.6054529458260706,0.587024874161586,0.8328249010518581,-0.819879292822887,0.2591153433282671,0.16713992144056,-0.5128505815284429,-1.0079394970208377,-0.7337331234845069,-0.911802207988142,0.4274633349558516,0.7001919680304667,-0.8727480273908896,-0.7961222336371058,-0.9959889258856228,-0.9724739990703349,1.6436997494376804,-0.496909030502473,-0.8917696347232179,-0.9679129972130114,-0.35205485542937215,-0.4643000204151149,-0.850743336139698,-0.5861213807390874,-0.832984033950797,-0.9481033698608148,-0.7334543196469033,-0.48274667227848644,3.949926907468863,1.5215535293443523,-0.7350178460777061,0.974877865679588,-0.6755563074486235,0.7703868763963414,2.2261615829246897,0.0325737062359891
SIDM00266,1.111252174100916,0.5223113033100081,-0.8908674870408934,-0.8830468589804561,-0.5888250868275653,0.8013014313342747,-0.9506547847604848,-0.9851895152988897,0.8769538789201222,-0.8713671206362309,-0.9701430721202751,-0.8093910061968936,2.8240447080181212,-0.9201449752339179,-0.862287781400153,2.658285229276083,-0.7113866156336482,-0.9976230100359899,2.3288483541495943,3.069962373344754,-0.33199724725747093,-1.0456852882651906,-0.8653752644940605,-0.068863008347731,-0.778794521329002,1.3174959124632726,0.6750494982901337,0.39520691193177704,1.0349649326954573,-0.8316165424233056,0.17240820396919787,0.40137750962147245,-0.6278831308618223,-0.8894699072239008,0.36901876948253154,0.015587255642535174,-0.4769655684661595,0.7638471410101423,-0.6439390641895925,-0.92355356615382,0.44033578079651536,1.1423020406974322,-0.8774758343130927,0.30386174660019,-1.0430751714848288,-0.8841199365630958,0.9338042711826499,-0.6680604557141243,-0.8619231248727085,-0.817532672315965,0.0805625924363927,0.564427756709468,-0.8144003932413482,-0.7736520502098653,-0.775514998474401,-0.9008819463224214,-0.7302150821396459,-0.625798980939283,3.743749672238217,0.7911041600776344,-0.8106171722612525,1.2479067133876844,-0.6609060987591406,0.4830413637200103,2.165157322967314,-0.4086546511440647
SIDM01064,1.3786491651831871,0.4261000123768051,-0.8556838129875755,-0.8763497399036585,-0.651073435394108,1.4913564051131514,-0.8879610335376614,-0.9092852435451554,-0.7128438696895079,-0.7953466365786999,-0.7747722996541856,-0.8261892070793248,1.1511533736357986,-0.8182349899255524,-0.9090222648858924,2.912992908572771,-0.6136789539534203,-0.8679464943439529,-0.8779525918269128,-0.8311947235069237,0.18887657294099938,-1.0220908049798034,-0.8176103389765539,-0.06694816192885211,-0.9169660559268452,-0.10074911732521374,1.5397970858077232,0.11711991448442115,1.0425483945634715,-0.8314786826211455,-0.7263152497614593,0.12396531115215077,-0.6394467569879647,-0.7849335776056999,0.4269816129870572,0.5648570228804345,-0.35051936954969326,1.7826355552851276,-0.7834170500647233,-0.9309386569537842,0.5485427670889705,0.6631232376814669,-0.9162539681217383,-0.8290230806992986,-1.012376716490416,-0.941576874297403,1.21352543278477,-0.33748247568252554,-0.7695040957795474,-0.8762699985321992,-0.7860765901826339,1.1696221868791143,-0.9024255863819135,1.263133138879459,-0.7844017996678443,-0.7242284126094369,-0.7492352739273409,-0.1848220692968016,3.6859724181059996,1.9581987025887575,-0.7234306663977669,1.6271671695869083,-0.7000482452014969,0.19952751856608275,1.64517612555805,-0.7639944819580821
