,JUN,SOS2,PAK3,PTPN11,RAF1,HGF,PAK2,SLC2A1,PAK4,CREBBP,PGF,MAP2K2,TGFA,BRAF,MAP2K1,AKT1,ARNT2,AKT2,RAPGEF1,AKT3,NRAS,ARNT,CUL2,GRB2,MAPK3,ETS1,EGLN3,PAK6,RAC1,SOS1,MAPK1,PIK3R5,HRAS,EP300,EPAS1,KRAS,TGFB2,TGFB1,FH,VEGFA,ARAF,VEGFC,VEGFB,RBX1,MET,TGFB3,RAP1A,PIK3R3,RAP1B,PDGFB,EGLN1,VHL,PAK1,CRK,PIK3CA,PIK3CB,CRKL,PIK3CD,GAB1,PIK3CG,PIK3R1,CDC42,PIK3R2
SIDM00519,1.450651171689224,0.0498076182111507,-0.6679620629581446,-0.41687740632795267,0.41097071018801634,-0.9085898653431372,0.8935655973365362,0.22434901321377412,0.05205675167458793,0.7804463899523163,-0.1316333253317547,1.2117328419628624,-0.6571157534642592,-0.5413997596560421,1.4682702253736368,-0.3955558339139622,-0.4539889001186848,-0.7032513775795374,-0.15120287779731728,-0.29600760340522414,1.221839698263148,0.0656233668893928,1.9753601094053148,1.7411622420718154,0.5154256853947725,0.1317221314449189,-0.6039072592913063,-0.6285576966138914,2.769353667407342,0.5708231736562318,0.20225978087680163,-0.8367236396892249,0.8798485214472693,0.42957933691496025,1.293766901314497,1.5419688881072011,-0.5502732194059194,-0.7328772199613526,1.9729503898739955,-0.28184129782331313,0.07456749189187163,1.161676301362987,1.8715694589559007,2.141783111660584,-0.47561600555413736,-0.8042327848341712,1.1474215518840094,-0.7187735136670106,-0.8148607476656504,-0.5727786583839554,1.1847096548350466,0.7140893152364186,1.258227015239765,1.2446644240034146,0.31954704636902964,-0.18112189125699452,0.034940508580002146,-0.5861729564811344,-0.7479543978325434,-0.8386561761109992,-0.22309303738012728,-0.25600809403688,-0.07939079386696714
SIDM00917,0.3557040154974996,0.777404455271312,-0.7157253657658932,-0.5545172319292266,0.6703226732559828,-0.7306371601004805,0.8619869852825898,0.36265419299008594,-0.4604744663586069,0.3954024949423983,-0.09672882938308264,1.4353305093647586,-0.6847001029446194,-0.08737606934962737,2.1682208807797045,-0.44961501627394507,-0.6165928884499432,-0.43991493639764384,0.42182521484708857,-0.53140709085529,1.5502036363871254,-0.3096193179178534,1.8169019639610782,2.0967618944171535,0.12581611851856564,0.4966286787394529,0.29159147122437473,-0.7161318035188599,2.1032589178303955,0.5455241666444859,0.7518296918279702,0.4079912195723818,0.5785314872233444,0.7794190322807186,-0.2553013702314299,0.6747655177517772,-0.7962043363591329,-0.05252370331954249,1.412250564020987,0.6749611130665547,0.3104583380836929,-0.5440472617887283,1.5947474958848789,2.321654720808499,-0.6733048419393598,-0.8931751692380971,2.1679220368316354,-0.33826179106292537,-0.93516831118711,-0.6685680443627056,-0.1853655647863503,1.4830687710257542,1.7345939641854828,0.5399892258928097,1.6959402178273975,0.29428175640692444,0.40700550208776304,0.6552993831852555,-0.5686052152385381,-0.7207299110933022,0.09639864077465503,0.44944808904324823,-0.45814276637380663
SIDM00309,1.1989135914686246,-0.055147137698300645,-0.7807695638963471,-0.43675263706473116,0.7255659061086115,-0.9093535814206749,1.435747437791394,1.530741624950449,-0.02010618667079231,0.45239454760209463,-0.7376653580839087,1.29693709399388,-0.5761599240701236,-0.5982155072109197,1.533801591408699,-0.2912125403265399,-0.2745886578336791,-0.5673413731578653,-0.5336829171384402,-0.323607853268389,1.256524659301111,-0.37361913110026307,1.9991019341998133,1.551214464507327,0.5986800821643932,-0.4076025712737755,-0.2054409360300518,-0.7994839546429688,2.5778827866642704,0.6321035255310687,0.19821987316206793,-0.8541154838838494,1.0882773068400704,0.4579589061151084,0.3231055411148932,0.44635764588407606,-0.9214273137731334,-0.398022946651397,2.054877891855931,-0.2781246700638339,0.07713419241059723,2.061413170785068,1.6661583490903769,2.1248117108012785,0.8732093846515993,-0.7927969404487873,1.5043932259792796,-0.5719067588538529,-0.86502732619906,-0.5076810135194458,0.9751867467798863,1.050604162306806,0.8343008677626348,1.308878414367355,0.9023372519923574,0.4332412209128918,-0.11725484951057555,-0.5018997117469767,-0.6379169899970415,-0.7952065883643438,-0.33145082133245723,-0.1229129380584758,-0.1603682274832688
SIDM00099,1.2804267594778411,0.23750660699476628,-0.6743388240877359,-0.48805428678273177,1.1767266262913327,0.19084219223620755,1.2441172639914138,1.6804400061122986,-0.11049390111615294,0.5498496685699232,-0.7525229775462875,1.6865245406992782,-0.7950408368578683,-0.4747716843383623,1.4524860221399285,-0.2291313922542609,-0.7149704059639198,-0.5616008280392394,-0.09575529299604095,0.4590628778438762,1.2061207614674792,-0.12167241390409916,1.937303553717271,1.5303667233180474,0.6202538847874911,-0.1358138792372472,-0.8112942451699947,-0.8120971220518199,2.5640336413202114,0.833796751022729,0.4272251428179874,-0.8097681129008282,1.0093641595797609,0.39921775645209767,0.14755878410998666,0.6730085000785737,-0.08776125432368843,0.3631753301796315,1.6256179924237153,0.4060440274154541,0.007434448992897634,1.437593744063728,1.7200583868663775,2.0584913330825896,0.6938360648235127,-0.8431826104721083,1.5187677074087365,-0.745840851085465,-0.8701917169994118,-0.5075803602465088,0.5776359446366703,1.054781605855778,0.05773351879501439,1.3090162296449548,0.9772417205774084,0.2470462313405816,0.11344628506884087,-0.60403659056009,-0.6606004384839487,-0.7412131459935081,-0.30151261608262947,-0.3063931104141543,-0.29295489699624994
SIDM00276,1.1495267237151896,-0.0659297637105213,-0.7730830318639567,-0.44887793886853683,0.6944907569106895,-0.9040710505366087,0.9538448073099771,1.9147984414375172,-0.24702081182234953,0.3161848239752825,-0.6618289046515804,1.5730502356630185,-0.051046874548187834,0.4225250613223542,2.019959361654287,0.11933883765264834,-0.703646250029435,-0.5956790432627415,-0.15633270574607927,-0.5519477570600904,1.9524905147513523,-0.22923534409259674,1.580808623462269,1.9575623215250881,1.1105277507367421,0.304573549235785,-0.12155918751438453,-0.4898190144427076,2.537790164982142,0.4636340472715856,0.3901472004011665,-0.8267639290855728,1.1816656923996194,0.26240778424630146,0.7044475300252824,0.6515748950888393,-0.5075501905398743,-0.48433843117361014,1.4961103348203462,0.04423901097012558,0.3319259955565263,1.4320876928010258,1.781872273037921,2.4098998109513494,0.3077758434506542,-0.878878674651359,1.6900158608756393,-0.6488194164256283,-0.891819904966587,-0.45069797981220244,1.3752303964676362,0.7656402758048775,1.4485348529477764,1.2893929818752554,0.4020237646019066,0.030209795559018312,0.10948548738996396,-0.5315367247175582,-0.2316355681874294,-0.8724342233570149,-0.49045962005312094,-0.18699906706649816,-0.4121884693058777
SIDM00311,1.6009746532649622,-0.03247697834325912,-0.7678814318561907,-0.48437306637563843,0.5447987316773143,-0.9207453109683621,1.1668714680617331,1.528826607635065,-0.350180345706061,0.5379680922769874,-0.7172416337410076,1.3593653195542226,-0.6762071721589009,-0.7453538371884136,1.8896826961927777,-0.04068572253821361,-0.2742433074570443,-0.6105409974472994,-0.21211238884906125,-0.27243689547260147,1.5785594577365645,-0.2599538450708593,1.9816526266618866,1.635529327971572,0.29001810221540564,0.7014867377485622,-0.6807357086008976,-0.8886306283160915,2.5336087504973483,0.6037743687259487,0.38729023043362193,-0.751888574666709,1.1499067182680816,0.3726661133755071,1.0374691508492275,0.5102474431294666,-0.46941732480073955,-0.13474756891173795,1.7808556596684686,0.5132953485645706,0.08589945360217498,2.338757694612015,1.7098473332189854,2.0736205143680584,0.5999032391756205,-0.8596516129349381,1.494692404143523,-0.677359328236902,-0.974540546993818,-0.7006534144687454,1.0083807646581762,0.6673773383260784,0.6672431865164238,1.222587437599316,1.2324268605147033,-0.16744840637044256,0.20913883553329307,-0.5452007531527697,-0.5712074349075134,-0.7787929081177212,-0.1528127154303174,-0.029608362448675183,-0.2815786822959473
SIDM00970,1.1125033789495749,0.06815208203162508,-0.8618154103732047,-0.4807603789388971,1.0032059249628758,-0.922839698860075,1.0205892370760392,0.9835603208443948,0.17913257839711824,0.4361938112367892,-0.5256549411600988,1.0350064504926018,-0.426249581568136,0.16764458696924706,1.5480021660770813,-0.10547988580351268,-0.4904887616876481,-0.32945864135872244,-0.40354373131039006,-0.8508602838977936,1.2890579677789475,-0.2157486021446822,1.989476739302766,1.7772022885091538,0.3293145122295789,-0.2888364263397003,0.58052317520502,-0.12548187628659088,2.70133784532971,0.7419548768709279,0.8119872597350951,-0.8149726060877294,1.3507311932125972,0.950953038465395,1.1489393486321327,0.8955143169693113,-0.9062378848792261,-0.24560597450788194,1.0789956584989684,-0.0411071918593983,0.016143176077876336,0.18932458388962015,1.1479066050809417,2.4421584814284683,-0.4468631785306011,-0.862421172009199,1.6142367942215397,-0.4642723288066422,-0.9544814747274226,-0.7777194797983332,0.29791467993449905,1.4993702506761564,0.9820464646986934,1.107503557714046,0.6516507787099076,0.07842511824996666,0.5703371447563536,-0.7197542934563707,-0.5504853940793951,-0.8051315465966639,0.024174200640533106,-0.0044976200404464785,-0.3230373291454919
SIDM00103,1.9346272657562575,0.11201949844336118,-0.5628251567606234,-0.35016489112851445,0.842042295483723,-0.9424373403135204,1.2473264817799543,0.38846871292274593,-0.2440956091781148,0.35132433999866564,-0.8503776194424709,1.7208696588265395,-0.6938380170967033,-0.3199136617291577,1.3916393884940752,-0.06847722136698463,-0.3482823830401685,-0.5499446939252121,0.20947627032507973,-0.24893693507670495,1.5912580346491147,-0.07361530240791878,1.942845321479567,1.6238428467390442,0.80055510601947,-0.0633870413070643,-0.8023320621834645,-0.7688282178168442,2.5729208617833472,0.6115918772422926,0.3533626797819316,-0.8467818040121766,1.4511064022891142,0.14464132941274382,1.374824425283392,0.019609299068091418,-0.1489624022248841,-0.5518795733650771,1.5634124893252819,0.2546381519071807,0.0004835080749557808,1.9927127214703348,2.187522886063633,2.0346203165490295,0.7022074629030362,-0.8756849230558732,1.781489468440995,-0.8018036490477344,-0.9483541958427381,-0.5650777545370397,0.722760813080312,0.8650564439337495,1.2219708033261014,1.2453190119225184,0.8649885642906499,-0.012228360223561519,-0.10922721032177976,-0.5742533021236681,-0.445897226423674,-0.8415395909860525,-0.19631857119045654,-0.28401500007289676,-0.10318863179885122
SIDM00266,0.7547732186794955,0.18691646827734318,-0.7373882479019702,-0.35970337316955103,0.7998530910773893,-0.8571403446396317,1.1739721253351092,0.062219439521801846,-0.3668691190112027,0.5044365911171107,0.19499029302853177,1.421884080467031,-0.7207346332098546,0.1151396341686013,1.3033679463501235,-0.3555052293772311,-0.7658590729368552,-0.5117967119573102,-0.38103937789541825,-0.8347357449295455,1.6647147494627599,0.1784902157429004,1.79771557005055,1.4884797745308012,0.43598438125523226,-0.7597274047249564,-0.7827965577757534,-0.8250553715722624,2.423210183355695,0.5948286514554698,0.5203234391390296,-0.8496389728152324,0.7427837498526729,0.6946840758175171,0.06433666084970455,0.9111993007529532,-0.8524898453995975,-0.17615706719771163,2.3663304296343064,0.48453409065528474,-0.1599034263136676,-0.7177109417741888,1.4581978107912916,2.3488770597223154,-0.7482514974901306,-0.6472016918770039,1.4209224781677827,-0.5568906287862644,-0.9275023002734074,-0.7816475923831315,0.4395899124046435,1.2485834637867401,1.253827961612637,1.158112894856864,0.975240071825603,-0.33462897669646635,0.37430815062844575,-0.6595534890448225,-0.49050390453011583,-0.6325575608303017,-0.043248545248515055,-0.15869170900966262,-0.44868059800330085
SIDM01064,1.1767698825357338,0.4878491632261718,0.7667273141939772,-0.48667244666953907,1.1271093323880224,-0.8632894307302654,0.7261012544823194,0.49002882576413354,-0.3722411159617376,0.9311953063125066,-0.6112167123833706,1.1257725690972324,-0.6653671393407016,-0.3823909016943919,1.9344409784512715,0.12561007301362406,-0.6814183349144066,-0.5099221426094163,0.37142081453044107,-0.4457132286410602,1.8509542624253292,-0.12371565202219172,2.0406354346607185,1.7085587502100803,1.0024155733741154,0.2139541430743763,-0.7050105999734196,-0.8420120025949221,1.8105522688699511,0.8955226757344096,1.324784881453375,0.00999373611543667,0.8651038677438343,0.7549958733303839,-0.36069953305160496,1.139741061167428,-0.8588586741547825,0.06787615621053905,1.8805444951843107,-0.38390439931453113,0.11853981156144153,-0.7406362445139985,1.2272982263286853,2.5816055992228444,-0.6382688888875209,-0.8664130507518361,2.662437321285291,-0.5222596854068073,-0.693595473215947,-0.6385175427619414,0.6606038670629293,1.1115486875638643,1.218593717846548,0.23453807024904166,1.6317312906782862,0.201441486318639,0.5056436354050513,0.5128280268281551,-0.7498104886315669,-0.7788569289509498,0.8846240816513324,-0.10113901006162213,-0.3221179351293593
