,MBOAT2,GPAM,LIPG,DGKZ,DGKE,DGKD,DGKH,MBOAT1,GK,DGAT2,GK2,GLA,ALDH7A1,AGK,AGPAT3,AWAT2,AGPAT4,PNLIPRP2,PNLIPRP1,PNLIP,DGAT1,GLYCTK,LPL,ALDH1B1,DGKQ,ALDH2,DGKB,DGKG,AKR1A1,DGKA,LIPC,DGKI,LCLAT1,MGLL,ALDH9A1,ALDH3A2,PNPLA3,AGPAT1,AGPAT2,CEL,LIPF
SIDM00519,1.407674829962291,-0.37579578370416755,-0.5829682285325541,1.39985757051533,-0.7276831935963454,1.0663572804088028,-0.742727380634583,-0.9131385509039988,-0.9105315716907804,0.00454544685840353,-0.9382558288883608,1.1789800186971144,-0.04734848633950823,0.2425720163513442,0.5973438436755363,-0.7878377636209278,-0.15366886590905016,-0.8251974639824484,-0.8683530385355868,-0.9877753337204697,0.8871601569793962,-0.7204377590697241,-0.8841106461497684,0.3268015394243121,-0.6128410181478339,1.5815824349005054,-0.8406977514869313,-0.8289494549205406,1.2676166411589276,-0.5082458575172767,-0.7276274278739401,-0.7899933467623328,-0.516669101311548,0.4910493989726133,1.7085690665840134,0.8409676884375483,-0.5383131773337659,-0.3470704776536955,0.5990856780029712,-0.39855505791847046,-0.9737806208118973
SIDM00917,0.35286281279155746,-0.2178632831928051,-0.5809638034799233,1.5301351785875619,-0.6521004096793385,1.6292019871557382,-0.6270905147997048,-0.6696140416029552,0.8425561925633275,0.2574018334800434,-0.9311206792568314,0.6219322835895315,-0.7657183485170751,0.4857985390340102,0.7987658843758466,-0.7305202258842067,0.21560502089863706,-0.8392658053535303,-0.8552630886673548,-1.0393340079799283,0.29892203511652904,-0.6881115041887628,-0.7391453614115787,0.16178218933883895,-0.7384188205802076,0.9875022302127456,-0.821056968946455,-0.7114316626069049,2.084911218626873,-0.2934899176735582,-0.9459355333017168,0.27326673210965224,-0.5301481058750591,1.8767874174409436,1.3250852221660985,-0.5058578943192685,-0.25064441269949284,-0.4879813048588579,0.030992814366925508,-0.48613701886167515,-0.7209874586555868
SIDM00309,0.7872370462809666,-0.3584782016498487,-0.7216096590896389,1.3508834250972994,-0.6877786464037304,0.7768147313553361,-0.7859582997784685,-0.6293679918904903,1.1748227989441469,-0.06893581049527035,-1.0838577876182365,0.9118250625491823,0.24218797152292582,0.21678301598070462,0.617706252738831,-0.7078745526752417,-0.39924241381279374,-0.7860486902221954,-0.772671645381392,-1.0524704636196145,0.20130875620216532,-0.6557708815093922,-0.8719129129682028,0.9844704359577299,-0.4393676557729387,1.6300128197525552,-0.8278111801526397,-0.8102358318807983,1.6948812571031995,-0.6336083057004888,-0.8156307980133235,-0.8176735983984141,-0.46559121828703154,1.4906707661110932,1.8339944601095088,1.4691261244116733,-0.2985310892321705,-0.28593550187144007,0.04697092598083409,-0.8186855784050711,-1.0257249032984836
SIDM00099,0.9890921822712347,-0.36437635382498273,-0.6185887021149049,1.510748409200845,-0.7876258986028675,1.031186656425057,-0.7894519508815774,-0.9114482584982393,-0.7198608408571576,-0.5870051143622677,-1.042199108758825,0.9909832295112327,-0.22052098185750413,0.4115331809994974,0.4975601693854231,-0.6750731831455956,-0.5271975162280068,-0.8369589347414667,-0.8170540272211659,-0.9854980199656136,0.5659663061879991,-0.7349069893981335,-0.8264687957559667,-0.04974230606188002,-0.6157544959241911,0.8255992518663462,-0.7929796040765529,-0.8894505540524946,1.8367848400592586,-0.32200238251196744,-0.8480570298376094,0.23165085189155243,-0.3650753841003789,2.1478218522044337,1.6297378894987773,0.832568243536906,0.21227470423114148,-0.3706862884198988,0.8521808579555229,-0.34869018627773757,-0.8737606502574188
SIDM00276,1.1650580534582733,-0.557814440323931,-0.5032284905619924,1.4776014614375985,-0.7547218747300877,1.2593986699710409,-0.6625826000934386,-0.5809811392849851,-0.43842761259763924,-0.3940173271521299,-1.0081354522131023,2.040271361127568,-0.2715353348482606,0.2686181017085092,0.6155205120135109,-0.7307045816235556,-0.5500714327228767,-0.8074198382367306,-0.8959437438095086,-0.9120741948866976,1.1492920400983584,-0.672404080236343,-0.8614836085986767,0.2367673266587503,-0.2657434546596225,0.903857136505525,-0.8037136207928965,-0.5905084278601089,1.5446262543541134,-0.34694632600190006,-0.8340370794906983,-0.7964799593983519,-0.4527429554623322,0.7953835058918767,1.3776031459929157,1.4218166096185478,-0.22260842918492332,-0.3104646237385444,0.7629696834392461,-0.7043398057498207,-0.9759185576635393
SIDM00311,1.4009091441001926,-0.2269092295712635,-0.6333990171353593,1.6148175393210582,-0.6844750442741042,1.4267359453474944,-0.7384339475783072,-0.7686508395769488,-0.3311614453389899,-0.3543619451070049,-0.9480082364909148,1.6204151019459299,0.37060933935053214,0.17159892154960105,0.19954900530410774,-0.7204259525035289,-0.44588907158312363,-0.7872579846450545,-0.8753943186790959,-0.8314823229540278,0.46505613851822136,-0.6652209241820317,-0.8031470091300378,0.5375278773673092,-0.6462178558317029,-0.39572946679666754,-0.8554826357561656,-0.8824384099900899,1.3005002543145592,-0.7533451703837195,-0.6551853366083069,-0.7618100990788879,-0.4068367423284659,0.7996575928914703,1.403225295754775,0.7039665427985154,0.15705963962739897,-0.3343610945948439,0.8558467463203098,-0.6671655655721217,-0.9530171758817354
SIDM00970,0.5263890392533641,-0.11612166159534788,-0.4345745820390291,1.8973763374440622,-0.6427336162115941,0.9230001358007199,-0.3422568662008,-0.8599232704405042,0.10430541804488982,1.1018807481549344,-1.033497663369123,1.070461185531863,-0.6490675668523387,0.27848011864261124,0.6793216717088754,-0.7740959861448026,-0.7069275511963918,-0.8422336640872378,-0.8723191012907551,-0.9108254191531808,1.07470286969493,-0.7158719483414447,-0.8696734062198419,0.33591301963711573,-0.5304766045320712,-0.7201920148016463,-0.8492358651737247,-0.7375376923991198,2.161881907485233,0.07779333436289627,-0.7002139117433481,-0.7931544903499981,-0.30562899800874416,0.29820700943615475,1.4491222181167558,1.0380871160648786,0.5304114820419018,-0.7128313127726024,0.6175011869792597,-0.6199894204222527,-0.9314439471456818
SIDM00103,0.9471443041126528,-0.12684894859171725,-0.76461625801298,1.3944312696804049,-0.6410083275988196,1.0764582620282102,-0.742555347430725,-0.8229258817241516,-0.4206713418217234,-0.33135979812460314,-0.9330643031964848,0.8820539495646539,-0.2946678181916362,0.2745679343206829,0.4634695100131335,-0.7916616259144796,-0.617151165799163,-0.8755364613977327,-0.7922677367801545,-0.9442838377405516,0.6513965611701823,-0.7060654205022363,-0.7337331234845069,1.2594088871511915,-0.49003288286434626,0.4389370103908405,-0.8190568771143216,-0.832277125147033,1.704471159923699,-0.2356643292699668,-0.810612730552296,-0.589031683642928,-0.40546817251219286,2.6994524950134187,1.9695101279538043,0.24834820655537557,0.3529103225262074,-0.4553383300876612,0.7852070028178271,-0.6484559858729562,-0.8309392845460158
SIDM00266,1.1678822033856566,-0.12967790522224032,-0.4530995368073015,1.5830429857076997,-0.8017140254175547,2.8410795433798612,-0.7103596300564659,-0.8480468791097905,-0.33199724725747093,0.12712726361166782,-1.0456852882651906,0.9305034845603436,1.1381351972950031,0.3323920458880719,0.24818200129719822,-0.7058631676160692,-0.2022904455546673,-0.940145721422236,-0.8371184171739819,-0.899852169801353,1.1564152187913659,-0.7574294920450626,-0.6439390641895925,-0.10244850770486642,-0.5046125083114009,1.6582370703601024,-0.8116706297558738,-0.6765590811623525,2.0435374458684636,-0.44371196433830185,-0.8699235670327136,-0.8073453915946143,-0.2426320567589421,-0.6581111322125329,1.8155206378386164,0.7871429610249502,1.812029826482833,-0.33842444042464853,0.21426406965606626,-0.6407864050446455,-0.9165223184367167
SIDM01064,1.1827918951994896,-0.5159828052156561,-0.6252156032988845,1.69943356440772,-0.37426020415403954,2.0958990974653062,-0.664467538766496,-0.4402256717233149,0.18887657294099938,1.229163271512885,-1.0220908049798034,0.9777008807817232,-0.6808861758033511,0.5537246075463129,1.0323112896356332,-0.7167528415228682,-0.4230582621509273,-0.916126235074298,-0.8418202182189577,-0.8932322445210593,0.23605905733347896,-0.7339005413866921,-0.7834170500647233,0.5992779551442026,-0.6706985259829111,-0.7301487036633993,-0.8083682786194097,-0.07097950125230659,1.3565989746126201,-0.49851225288468914,-0.6874580672586177,-0.8287495772722736,-0.38044600395274436,1.0810018594854645,1.1305584264127977,0.4509594922089069,-0.3258317725826521,-0.3394403883552966,1.0720681777265701,-0.5505875121675162,-0.7429469323194409
SIDM00098,0.9393206600434514,-0.21230384407572322,-0.5377590330840408,1.6202104765951189,-0.7803414585588037,2.113759773222751,-0.7261880577306804,-0.7769000937037682,-0.5704823611045926,-0.2896777449143135,-1.0168610607464714,1.5519528198241639,-0.6527187853564729,0.3088028523135783,0.43519264942854485,-0.7253586025778084,-0.40122519574094034,-0.8695408977139341,-0.8483103325030757,-0.9047158413003896,0.697109761305753,-0.685931624411323,-0.37538763689444743,-0.06635347209409072,-0.417776681421929,0.5761811551435289,-0.8440315358634966,-0.7543007797332184,1.4661576726563341,-0.7427812490117036,-0.7998190135603235,-0.8369376528958172,-0.4554775095487185,0.12383088833754577,0.9842510271287487,1.623593964827056,0.4323888200554682,-0.1881556513079047,0.5156967203870684,-0.5069071858122768,-0.965359931327977
SIDM00225,0.312966518411673,-0.028685770330367736,-0.7463690584226487,1.0494849971273652,-0.7329361874247521,1.9865307673184598,-0.781198048936566,-0.6613005874719586,-0.32427996826480615,-0.15658883186731987,-0.9856470637644071,1.4903445737331245,0.4686842488259858,0.6563234894975334,-0.02312886385673349,-0.7285465232376963,-0.573373474405181,-0.9098002151234807,-0.9015050991540169,-0.9155655965523367,0.45461698010330137,-0.7066664611854248,1.618879961338274,-0.29563665618370144,-0.6167295261040318,0.6713468761532514,-0.8529348275432534,-0.7846792538761116,1.0315751407843834,-0.5500627373630058,-0.8490681456386544,0.8322060066187538,-0.3110027115764842,1.2451637398528517,1.358500960488616,0.6221571316640836,1.2303371732744912,-0.21558965843055986,0.35189467217714415,-0.8248879076605209,-0.9617406755037887
