,ENPP3,ENPP1,ACP6,RFK,FLAD1,TYR,MTMR7,MTMR6,PHPT1,MTMR1,ACP1,ACP2,ACP5,MTMR2
SIDM00519,-0.9353491232465649,-0.41591830264314517,1.602120563991717,1.9633131576378808,1.4491123269759776,-0.7135645404981119,-0.7362741866998348,0.2017947519156197,2.6537741775628394,0.5839495019421896,2.1648853371576102,-0.34447889169130347,0.015167973615814035,1.1286409143137375
SIDM00917,-0.8715078992276435,-0.845782793621135,-0.3228774287708675,0.764398589350869,1.352882582122331,-0.7033557661134776,-0.7480319381823926,0.13478339958286764,2.6564348583450736,0.7494433491426932,2.05548097752667,-0.41422162687557673,0.17261833349789904,1.003225045845411
SIDM00309,-0.8376500938957716,-0.6710177541211539,0.31134588241894673,1.2241736136661212,0.9705271663605319,-0.8714814962346986,-0.7154153234844168,0.14481644473018868,2.0679366824625607,0.6149757279813814,2.0608554080086385,-0.2081850523949943,-0.6954014574303662,1.2021531641130825
SIDM00099,-0.8033785334989738,-0.7078439302514312,-0.849205958869438,1.6509975896396418,0.9229324369209422,-0.8634885973052357,-0.6318425025303972,-0.05438740874620362,2.59328619159774,0.6066617667624882,2.2197086470680447,-0.05493499076092533,-0.5926375275812339,0.8907156107858155
SIDM00276,-0.8807662481244803,-0.23638666720104418,1.949277232351687,1.5364819465172432,0.9570285203689528,-0.98491253720436,-0.7185239780555921,-0.24533049255270226,2.202540664502169,0.7605194534178987,2.1035153869875933,-0.09675145783785928,-0.5241570400356111,1.3424914463964241
SIDM00311,-0.9004687985953198,-0.7488970454796309,0.98221266578749,1.4789507194300417,0.7051924130872993,-0.7520485191284003,-0.7070426213431819,-0.18601676403936307,2.3786463697439286,0.6992678175798783,2.0851176688242083,0.1167693790187608,-0.5923307517699875,1.2299194036131267
SIDM00970,-0.8447625088890212,-0.8914612002646172,2.024237779678122,1.0895012841368876,0.9662023984699896,-0.8499372820978119,-0.6519836551397221,0.08097984911226719,1.8954578227781127,1.076472186721865,2.066532269029201,-0.18795835364989438,-0.5380707003529624,1.253845344431707
SIDM00103,-0.8922442942193746,-0.8949405498541874,0.5694367412516798,1.5264452740072618,0.9543619675877695,-0.8658149336288912,-0.6479527995501961,-0.26230923824667496,2.5437460747216676,0.790500454275007,2.1838097879462586,-0.15857516373311706,-0.45124872632275115,0.8031341595877465
SIDM00266,-0.44609071474676537,1.5514313196333078,0.692789654508834,0.991905552327862,1.563058734116469,-0.8101182221184245,-0.660949217967578,0.9415623592291545,2.242347874806299,0.43643283019271245,2.224633331737174,-0.21630755328409945,-0.5855044650259095,1.2853090582751396
SIDM01064,-0.7032345132313812,-0.7204471430325006,0.40529470286672836,0.675117247420607,0.9994969157499111,-0.7580858030472204,-0.6832425924176021,0.18437711346070915,2.315080872758918,1.029525599403078,2.29782481596145,0.5058761271495954,0.21147064047667247,0.9307883373291823
