,TUBA1A,PRKCA,WAS,CLDN1,TUBB4A,TUBB4B,RHOA,CTTN,ROCK1,TUBB2A,WASL,LY96,ABL1,TUBA1B,CD14,ARPC5,ITGB1,ARPC1B,ACTG1,ARPC2,NCL,TUBB7P,YWHAQ,TLR5,TUBB2B,TUBAL3,CTNNB1,TUBA3C,TUBA4A,NCK2,TUBA1C,ACTB,ROCK2,TUBB1,HCLS1,EZR,ARHGEF2,ARPC1A,TLR4,TUBB6,ARPC5L,TUBB,YWHAZ,FYN,CDC42,CDH1,TUBA3E
SIDM00519,2.6728068702836394,-0.14177020028773454,-0.9280587846251072,0.3867175180784917,-0.8600689843242308,2.7641445845907033,2.336611588025909,1.7406012459047024,-0.7523052539818814,2.123906908332942,1.0547330348168285,1.8501050379037707,0.3547805573656611,2.9022093975869963,2.0783916994166614,2.66895677701065,2.086497938027983,3.1321487324674213,3.765490955547292,3.2581551315358372,3.174673934042039,-0.9598712635018368,2.152548470558317,-0.9476050353575899,1.3416444505887901,-0.7143793273288784,1.2176476867537853,-0.7306959520485466,0.8784654559292774,-0.2160679738997095,2.7936666134136408,3.1301584994449243,0.7585674205699963,-0.8340633942900997,-0.9466823861867273,2.9048935689961777,-0.39567801652655626,2.5332954995236516,-0.8372193965054766,2.4759970924770043,1.6610379462808593,2.555733245692546,3.176093303727559,1.307152286069642,-0.25600809403688,0.5996811532132683,-0.9886696321546554
SIDM00917,2.381403648430918,-0.5834552659254151,-0.7525482937302769,0.8609231361907544,-0.7619223590432799,2.2410583340695043,2.6126260305947806,0.0063028508836366634,-0.7543480452060052,1.3007374348141472,0.7509936653125916,1.8336582677888091,0.07227524592064806,2.595469937211592,-0.8223492756118116,2.298953128747233,-0.5999323053013581,2.9566459076105174,3.4423811707248406,3.169301720273523,2.8934144696440325,-0.9356651944038592,1.4486515153287463,-0.7132212223040106,0.7269635960299178,-0.7708638265210469,1.2852809793337285,-0.5274544995693209,1.8894700039470151,0.23762616099669084,2.4154408758069636,3.1127066181298892,-0.1530102653394292,-0.796491638621151,1.049347331340251,1.4819067843425644,-0.32697627069522467,1.8321882014516433,-0.7850538082708308,1.4673020595500583,2.0782836577755797,2.289688496004179,3.158516149497121,1.0727373579708706,0.44944808904324823,-0.8302974159753143,-0.9343016130057145
SIDM00309,2.2764115552473023,-0.2444585548068717,-0.9252019915189158,-0.4046714582682708,-0.8976376123011476,2.571421839312094,2.857779503124727,1.5804507317872618,-0.6859334283277749,2.6148107790506514,1.0442837470628963,1.7233555686816835,-0.14684212911695277,2.7939091098414286,-0.5290589212600076,2.4724192966566783,1.6650003876070572,2.942299009945732,3.6588408169077304,2.9653946692716495,2.8909560156606857,-0.9569846748662906,2.115829819466874,-0.9983888857205795,0.4791604499233159,-0.8513489144809179,1.531051666763261,-0.7348688572264419,1.6187311755054639,-0.20371061498863988,2.7530350641588086,3.0413373217260644,0.9363253725929757,-0.8435123096118331,-0.8647729156225897,2.8871527449367047,-0.7218933783316533,1.9040400332600094,-0.8259978573783899,3.0940762344450707,1.0690214235625775,2.8733530750746383,2.863377413802065,2.1707496772515524,-0.1229129380584758,1.2032511283514795,-0.9567274582444838
SIDM00099,2.6867426568609956,-0.13137744725192088,-0.8610085800494975,-0.1495228392937134,-0.8622776502566882,2.761877662628839,2.662829847610818,0.8590403366337668,-0.7281503381432305,2.056950189709432,1.3249670516130747,0.05853396091545546,0.6239641672368567,2.909345310807087,-0.8362120400935583,2.4119729148765687,2.1164613662544722,3.1124286886454358,3.6956251491267103,3.2771102424250005,3.0786886107245226,-0.9192654976417672,2.1540495060168414,-0.18498549475043324,-0.31080747594774377,-0.7304028906450968,1.4339588043516427,-0.8305181054561874,0.20371070376868322,-0.36026978728763265,2.5465325027039363,2.9799974161351592,0.8139784723992741,-0.8322182442985357,-0.8742959834049877,2.1321868184251804,-0.057295261443841276,2.3326497892466187,-0.8061832567714339,2.856960134383757,1.5966981865856102,2.5758641117005436,3.1694801631406015,0.9698603220525946,-0.3063931104141543,-0.9146071897728487,-0.9614509016839505
SIDM00276,2.2586574961515318,-0.40676241488024195,-0.9327809524995514,0.944913797285946,-0.8758367061007144,3.0906814285421835,2.5206409028438705,1.5319360596690763,-0.7616783682984835,2.3343595482281163,1.1425571272803774,-0.5204461585277325,0.10760197413090264,3.237773369415517,-0.8152281799459357,2.1467423605666838,1.9783318848585798,3.206240368830582,3.7314976282726335,3.1613738783180754,2.7772875438598787,-0.875161174675472,2.160147203182572,-0.6077994887102046,0.47464203239727387,-0.802523887483288,1.3183493700636075,-0.8172136762906697,2.621101956133812,0.010401566834162544,3.0127012657105356,3.189163461947727,0.0833445328460359,-0.868427741929473,-0.8773021887297593,2.454315434983221,-0.5889071075171503,2.6963512279615762,-0.7679320868710091,2.074540094596931,1.8344119222901263,2.8254589344847845,3.37245876158701,1.2409770589816889,-0.18699906706649816,1.1936296443407253,-0.8387977872054946
SIDM00311,3.1581416420502975,0.7056643480085137,-0.9000899867140846,-0.044163808531560905,-0.9409069906273237,3.185916566118772,2.962453528951947,1.3813421126224186,-0.8568766925778432,3.0796420384831062,0.8436234795295232,1.8072962934964003,0.5012232020806003,3.2479055226665117,-0.6967571099861454,1.7567860838555194,2.109828675533141,2.42808781422643,3.7180542573840034,3.1879283346030145,3.07012786309238,-0.9849804628943581,2.1663786099693043,-0.9113272846112603,1.4820752194490994,-0.7448964785582671,1.7525331315109194,-0.8698328122679563,-0.3447085128728541,-0.38885848261538425,2.9616350197739933,3.0285771558650887,0.8359829109320396,-0.9488597098643862,-0.8949107658007391,2.357320477457039,-0.5924066349715712,2.435438331821009,0.20142553943126226,2.8553884590397547,1.8430035807410634,2.8825607915774802,3.1350846459763755,1.4117324812219323,-0.029608362448675183,-0.8511073983279972,-0.9368122955099251
SIDM00970,0.3868490382233431,-0.23316708625249377,-0.9127000731469146,1.1825652834122222,-0.9606073775186446,3.1607237680597615,2.798015426118431,1.340492753505431,-0.8431934194547968,1.3612032703267067,1.4439899219978192,-0.6500102050854752,-0.08722888146728958,3.2378397708680335,-0.7570694585135122,2.144970035163055,1.694698650979929,2.3321775311066024,3.740781327271597,3.4981813042420598,3.100331173525056,-0.9525027829971274,1.79534573258052,-0.1672102072285945,-0.4789575156634128,-0.7201920148016463,1.875124878476745,-0.6855994708064025,2.382861658718581,-0.382037146677231,2.852695952153726,2.8398138701074793,0.5346246756994116,-0.829011164359375,-0.6049311583668042,1.9355342458446205,-0.6524199957843274,2.584656796453179,-0.525918775971935,0.6850728328647377,1.6577455859365384,2.6193091118643306,3.3884606235896517,-0.010292471860073364,-0.0044976200404464785,1.583007419094312,-0.8186227444779012
SIDM00103,2.5900788645657777,-0.28424573269653736,-0.8561024572068694,0.376064160219975,-0.8433468214861038,2.9022910908113166,2.784596803999962,1.3285736715053076,-0.7743716451933206,2.6160897906638003,1.1936235816428447,2.115496142686742,0.764448897546259,2.8885648132091037,0.044617458168909684,2.320598716088903,2.443566252914627,2.8627809341751296,3.728604032543116,3.2268012701449003,2.8235086908200957,-0.9321411057123877,2.2879986864774224,-1.0028598912085815,1.3890799493006545,-0.8129642175793882,1.319050504339812,-0.9328971994255505,1.0777182037238948,-0.45100359127684325,2.5759845714461305,2.859653318573004,-0.6872729785421735,-0.912469792910235,-0.8637229605397159,2.4293242150962135,-0.09561996951842198,2.4313672333500804,-0.21581228186723536,3.1012580673497596,1.7799888485790154,2.6259618439867034,3.2162579687063246,1.3198761775309895,-0.28401500007289676,-0.9058538182479098,-0.9746057912833369
SIDM00266,2.6975072801572555,-0.4922111936441592,-0.7262704283587305,0.681996976732886,-0.8335008428217241,2.7644766773558036,2.6792092150928486,0.7317740932707196,-0.6893855660036172,1.9131840974985157,0.8756692004947332,2.2830011520825275,0.6654788082368788,3.1662925037831244,-0.8361814087642498,2.035598742985858,1.627616334486582,1.9488084538451023,3.4886724914879905,3.0248876644837726,3.1245238727849887,-0.9557745728654412,1.7409827415294383,-0.48296590281806145,2.3133458748861258,-0.7982790193796523,1.3629373334990487,-0.9052564512813561,0.0017021464310324013,-0.6881238047705561,2.4755545739730946,2.2635325447355523,0.32932813593645077,-0.9204753647083,-0.21814983945681674,1.8855700609119435,0.2425334386419654,2.3524319986334166,-0.8431008895558239,2.3371739818286303,1.7876563833722872,2.670646878853958,2.9193066344751455,1.5092997359795841,-0.15869170900966262,-0.7989717166732344,-1.0318935153979447
SIDM01064,2.173169273546599,0.17604218848619743,-0.6653545904591668,-0.7349414283500133,-0.8524218658267666,2.7256828967221707,2.6178962245186987,0.950613984018672,-0.5570838710983187,2.700043428885498,0.5062736671614094,1.3877901509189046,-0.05166498747120784,3.182741041264554,-0.7347809822108665,2.2899883153239435,0.9275137453301685,2.767941271415355,3.554030155527734,3.118570612764778,3.0605649888762567,-0.9253520482706249,2.42330620803426,-0.8314903314025612,-0.7073771577896615,-0.7052874842382444,1.187079652225721,2.3059348647050872,1.818934311476726,0.2622159011917113,2.7229054305639373,3.0250573482784473,0.6904693931103755,-0.6434182745028076,0.28386611874865914,1.8322554131149102,-0.6806594956731294,1.6291086261911913,-0.8177856584391479,-0.7374205058642148,1.988556586746059,2.7127500878456665,2.9354677060840277,-0.7862023710063906,-0.10113901006162213,0.2972462104533855,-0.4380293003708748
