,MAOB,MAOA,IDO2,AOX1,ALDH1B1,AANAT,ALDH2,IDO1,CAT,ACAT2,ACAT1,IL4I1,HADH,OGDH,HADHA,DDC,AFMID,CYP1A1,CYP1A2,CYP1B1,ASMT,ECHS1,ALDH9A1,KMO,ALDH3A2,WARS2,EHHADH,OGDHL,GCDH,ALDH7A1,TDO2,HAAO,KYNU,AADAT,TPH2,ACMSD
SIDM00519,-0.9138550965516653,-0.5284558265761403,-0.923755552074868,1.2388979099480115,0.3268015394243121,-0.981446846942803,1.5815824349005054,-0.8644938019933261,0.4560597849081559,2.115628202017624,0.8010804861327718,-0.3266712955654804,1.2177984333023095,-0.1635723843452114,1.443053815955693,-0.7719249136759854,-0.2003351828085673,-0.969541526190708,-0.8595976412251743,1.8907011642994254,-0.8627657110754654,2.13216477576516,1.7085690665840134,-0.7420442679964949,0.8409676884375483,-0.21576422295633912,-0.6502875112869839,0.07288333381555571,-0.34263670647238326,-0.04734848633950823,-0.08542885185002032,-0.8290096061508212,-0.6305138159270167,-0.8061104724213621,-0.8282180845482151,-0.8335050064533666
SIDM00917,-0.9583647591876644,-0.5839396790370103,-0.8414529360352099,-0.5267516484735327,0.16178218933883895,-0.9867898653135359,0.9875022302127456,-0.7965950638758976,1.0162665639812445,2.328122615397938,0.571618518517897,2.26833699169626,1.3994936900238482,-0.34299018659547365,1.830688492678727,-0.9184987505693945,-0.07571095606942257,-0.8864913934596663,-0.9408739339991185,0.5073645952798883,-0.7724664852506801,1.96213778310516,1.3250852221660985,-0.8142308165208597,-0.5058578943192685,0.3047725270349302,-0.7863668854579664,-0.7956126042914476,0.19215466610534623,-0.7657183485170751,1.2926378828004408,-0.5731844971429851,1.845501572810721,-0.8019313905203492,-0.8763674440743471,-0.6486746716826756
SIDM00309,-0.9112056394858054,-0.6167469588872668,-0.9617330199188462,2.11517691250498,0.9844704359577299,-0.8402190432578216,1.6300128197525552,-0.898403766469898,1.104819497748468,2.1905855387733393,0.954784090973499,-0.8108908128317466,1.2656898353677066,-0.24838893834958134,1.4606726059453343,-0.8486592576699037,0.030703734714003745,-0.874664436430996,-0.8757767662587655,-0.024282561124855256,-0.7191331735169513,2.4958403760741907,1.8339944601095088,-0.8448780616930099,1.4691261244116733,-0.02027261524802615,0.01654499889094244,-0.07092568413268724,0.2640977314185859,0.24218797152292582,-0.9559239521117634,-0.8135499181554507,-1.0324344696368501,-0.42220727425737037,-0.8355023902319386,-0.7624281507212414
SIDM00099,-0.8322537728278157,-0.6002430034108348,-0.7472354179529261,0.9425417376442524,-0.04974230606188002,-1.0094806328710488,0.8255992518663462,-0.7511489693466351,0.2018136114064252,1.6880244254139187,0.6708620725392492,-0.855153527618166,1.2544683191286632,-0.38746960481634035,1.6293688217924034,-0.8344868935731302,-0.07422566451237352,-0.9285652822132329,-0.8374298576385106,0.9196521122231874,-0.897608437630851,2.327041973803112,1.6297378894987773,-0.8511856084277362,0.832568243536906,0.23259755932561998,-0.5978801841570528,-0.661567048666693,-0.36612251449177313,-0.22052098185750413,-0.8930477422048793,-0.8100985184150138,-0.9136871345843732,-0.5385457430738534,-0.8346564564093572,-0.7580959612779314
SIDM00276,-0.9348952740669156,-0.03844910393050507,-0.8832303599666219,-0.10701714320934143,0.2367673266587503,-0.7996966218458214,0.903857136505525,-0.8588092996656126,0.6248978392510485,2.631149885570977,0.6002457059117374,-0.48578144874265866,1.4868981790754163,-0.24065615693452772,1.4238177048177225,-0.8388968185034924,-0.21714044791475623,-0.8213774436822636,-0.8950896749445737,-0.07526392431615811,-0.8415500335157384,2.246860824333088,1.3776031459929157,-0.7758691311134047,1.4218166096185478,-0.043353135764543624,-0.33487278870734893,-0.6214710338073194,0.044249036224029474,-0.2715353348482606,0.3766424323889307,-0.9359406488480299,1.9210058536845553,-0.04486122036560725,-0.8415882162809778,-0.6414263877239234
SIDM00311,-0.9548943350972524,-0.5835144092171077,-0.8048915657006622,0.40128585107144854,0.5375278773673092,-0.9562324887179379,-0.39572946679666754,1.3464540488166739,0.8362893034591177,2.2510934519976646,0.8141880733349468,-0.7205199876370251,1.1739065687588905,-0.42214223996040856,1.475748643604438,-0.8989765295481721,-0.011195234457927977,-0.8224617181269839,-0.7717094951457953,0.4639569252905829,-0.8290604173377717,2.1618695618340547,1.403225295754775,-0.8348161750795174,0.7039665427985154,0.006353076860834053,-0.2301716100759706,-0.8075602325028248,0.0013606330383575452,0.37060933935053214,0.6431354754828967,-0.897660003886541,0.41536325960637527,-0.7195417388299813,-0.8683126997181801,-0.6930758190317134
SIDM00970,-0.8974087032951485,2.014621095806215,-0.8416388679708975,-0.6772120312570554,0.33591301963711573,-0.8762398501346099,-0.7201920148016463,-0.8010810826915178,1.4387808574744647,2.4488725160241955,0.31301983138880823,-0.8058323693460225,2.357603171885655,-0.5049268057025575,1.596942190473998,-0.8526947535285334,0.2770786968417671,-0.8294593528799306,-0.8255272496945147,-0.8010572211756208,-0.9123945087087875,2.6139217848980776,1.4491222181167558,-0.8261178043752824,1.0380871160648786,0.5017234893271251,-0.042996307038224595,-0.7317488835416578,-0.1749923503371542,-0.6490675668523387,-0.7611434430526985,-0.8395851932470615,0.21102251273032424,-0.05387105888080106,-0.8816906678803454,-0.6654745617082487
SIDM00103,-0.9148178940841195,-0.6026042715409793,-0.8183873454543571,2.216053867429904,1.2594088871511915,-0.8942620429234093,0.4389370103908405,-0.7171827321831725,0.9561767596736607,1.6886143139599472,0.6755126127311989,-0.8582191682437014,1.4209711079921135,-0.5328887323724381,1.6350494468922596,-0.8129887965938057,0.07408952381324764,-0.9155368394193062,-0.8907128789912832,-0.2551758634564205,-0.7491240367321265,2.4335888331522795,1.9695101279538043,-0.8258231219797821,0.24834820655537557,0.07796693748023924,-0.48274667227848644,-0.6538663696741116,0.060626486516501384,-0.2946678181916362,-0.8172450301955286,-0.8868708960939217,-0.8945769464576955,-0.21640966833170133,-0.7960461283144123,-0.6943961057700047
SIDM00266,-0.9137155544298667,-0.055017167614877675,-0.8563122625843239,-0.3490263656832899,-0.10244850770486642,-0.9111196496534114,1.6582370703601024,-0.28288144418668315,0.9170369643550211,2.743270221112306,0.9519662327651953,-0.5775937131823061,2.0115804561874238,-0.5341145081901647,1.8039581052642732,-0.8214625772430381,0.05571131010162285,-0.9204019018050188,-0.874071466483248,0.48947398061799813,-0.6996248117873827,2.0199176879113447,1.8155206378386164,1.4290380961081168,0.7871429610249502,0.1147093065592066,-0.625798980939283,-0.22574328822346584,0.2035848177475604,1.1381351972950031,0.3182794501999873,-0.9129015914011115,-0.886615009190984,-0.3324990291599685,-0.6216246450720644,-0.7362941462464375
SIDM01064,-0.6821606625204357,-0.6308339435187512,-0.8078418880405417,-0.44756296883015007,0.5992779551442026,-0.9287407087297244,-0.7301487036633993,-0.6362167333847787,1.062070411323977,2.004131513003939,0.7291323055269603,1.640412713141765,1.8731302715930938,-0.37196632882614605,1.9793839725593319,-0.8506583462531032,0.2184047725107499,-0.9953253767174097,-0.9639984984278166,0.2578117464312207,-0.8257627227005493,1.8037023463312476,1.1305584264127977,-0.6729798104278008,0.4509594922089069,0.21898497987112925,-0.1848220692968016,-0.6748075048936889,0.03226393077740954,-0.6808861758033511,1.8515753096200958,-0.889553489376013,-0.886921945081831,-0.9905943803284105,-0.8717479787073101,-0.7333721442456979
SIDM00098,-0.89719835226221,-0.5588230806820473,-0.7423269176803947,0.4521517878008423,-0.06635347209409072,-0.9475826951749081,0.5761811551435289,-0.7229802658138925,0.453972167701615,3.193944153244925,0.36292904551226707,-0.7582227124672409,1.3891907522807947,0.0032439830161045493,1.4145889953887472,-0.885043909145236,-0.027732544116845746,-0.9839461725757012,-0.7815406593928369,-0.48617231422874874,-0.8602522969962824,2.3216922664753876,0.9842510271287487,-0.8027238293715984,1.623593964827056,0.17623030558739564,-0.6594912139479627,-0.5665047522514072,-0.19931502162594283,-0.6527187853564729,-0.5493179196662852,-0.8106577507100438,-0.9035414982652971,-0.6611355853519993,-0.8451617026191269,-0.6570310503743824
SIDM00225,-0.7889720906924979,-0.5829163420541229,-0.8740272697805811,-0.26578920664606387,-0.29563665618370144,-0.929039357452245,0.6713468761532514,-0.49167399844082155,1.1307423544391577,2.6313486717997474,0.5812838966013902,-0.9970559342614058,1.7647164942339635,-0.326807706784948,1.744132655698531,-0.8635500001359707,0.2212777843025185,-0.9236632843086091,-0.828147009490771,-0.8856833293156627,-0.8577625989470474,1.9408470784160685,1.358500960488616,-0.787263250741628,0.6221571316640836,-0.16663984104437615,-0.5500139180266984,-0.7401828806879028,-0.11253166271351482,0.4686842488259858,-0.8056663052683749,-0.8817682704809638,-0.7785481529814431,0.27648914180060735,-0.7953342010370344,-0.8152537751560078
SIDM00846,-0.6150841357923788,-0.152941732656193,-0.8940879324618112,1.1840534855017524,0.9238200134030584,-0.9550958941477293,1.3828682917205475,-0.6247770089827273,1.407574312960163,2.349522224078931,0.7467880133494741,-0.6169641859982609,2.2704289234588013,-0.19165350448889917,1.7933397343280884,-0.8073218667935735,0.44505511716163204,-0.9363293492005543,-0.8913762129858345,0.6369759053454855,-0.8391599655275962,2.1703975565330142,1.440411745512638,-0.821792425242881,1.6678620989330197,0.5412484907643398,-0.713581891418147,-0.7889995254645755,0.3232166814089897,0.25370049956775415,-0.8879537244092682,-0.8234942478046187,2.054796644426188,-0.2090705402574372,-0.800916600536897,-0.7212449757781
SIDM00291,-0.9518222892270383,-0.4662230772020471,-0.7839673500056257,-0.6766486783957085,-0.5544699149988913,-1.013030139274936,-0.6241745926626697,-0.8121049868696886,1.2600803608629763,2.3874757207094217,0.909937224633139,-0.8129742702693622,1.943911466153084,0.1306525322898397,1.9683463541445982,-0.8517258890557133,0.6271032750722605,-0.7676809056428009,-0.9452475815041075,-0.8212138682749217,-0.6979043956601667,1.7464980101795977,1.4981781380878465,-0.815472979773742,1.0927225743085471,0.37296192425509156,-0.385602950240719,0.04863204482793445,0.43652229596293557,-0.8931123829889631,-0.7457695658076646,-0.870051234446411,0.8486692897033725,0.06368253091996084,-0.7993531477191619,-0.7825501710477154
SIDM00520,-0.8921040789053951,-0.2718674544791947,-0.8001080559455057,1.5806295104704982,0.5023747738009452,-0.8614810156808718,0.07089782903247402,-0.7752483782192139,0.46866976420698914,1.8731266663670554,0.9862219531466997,-0.5319170715189134,1.2117864427408194,-0.4986204026984067,1.2229672427563112,-0.8457755815960827,-0.16880637731661594,-0.9422865774099126,-0.8261350233731475,1.157938878944003,-0.6840670919928772,2.2074329307967124,1.5467747697618395,-0.7837486770082167,0.7462904789140488,0.10141258160005805,-0.7152751052481235,-0.874536095993414,0.07422032072942965,-0.10892524641018639,-0.7274753764352416,-0.8583499724480901,-0.7842332399758555,-0.5060201689078614,-0.7644631805177474,-0.7213473539142877
SIDM00003,-0.9181756939056945,0.06790909340341394,-0.8188198709155539,-0.4879520491994256,0.11832669998126902,-0.9617361836351707,-0.5802939162625425,-0.8519640867319762,0.8355825460649003,2.36228690240676,0.9468859281271995,-0.7736523846554046,1.7424334039468974,-0.3701722989816959,1.6148288087086375,-0.8132682221694851,0.17126556240454385,-0.7024812607553694,-0.7495015038674984,-0.7754152451802805,-0.798259979722988,2.291831323500719,1.6329414801558872,-0.7308355870575972,0.5184369272940491,0.532945427986468,-0.3755625321172625,-0.5257124926937073,0.36624860925293135,0.076245773004792,-0.8931974777807776,-0.8366194601086232,0.8752199993540786,-0.09039786177146115,-0.7946216635013337,-0.7011443760020015
SIDM00136,-0.39770566847029915,1.0845380599441785,-0.8059620293450216,-0.5443969024336781,-0.09067014027885144,-1.0566626666587098,2.091804710886594,-0.7232164923649919,1.318743979802263,1.9870024633595305,0.4940456032106272,-0.7092187649028102,1.9843344629552524,-0.4026989268656598,1.5081411729217236,0.02491948461695209,0.520257287392525,-0.939067335116247,-0.9761433049057772,0.8627851714757796,-0.7975348710341589,2.580374198376094,1.270565541827003,-0.8022946128406843,1.0299903053124788,0.4309357206948909,-0.6664560789211471,-0.8534726036751837,-0.05666188234253426,-0.13099561485533465,-0.8042380443038808,-0.8294905822585673,-0.7717654403029038,-0.6610884356064493,-0.7847406746787478,-0.772948075038102
SIDM01155,-0.7573349550568075,-0.09415870218885693,-0.7722183600299547,0.9581032643262201,0.3862317577085262,-0.9187779425145005,1.22532486885538,0.9360962643863214,0.9498192531642409,2.865039009372417,0.8181170904192311,-0.5216575666786075,1.8364704095373745,-0.1440927464001453,1.7005575839805833,-0.7430769001076742,0.10672419442694646,-0.8532917402766366,-0.8698966484588112,1.0876175508786157,-0.785779313680269,2.226684835190409,1.4437894610824373,-0.842863347506213,0.6540576746787307,0.08064817122324948,-0.5989507692700381,-0.8130840667005426,-0.07326990028158989,0.03275265004302767,0.9275045759803862,-0.829462831634013,1.2467836223893904,-0.3478491644987619,-0.8390320288548548,-0.7229898742715464
SIDM00224,-0.9062600352460665,-0.6018239965456791,-0.814932175182042,-0.26783491640823026,0.23703793295840178,-0.883679964772945,1.1887490563019467,-0.6910662170807216,0.36111588854247206,2.093184416017564,0.7143999584752139,-0.800608305265882,1.9211382005040054,-0.10315480893824786,1.4265385951055356,-0.7917901894911028,0.41475396558210614,-0.8645120011346107,-0.8956674527091929,0.49701326821981695,-0.9071146112398222,1.9813489198427898,1.119431220249174,-0.8762647713592598,1.1905462745550288,0.2873738135710833,-0.5687115514756441,-0.6620475619328462,-0.05123304606525304,0.11194085454775134,-0.8799713649714419,-0.7989513352837048,-0.8987448820350906,-0.8474091344642689,-0.8196654316704662,-0.6571452533817169
SIDM00783,0.5411556044282961,0.03686545719017337,-0.8824453609344323,-0.5959943358527707,0.38661856569196,-0.7697669165841047,1.3148256444323754,-0.7415577915435947,1.0779979422871606,1.1471086703457873,0.7495061081000495,-0.7732678759209539,1.1622554581942464,-0.5638991511401412,1.5429985323234416,-0.9329599402035421,0.8379447467130551,-0.9285328095452424,-0.8867639541653758,-0.6316449072397385,-0.8445631928036061,1.6656368065658889,1.432951384785273,-0.8079610070317294,1.2339173120992784,0.15553992591867663,-0.36918030985873446,0.1309925777887665,-0.20695596460420584,0.07734890988346849,-0.9367450534012776,-0.8728013464581286,-0.9192528057228491,0.25462038726637504,-0.7718672853270594,-0.6727895378060296
SIDM00490,-0.45476920488045003,-0.561750088831354,-0.05891854048086794,-0.7039802589548338,0.1591477396533475,-1.004150001741715,1.3568513696617832,2.7606948317421356,0.988522698421847,1.0857697192337359,0.5996917111251675,-0.7839045968736625,1.4470174790671357,-0.30259852913161794,1.5780229728777293,-0.8225805921807915,0.1297153501982976,-0.8737876042477427,-0.9022183259585501,1.0255469123622045,-0.8323106362784637,2.102108517584057,1.5154199800099963,-0.784961448614533,2.43193631352906,0.19701844720344547,-0.7891142946779963,-0.6897636941650499,0.00427734973584035,-0.1052216491724092,0.8407583642152997,-0.8134855434481536,1.7499625321838914,0.2112365728593954,-0.9209229822057634,-0.8321299133749054
