,AOX1,ALDH1B1,ACADS,ACADSB,ABAT,ALDH2,ACADM,ACAT2,HSD17B10,ACAT1,OXCT1,IL4I1,HADH,MCEE,HADHB,DBT,HADHA,ALDH6A1,HMGCL,IVD,BCKDHB,ACAD8,ECHS1,ALDH9A1,ALDH3A2,PCCB,HIBCH,DLD,HMGCS2,EHHADH,HMGCS1,PCCA,ALDH7A1,HIBADH,ACAA1,MCCC2,BCAT1,AUH,BCAT2,MCCC1
SIDM00519,1.2388979099480115,0.3268015394243121,-0.26918091795973564,-0.03798797812520585,0.04010448816818238,1.5815824349005054,0.5307946195844402,2.115628202017624,2.0020747867642963,0.8010804861327718,-0.2955653367351108,-0.3266712955654804,1.2177984333023095,0.25126335941114714,1.5510512444963005,-0.5088792111063029,1.443053815955693,0.03712514000089112,1.105218842733413,0.7813868635074182,0.6878189503034039,-0.3193679479580475,2.13216477576516,1.7085690665840134,0.8409676884375483,0.4648032080673126,1.271279222263452,2.3574594457173115,-0.6881149978942297,-0.6502875112869839,1.0853768018903363,1.0581586600381347,-0.04734848633950823,2.0960374097396577,0.27295001943534053,1.0424282086102101,1.8710508004679067,0.5878295239425797,0.8696417593555121,0.1253102779863801
SIDM00917,-0.5267516484735327,0.16178218933883895,-0.3942493543024153,0.3781570586945869,-0.7617938222712038,0.9875022302127456,1.3090953802334417,2.328122615397938,1.9804831378519718,0.571618518517897,0.9686611808302836,2.26833699169626,1.3994936900238482,0.8325651699823244,1.7805028444832876,-0.2836153026148104,1.830688492678727,1.060875315735805,1.6197160479221753,0.452763479758686,1.057905302540818,-0.20067924079921484,1.96213778310516,1.3250852221660985,-0.5058578943192685,1.5853498491147224,0.4382505518502202,2.581099354957047,-0.7121309401864092,-0.7863668854579664,1.6203989088882842,1.22776868658304,-0.7657183485170751,1.3449398122095528,1.0313466394691266,1.4275359929872584,0.7951845180523024,-0.5065882094626921,1.4931369319232974,1.2993012278161122
SIDM00309,2.11517691250498,0.9844704359577299,-0.16926223996746487,0.3527945021877404,-0.4113585497876831,1.6300128197525552,1.1520040286868687,2.1905855387733393,2.288240364594103,0.954784090973499,0.9381887269712612,-0.8108908128317466,1.2656898353677066,0.8391441415808647,1.7661230179340779,-0.511055677320881,1.4606726059453343,0.5889160828090827,1.328902503271919,0.3362021197511106,1.3743239819358057,-0.046805617009039534,2.4958403760741907,1.8339944601095088,1.4691261244116733,1.3457123805688005,1.1897352854468255,2.6235774140218213,-0.7476333256616885,0.01654499889094244,1.5135285161549838,0.949837753616929,0.24218797152292582,2.237335015123609,0.9150009216813584,1.28854198222635,1.0009794820338984,0.41951836517967517,1.8470024687308664,0.7599357115501056
SIDM00099,0.9425417376442524,-0.04974230606188002,-0.6531995205323884,-0.6013750055595245,-0.6917474830066848,0.8255992518663462,0.9805136105405677,1.6880244254139187,1.7683964693697527,0.6708620725392492,0.43205841788941235,-0.855153527618166,1.2544683191286632,1.0999627816622135,1.794775076688774,-0.34023094760874084,1.6293688217924034,0.6585394025693718,1.3568029868345022,0.4268478378648613,0.3304194348942832,-0.07788962269115124,2.327041973803112,1.6297378894987773,0.832568243536906,0.8897668041497283,0.5087650520680388,2.0558383126069044,-0.7021279910715764,-0.5978801841570528,0.5883104706813524,0.8019110245901263,-0.22052098185750413,2.4965679883142937,0.15403558111272542,0.6489570691696503,0.4005030687304365,0.016770625945064174,1.5835219008192007,0.4403995663106828
SIDM00276,-0.10701714320934143,0.2367673266587503,-0.471981143569662,-0.3807381531172237,0.0585426557177478,0.903857136505525,0.6487703604951425,2.631149885570977,2.4529239195784296,0.6002457059117374,0.9098941376650702,-0.48578144874265866,1.4868981790754163,0.47365906157827853,1.402111650688944,-0.3709068026115173,1.4238177048177225,0.9124748518698846,1.7469051243904419,0.5655041394582718,0.9861446688313981,-0.1976241328613701,2.246860824333088,1.3776031459929157,1.4218166096185478,1.1531365954988042,0.6024649524657032,2.320147548651848,-0.681701640348292,-0.33487278870734893,1.5819417510748317,-0.09833875222817232,-0.2715353348482606,2.03425778933103,1.0971796149917779,1.2336508193588325,0.6580397570469082,0.31213263307057193,1.4550872818313905,0.6506744841289599
SIDM00311,0.40128585107144854,0.5375278773673092,-0.5564517441064125,-0.20465870986840787,-0.7756283680565433,-0.39572946679666754,0.7419550113048103,2.2510934519976646,2.1099258410886326,0.8141880733349468,0.6089008101683604,-0.7205199876370251,1.1739065687588905,0.3140266004518235,1.688462841641703,-0.37553371345886344,1.475748643604438,0.6518037489225634,1.1453847562155997,-0.2378913705484426,0.6893948690000589,-0.1770059881711875,2.1618695618340547,1.403225295754775,0.7039665427985154,0.5247214054183754,0.8682538974967949,2.227946913237322,-0.7532563228023135,-0.2301716100759706,1.065930438696799,0.5853573772288765,0.37060933935053214,1.5451106332361475,0.8851307764353045,1.0952446481662794,0.705177920703043,0.6308807274616566,1.3032467618201182,0.42607234592206134
SIDM00970,-0.6772120312570554,0.33591301963711573,-0.3794856573565409,0.2645887571718197,0.4731437425641687,-0.7201920148016463,1.3854808618610146,2.4488725160241955,2.1813530733577644,0.31301983138880823,-0.034349067535169725,-0.8058323693460225,2.357603171885655,0.4645687620320896,1.6160381507365333,0.1743905037314111,1.596942190473998,0.5998611376933446,1.8046219075679468,0.7208168320718388,1.090232305042588,-0.2188882997537159,2.6139217848980776,1.4491222181167558,1.0380871160648786,1.3238914863274667,1.3710169530704466,2.503001469396825,1.4205250776208762,-0.042996307038224595,1.9712487729532104,1.1288880987778827,-0.6490675668523387,1.6174978203661465,1.5413686982450499,0.8820649058504486,-0.6147272455650135,0.10326768483915318,2.807058237503863,1.338699574737634
SIDM00103,2.216053867429904,1.2594088871511915,-0.14572853298769117,-0.08426871489511888,-0.46806993798936175,0.4389370103908405,0.787759274957548,1.6886143139599472,1.6699124628,0.6755126127311989,0.6163432134749619,-0.8582191682437014,1.4209711079921135,0.06864659790745606,1.7003926673269147,-0.5105331674478336,1.6350494468922596,0.8331344772199537,1.375194813966109,0.6382563695593407,0.8332685630160889,-0.15330966971963422,2.4335888331522795,1.9695101279538043,0.24834820655537557,1.0312568877935735,0.8996505911671071,2.202863754809861,-0.7334543196469033,-0.48274667227848644,0.6957593795915542,1.1935167760296865,-0.2946678181916362,2.1214203726043945,0.16713992144056,0.7453828172153479,0.4739667655404943,0.5153062144014084,1.627777952878654,0.53365896501805
SIDM00266,-0.3490263656832899,-0.10244850770486642,-0.6673349547630905,-0.45955022254119665,0.0176142577268035,1.6582370703601024,0.8013014313342747,2.743270221112306,2.10557949293906,0.9519662327651953,0.7715632700096724,-0.5775937131823061,2.0115804561874238,0.7744580004049486,1.7356517201050514,0.06593610748002142,1.8039581052642732,0.7183476334826763,1.3852141441768715,0.4248836221560976,0.4505913201515048,-0.27167432765428,2.0199176879113447,1.8155206378386164,0.7871429610249502,1.6179168617254798,1.404516449672576,1.9527535319167684,-0.7302150821396459,-0.625798980939283,2.543899214695082,2.4066875436768735,1.1381351972950031,1.2101521574184613,0.015587255642535174,0.7580887800405647,1.0993854090365291,0.508457710124154,1.8572477513994825,0.5464180186509039
SIDM01064,-0.44756296883015007,0.5992779551442026,-0.14817294395094072,0.1381750435990709,-0.5813017675796824,-0.7301487036633993,1.4913564051131514,2.004131513003939,2.159025956192753,0.7291323055269603,1.2268736054670117,1.640412713141765,1.8731302715930938,0.8665767130917049,1.6745538989128443,-0.33929751895223326,1.9793839725593319,0.5932990487634205,1.23717951053693,0.2137236886720844,1.479754921133458,-0.10362385016552318,1.8037023463312476,1.1305584264127977,0.4509594922089069,1.076293355659119,1.7336507530244505,2.3642205193447445,-0.7492352739273409,-0.1848220692968016,1.061622329214519,1.187012337185976,-0.6808861758033511,1.105525036025437,0.5648570228804345,1.6324070842279288,1.34475083309209,1.843414644650988,1.4890365819176905,0.45134955386517916
