,GLUD2,GFPT2,AGXT2,CPS1,GLS2,ABAT,ADSL,GLUD1,GLS,ASL,IL4I1,GPT,GFPT1,GPT2,DDO,ACY3,GAD1,GAD2,GOT2,AGXT,GLUL,NIT2,GOT1,CAD,ALDH5A1,ASS1,ASNS,PPAT,ASPA
SIDM00519,-0.43800582839538643,0.11267029345158733,-0.703254188040773,-0.7224652878266823,-0.7205424237967444,0.04010448816818238,1.6761666010781113,1.8961743271692626,1.3966387516537488,-0.39124288075838537,-0.3266712955654804,-0.7770666403659617,1.4235643163850777,-0.48162789242655996,-0.7454340930609011,-0.8358842315731987,-0.34603594329631365,-0.9743958025023094,1.1210229936151281,-0.8427706246253268,-0.22957847414395158,0.13723313278041163,1.4784153732692813,1.4489830529720917,0.7155242107180666,2.9078027329946496,1.1615452675336508,0.9753716136749315,-0.7697217069307498
SIDM00917,-0.8470976652522795,-0.552543364631303,-0.7519652486757459,-0.8480839857654019,-0.6959647835206765,-0.7617938222712038,1.7665869555124594,1.9383841622630822,0.8456341602327946,0.14109862261796513,2.26833699169626,-0.8036673557838685,1.5058822953848474,0.8953182068118346,-0.7585575663460967,-0.35597582604274147,-0.7584036041928812,-0.8644450153228179,1.7411698039792476,-0.8057256380034489,-0.6187601879468131,0.4525752425844998,2.35277952475545,1.0687379137978068,0.0779088533826241,3.5046092407163556,3.1048166014546954,1.349828916276306,0.7833527995423929
SIDM00309,-0.7250433898221245,0.41913710038311114,-0.7757055869295479,-0.7191086133707623,-0.6598265686516978,-0.4113585497876831,1.6583293223743478,2.101566858909275,1.9918944994714156,-0.3411698799966152,-0.8108908128317466,-0.8402314788995531,1.5163800537383465,0.18843068963734264,0.2899416919127273,-0.8109551376123738,0.5781935862445545,-0.8918326296997277,1.7269882951436972,-0.863184777585493,-0.22354695052096715,0.4791383150030345,1.4314193353066715,1.3791249323419308,1.2300222432980679,2.3420065136305697,1.3518872514115348,1.5801737929006283,-0.7711357935107074
SIDM00099,-0.7972808918422636,0.8785098686284297,-0.7114152841097571,-0.8902330083071053,-0.741577316538603,-0.6917474830066848,1.4792145532835748,2.3658472768852206,1.5076325707256926,-0.40450009510587737,-0.855153527618166,-0.8692639518890685,2.0032614795845567,0.14396566963753454,-0.9056015006895453,-0.7536295668251142,-0.07897458795191185,-0.9150868201531409,1.0698879483084118,-0.7838086580108122,-0.3209482784816685,0.245525755769527,1.8518056517128079,1.700101954497418,-0.10219738171835747,2.6536721777762833,2.57461764393574,0.9527516283031703,-0.807793902577814
SIDM00276,-0.7121125296787959,-0.49565058346623214,-0.6950993841201263,-0.9324145952233631,-0.7954865891823367,0.0585426557177478,1.681968725457825,1.9279388020177153,0.7163794960149816,0.2427400401097412,-0.48578144874265866,-0.859910413104864,1.5410090081630765,0.9992354216032113,-0.4054895394774702,-0.7132837471726725,-0.16781939639631047,-0.9077661115840937,1.8041537888618802,-0.8620102569385427,-0.03228563278176348,0.34779167737075917,1.6686750759342417,1.322418591834574,0.47432540084824726,0.42261249736314677,2.4130468086247596,0.7029775276600981,-0.8360347095157917
SIDM00311,-0.7863600650040056,1.2938782492716379,-0.8133216737202359,-0.4678481896638572,-0.8100911738238447,-0.7756283680565433,1.8287752500879835,2.0651759853800185,0.7639403769399651,-0.28993904793207126,-0.7205199876370251,-0.859236974245427,1.1409719366586957,0.5827811783142813,-0.6650057227779999,-0.7452448047096762,-0.5431207954389837,-0.8894264826667805,1.3287603098325493,-0.8122460425846594,-0.5665916100689014,0.26926739520898824,1.2245965676561699,1.511598417175234,0.07036386768764326,-0.05478624323998392,2.0973309776221445,1.1987043573822431,-0.7905929191619592
SIDM00970,-0.7319076005933005,-0.5007045758536187,-0.7080826383182074,-0.7405674229327486,-0.6285356254317156,0.4731437425641687,1.898659313160634,1.9179638334438662,0.4092612260199761,-0.22784634362416634,-0.8058323693460225,-0.7932824381936546,1.1936095388561905,0.3816704027325348,-0.24846361596899577,-0.7757611177662844,-0.2791871913119201,-0.9212351900009538,2.000186856970254,-0.7718805614156122,0.3611550038706518,-0.020948637170781968,0.460806940540381,1.1392418262375201,0.6466101174392977,2.252779221026614,0.976264065493058,1.490200399418106,-0.8320245068434546
SIDM00103,-0.6959290191350921,-0.08587728244849689,-0.7063631641831173,-0.3848948873283412,-0.7279784096511676,-0.46806993798936175,1.6851427023576415,2.1753058279218815,0.7476298930834242,0.17534312316277298,-0.8582191682437014,-0.823015325782319,0.9685175982938782,0.2190014444196802,-0.17518900641289872,-0.7947595177328324,-0.38385892519082304,-0.9443267995857301,1.5256760200002415,-0.7845862877815498,-0.2692161472302321,0.34834436910130745,1.5975954047381216,1.3912086433700832,0.12027210396969457,2.7237131824493326,2.4682816271118027,0.5665408011220123,-0.8636791219945258
SIDM00266,-0.8714839814776341,-0.3686767417404576,-0.7010716351526356,-0.847591396256049,-0.7929109142488646,0.0176142577268035,2.3606744950829053,2.264377989136242,0.4424743232511456,-0.34405018235332996,-0.5775937131823061,-0.8412406263451491,2.2027913047773326,0.6207794138220553,-0.8232665921679037,-0.7808788466495793,-0.7313544410521599,-0.9124655952639844,0.9499497386654009,-0.814484603488039,-0.21619384462491664,0.2114409253350246,2.0322948148693776,2.028199798448399,0.2099772622025186,3.055028041140887,3.3110434015175616,1.987142263141992,-0.6748052385864682
SIDM01064,-0.7214233637431751,0.21334881209432924,-0.7784703990122184,-0.8724929128733164,-0.7837122339536081,-0.5813017675796824,1.9097396397271744,2.1294581108023913,0.9271711955697693,-0.3903991737605278,1.640412713141765,-0.87813795005078,0.9622901484667638,-0.0737200939369381,0.012340177826604763,-0.6380490994718927,-0.3734773597679325,-0.8722528493409409,1.5990866417189897,-0.8048554050308425,-0.2208262465295961,0.16524542102097053,0.9017363021670682,1.51468975537907,0.2830053487302998,0.5921050550295004,2.5562107767612674,1.3786491651831871,-0.5407867141223329
