,TRIP6,CASP8,CHUK,TAB3,CXCL1,RIPK2,TNF,BIRC3,CCL2,XIAP,CCL5,NOD1,CARD6,CCL13,CCL11,CCL8,CARD8,CCL7,MEFV,MAPK9,MAPK10,MAPK11,MAPK13,CASP5,IKBKB,NOD2,MAP3K7,CASP1,CARD18,TNFAIP3,SUGT1,MAPK3,PSTPIP1,NFKB1,NFKBIB,NFKBIA,MAPK1,IKBKG,CARD9,MAPK8,MAPK14,MAPK12,IL18,RELA,PYDC1,TRAF6,HSP90AA1,PYCARD,TAB2,NLRC4,IL1B,HSP90B1,NLRP3,NLRP1,BIRC2,CXCL2,HSP90AB1,TAB1,IL6
SIDM00519,1.9609177504685467,0.0006099864991469575,0.8161035609072119,-0.6675665365562775,1.0406782873044311,1.2561419185467304,-0.5600337566519754,0.4920017838701124,2.5918417748626594,1.095252420943605,-0.3219774777435255,-0.046791494383586575,-0.6565259955520599,-0.7245849340284665,-0.76644605183382,-0.9001588806912942,-0.5493497042422577,-0.6189590744838662,-0.9303044593999907,0.7229490449626709,-0.8000735354340742,-0.4275518556801686,0.5838466638312486,-1.0046371195337058,-0.13511638424224445,-0.8466173960213501,1.4429260628253475,0.4435558840121289,-0.7889599423783304,1.420566814357436,0.8267436599104496,0.5154256853947725,-0.6766587498528427,1.6810797093900343,-0.34890968302054115,1.5124775933865677,0.20225978087680163,-0.46833018718845176,-0.9029475772546288,-0.3898911071975693,0.37111776949571185,0.22566466874088495,1.312102920045366,-0.04413591818367234,-0.8535612193861746,-0.17858717545229483,1.5170394994180354,1.89368730728096,0.5829209855304018,-0.9377511969438294,-0.2167654205277526,2.1484471854832514,-0.8254929476198791,0.022027170407465824,1.5184460439148586,0.3448765154912999,2.9433448034546497,-0.6942617738590277,-0.06574918497559652
SIDM00917,1.2485682794644108,0.17923875659352212,0.9771338680956163,-0.756011786906392,-0.5268467453068745,1.8402066747717545,1.830999589279416,2.1100408153841252,-0.8126256223374404,1.2790557943706569,1.5810691863936355,-0.18239715652809646,-0.7869832703511608,-0.8469563941164386,-0.8727611958162209,-0.8886587501505807,0.5765842360696587,-0.9066757984683677,-0.9494477737531283,0.3279819575978883,-0.4789249487721815,-0.525953339268432,0.47021257552627205,-0.9755950143726956,0.36611728776337293,-0.2969627379540932,1.3335708815362415,1.070457543730453,-0.8488418845290118,2.427322951926554,1.20400013416942,0.12581611851856564,-0.507412861050963,2.706514981805068,0.01275492218989675,2.926357499895323,0.7518296918279702,-0.4990074757813973,-0.7233902225814728,0.7084240651382601,0.2015353129556218,0.181379694899807,-0.8477971313247895,-0.01219307294287043,-0.7684373657100932,-0.01820099558756851,1.689954614467088,1.3341169923016027,0.4666605156430873,-0.8955129588837187,-0.7157615594981127,1.9585406266749203,-0.08354335963373201,0.392736994400054,2.029623623545773,-0.23170748578022593,2.8190497763926996,-0.6218995698285426,-0.5730148655163706
SIDM00309,1.7735188290788957,0.04318044773879801,1.0570803897792147,-0.48456165919847705,-0.6065462223669263,0.4049455799389349,-0.8252947442022723,0.4845657233790566,2.370720024427685,1.1671980601305776,-0.7494871161450463,-0.27734429902538116,-0.6912171063739477,-0.9385792064558002,-0.8015333063043807,-0.9099637727166969,-0.3384054165309809,-0.5412842795990433,-0.9570679163129525,0.7807549866059781,-0.8191751222390329,-0.6920362432120015,-0.6167940378906848,-0.975099884680506,-0.03539533274547862,-0.8440008578481567,1.3720361928870406,0.3710592745794349,-0.7478154144089152,0.6302877518351785,0.7930769490307196,0.5986800821643932,-0.7589162322814461,1.4951173730900065,-0.32725474022634793,2.224831625741866,0.19821987316206793,-0.35404607635741997,-0.8726381272226621,-0.39617924839638224,0.027781658176252295,0.16320294456720882,1.6925962866089144,-0.07075364474348073,-0.8590160562795222,-0.09823501433670695,1.5048333566815733,0.6697684252769891,0.42701348150114865,-0.8835642689913247,-0.2638700280432006,2.4146624265769354,-0.7888808909754813,-0.43229325069001495,1.6273325093403612,0.6887743345765843,2.96921043661516,-0.6517759836248341,-0.5258352209916104
SIDM00099,2.171512041460606,-0.2420353614863415,0.9480620406235725,-0.6782725725564203,-0.5896182955865211,0.5642266702946911,-0.8381578425807334,-0.7887799422749717,0.5714192823675819,1.4660423850012616,-0.6856084021375127,-0.2941897662958676,-0.9368163442857889,-0.740606073608829,-0.7066308213752958,-0.8474392610793132,-0.37125364506882286,-0.7781210204139528,-0.9388733615818585,0.3390362523399091,-0.7705711201622135,-0.6524415497699577,-0.6743050407145389,-0.9539438052464131,-0.178519674526836,-0.842656927080855,1.4850624809205493,-0.8006880524879727,-0.6817567762412602,0.32150319778000525,0.6281261462367667,0.6202538847874911,-0.7150158324463772,1.4286800173594663,-0.3128482765511934,1.3423688261952067,0.4272251428179874,-0.48127298654902717,-0.7022124524703857,0.13335399968062153,0.15698173939898816,0.19782956718958974,0.7710404351046698,0.13366079755805624,-0.8576014902269575,-0.19688733199262035,1.4122137773275276,1.8664817330509638,0.5829315842777512,-0.9481521084336805,-0.6613169484086525,2.3036674925774863,-0.718524415209739,-0.5462260525837325,1.6662354613692425,-0.3843494267704481,2.9180245770156317,-0.7242864418082253,-0.813236293695699
SIDM00276,1.9113598014906548,-0.15621800348254145,0.5164845613433473,-0.2996084782264787,-0.487072681013048,1.6553007108350386,-0.7093612735075637,0.13138022546050546,-0.7927483631850338,1.1095054751269255,-0.7966182986974407,-0.1345834724067888,-0.4339933071958303,-0.7932392006463974,-0.8755791784350383,-0.9073886869952975,-0.556642922295135,-0.9612940767315712,-0.9467615347184583,0.22516520348511637,-0.693685319706086,-0.7072319325125542,1.4914025585674724,-0.9845338411158928,-0.22945576373960963,-0.8917749416636351,1.2861609568192804,-0.06692842171312931,0.18394033013894268,0.23817531349750498,0.8266952408993155,1.1105277507367421,-0.7352465963016594,1.5166522702960785,-0.17021109562150152,1.8837504521796675,0.3901472004011665,-0.576300583743626,-0.7716592115180011,-0.0691404580401485,0.3161658464418772,-0.0616438838510233,1.3800624719348273,0.2185667859797125,-0.76084017458703,-0.483533278006994,1.632317610273234,1.5788770443051119,0.5472303924671619,-0.8064178224744448,-0.45111261766847927,2.2764658437792575,-0.6095499192658389,0.06128586326369653,1.4566407872846105,-0.078780939133613,3.200467576990951,-0.7244286627056721,-0.2037712524924354
SIDM00311,1.8462293286780145,-0.1161798164687677,0.8036714917234041,-0.7793100843989487,-0.5808825979994501,1.156221606121037,-0.7630319113703132,1.1460956319343494,2.2298571606654694,1.0730943447246037,2.6065702328105425,-0.18148114933996945,-0.5519268894359428,-0.8528146231307571,-0.8599568435921099,-0.7997310308880602,-0.19610604210229282,0.8502281756147027,-0.9542579476159126,0.5474182472045206,-0.8049432169992577,-0.53551381406055,-0.558065289953534,-0.9304005993191999,-0.1436366764423288,-0.8368478431009296,1.5217649565572562,0.43839701125341674,-0.816989997802422,1.0112772767473703,0.6963572023474077,0.29001810221540564,-0.8060942332225453,1.7807493777478833,-0.21095981177158787,1.7433000336297542,0.38729023043362193,-0.41368099135544933,-0.7929076536740447,-0.07582413085830866,0.22038630050524832,0.1215856797023061,0.2071437609867535,0.15884163586295352,-0.7929076536740447,0.18508660345019287,1.94668119336897,1.5011680727730679,0.5692126620072838,-0.9082108455685252,-0.6986167104004898,2.3705340957315637,-0.4933442269491029,-0.23747397403306322,2.1134181565379686,0.3455081115018375,2.719650241322372,-0.7354893540895191,1.278100008928427
SIDM00970,1.8933581561346293,-0.08559988515420308,0.3015782067203512,-0.7711067072985848,-0.6959273293104542,1.0887599663528147,-0.9528144348089674,-0.6740581882016845,-0.7955121042426042,1.562391828236381,-0.7800737977166667,-0.26222102796717756,-0.46643182067890854,-0.8597021699732527,-0.9110832477681263,-0.8511221910444167,-0.1765570980455022,-0.8360292839340628,-0.9431850706759044,0.17957833961123676,-0.0005214666553748757,-0.7101858439138434,1.1320125379614268,-0.9729684747752145,-0.0316694772888078,-0.8062049582182835,1.1408235307705439,-0.2352136119286673,-0.6525599242086744,-0.2434936006450435,0.8275631381581684,0.3293145122295789,-0.7686529394115328,2.047102764470724,-0.1340406003864184,2.2527880968170315,0.8119872597350951,-0.6183407853938081,-0.7661371156330574,-0.3662241185702077,0.22025738468349013,-0.283948733105749,0.06147325500217972,0.02339370108682473,-0.8589103512291741,-0.025831726989787737,2.0859728402108395,0.8724930687028645,0.3079324782444134,-0.922859860218276,0.8619130503356253,2.024718125994699,-0.8021907231317197,-0.8690308445558826,1.4237146526074613,-0.6410908177229003,3.006917984436023,-0.5771255711076205,-0.7280346011888512
SIDM00103,2.2737480760788418,0.05666128670094899,0.8192588864072707,-0.605668954251345,-0.646926017935197,1.3863452944769987,-0.7985828210686804,-0.7311873954206425,1.3756150862075207,1.1495947329515637,-0.40439660552982293,0.03876613072813226,-0.600101432665564,-0.850467209118216,-0.9570437585091124,-0.8016935497594515,-0.20897115239890313,-0.7899102381877701,-0.8817650979853948,0.06579980602104345,-0.8092251083840144,-0.6616446450437894,-0.40427665466322144,-0.8626238198396752,0.1526785008488658,-0.8636535994069571,1.3831803282219355,0.4887425818765774,-0.7298769666861464,0.2047270572938295,1.1717313542817118,0.80055510601947,-0.7958549332734026,1.2461389920078365,-0.4345943136841946,1.3316515770819293,0.3533626797819316,-0.4292891057591731,-0.820463600307427,-0.40114405850187046,0.0013004073611845926,0.15811161940364743,1.0650581372545758,0.05682964877522256,-0.7581093376574416,0.08536607866700835,2.0146627826901082,1.4244268371776765,0.41805277842292776,-0.8733534015405715,-0.5290849951425801,1.8545766415307026,-0.7145384766204124,-0.006766429393234969,1.4290819425410115,0.1713086700524478,2.977584642823896,-0.7207902339874,-0.3129267717127321
SIDM00266,1.8053983846288602,-0.1300122715286382,0.73891556292186,-0.7727932709277059,-0.10733497532627188,1.1840388098594001,-0.6886728367980001,-0.9454487631875603,-0.14876861484826856,1.3876467531196501,-0.7286578393815804,-0.35797035487474393,-0.7369571199068816,-0.7562241861129351,-0.8332535465166209,-0.897989321873106,1.2670955079387005,-0.8413497861705185,-0.923164390764373,0.4323758508759002,-0.3600812305976859,-0.7213032168910508,0.020916236547061776,-0.9504590035286873,-0.2454207720614906,-0.9121017527103279,1.4709432974225625,-0.6035359376208651,-0.8266947920855336,1.637746860751079,1.2698197984734028,0.43598438125523226,-0.7977469505345759,1.2716264406624573,0.04159796809956709,1.5394493332535957,0.5203234391390296,-0.5568467555927609,-0.8881313700212304,-0.30005824183715535,0.20226953876461828,-0.08669129486398476,-0.8699653530276745,-0.248028129252309,-0.6924038935666657,-0.4356357129989262,1.5966987588794854,-0.8104421372343331,0.31814625611988284,-0.8970859131729427,-0.21590178351473444,2.37260708025159,-0.8356842282899496,-0.42282221175134915,1.390024021067948,0.47749162133239004,2.782561545550829,-0.683310747750963,-0.8609391685527416
SIDM01064,0.7663036192758041,-0.4158480958375661,1.136571207278792,-0.4411504305141357,-0.7240731012608229,1.3149879501978698,1.2615577021538715,1.683314654023084,-0.693954875224449,1.116203909090365,0.2926152772714306,-0.10388807898040554,-0.8126131809341985,-0.8733022877422726,-0.8183964769639153,-0.8788042871337806,0.3506847116126031,-0.8544203250316839,-0.9356559571368344,1.5451934254228694,-0.8948051722627113,-0.4817365671169845,0.30136442387271595,-0.9121920183790815,-0.051216720492121844,-0.8329010192149109,1.3905928719004024,-0.25129219152295146,-0.7474733436420637,1.297969502621109,1.20015847494662,1.0024155733741154,-0.32588381731368704,2.224705986401305,0.3642839661736418,2.441087912138068,1.324784881453375,-0.2614683980259644,-0.7141636995145103,0.49006099709420986,0.3799612684593851,-0.003268500461773034,-0.7605183435846715,0.054157544537158105,-0.7322697491873027,0.5276334487591244,1.8670770261349545,1.475586540254363,0.7335244459433932,-0.888223186039648,-0.9442081731163728,2.128135699006888,0.3737865795457055,0.8503616509164412,1.8010711837053133,-0.5185390848788837,2.8181469355738145,-0.6034260967432533,1.0169902188629425
