,ALAS1,ALAS2,GLYCTK,MAOB,AGXT2,MAOA,AOC2,GATM,SDS,AOC3,GNMT,SHMT1,GCAT,PHGDH,DMGDH,SHMT2,SRR,PSAT1,BHMT,GLDC,DLD,GAMT,PSPH,AGXT,SARDH,AMT,CHDH,CBS,CTH,PIPOX,DAO
SIDM00519,1.6655585868378076,-0.8848814580932296,-0.7204377590697241,-0.9138550965516653,-0.703254188040773,-0.5284558265761403,-0.6773595835182094,-0.6667399328066705,-0.843740751305283,-0.7354788920999459,-0.5940311771049391,0.5450716630228675,-0.3329266056785229,1.0767215219023822,-0.8532667567686137,1.6734294191508097,0.333678699033161,0.6298006044269782,-0.9542860600314264,-0.8021839289150513,2.3574594457173115,0.9350684637045552,1.0123880079765528,-0.8427706246253268,-0.793949103244876,-0.7267902257670062,-0.7922640225425251,-0.44175168093209344,-0.4842425354226972,-0.6750867503047814,-0.9733309226715656
SIDM00917,1.5774333719937237,-0.882689722368386,-0.6881115041887628,-0.9583647591876644,-0.7519652486757459,-0.5839396790370103,-0.5914750527795075,1.1202627581173872,-0.5291348172227404,-0.6975652984371609,-0.7605029906564157,-0.5199543220644577,0.5105025408219392,2.468117686883737,-0.7306024911136425,2.348630513241478,0.35659362551714835,2.1969067666977606,-0.9546507677953016,0.6688905184574013,2.581099354957047,0.14514851026724382,1.3389857311810247,-0.8057256380034489,-0.8481807657688953,-0.5612686269881961,-0.17335120915010901,1.0856115413117184,2.212072326935666,-0.3319851455720741,-0.9497741463757655
SIDM00309,1.4870294624207405,-0.9133854972175899,-0.6557708815093922,-0.9112056394858054,-0.7757055869295479,-0.6167469588872668,-0.7720325925128061,0.07213254855337077,-0.8576203146615423,-0.8667008081021658,-0.697828797678252,0.8094269578703729,0.6982043136545366,1.0604528859729128,-0.8099499681502426,1.7627270501581844,0.1346718310737531,0.6003346815040984,-1.0143223882020858,-0.41565773522788974,2.6235774140218213,0.6536207748731141,0.8352481427618859,-0.863184777585493,-0.8347526828061856,-0.7226563242567041,-0.5914809725982112,-0.14869205376587538,1.788683239270284,-0.6335712979538287,-0.989871805252933
SIDM00099,0.9313615590471663,-0.8019188926469202,-0.7349069893981335,-0.8322537728278157,-0.7114152841097571,-0.6002430034108348,-0.45671952384070974,-0.8985759948747049,-0.8479395523188876,-0.6061372755720383,-0.7185896671641713,-0.3789765059713855,-0.011364062355884476,2.6099990777555377,-0.700897896113866,2.5357106726003034,0.20362956139462612,2.081771581431072,-0.9925329730939758,-0.8704989214414718,2.0558383126069044,0.8569512695864289,1.2194371377326274,-0.7838086580108122,-0.8492287075670197,-0.7120138262355129,-0.7690321110458793,1.168946684168543,-0.5640396336301995,-0.361306681922007,-0.9074853391700546
SIDM00276,1.5624266062170016,-0.9192552877896197,-0.672404080236343,-0.9348952740669156,-0.6950993841201263,-0.03844910393050507,-0.7487076210693027,0.6806160649123725,-0.8087797797768188,-0.841172276725411,-0.7340404515577147,1.6589711526025601,0.8398253997467836,2.490526326887914,-0.8100300528358664,1.916755610745466,0.4329786525893274,1.7297454929911669,-0.9487437377155264,-0.79369370964241,2.320147548651848,0.5299259292038048,1.2708009231514625,-0.8620102569385427,-0.9125104958069452,-0.6755043448100843,-0.7356661199308716,0.9727915546081956,1.5666182587713509,-0.7058246337045675,-0.8450532240885481
SIDM00311,1.5091125297876749,-0.8637864672209962,-0.6652209241820317,-0.9548943350972524,-0.8133216737202359,-0.5835144092171077,-0.5541310167986698,-0.8435180285003817,-0.8083184563173571,-0.7102294450579798,-0.7235728755799411,0.9635259221494952,0.19775600352423414,2.0674091560854944,-0.8370789835824461,1.522978497520073,0.6044176011476512,1.5567062545161439,-0.8708899917476236,-0.8386848676064115,2.227946913237322,0.583641398830122,1.1372892046221734,-0.8122460425846594,-0.6918432857725539,-0.6528038372080005,-0.7821957050387204,0.25190495281681197,0.32545473932636027,-0.6489621452393817,-0.8574205400741357
SIDM00970,1.9369398717694322,-0.864516652270341,-0.7158719483414447,-0.8974087032951485,-0.7080826383182074,2.014621095806215,-0.43205282993818717,-0.8573359598168345,-0.7901319096243316,-0.7224096813055845,-0.5728305664698403,0.44287128587575353,-0.3055878152189763,2.0322821798748008,-0.8643215486120552,1.6734652528334923,0.25878617367721884,0.4484632449141794,1.922215690302618,1.1537839605246503,2.503001469396825,0.43973616458774223,0.705287451970268,-0.7718805614156122,-0.9183071960804778,-0.636938307897055,-0.7261901903434383,-0.6099783179378806,-0.9687109472456452,-0.7777690417375202,-0.9936807912859938
SIDM00103,1.1827553802233204,-0.8339092433448204,-0.7060654205022363,-0.9148178940841195,-0.7063631641831173,-0.6026042715409793,-0.8073253969699441,-0.9173526502981728,-0.7693051399423801,-0.7919031605883169,-0.79963454202408,0.20851475134121455,-0.40903497979331044,1.8639847229536457,-0.8682429333493804,2.179655874206732,0.8557194157224566,1.2575540864374255,-0.9431372696554646,-0.816312602927327,2.202863754809861,0.930730015267251,0.6355530954194608,-0.7845862877815498,-0.5503186656533682,-0.6674945799483597,-0.7839561025898021,1.0857070554593258,0.3417165133183719,-0.6333947362869168,-0.8570364813733722
SIDM00266,1.5303579502987383,-0.7658115356926296,-0.7574294920450626,-0.9137155544298667,-0.7010716351526356,-0.055017167614877675,-0.5410783409292869,0.19500029505135003,-0.8041885202815082,-0.6095028945112159,-0.6780156888920953,0.27016020358795195,0.08960915310870565,2.749488431668186,-0.7803773867511691,2.355099924006657,0.8372188992203088,1.994826640487931,-0.8516041844512557,0.7470222144661983,1.9527535319167684,0.5905378976565736,1.6466007909018374,-0.814484603488039,-0.8238354388684526,-0.5138734886863994,-0.8282264291142619,1.3140225965462293,1.2874023621851052,-0.2424707022291641,-0.979367900120799
SIDM01064,1.404840866668933,-0.7430959750011571,-0.7339005413866921,-0.6821606625204357,-0.7784703990122184,-0.6308339435187512,-0.4723041408467074,-0.6070178897731012,-0.8660275105870782,-0.7306659830970589,-0.8438907845716153,0.572114099458738,0.033109531585617316,-0.4522078413833517,-0.7027328663408063,1.9337434487229757,0.8413742209530111,1.7555552734957942,-0.8613056451220865,0.2525771642774937,2.3642205193447445,0.9884105681359444,1.3770006460057074,-0.8048554050308425,-0.8593672142516424,-0.5242237588409031,-0.7698139887491413,-0.7888488834229622,1.0402943978417183,-0.44883530871963584,-0.8642443657633396
