,SOS2,CALM2,E2F1,PRKCB,RAF1,SHC1,PRKCA,CALM1,IGF1,MTOR,IGF1R,PRKCG,PDGFRB,MAP2K2,TGFA,BRAF,MAP2K1,MDM2,RB1,AKT1,SHC4,AKT2,NRAS,AKT3,GRB2,MAPK3,SOS1,MAPK1,PIK3R5,HRAS,EGFR,KRAS,CDKN2A,SHC3,EGF,ARAF,CALML5,CCND1,PTEN,PIK3R3,PDGFA,CAMK2A,PDGFB,CAMK2B,PDGFRA,CAMK2D,CAMK2G,CDK4,TP53,E2F3,CALML3,E2F2,PIK3CA,PIK3CB,CDK6,PIK3CD,PLCG1,SHC2,PLCG2,CALM3,PIK3CG,PIK3R1,PIK3R2,CALML6
SIDM00519,0.0498076182111507,3.405443011020229,0.08599586272353803,-0.693256665426057,0.41097071018801634,1.7754572859967834,-0.14177020028773454,2.0679101728721148,-0.8069700227069544,-0.22371018627477357,0.24168238824328261,-0.7837771690016947,-0.3413995178739834,1.2117328419628624,-0.6571157534642592,-0.5413997596560421,1.4682702253736368,0.3744561848381576,-0.451706616899581,-0.3955558339139622,-0.9148373248866729,-0.7032513775795374,1.221839698263148,-0.29600760340522414,1.7411622420718154,0.5154256853947725,0.5708231736562318,0.20225978087680163,-0.8367236396892249,0.8798485214472693,-0.05966289601354394,1.5419688881072011,-0.6310219058229348,0.2172080272673925,-0.8929978167830748,0.07456749189187163,-0.7856983964087129,1.4576129059103546,1.2291206931556173,-0.7187735136670106,0.9237323056587069,0.18150273205412243,-0.5727786583839554,-0.6596592776837715,-0.5097922111675702,0.21609175543106074,-0.10317503087378249,2.234465398685669,-0.5490992699972357,0.9026138924628194,-0.8929151937982222,-0.6049584536004887,0.31954704636902964,-0.18112189125699452,2.1685863377808317,-0.5861729564811344,-0.0034989349945850107,0.6351820544066088,-0.23385840083667578,0.07201739826156277,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714,-0.7289957667192392
SIDM00917,0.777404455271312,2.9377746023401605,-0.2135355422889387,1.6723657668354104,0.6703226732559828,0.12774549222024534,-0.5834552659254151,2.017225902945296,-0.7610539101750744,0.0006267952656839542,-0.724651281633404,-0.8209437091275041,-0.7330364839617154,1.4353305093647586,-0.6847001029446194,-0.08737606934962737,2.1682208807797045,0.782457254819834,-0.20693165105610548,-0.44961501627394507,-0.8928742589394802,-0.43991493639764384,1.5502036363871254,-0.53140709085529,2.0967618944171535,0.12581611851856564,0.5455241666444859,0.7518296918279702,0.4079912195723818,0.5785314872233444,-0.701575656143487,0.6747655177517772,-0.13914854844665173,-0.9705805088038854,-0.919667194283133,0.3104583380836929,-0.8438875245171338,-0.5683018791586874,1.6334552938488958,-0.33826179106292537,0.8048113347755264,-0.8248880897902924,-0.6685680443627056,-0.8365109445339176,-0.63225772631521,0.1472783472451084,-0.2496021959814038,1.8123176406853694,-0.5377656233603392,0.5712278422207611,-0.7875357893135947,-0.7207177122178672,1.6959402178273975,0.29428175640692444,1.6434028863032866,0.6552993831852555,-0.02056146040246094,-0.7111083577729086,2.521525918877269,0.37466265137866067,-0.7207299110933022,0.09639864077465503,-0.45814276637380663,-0.7107302263572529
SIDM00309,-0.055147137698300645,3.288812513982851,0.20761519131939282,-0.8444723115073255,0.7255659061086115,1.4934606146991267,-0.2444585548068717,2.1810960642285777,-0.8123720685046184,-0.2046267553936103,-0.19003279365953166,-0.7892785415681088,-0.5656181264521617,1.29693709399388,-0.5761599240701236,-0.5982155072109197,1.533801591408699,0.04136872496734211,-0.20130190250486923,-0.2912125403265399,-0.9150806248763022,-0.5673413731578653,1.256524659301111,-0.323607853268389,1.551214464507327,0.5986800821643932,0.6321035255310687,0.19821987316206793,-0.8541154838838494,1.0882773068400704,-0.033408677656909594,0.44635764588407606,-0.4729076891930827,0.44619944357772084,-0.6905337454649281,0.07713419241059723,-0.925941766277124,1.750803738259115,1.5772688397020425,-0.5719067588538529,0.8865008859242206,-0.560412471674076,-0.5076810135194458,-0.7659499181723805,-0.7274256664601348,0.013686211910347072,0.036832030268477915,2.108265807077271,-0.4883528195407754,0.8186152745784866,-0.7432149974902954,-0.4331368386889992,0.9023372519923574,0.4332412209128918,1.7905076222712484,-0.5018997117469767,0.03367052596493218,0.6434067479086082,0.08187136456782916,0.4199465953508991,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688,-0.8365190917981722
SIDM00099,0.23750660699476628,3.346714649910355,-0.08057002665373103,-0.8126854339693373,1.1767266262913327,1.8449289938861713,-0.13137744725192088,2.4110779704303242,-0.8420840144334021,-0.27999962201641565,0.37613355995859515,-0.7737446713268549,-0.31714104277833766,1.6865245406992782,-0.7950408368578683,-0.4747716843383623,1.4524860221399285,0.6150369187560697,-0.21125073452829746,-0.2291313922542609,-0.855564847017962,-0.5616008280392394,1.2061207614674792,0.4590628778438762,1.5303667233180474,0.6202538847874911,0.833796751022729,0.4272251428179874,-0.8097681129008282,1.0093641595797609,0.21846877828626285,0.6730085000785737,-0.6583672314984758,-0.709476890474113,-0.886350060965009,0.007434448992897634,-0.9201892349624028,1.9893804939894844,1.5501048087287475,-0.745840851085465,1.152907459884284,-0.8295315740877559,-0.5075803602465088,-0.6867341929402653,-0.6312933061823776,0.46308077226321653,0.07545791300626167,2.35319881192637,-0.4606656978346491,1.1122126124745342,-0.8482326855644008,-0.7296459678057524,0.9772417205774084,0.2470462313405816,2.543351426805786,-0.60403659056009,0.3041178582883408,0.8991220131854462,-0.4496306432321909,0.3371163731411872,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994,-0.7477793077570957
SIDM00276,-0.0659297637105213,3.240136851313997,0.6494015291488326,-0.7890798899543415,0.6944907569106895,1.2360285556403219,-0.40676241488024195,2.640025073890035,-0.8100300141193602,0.02324145318821019,-0.40741203898103584,-0.7574964145062062,-0.7453663818845296,1.5730502356630185,-0.051046874548187834,0.4225250613223542,2.019959361654287,-0.6031037443706602,-0.5708864249561418,0.11933883765264834,-0.9086837356651726,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,1.9575623215250881,1.1105277507367421,0.4636340472715856,0.3901472004011665,-0.8267639290855728,1.1816656923996194,0.24900124400107013,0.6515748950888393,0.2468311246617019,-0.17374398306805527,-0.617326739525956,0.3319259955565263,-0.946973893608282,1.110777565362061,0.900585957550162,-0.6488194164256283,-0.2544386692240276,-0.8408028764830664,-0.45069797981220244,-0.8103528387628942,-0.6782755746943571,-0.6148705563465235,0.2019613956200795,2.049498912743563,-0.3152874840479835,0.6775051647594175,-0.7270777119510755,-0.4785287508458978,0.4020237646019066,0.030209795559018312,1.0723546854252366,-0.5315367247175582,-0.03665739673160678,-0.8931849684240403,-0.028502178643651007,0.3278868998570511,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777,-0.6295154616598309
SIDM00311,-0.03247697834325912,3.301473029237035,0.48251935496648896,-0.8105801305761055,0.5447987316773143,1.1941706855572498,0.7056643480085137,2.3985497785788255,-0.8127392125710633,0.03901809182694378,-0.19024781705445357,-0.7393564213780424,-0.3746368084386204,1.3593653195542226,-0.6762071721589009,-0.7453538371884136,1.8896826961927777,-0.5754608576763738,-0.48704365733361277,-0.04068572253821361,-0.9014738711073031,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,1.635529327971572,0.29001810221540564,0.6037743687259487,0.38729023043362193,-0.751888574666709,1.1499067182680816,0.11182122054986383,0.5102474431294666,-0.7234958444085249,1.381402266667887,-0.4807646145470617,0.08589945360217498,-0.8082354228107739,1.1408512642531226,1.271290093423999,-0.677359328236902,0.5427949534708034,-0.8838636629378673,-0.7006534144687454,-0.8314846368484712,1.4863560720807152,-0.33790594601758,-0.04741662479732327,2.154206687974875,-0.4660973343828472,0.942535290863256,-0.90894741819379,-0.512969308183406,1.2324268605147033,-0.16744840637044256,1.4788793169273584,-0.5452007531527697,0.24234045098963491,-0.22817501325306394,0.22047856944745903,0.3964635671903048,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473,-0.8262110264974655
SIDM00970,0.06815208203162508,2.997127622667184,0.2927011409601079,-0.7355939801807603,1.0032059249628758,1.093737430029109,-0.23316708625249377,2.9816846982138316,-0.7702518987849236,-0.08777845381550912,-0.17167322440950866,-0.8510645530002491,-0.7313323960086201,1.0350064504926018,-0.426249581568136,0.16764458696924706,1.5480021660770813,-0.25477635394625303,-0.25018499616597295,-0.10547988580351268,-0.8732184163463943,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,1.7772022885091538,0.3293145122295789,0.7419548768709279,0.8119872597350951,-0.8149726060877294,1.3507311932125972,-0.4620419677363416,0.8955143169693113,-0.780307409634175,0.31463617934483623,-0.9071411571691793,0.016143176077876336,-0.8660533697298957,2.0377973060067225,0.979103906486245,-0.4642723288066422,0.20635956422258805,-0.8894647622897656,-0.7777194797983332,-0.8567212730857549,-0.683605856009126,0.2915994873314407,0.40655452505328643,2.0836698866468724,-0.6567645675008575,0.9291838685627761,-0.7680933459775284,-0.46976142432206475,0.6516507787099076,0.07842511824996666,-0.6233670239583565,-0.7197542934563707,-0.20487850156093684,-0.8370006192797307,0.41264517800793504,0.5755221068530932,-0.8051315465966639,0.024174200640533106,-0.3230373291454919,-0.8652414681128265
SIDM00103,0.11201949844336118,3.3787375877429024,-0.11479201140650103,-0.8670659958030608,0.842042295483723,1.6799060352227027,-0.28424573269653736,2.350299357280336,-0.7969174172790026,-0.4002499698683956,0.023540062073262376,-0.7682631555429059,-0.4893605069602958,1.7208696588265395,-0.6938380170967033,-0.3199136617291577,1.3916393884940752,-0.1605100913713362,0.019129677406904372,-0.06847722136698463,-0.8961283271701918,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,1.6238428467390442,0.80055510601947,0.6115918772422926,0.3533626797819316,-0.8467818040121766,1.4511064022891142,-0.0009420409975655662,0.019609299068091418,-0.6547130715364519,-0.16048396266523843,-0.8709323542503448,0.0004835080749557808,-0.8485331953771983,1.692495608595488,1.4321080197998055,-0.8018036490477344,0.23137660798610885,-0.8431575061735065,-0.5650777545370397,-0.89668513910147,-0.17383274304553611,1.1348553177287841,-0.12774355548768823,2.343809602022163,-0.5608796842096238,0.7256121625759887,-0.7985815630346397,-0.7236374164487444,0.8649885642906499,-0.012228360223561519,1.12683149848289,-0.5742533021236681,-0.1470608013499035,-0.393073193246736,-0.5946701851889066,0.36799501682737706,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122,-0.7354375173791132
SIDM00266,0.18691646827734318,2.9941010345052836,-0.19522280359195227,2.4447941496261234,0.7998530910773893,1.5400359956754033,-0.4922111936441592,3.5543218072134084,0.3009426408206368,-0.09193443216896079,0.43328065627730916,-0.7934670783701385,-0.70960985344988,1.421884080467031,-0.7207346332098546,0.1151396341686013,1.3033679463501235,-0.4149837736893541,-0.20465054875850483,-0.3555052293772311,-0.8662850694336253,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,1.4884797745308012,0.43598438125523226,0.5948286514554698,0.5203234391390296,-0.8496389728152324,0.7427837498526729,-0.4727299439307586,0.9111993007529532,-0.6946544374414192,-0.724148075907903,1.332916152465452,-0.1599034263136676,-0.6894949735774384,2.5759797624614174,1.0316435530116193,-0.5568906287862644,0.2817151301678457,-0.8637623341643526,-0.7816475923831315,-0.8165924218160808,-0.6778363514919016,0.5398541971565853,-0.3475376764836021,2.1912185207380555,-0.6844618064062402,0.9126078970805189,-0.7968717278372824,-0.576195003003543,0.975240071825603,-0.33462897669646635,-0.08315933928135008,-0.6595534890448225,0.12465917458109645,0.14542831781025914,1.042684104369696,0.14106793089805592,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085,-0.5547975582084855
SIDM01064,0.4878491632261718,3.1039004230882568,0.314366468197255,-0.8145439237286827,1.1271093323880224,0.32009308019923066,0.17604218848619743,2.764487050354022,1.0895075749060357,0.05294810681312053,-0.8080556540446873,-0.7491547537256324,-0.7211204087121691,1.1257725690972324,-0.6653671393407016,-0.3823909016943919,1.9344409784512715,-0.021125039430176577,0.25313698106360166,0.12561007301362406,-0.7577685515402328,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,1.7085587502100803,1.0024155733741154,0.8955226757344096,1.324784881453375,0.00999373611543667,0.8651038677438343,-0.6819687123538682,1.139741061167428,1.4889527258331234,-0.8469511923744635,-0.8499676609529545,0.11853981156144153,-0.8267772031766903,-0.7509793774513629,1.305311154087349,-0.5222596854068073,0.03996000980825288,-0.8796326014562149,-0.6385175427619414,-0.25733493587577766,0.5621847384858191,0.6465186648715905,-0.13039191760931326,1.855068768194796,-0.5881384431654524,0.607367515044863,-0.766686096323822,-0.09958872918827921,1.6317312906782862,0.201441486318639,2.2707506791410754,0.5128280268281551,-0.4206900010717696,-0.6029364535680753,-0.661233852400993,0.6075850662639282,-0.7788569289509498,0.8846240816513324,-0.3221179351293593,-0.7553292354973423
