Origin_idx,Drug name,Sanger ID,IC50
667,Camptothecin,SIDM00659,-3.36208
198125,Savolitinib,SIDM00154,3.315631
61550,Erlotinib,SIDM00551,1.115707
189453,Ipatasertib,SIDM00638,3.543791
54988,Irinotecan,SIDM00418,3.956434
88093,Cyclophosphamide,SIDM01140,5.079008
192085,GSK2578215A,SIDM00251,5.061004
116391,RVX-208,SIDM00257,4.532831
204685,PLX-4720,SIDM00491,5.081794333333334
197289,P22077,SIDM00969,3.830035
210597,Nutlin-3a (-),SIDM00227,2.485567
265924,Talazoparib,SIDM01175,5.051309
65122,Dinaciclib,SIDM01007,-3.444259
311991,AZD8186,SIDM00003,2.289867
296309,Fulvestrant,SIDM01179,4.805662666666667
88326,Cyclophosphamide,SIDM00195,5.170797
179646,ABT737,SIDM01175,3.599315
331192,Pevonedistat,SIDM00412,-1.434041
64727,MK-1775,SIDM01011,-0.181607
216348,Palbociclib,SIDM00964,2.916482
198699,UMI-77,SIDM01161,1.0259
2078,Paclitaxel,SIDM00227,-2.4257015
171702,AGI-6780,SIDM00294,2.4421495
70621,EPZ004777,SIDM00343,5.898426
54757,Irinotecan,SIDM00233,0.556376
211796,BIBR-1532,SIDM00540,5.528423
50864,Crizotinib,SIDM01140,1.492727
218460,Pictilisib,SIDM00407,-2.383201333333333
177734,Ulixertinib,SIDM00832,1.893703
221915,GSK591,SIDM00252,6.041108
3402,Sorafenib,SIDM01233,2.6994755
210109,Wee1 Inhibitor,SIDM00196,1.403575
209484,Wee1 Inhibitor,SIDM01160,2.5203605
178980,Venetoclax,SIDM00103,4.139953
222930,VE821,SIDM01197,4.556343
187121,Osimertinib,SIDM00808,1.17846
231261,AT13148,SIDM00274,6.333554
179344,Cytarabine,SIDM00441,-2.2007700000000003
192471,GSK2578215A,SIDM00362,3.721534
105395,Entinostat,SIDM00316,3.576072
280963,Trametinib,SIDM00003,-6.343476000000001
56033,Oxaliplatin,SIDM00350,4.998752
213300,ZM447439,SIDM01042,1.8791845
182955,Gefitinib,SIDM01259,1.775544
95022,Alpelisib,SIDM00418,6.964333
120123,Foretinib,SIDM00900,0.2088505
50068,Luminespib,SIDM00264,-4.219579
296744,Fulvestrant,SIDM01183,4.215121
112733,OSI-027,SIDM00174,5.4459475
216385,Palbociclib,SIDM00542,2.895728
184628,AZD5363,SIDM00101,4.487076
217742,Pictilisib,SIDM01229,1.3877370000000002
219494,PD0325901,SIDM01098,0.8736655
211141,Nutlin-3a (-),SIDM00044,4.7042335
183702,Navitoclax,SIDM00174,1.785016
185200,Vorinostat,SIDM00256,-0.420317
63457,Niraparib,SIDM00917,1.642063
194710,AZD7762,SIDM00530,0.290417
215357,MK-2206,SIDM00837,2.2536135
112927,PFI3,SIDM00859,3.935501
49071,Dasatinib,SIDM01187,2.401875
107832,VE-822,SIDM00951,1.593022
172554,OF-1,SIDM00127,6.587802
63575,Niraparib,SIDM00201,1.632382
50037,Luminespib,SIDM00242,-3.7040055
210206,Wee1 Inhibitor,SIDM00099,5.343853
220950,AZ6102,SIDM00420,2.391627
197057,P22077,SIDM00156,5.822841
91159,Uprosertib,SIDM00197,1.703004
67599,Bortezomib,SIDM00047,-4.737644
184046,Navitoclax,SIDM01092,0.1462004999999999
55424,GSK1904529A,SIDM00104,3.089575
90741,Uprosertib,SIDM00900,0.138058
64640,MK-1775,SIDM00104,3.379158
120765,Foretinib,SIDM00389,-0.7587195
70787,EPZ004777,SIDM00114,6.607752
174971,Wnt-C59,SIDM00381,2.788474
73838,AZ960,SIDM00180,0.608721
94694,Alpelisib,SIDM00364,1.835559
120761,Foretinib,SIDM00448,1.8451525
15623,Lapatinib,SIDM00244,2.3704305
90467,Sapitinib,SIDM00448,4.096242
117847,GSK343,SIDM00808,1.379292
45129,Linsitinib,SIDM01098,0.6712989999999999
222880,VE821,SIDM00316,5.492183
95603,Taselisib,SIDM00441,-0.756812
215102,MK-2206,SIDM01245,2.972519
116009,RVX-208,SIDM00793,3.649262
216591,Palbociclib,SIDM01011,1.704095
91401,Uprosertib,SIDM00530,3.789401
88004,Cyclophosphamide,SIDM00346,4.244833
148681,Dactinomycin,SIDM00719,-1.3079075
251915,Tamoxifen,SIDM00258,3.19388
64422,MK-1775,SIDM01187,2.840821
45709,Linsitinib,SIDM00195,3.086936
179057,Venetoclax,SIDM00668,0.153252
55860,Oxaliplatin,SIDM00196,1.765259
186868,Osimertinib,SIDM01098,1.799348
74378,AZ960,SIDM00600,1.215539
185646,Nilotinib,SIDM00121,1.1213285
64627,MK-1775,SIDM00491,2.130208
185954,Nilotinib,SIDM00837,3.8844275
232492,AZD4547,SIDM00599,1.0679523333333334
179099,Venetoclax,SIDM00323,-2.721838
65277,Dinaciclib,SIDM01168,-1.53818
331292,Pevonedistat,SIDM00542,0.1892829999999999
186984,Osimertinib,SIDM00121,1.410202
203942,PLX-4720,SIDM00627,3.949261
71013,EPZ004777,SIDM00538,4.867798
214070,MK-8776,SIDM00889,3.589812
56099,Oxaliplatin,SIDM01102,1.3451485
222861,VE821,SIDM01159,5.54021
113377,OSI-027,SIDM00491,4.27154
212744,PD173074,SIDM00261,2.7582825
173849,LGK974,SIDM00577,3.4864995
109578,CZC24832,SIDM00294,5.274074
213008,PD173074,SIDM00539,3.322229
105479,Entinostat,SIDM00935,1.622743
119025,ML323,SIDM01093,4.643066
87460,Epirubicin,SIDM00418,-1.026742
170211,Sabutoclax,SIDM00606,2.044881
204353,PLX-4720,SIDM00758,4.973972666666668
74343,AZ960,SIDM00156,1.832296
149116,Dactinomycin,SIDM00964,-5.240416
202560,WEHI-539,SIDM00508,0.138351
189060,Ipatasertib,SIDM00553,4.693632
58743,Ruxolitinib,SIDM00412,3.9621035
63420,Niraparib,SIDM01159,4.952933
119498,Entospletinib,SIDM00121,2.661601
61557,Erlotinib,SIDM00638,2.591324
174834,Wnt-C59,SIDM00814,2.9394525
55681,Oxaliplatin,SIDM01168,4.864938
43922,Obatoclax Mesylate,SIDM01064,0.454045
4861,Crizotinib,SIDM01042,2.160564
177298,Ulixertinib,SIDM01098,2.774515
64645,MK-1775,SIDM00520,2.945227
193375,I-BRD9,SIDM00044,4.129413
55546,Oxaliplatin,SIDM00677,1.7760415
179354,Cytarabine,SIDM00562,1.9969575
212099,BIBR-1532,SIDM01114,4.037107
70467,EPZ004777,SIDM00504,4.600683
179660,Cytarabine,SIDM00600,-2.0789745
96305,EPZ5676,SIDM00230,5.513814
77468,Dabrafenib,SIDM01126,4.413573
55157,GSK1904529A,SIDM01161,3.7876745
120459,Foretinib,SIDM01187,1.9900015
265980,Talazoparib,SIDM00962,-2.17623
97717,SCH772984,SIDM01187,5.811658
143342,Ibrutinib,SIDM00659,5.408532
176873,Buparlisib,SIDM00958,1.135022
116085,RVX-208,SIDM00553,3.176803
54888,Irinotecan,SIDM00201,0.186824
55310,GSK1904529A,SIDM00202,3.806523
67520,Bortezomib,SIDM00976,-3.999195
93549,Luminespib,SIDM00864,-2.386966
172347,OF-1,SIDM01159,3.106211
52049,Rapamycin,SIDM00205,-2.63827
178201,Venetoclax,SIDM00905,1.934033
182743,Gefitinib,SIDM01098,2.6514815
112750,PFI3,SIDM01064,5.377776
94982,Alpelisib,SIDM00551,1.995034
63611,Niraparib,SIDM00517,4.861786
189667,Ipatasertib,SIDM00216,2.674203
108361,VE-822,SIDM00259,3.309573
86783,Epirubicin,SIDM00885,3.36159
112260,PFI3,SIDM01163,6.892766
