,GCK,GALK1,GLB1,GALE,B4GALT1,PGM2,LALBA,PFKM,PFKL,MGAM,HK2,HK1,HK3,G6PC2,GLA,GANC,LCT,GALK2,UGP2,PGM1,B4GALT2,GAA,PFKP
SIDM00519,-0.851856790810811,0.09025955435159413,1.6752053816951888,0.645403890168447,-0.3570816542236682,0.9335897091139952,-0.9325111860452615,1.9410368568556409,-0.07209073379686992,-0.8822524936554705,0.01468437794139422,0.8728449019245373,-0.7483145559433166,-0.9005579995358337,1.1789800186971144,-0.3145635761856373,-0.9096928440542557,0.9915717199507118,3.138661816830269,1.5147393731037777,0.3668430836596042,0.6075816663687432,2.0415926643481996
SIDM00917,-0.9308760474518427,0.3695899416754305,1.718281251049374,0.28640360561177536,-0.4069326756790907,0.6257092828936457,-0.9030849660080583,1.9216707304609457,-0.020634716418905245,-0.9858169199784856,0.9878059854859959,0.6073633654010221,-0.7808321119030809,-0.838126928839499,0.6219322835895315,-0.1470730191347889,-0.8163528047613847,0.9866752635211011,2.6431043132575684,0.7972197694338519,0.04864245912098151,-0.35426446656421,1.6592962388659467
SIDM00309,-0.8654967979506697,-0.17954024901668622,2.015947495909379,1.1763014851033413,-0.4996110138969836,1.627901556053579,-0.928234190684101,1.6006627642964362,0.37374022150526703,-0.8757767662587655,0.23534756228249887,1.2193397084238555,-0.7458371428922206,-0.8744728788856433,0.9118250625491823,-0.3604516924180098,-0.9590758463370205,1.1060014690387339,3.418205849547397,2.616625162759445,0.7582036103155168,0.6200235993744613,1.9727297824072623
SIDM00099,-0.9140020422628103,0.4617648181976121,2.1315244285947155,-0.09734438730396801,-0.5079507573765537,0.06260766498664262,-0.9038511182873987,1.7796936994616286,0.026759040100666667,-0.8482385788363206,0.1200636428588885,1.3125618397379044,-0.6674179921082567,-0.8440222625693281,0.9909832295112327,-0.07927201094306384,-0.7918090429209897,0.7768809969014309,2.746765709712492,1.447934290585334,1.1499582950577403,1.003047939592406,2.3943792500681336
SIDM00276,-0.870078532919965,0.5019767354034548,1.5121758071734541,1.1449864790775386,-0.37228751539032306,0.8195282200972472,-0.9869440702829534,1.343624156819663,-0.2281366852190709,-0.8939517933398612,0.5539035868355162,1.5279334381796006,-0.8228190604383028,-0.9277700812222082,2.040271361127568,-0.23225765917053234,-0.9381197117719268,0.9334098123565986,2.7158680276510765,1.9963310881134306,0.8530873465250995,1.0359136140832816,2.603002484721678
SIDM00311,-0.8608042374066757,0.29217220234684826,1.9994451970580627,0.9512343706529014,-0.31185116878864194,1.1924093760073244,-0.9174122503350556,1.5907501815090193,-0.17029690879171194,-0.9208727782081452,1.0784918106849626,1.7179456415340506,-0.8724701867505567,-0.8989250110153957,1.6204151019459299,-0.4417753827211579,-0.8708383256515646,0.9871800965017672,2.790587599143513,1.5850749380918925,0.8089105905804903,0.3521701398407934,2.4644402409602906
SIDM00970,-0.8127138879874172,-0.1201677257239157,1.6679272554772433,1.0341300340473805,-0.34908008634370985,1.6195398455499674,-1.0062387072022263,1.7028386118262173,0.12521562131411187,-0.7836134501473173,1.0831821691631967,1.6211494532565083,-0.9169784988868717,-0.8756620268608777,1.070461185531863,-0.17662779408783125,-0.7729882808426941,0.9798579312749865,2.6160742971262407,-0.509864224696751,0.7452848895805091,0.7140191392224793,2.0140912793407395
SIDM00103,-0.8472998312581437,0.3393229164227849,1.5419966569361414,0.35850951185598323,-0.3284305822145648,1.3048529343636555,-0.9919953275642741,1.552202796662341,0.3225148075493362,-0.9177901726894268,1.7664864651931547,1.6850886314318008,-0.8320424784181192,-0.850646164936155,0.8820539495646539,-0.08877274123594255,-0.8814854298378316,0.8959334680128259,2.6224569682036125,1.5904794964365891,0.9339730003097616,0.6604137611130392,2.1958235720457244
SIDM00266,-0.9203336529953521,0.24519948226416108,1.5103851422036285,0.4916338165242149,-0.5906293265535952,1.0851446184717681,-0.8335774279963472,2.2130571881504255,-0.2238090111213678,-1.0265411764559704,1.3963905478109235,0.8779630766330278,-0.9004506970951371,-0.8791640368401177,0.9305034845603436,-0.24739523263236768,-0.8457256637355872,1.5225011743311103,2.535986011650079,1.4981546744962324,0.7411202508217538,-0.36993697454553387,1.9093989031285696
SIDM01064,-0.9352146283943806,0.019818484939685563,1.900677309127898,0.26981562827801897,-0.00873577998921473,0.8930305251125091,-0.9301715624380616,0.22589471978920792,-0.2987654638342584,-0.8678708743016997,0.46040730652207634,1.1505061654248148,-0.6519672388145558,-0.9162873713441665,0.9777008807817232,-0.3431292733977182,-0.8571117728003984,1.3492358905014104,2.7839092049364838,1.235733839367164,0.6618323694897517,-0.12561737672692844,1.8591926833089487
SIDM00098,-0.8544664705961631,0.39526798851161005,2.015664790972788,1.0503534605225389,-0.6403129657732293,1.3650000773462838,-0.8829207204381814,1.9038922328314116,-0.09256179742015178,-0.8972052387211863,-0.2686112915995393,1.2557603544711136,-0.8750468078988475,-0.9148424624381657,1.5519528198241639,-0.4665458172244125,-0.7803563344258122,0.4413301271421219,2.812116772324952,-0.4268480196812567,0.7291469270754659,0.458741407604204,1.9512432834960687
SIDM00225,-0.8837305400516089,0.37744082792232625,1.5843883858823948,0.8828344602766265,-0.4776591140391386,0.9747886214378727,-0.8313374079396282,1.858800916376328,0.10775843446075228,-0.9580785054740125,1.1446447739138452,1.776345307893649,-0.7431405661930498,-0.8732883871656237,1.4903445737331245,-0.13482631840952483,-0.8468658220796081,1.0406980149644307,3.361163416851113,1.6775446520074848,0.8171090738111397,-0.01549247511180495,2.247508176110793
SIDM00846,-0.870586812331592,0.6475153602730047,2.027104596637837,0.6410800380750987,0.4710401132226712,0.653975177896084,-0.9363641385492744,2.2758422075425986,-0.19201737575732344,-0.925851802493941,0.743036197983554,1.0596996850503686,-0.8763333342508343,-0.8400565974307819,2.2628503346044297,-0.11011995227392274,-0.95002166475508,1.1948033121450383,2.4539402155216927,1.9498302457093968,0.9125910424577557,0.2787123861101168,2.0579188457993114
SIDM00291,-0.8069902223476111,0.6710975659894706,2.3324716968642236,1.780814208451975,-0.6178909416816706,0.7769333223475203,-0.9238450671664935,2.615129452800504,-0.3158030275924465,-0.6292756266422237,1.5361491312942077,1.3767398366540058,-0.8054279181827032,-0.9423927929690271,1.0122857278736377,-0.07449610446632218,-0.7509290394291684,1.2728859284119094,2.334642037609081,2.2088406727408034,0.8501832626716613,1.3649003508143778,2.345812466203417
SIDM00520,-0.7844595553713121,0.18804489163290714,2.092231358887218,0.7847008896063172,-0.2402418215553443,1.1136493055786236,-1.0112669503408167,1.9505976285520883,0.20346434002916391,-0.8043021911461142,0.058117693404186745,1.249847988832574,-0.893591571758843,-0.8822364215601743,1.4451368133170608,-0.15207847025308338,-0.7732611734425021,0.9345785810938784,2.7415274221025223,1.8359106421453455,1.003472522343032,0.7266453845054568,2.1486394094900656
SIDM00003,-0.8442852691869075,0.5584339774559399,1.6833037297993103,1.1270799031529717,-0.5707995154448496,0.8727816060899486,-0.7968853110818691,2.3081438538396863,0.05067877092761313,-0.9374367532202396,1.380262040152674,1.654426748650988,-0.7150989954850249,-0.833454428969937,1.8084195049691782,-0.027693161537335274,-0.6786505923254423,1.4490959187658374,2.838676157899047,2.0960993182122123,0.9068782468147681,-0.1432414565951009,2.4606372198594895
SIDM00136,-0.8128201143353255,-0.11648429902653021,1.8055324984589711,1.9231307978610155,-0.38863974280614344,0.6018498113383849,-0.8818325022889771,1.731604890737961,-0.04384513509593118,-0.9280061094186802,1.2436911637022707,1.1925411288186467,-0.7972217643925203,-0.9123920273604693,1.0866257603410454,-0.2833611775559521,-0.8162996829477105,1.3558996492848936,2.79412217808116,1.4901128663974592,0.7692654111662593,-0.21153333049322454,2.3561380498619178
SIDM01155,-0.515942105303999,0.41395962608350617,1.707782388435072,0.8930424043557368,-0.49014228603737686,0.8259365342683678,-0.9841371835280366,1.8924158332815073,0.02025045293513101,-0.8636800295943158,0.9550765786613926,1.6699056201205538,-0.8034943327756566,-0.8090521393877589,1.5049766591111,-0.3903366047732283,-0.8580232178977065,0.8036195037844905,2.8362717796927908,1.6117883321284514,0.8901288012945835,0.46794719138075963,2.2814997862024633
SIDM00224,-0.9203644014871455,0.0172874614683205,2.0967656853658068,-0.20536619073357945,-0.6229843074681573,0.5628348940353274,-0.9859529442600983,1.7894071285639213,0.005236836940713919,-0.5448603679342313,0.07219149061490618,-0.5548264091605487,-0.8146609892228805,-0.8868052881786834,1.0613766345128086,-0.1863480789695795,-0.8279461037368191,0.2827844023012704,3.0975267385318697,-0.03245421891930066,0.3312865599440875,0.819168755279045,1.905294147704257
SIDM00783,-0.9559480933932996,0.3039928824731367,1.6616085555963305,1.1680487208430381,-0.6685473042693592,0.8603611739584794,-0.9941199015960962,2.1461996164401174,-0.2774731833756379,-0.8454874845738793,0.909597685475627,0.9500098254317908,-0.8204953450787095,-0.8277217622329609,0.930532791319624,-0.3278188341200498,-0.868409945292344,0.66697711294158,2.4871877670147566,1.38786142991932,0.7986778018836169,1.4031804822681018,2.1449646321611433
