,STAT3,CHUK,PTPN11,PPARGC1A,NPY,TNF,SLC2A4,CD36,SLC2A1,MTOR,ADIPOR2,PRKAG2,ACSL6,POMC,MAPK9,MAPK10,PRKCQ,RXRB,RXRG,IKBKB,PRKAG3,RXRA,TNFRSF1B,ADIPOR1,AKT1,AKT2,TNFRSF1A,JAK2,LEPR,AKT3,LEP,ACACB,NFKB1,NFKBIB,NFKBIA,NFKBIE,IKBKG,MAPK8,CPT1A,PCK2,CPT1C,PCK1,RELA,STK11,PPARA,TRAF2,PRKAB2,PRKAB1,PRKAA2,PRKAA1,SOCS3,TRADD,ACSL5,ADIPOQ,G6PC2,IRS2,ACSL1,AGRP,PRKAG1,IRS1,CAMKK1,CAMKK2,IRS4,ACSL3,ACSL4
SIDM00519,1.9815912178134203,0.8161035609072119,-0.41687740632795267,-0.9326785079852166,-0.5890699195777125,-0.5600337566519754,-0.8996948666260057,-0.983320010249022,0.22434901321377412,-0.22371018627477357,0.5086840031657092,1.0893574653609186,-0.9309422757648084,-0.7539375791878562,0.7229490449626709,-0.8000735354340742,-0.9051919164249741,-0.26789981353743914,-0.8671989843390221,-0.13511638424224445,-0.7391197009223579,0.6223185880347919,-0.7651715260478957,1.395166718065943,-0.3955558339139622,-0.7032513775795374,0.27503096597781734,-0.04946906264296609,-0.6508999637786889,-0.29600760340522414,-0.8210921733125323,-0.5895864126264033,1.6810797093900343,-0.34890968302054115,1.5124775933865677,0.7205480756816781,-0.46833018718845176,-0.3898911071975693,0.36975921779837595,-0.520767737402791,-0.759479303410868,-0.9713397927461586,-0.04413591818367234,0.2095692835931396,-0.5793876764283903,-0.1720685776410113,0.05075970636039685,0.19068401784506617,-0.6675840276501216,-0.27933054517075334,-0.08505715328462327,-0.03454109159564684,-0.7863828726652579,-0.8398055728152412,-0.9005579995358337,2.124287134227986,0.3491272353651706,-0.7323664369912153,1.3286393698763845,-0.4435836720259733,-0.28038272672894266,0.653594845758812,-0.8263879871868793,2.0228355321948706,-0.25673340427632185
SIDM00917,1.6287201708397965,0.9771338680956163,-0.5545172319292266,-0.8555965366796938,-0.8079916216574116,1.830999589279416,-0.8834444058284323,-0.8002284137952793,0.36265419299008594,0.0006267952656839542,0.9074125235557534,-0.444754545915904,-0.9494386004412713,-0.6495451022945876,0.3279819575978883,-0.4789249487721815,-0.7558514489149276,-0.11107106572296516,-0.825796317543983,0.36611728776337293,-0.7557245912013029,0.4172663715719339,-0.5646947381217815,1.140567624972897,-0.44961501627394507,-0.43991493639764384,-0.5761448395166946,-0.16031886059414993,-0.8580972430250997,-0.53140709085529,-0.7689946030402491,-0.7044831257380413,2.706514981805068,0.01275492218989675,2.926357499895323,2.1220857546689444,-0.4990074757813973,0.7084240651382601,-0.43633983441759716,1.5628348025876244,-0.9116114573370824,-0.8772411303974126,-0.01219307294287043,0.3858115266392475,-0.16962606392600235,-0.08635682900541788,0.3558827817046363,0.6610131669478344,-0.8058248723213525,-0.3356137034329139,-0.6590895983233006,0.798646239107273,1.0865483264958478,-0.8334360166995834,-0.838126928839499,1.091507257011763,1.7462020592958247,-0.8369000036276976,1.3854640419503543,-0.634857320265725,-0.33730034001866793,0.8213171124963484,-0.5581370125635631,1.6562054414504421,-0.362863193744382
SIDM00309,1.7901311015560941,1.0570803897792147,-0.43675263706473116,-0.6646372344300893,-0.7683171685339931,-0.8252947442022723,-0.9131706874536848,-0.9694505598307935,1.530741624950449,-0.2046267553936103,0.8339027605204558,1.4821637341424128,-0.9290133907354758,-0.7615636839618167,0.7807549866059781,-0.8191751222390329,-0.9230638654061724,-0.13070142208776891,-1.017779917657865,-0.03539533274547862,-0.7603929929354775,-0.1299889697400401,-0.7760079446418088,1.3635304436630795,-0.2912125403265399,-0.5673413731578653,0.5661578017054454,-0.04185442812464479,-0.09197720298516082,-0.323607853268389,-0.8287025098347766,-0.5933256468647696,1.4951173730900065,-0.32725474022634793,2.224831625741866,0.7503478128869373,-0.35404607635741997,-0.39617924839638224,0.8046562203464478,-0.1836013138611848,-0.8423175188807993,-0.9947996642237837,-0.07075364474348073,0.32459923228366,-0.5268407853867604,-0.47485761876996296,-0.32790772852887656,0.07080334252704917,-0.3270748791955065,-0.3390231429193135,-0.709968724027556,0.45717370260585904,1.0518633049608574,-0.8002733181563951,-0.8744728788856433,1.4753599176538554,0.8799188313795923,-0.7699778531114174,1.12821118014297,-0.5626684858600401,-0.12915594078727644,0.663178948499605,-0.6847588939732595,1.6212011999150493,-0.2550972818611836
SIDM00099,1.494071599233494,0.9480620406235725,-0.48805428678273177,-0.8219649636650571,-0.7241666420113366,-0.8381578425807334,-0.8612573548185906,-0.9229485099043484,1.6804400061122986,-0.27999962201641565,0.7610830022646373,0.8506958312817223,-0.9107404145304971,-0.7338821188805589,0.3390362523399091,-0.7705711201622135,-0.7971101179302654,-0.18224330928209767,-0.9177369605752332,-0.178519674526836,-0.7637110677052983,0.3019017433800442,-0.8053683293052938,1.198331919170383,-0.2291313922542609,-0.5616008280392394,0.4728733010382715,-0.026896965292423622,-0.502596312316285,0.4590628778438762,-0.7519644117323577,-0.6652942372952481,1.4286800173594663,-0.3128482765511934,1.3423688261952067,0.05387269328336505,-0.48127298654902717,0.13335399968062153,0.2766617769380456,0.8156044688297786,-0.3896317997092145,-0.9518379246629353,0.13366079755805624,0.08801391282051436,-0.34773376067628453,-0.34164731641932033,-0.09172004551680613,0.41257285900680346,-0.43641158513789957,-0.17406254146970138,-0.8613565730986802,-0.1473769498770833,-0.6548915494210273,-0.7621084701101909,-0.8440222625693281,1.0977814616918724,0.3583828174744509,-0.8377463187781851,1.8823057433184922,-0.036740656709425924,0.2889674982830151,0.8439404941470059,-0.7219101589174964,1.7707731665101776,-0.34712417722036126
SIDM00276,1.7359422087775975,0.5164845613433473,-0.44887793886853683,-0.7938638137234689,-0.7951215199461145,-0.7093612735075637,-0.8408001463399994,-0.9349780195503837,1.9147984414375172,0.02324145318821019,1.1953059421077334,1.4597518160200762,-0.910138237447085,-0.6566932268300157,0.22516520348511637,-0.693685319706086,-0.5998812591545832,0.11281690019491557,-0.9127967189285877,-0.22945576373960963,-0.7034198583189955,0.6273179601490205,-0.7409089640907184,1.5641162244670652,0.11933883765264834,-0.5956790432627415,0.46421297842908815,-0.5788368792544597,-0.4442098410266641,-0.5519477570600904,-0.7554074284068926,-0.5732440366135313,1.5166522702960785,-0.17021109562150152,1.8837504521796675,1.1406307202167623,-0.576300583743626,-0.0691404580401485,0.5383782593656816,0.7416376797674441,-0.48593024345549196,-0.9095681404847161,0.2185667859797125,0.1428180159749062,-0.3708561416020296,-0.08663290330210438,-0.014936585530832153,0.20325754277477498,-0.35750665213871724,-0.09503180392762578,-0.6411683874823257,0.5296424373586712,0.69620847965388,-0.8205774151168328,-0.9277700812222082,1.012175613081893,1.6261137028085917,-0.8400609250157429,1.4485825986443797,0.5560974851628155,-0.26769115154384066,0.6506595594666387,-0.783483967092334,1.7397649199941088,-0.45959532174503276
SIDM00311,1.8748582179638982,0.8036714917234041,-0.48437306637563843,-0.8347291847590258,-0.6251917375332613,-0.7630319113703132,-0.8713847365309729,-0.7838900012384836,1.528826607635065,0.03901809182694378,0.792507554762976,1.000813811448846,-0.8289893046232123,-0.6986167104004898,0.5474182472045206,-0.8049432169992577,-0.8144072120552219,-0.30908518314063327,-0.9653775300495114,-0.1436366764423288,-0.8006478049389042,0.5809582883918367,-0.6306504112110182,1.0248930026844678,-0.04068572253821361,-0.6105409974472994,0.3283000067723606,0.07303773531948383,-0.5620931362372541,-0.27243689547260147,-0.7656018474517302,-0.6737463006462355,1.7807493777478833,-0.21095981177158787,1.7433000336297542,0.49755738215924966,-0.41368099135544933,-0.07582413085830866,0.8893363869581167,0.5335854535840204,-0.4837011682911766,-0.9358074124728981,0.15884163586295352,0.08271306284222527,-0.5632991462451801,-0.08121727947938405,-0.34051944414341573,0.07414708251777713,-0.6629143808157649,-0.19102290521584547,-0.7254499797297228,0.14274477308652525,0.04224101047585957,-0.8165953274275044,-0.8989250110153957,0.5912480432919356,0.5028587900916814,-0.8517386004807602,1.6194923080802293,-0.2848084396692028,-0.17938107769865985,0.44971395566199474,-0.6224968022461734,1.8252516507111032,-0.048211525330830986
SIDM00970,1.4270636782642596,0.3015782067203512,-0.4807603789388971,-0.8415285453931782,-0.7237656672948554,-0.9528144348089674,-0.8257856952914312,-0.8903793994328356,0.9835603208443948,-0.08777845381550912,0.718616123234981,1.0079332906611596,-0.9742373656968164,-0.7733982786777358,0.17957833961123676,-0.0005214666553748757,-0.8303802041829504,-0.258225501266485,-0.9498949336668708,-0.0316694772888078,-0.8316102542719221,1.0638361103115348,-0.5098497498010772,1.2285859705625433,-0.10547988580351268,-0.32945864135872244,0.6945822203691181,-0.5363749948092131,-0.917608127434827,-0.8508602838977936,-0.7715832108331002,-0.6817314549894224,2.047102764470724,-0.1340406003864184,2.2527880968170315,0.5536917965221776,-0.6183407853938081,-0.3662241185702077,0.4584026002567436,0.37070217563053226,-0.25394720909825674,-0.8865654963797573,0.02339370108682473,-0.0419643026014374,-0.3762044658337955,-0.3033534916504489,0.04350105098691508,0.20845550340590527,-0.7912535894730398,-0.24425768572681933,-0.8301128613864039,0.27869684029625535,1.926673151233441,-0.739499928579367,-0.8756620268608777,-0.3581124812228324,1.738654866649809,-0.8142892279724543,1.4001443715676436,0.4802128873385446,-0.16028356383330875,1.093268944410653,-0.6724583895381969,2.3398300265738095,-0.6505875087818936
SIDM00103,1.3082075831557558,0.8192588864072707,-0.35016489112851445,-0.30207665095128766,-0.5669040834762445,-0.7985828210686804,-0.8664869267359537,-0.5210109632433801,0.38846871292274593,-0.4002499698683956,0.3111724101142537,1.3286071064689307,-0.8945530315137452,-0.7474546651264047,0.06579980602104345,-0.8092251083840144,-0.8407918647791499,0.04614482880642706,-0.8957544925934747,0.1526785008488658,-0.8309882774283492,0.2987497200555495,-0.542990801877648,1.087282812899842,-0.06847722136698463,-0.5499446939252121,-0.010341617274465718,-0.09163846743275399,-0.5897990668820424,-0.24893693507670495,-0.7721384888626207,-0.6395225325884406,1.2461389920078365,-0.4345943136841946,1.3316515770819293,0.3332103366463939,-0.4292891057591731,-0.40114405850187046,0.4274633349558516,0.7001919680304667,-0.7961222336371058,-0.9724739990703349,0.05682964877522256,-0.01811662329796476,-0.496909030502473,-0.42407888709718866,-0.051082594648030256,0.3682177864273558,-0.8245646930413032,-0.3951590475236151,-0.7046357257404244,0.529661798737361,-0.5861213807390874,-0.832984033950797,-0.850646164936155,1.2550382845557928,0.974877865679588,-0.7842869597732286,1.7221332590371192,0.10073035652218339,-0.13644577173471437,1.1318624504741523,-0.7084238119156647,2.2261615829246897,0.0325737062359891
SIDM00266,1.3713170794869043,0.73891556292186,-0.35970337316955103,-0.9026135079715938,1.7860884131882044,-0.6886728367980001,-0.8236112243437496,-0.9851895152988897,0.062219439521801846,-0.09193443216896079,0.8499811745896606,-0.028150207516371956,-0.9976230100359899,-0.6969242893469026,0.4323758508759002,-0.3600812305976859,-0.8875007637108979,-0.068863008347731,-0.778794521329002,-0.2454207720614906,-0.7227764669494978,0.39520691193177704,-0.843899839522679,1.1013227975742808,-0.3555052293772311,-0.5117967119573102,-0.0781745509287426,0.024597746548527248,-0.6803276297248524,-0.8347357449295455,-0.7207655554975375,-0.024465516671967693,1.2716264406624573,0.04159796809956709,1.5394493332535957,0.2551099405062088,-0.5568467555927609,-0.30005824183715535,0.44033578079651536,1.1423020406974322,0.30386174660019,-0.8841199365630958,-0.248028129252309,-0.08742689291352694,-0.6680604557141243,-0.47848187584721463,0.5520394656316314,0.2850394174372932,-0.6429799528274376,-0.433540571841085,-0.7715215888242779,-0.2812672797328062,-0.7736520502098653,-0.775514998474401,-0.8791640368401177,2.5351804051168005,1.2479067133876844,-0.8360206646826648,1.7774141990473609,0.3390993745449397,-0.1986166562534628,0.7489852012552005,-0.7229982020766618,2.165157322967314,-0.4086546511440647
SIDM01064,1.7996347258029761,1.136571207278792,-0.48667244666953907,-0.8657418400518652,-0.7323128462894841,1.2615577021538715,-0.8422343657262831,-0.9092852435451554,0.49002882576413354,0.05294810681312053,1.676858658469916,0.36336258308025066,-0.8679464943439529,-0.7738743785327087,1.5451934254228694,-0.8948051722627113,-0.8361374148733384,-0.06694816192885211,-0.9169660559268452,-0.051216720492121844,-0.739525692658752,0.11711991448442115,-0.45140566302508106,1.1916946594618942,0.12561007301362406,-0.5099221426094163,-0.7137271373219817,1.4656245987739465,-0.200743098254537,-0.4457132286410602,-0.740006801314593,-0.5164717061249076,2.224705986401305,0.3642839661736418,2.441087912138068,1.278783700345138,-0.2614683980259644,0.49006099709420986,0.5485427670889705,0.6631232376814669,-0.8290230806992986,-0.941576874297403,0.054157544537158105,0.3700465191274481,-0.33748247568252554,0.12872733010654114,-0.34465545793899344,0.32155678021948375,-0.7578736138716626,0.17199441797815895,0.07942893756764902,0.4931029347496464,1.263133138879459,-0.7844017996678443,-0.9162873713441665,0.21663335405689035,1.6271671695869083,-0.9315758390295608,1.3740285086715311,-0.44830557261726045,-0.5092413405300643,0.9320051489101184,-0.6785879751150234,1.64517612555805,-0.7639944819580821
