,SOS2,CHUK,STAT3,ZBTB16,RAF1,RARA,PML,JUP,MTOR,LEF1,EIF4EBP1,BAD,PIM2,MAP2K2,BRAF,MAP2K1,KIT,FLT3,SPI1,IKBKB,AKT1,AKT2,RPS6KB1,NRAS,AKT3,RPS6KB2,GRB2,STAT5B,MAPK3,TCF7,STAT5A,NFKB1,MYC,SOS1,TCF7L2,MAPK1,RUNX1,PIK3R5,IKBKG,HRAS,RUNX1T1,RELA,KRAS,CCNA1,ARAF,CCND1,PIK3R3,TCF7L1,PPARD,PIK3CA,PIK3CB,PIM1,PIK3CD,PIK3CG,PIK3R1,PIK3R2
SIDM00519,0.0498076182111507,0.8161035609072119,1.9815912178134203,-0.7006884185897396,0.41097071018801634,-0.49316648454915996,-0.3014496508729149,2.227583365093628,-0.22371018627477357,-0.7667498242748586,2.0313432249463306,1.3580295249854797,-0.6597047559066003,1.2117328419628624,-0.5413997596560421,1.4682702253736368,-0.973283927602634,1.48583844998879,-0.8435619132170885,-0.13511638424224445,-0.3955558339139622,-0.7032513775795374,0.6891289766408747,1.221839698263148,-0.29600760340522414,0.03515906037870421,1.7411622420718154,-0.19289710376957628,0.5154256853947725,-0.7871562844557515,0.43988414635095824,1.6810797093900343,2.1568489899129997,0.5708231736562318,-0.3214029222485103,0.20225978087680163,-0.233229068344019,-0.8367236396892249,-0.46833018718845176,0.8798485214472693,-0.8367969647612289,-0.04413591818367234,1.5419688881072011,0.8857822659397648,0.07456749189187163,1.4576129059103546,-0.7187735136670106,-0.1982741848813393,-0.7241122156228903,0.31954704636902964,-0.18112189125699452,0.6065661230966715,-0.5861729564811344,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.777404455271312,0.9771338680956163,1.6287201708397965,-0.7324545418406964,0.6703226732559828,-0.37156095488247465,0.030939932685810502,0.9875418860439534,0.0006267952656839542,-0.845652064579716,2.170942178395428,0.7032882367405254,1.0460450272507729,1.4353305093647586,-0.08737606934962737,2.1682208807797045,-0.8269206886393036,-0.9113747777032276,-0.8858643381056509,0.36611728776337293,-0.44961501627394507,-0.43991493639764384,0.29835394152441674,1.5502036363871254,-0.53140709085529,-0.13190756479274365,2.0967618944171535,0.1951135938548035,0.12581611851856564,0.6162921631342847,2.032499068174159,2.706514981805068,2.8043043388059963,0.5455241666444859,-0.8294919534732412,0.7518296918279702,-0.8481874870690143,0.4079912195723818,-0.4990074757813973,0.5785314872233444,-0.915824297628861,-0.01219307294287043,0.6747655177517772,0.0413165291314218,0.3104583380836929,-0.5683018791586874,-0.33826179106292537,-0.7452880684152653,-0.7835557695079748,1.6959402178273975,0.29428175640692444,-0.7589073590646288,0.6552993831852555,-0.7207299110933022,0.09639864077465503,-0.45814276637380663
SIDM00309,-0.055147137698300645,1.0570803897792147,1.7901311015560941,-0.7182120841501357,0.7255659061086115,-0.6464651978909358,-0.40888521815223566,0.7702231481874142,-0.2046267553936103,-0.8265444768270023,1.8527698353680302,1.4346878852123166,-0.6995769940651838,1.29693709399388,-0.5982155072109197,1.533801591408699,-0.8922157968847098,0.8184584104909084,-0.8931361428347291,-0.03539533274547862,-0.2912125403265399,-0.5673413731578653,0.627212806327107,1.256524659301111,-0.323607853268389,0.08900680572302652,1.551214464507327,-0.25196475949383634,0.5986800821643932,-0.7015432307637346,0.5778454292346422,1.4951173730900065,2.5090390498281514,0.6321035255310687,-0.04938563469555932,0.19821987316206793,-0.45733535483506715,-0.8541154838838494,-0.35404607635741997,1.0882773068400704,-0.9154112173388875,-0.07075364474348073,0.44635764588407606,0.38024200940746894,0.07713419241059723,1.750803738259115,-0.5719067588538529,-0.42172379788324077,-0.8089422745147886,0.9023372519923574,0.4332412209128918,-0.17559665686076906,-0.5018997117469767,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688
SIDM00099,0.23750660699476628,0.9480620406235725,1.494071599233494,-0.7354858332822525,1.1767266262913327,-0.6348634518518887,-0.5001415431231989,0.1845244708188344,-0.27999962201641565,0.034040901227907885,1.9070370050475083,1.2518102860044347,-0.2368158705433573,1.6865245406992782,-0.4747716843383623,1.4524860221399285,-0.8843414114120594,-0.931837632243215,-0.7942085530082222,-0.178519674526836,-0.2291313922542609,-0.5616008280392394,0.40582766185537367,1.2061207614674792,0.4590628778438762,-0.35470584222096785,1.5303667233180474,-0.32036710954354114,0.6202538847874911,-0.7347915157505426,0.4293951853404003,1.4286800173594663,2.8580368365656548,0.833796751022729,-0.4890676835513929,0.4272251428179874,-0.4229893801679411,-0.8097681129008282,-0.48127298654902717,1.0093641595797609,-0.8843866683165212,0.13366079755805624,0.6730085000785737,0.7562473018603573,0.007434448992897634,1.9893804939894844,-0.745840851085465,-0.2503047552254338,-0.7568017765522924,0.9772417205774084,0.2470462313405816,0.637288085933877,-0.60403659056009,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994
SIDM00276,-0.0659297637105213,0.5164845613433473,1.7359422087775975,-0.6767469723456758,0.6944907569106895,-0.5623393245781921,-0.2924928095826786,2.359358509829526,0.02324145318821019,-0.9211039188489438,1.8989063136795037,1.2834932020677752,-0.5354940406274883,1.5730502356630185,0.4225250613223542,2.019959361654287,-0.9064691751333078,-0.9780586855123078,-0.9063355718024719,-0.22945576373960963,0.11933883765264834,-0.5956790432627415,0.12627098334408426,1.9524905147513523,-0.5519477570600904,0.14335860824793964,1.9575623215250881,-0.3459103450949326,1.1105277507367421,-0.6869865589032614,-0.3630684917624366,1.5166522702960785,2.115272456379971,0.4636340472715856,-0.41397870405731296,0.3901472004011665,-0.6141638822406459,-0.8267639290855728,-0.576300583743626,1.1816656923996194,-0.9338558939234836,0.2185667859797125,0.6515748950888393,-0.6756932756296199,0.3319259955565263,1.110777565362061,-0.6488194164256283,-0.6224876156625813,-0.6892101952810716,0.4020237646019066,0.030209795559018312,0.8710764763498786,-0.5315367247175582,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777
SIDM00311,-0.03247697834325912,0.8036714917234041,1.8748582179638982,-0.6288587614808331,0.5447987316773143,-0.48426375364402674,-0.3966630128747586,-0.32972924288564437,0.03901809182694378,-0.8430178040505248,2.3545004931606432,1.179641852767542,-0.708166818049378,1.3593653195542226,-0.7453538371884136,1.8896826961927777,-0.8747400849392194,-0.9106583292843333,-0.9635648389914309,-0.1436366764423288,-0.04068572253821361,-0.6105409974472994,0.8941608847471052,1.5785594577365645,-0.27243689547260147,-0.2305903542709228,1.635529327971572,0.040551384762328224,0.29001810221540564,-0.4863196877432758,-0.7356217442499314,1.7807493777478833,2.967969496653463,0.6037743687259487,-0.4086980928180935,0.38729023043362193,-0.1820172728987065,-0.751888574666709,-0.41368099135544933,1.1499067182680816,-0.5198817307569171,0.15884163586295352,0.5102474431294666,1.589546652044746,0.08589945360217498,1.1408512642531226,-0.677359328236902,-0.19058832911240217,-0.6600650402872856,1.2324268605147033,-0.16744840637044256,0.4181114415184275,-0.5452007531527697,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473
SIDM00970,0.06815208203162508,0.3015782067203512,1.4270636782642596,-0.815932541780835,1.0032059249628758,-0.5277944143615223,-0.4391246171534488,2.660955712411418,-0.08777845381550912,-0.8504491830167896,1.9733316991102905,0.926248724312014,-0.6572160376244266,1.0350064504926018,0.16764458696924706,1.5480021660770813,-0.8121864155950902,-0.933656834904809,-0.8215899024573128,-0.0316694772888078,-0.10547988580351268,-0.32945864135872244,0.434859948864825,1.2890579677789475,-0.8508602838977936,-0.1859696791394609,1.7772022885091538,-0.05552264691939188,0.3293145122295789,-0.6940898776794232,-0.32136310886736985,2.047102764470724,2.8190670787098924,0.7419548768709279,-0.12257386523000707,0.8119872597350951,-0.3381827102566071,-0.8149726060877294,-0.6183407853938081,1.3507311932125972,-0.92501406628771,0.02339370108682473,0.8955143169693113,-0.8512368984207243,0.016143176077876336,2.0377973060067225,-0.4642723288066422,-0.7587748205084407,-0.5548906613917406,0.6516507787099076,0.07842511824996666,0.5060311676282623,-0.7197542934563707,-0.8051315465966639,0.024174200640533106,-0.3230373291454919
SIDM00103,0.11201949844336118,0.8192588864072707,1.3082075831557558,-0.6197089465928801,0.842042295483723,-0.6547348053640202,-0.2090993515041515,-0.032125129476878005,-0.4002499698683956,-0.8549719750111858,2.1714437596891183,1.506035085821319,-0.7906057127646986,1.7208696588265395,-0.3199136617291577,1.3916393884940752,-0.8166987833055024,-0.8509797027345565,-0.8731474380902831,0.1526785008488658,-0.06847722136698463,-0.5499446939252121,0.30031106169452504,1.5912580346491147,-0.24893693507670495,-0.20046928129675043,1.6238428467390442,-0.24337613375500355,0.80055510601947,-0.6853490195046105,0.6114375069754151,1.2461389920078365,2.9416310920056388,0.6115918772422926,-0.32664288476617903,0.3533626797819316,-0.3772898018700081,-0.8467818040121766,-0.4292891057591731,1.4511064022891142,-0.5062421095802307,0.05682964877522256,0.019609299068091418,-0.9434641191641483,0.0004835080749557808,1.692495608595488,-0.8018036490477344,-0.3875862553480194,-0.7350178460777061,0.8649885642906499,-0.012228360223561519,0.3591301167258249,-0.5742533021236681,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.18691646827734318,0.73891556292186,1.3713170794869043,0.6280601552957106,0.7998530910773893,-0.616650198628724,-0.6990848585241692,0.3569805085359631,-0.09193443216896079,-0.3384008476793809,2.908317900995055,0.8550364573565588,-0.6350362167598638,1.421884080467031,0.1151396341686013,1.3033679463501235,-0.7119304115667727,-0.31340754454275843,-0.9136282355655256,-0.2454207720614906,-0.3555052293772311,-0.5117967119573102,0.3124598235535927,1.6647147494627599,-0.8347357449295455,-0.46062109873695345,1.4884797745308012,-0.08529470905245536,0.43598438125523226,-0.7361585838228143,-0.7404523636994732,1.2716264406624573,2.4907638735127424,0.5948286514554698,-0.6945217951117894,0.5203234391390296,-0.8405057099482665,-0.8496389728152324,-0.5568467555927609,0.7427837498526729,-0.9904118690406757,-0.248028129252309,0.9111993007529532,-0.8121864030238835,-0.1599034263136676,2.5759797624614174,-0.5568906287862644,-0.3696895716185509,-0.8106171722612525,0.975240071825603,-0.33462897669646635,-0.6262685011515919,-0.6595534890448225,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085
SIDM01064,0.4878491632261718,1.136571207278792,1.7996347258029761,-0.717011708373275,1.1271093323880224,-0.32771605331394804,-0.13144169772188313,-0.7958088967322495,0.05294810681312053,-0.8129703626216489,1.1048692587293882,1.1711456279706722,0.9199401883339392,1.1257725690972324,-0.3823909016943919,1.9344409784512715,-0.8644551771523948,-0.8479826093456352,-0.8505520663803589,-0.051216720492121844,0.12561007301362406,-0.5099221426094163,0.3721451255392191,1.8509542624253292,-0.4457132286410602,-0.14944063715153091,1.7085587502100803,0.8910061640613753,1.0024155733741154,-0.7454782273242749,1.5054204402501614,2.224705986401305,2.881343173952386,0.8955226757344096,-0.7432987552748739,1.324784881453375,-0.4213881921332629,0.00999373611543667,-0.2614683980259644,0.8651038677438343,-0.86978302779941,0.054157544537158105,1.139741061167428,-0.6987463820588757,0.11853981156144153,-0.7509793774513629,-0.5222596854068073,-0.6416339521020705,-0.7234306663977669,1.6317312906782862,0.201441486318639,0.6435073925360169,0.5128280268281551,-0.7788569289509498,0.8846240816513324,-0.3221179351293593
