,AACS,PDHB,ALDH1B1,ACADS,PDHA1,ABAT,PDHA2,ALDH2,ACAT2,ACAT1,OXCT1,HADH,BDH1,HADHA,ACSM1,HMGCL,AKR1B10,ECHS1,ALDH9A1,GAD1,ALDH3A2,ACSM3,GAD2,ACSM4,HMGCS2,EHHADH,HMGCS1,ALDH7A1,ALDH5A1,BDH2,ACSM2A,ACSM5,L2HGDH
SIDM00519,-0.32474924487294504,2.3969787262500835,0.3268015394243121,-0.26918091795973564,2.0318384817801918,0.04010448816818238,-0.8791824657691152,1.5815824349005054,2.115628202017624,0.8010804861327718,-0.2955653367351108,1.2177984333023095,-0.43690750576172926,1.443053815955693,-0.7946393427715367,1.105218842733413,0.1916538219674236,2.13216477576516,1.7085690665840134,-0.34603594329631365,0.8409676884375483,-0.543638869607709,-0.9743958025023094,-0.7592014385738088,-0.6881149978942297,-0.6502875112869839,1.0853768018903363,-0.04734848633950823,0.7155242107180666,-0.6086988152666506,-0.8477884004123687,-0.8771325757869571,-0.673207740468158
SIDM00917,-0.3267203577773544,2.2927971273300978,0.16178218933883895,-0.3942493543024153,1.882185361736023,-0.7617938222712038,-0.7543959467432741,0.9875022302127456,2.328122615397938,0.571618518517897,0.9686611808302836,1.3994936900238482,0.5484582496044486,1.830688492678727,-0.6711450801774884,1.6197160479221753,-0.7270313707717493,1.96213778310516,1.3250852221660985,-0.7584036041928812,-0.5058578943192685,0.9127906256554122,-0.8644450153228179,-0.691503019380092,-0.7121309401864092,-0.7863668854579664,1.6203989088882842,-0.7657183485170751,0.0779088533826241,-0.6940616955260115,-0.8436770900678178,-0.8532132474705759,-0.3457520099632692
SIDM00309,-0.32470855878095206,2.776907285701644,0.9844704359577299,-0.16926223996746487,2.1637142305635044,-0.4113585497876831,-0.755176295644106,1.6300128197525552,2.1905855387733393,0.954784090973499,0.9381887269712612,1.2656898353677066,0.37825635332463103,1.4606726059453343,-0.8264984194991462,1.328902503271919,-0.5197058619876985,2.4958403760741907,1.8339944601095088,0.5781935862445545,1.4691261244116733,-0.4825899685476843,-0.8918326296997277,-0.7007349641434961,-0.7476333256616885,0.01654499889094244,1.5135285161549838,0.24218797152292582,1.2300222432980679,-0.4713110775200616,-0.8762420126069028,-0.8300606021229873,-0.562210963198924
SIDM00099,-0.49028544155861276,2.0318087289295415,-0.04974230606188002,-0.6531995205323884,1.8471939673329147,-0.6917474830066848,-0.6992779451105047,0.8255992518663462,1.6880244254139187,0.6708620725392492,0.43205841788941235,1.2544683191286632,-0.3760423643959119,1.6293688217924034,-0.7397071164155016,1.3568029868345022,0.0958393674307997,2.327041973803112,1.6297378894987773,-0.07897458795191185,0.832568243536906,-0.7506229295236757,-0.9150868201531409,-0.7043780834075863,-0.7021279910715764,-0.5978801841570528,0.5883104706813524,-0.22052098185750413,-0.10219738171835747,-0.6877224727206173,-0.801764882715669,-0.8827062259037266,-0.6681142967151694
SIDM00276,-0.09081349906889243,1.9614454106166586,0.2367673266587503,-0.471981143569662,2.0148901195140376,0.0585426557177478,-0.8020474984879744,0.903857136505525,2.631149885570977,0.6002457059117374,0.9098941376650702,1.4868981790754163,0.7472199818098542,1.4238177048177225,-0.6657063224150919,1.7469051243904419,3.088964833183504,2.246860824333088,1.3776031459929157,-0.16781939639631047,1.4218166096185478,-0.5589520282671405,-0.9077661115840937,-0.7525529408994526,-0.681701640348292,-0.33487278870734893,1.5819417510748317,-0.2715353348482606,0.47432540084824726,-0.7376833796753598,-0.8543401259213405,-0.8451796513128628,-0.00843895012791224
SIDM00311,-0.45187430140836143,2.653735006158347,0.5375278773673092,-0.5564517441064125,2.0168288479313285,-0.7756283680565433,-0.7536922757409688,-0.39572946679666754,2.2510934519976646,0.8141880733349468,0.6089008101683604,1.1739065687588905,-0.5452928654886522,1.475748643604438,-0.7120573902609124,1.1453847562155997,1.3562901811830086,2.1618695618340547,1.403225295754775,-0.5431207954389837,0.7039665427985154,-0.3382172163001905,-0.8894264826667805,-0.8136124831483088,-0.7532563228023135,-0.2301716100759706,1.065930438696799,0.37060933935053214,0.07036386768764326,-0.644676227755808,-0.8594237406591759,-0.8515639356800667,-0.3746366216810826
SIDM00970,-0.32523129632988806,2.1207296553149657,0.33591301963711573,-0.3794856573565409,1.8099129036270083,0.4731437425641687,-0.790118127264569,-0.7201920148016463,2.4488725160241955,0.31301983138880823,-0.034349067535169725,2.357603171885655,0.4044190423120417,1.596942190473998,-0.7767850520824295,1.8046219075679468,0.8279288908555509,2.6139217848980776,1.4491222181167558,-0.2791871913119201,1.0380871160648786,0.21826248956147767,-0.9212351900009538,-0.9332886683761462,1.4205250776208762,-0.042996307038224595,1.9712487729532104,-0.6490675668523387,0.6466101174392977,-0.5305485410906698,-0.9151943614694195,-0.9256143321204445,0.24942320191930994
SIDM00103,-0.44167525602418245,2.612542752847421,1.2594088871511915,-0.14572853298769117,1.8784509191795395,-0.46806993798936175,-0.7281922730313234,0.4389370103908405,1.6886143139599472,0.6755126127311989,0.6163432134749619,1.4209711079921135,-0.31706564960646944,1.6350494468922596,-0.6743641713300191,1.375194813966109,-0.8750090835170954,2.4335888331522795,1.9695101279538043,-0.38385892519082304,0.24834820655537557,-0.42207966789264534,-0.9443267995857301,-0.7077769427343239,-0.7334543196469033,-0.48274667227848644,0.6957593795915542,-0.2946678181916362,0.12027210396969457,-0.4835725353166905,-0.8032230220821223,-0.8109475770376868,-0.4818082438721439
SIDM00266,-0.5847453702345166,2.5532721832222443,-0.10244850770486642,-0.6673349547630905,2.0422445798988567,0.0176142577268035,-0.7584083288069189,1.6582370703601024,2.743270221112306,0.9519662327651953,0.7715632700096724,2.0115804561874238,0.08570127950521811,1.8039581052642732,-0.846699844272068,1.3852141441768715,-0.901746603370157,2.0199176879113447,1.8155206378386164,-0.7313544410521599,0.7871429610249502,-0.4290532385453966,-0.9124655952639844,-0.948516234013855,-0.7302150821396459,-0.625798980939283,2.543899214695082,1.1381351972950031,0.2099772622025186,-0.6323995244937387,-0.7427317410843374,-0.8550059491750125,0.21153561132163196
SIDM01064,-0.5092928542140572,2.3010533195696574,0.5992779551442026,-0.14817294395094072,1.59761976147336,-0.5813017675796824,-0.7963712359344854,-0.7301487036633993,2.004131513003939,0.7291323055269603,1.2268736054670117,1.8731302715930938,-0.5668642393593394,1.9793839725593319,-0.6727597850527589,1.23717951053693,-0.7373910479493582,1.8037023463312476,1.1305584264127977,-0.3734773597679325,0.4509594922089069,0.15022716827293153,-0.8722528493409409,-0.7114310619809727,-0.7492352739273409,-0.1848220692968016,1.061622329214519,-0.6808861758033511,0.2830053487302998,-0.5319397533767007,-0.7324556326771894,-0.6266167822140882,0.057093934388751974
