,ACOT4,BAAT,ELOVL5,ELOVL6,YOD1,ELOVL2,FADS1,FADS2,ACOX3,PECR,SCD5,SCD,ACAA1,HADHA,ACOT7,ACOX1,HSD17B12
SIDM00519,-0.6965704452355292,-0.8201261123722164,2.0931815693428875,-0.7685963040415874,1.2297769878979634,0.8832270415409819,2.1605753647613635,0.5679944652281944,0.2000336517211482,0.7551031868500088,-0.6502667497688438,2.0155606807403617,0.27295001943534053,1.443053815955693,1.19506077865282,0.7955803835811279,0.8432167123442724
SIDM00917,-0.6525189008077895,-0.8449836690834798,1.97578623240945,-0.2144567791059372,0.9521497770556276,-0.7353882021138926,1.7388650370347387,0.1716274194002879,0.9117217179509433,0.7900399609086339,-0.7702621800814872,1.5250138755994995,1.0313466394691266,1.830688492678727,1.0711453544047786,0.5932969580769787,1.3727611503604265
SIDM00309,-0.5017863759259922,-0.7712369127028784,1.960295108611965,-0.47372827446635385,1.2676136696865559,0.3571810287728111,1.8179795854954044,0.4379594824963152,0.8223741489603241,0.7184793035869687,-0.6405026446497432,1.891954865633965,0.9150009216813584,1.4606726059453343,0.9193041005202504,1.0412652561731683,1.495178136589714
SIDM00099,-0.8004798383349853,-0.7939980112949907,1.8495751446203854,-0.46314151137117865,1.4003386854781459,0.5340071881821697,1.7836704897571665,0.2510270982806781,0.13139396550341237,-0.03818935588182151,-0.6457729580799014,1.758808977372308,0.15403558111272542,1.6293688217924034,0.6991076499007876,0.5760785449418231,1.3294775804125718
SIDM00276,-0.32504773112918106,-0.8827955315729019,1.8413728343015392,0.41102483788103417,0.8303556266052374,-0.6083996428434514,2.37542355504843,0.6577331478813253,0.4873748875012283,0.7629284296124594,-0.48465851236877944,2.1782246048660947,1.0971796149917779,1.4238177048177225,1.2384199040067483,0.8818583283366955,1.0545989779379334
SIDM00311,-0.8226890679123049,-0.8809476116538619,1.9121697232723849,-0.2753841850075398,0.5063395756573091,0.4335366128328529,1.6298086549942736,-0.68131834023302,0.6757109989001546,0.10256281518549548,-0.7849220403544769,1.2799104262742445,0.8851307764353045,1.475748643604438,1.4374872676140764,0.5707895788630091,1.1675682961422336
SIDM00970,-0.3935238431300241,-0.875397932640701,1.3577997318892925,0.35088473500725875,1.2070731109060904,-0.8045173737145286,1.2098316124349067,-0.7253814115258522,1.2228649583433018,0.09013059096141797,-0.7785006434753181,1.74486392209863,1.5413686982450499,1.596942190473998,1.1958627923997636,2.238835985342139,0.9154362685892056
SIDM00103,-0.42431423522270895,-0.8184971891094295,1.6218321032588738,-0.16747488719420228,1.5306025899847293,0.19457066436050272,1.8276023191564934,-0.05073249883699191,0.587024874161586,0.4427912587396667,-0.6755563074486235,2.006733303203083,0.16713992144056,1.6350494468922596,1.1326237603590734,0.7703868763963414,1.479333850581238
SIDM00266,-0.7239876893926108,-0.8776623930127113,1.7157293929995783,0.12022779006809134,1.385260950353638,-0.6183544349534326,2.984735404953553,0.8769538789201222,0.40137750962147245,1.5646818371908289,-0.6609060987591406,2.8240447080181212,0.015587255642535174,1.8039581052642732,1.2853389741369554,0.4830413637200103,1.6680014261972387
SIDM01064,-0.20658002729730662,-0.856570146195206,1.7803686938041503,-0.25210831414764506,0.7863351296737952,-0.871771457271771,0.42017182258979674,-0.7128438696895079,0.12396531115215077,0.5146118639983626,-0.7000482452014969,1.1511533736357986,0.5648570228804345,1.9793839725593319,1.5467413650323432,0.19952751856608275,0.6851108643247685
SIDM00098,-0.8541578789876386,-0.8561744578800268,2.4660706413703757,-0.18830551516322486,-0.3835160981073275,-0.224617782679529,2.307854845461743,0.8107902289160686,0.4958345411509036,-0.019735116985416253,-0.49436422349246245,2.110448577363878,0.6296032498832176,1.4145889953887472,1.567469733370077,0.6858611262462746,1.0664169558993717
SIDM00225,-0.8919264051900362,-0.9393382216405459,1.9940018089846678,-0.5099327677933598,0.7360706100125732,0.23258442258387022,1.815640172214102,-0.19619764099367545,0.17429722485183646,1.0093415418859115,-0.7416503237039526,2.1376248314271447,0.5431400463558087,1.744132655698531,1.5648257671178727,0.38840872198915954,1.3283810537927285
SIDM00846,-0.19086315636210396,-0.8278441961788279,1.7976844392406188,-0.1654064782535467,1.1425349582655056,-0.7507096579911083,2.7217499666264473,0.388501488971388,0.39508763340366,0.7022068170258788,-0.6254011500737942,2.112572368656235,0.5936171210906133,1.7933397343280884,1.1172860172551626,0.4821008760247954,0.7796156256499805
SIDM00291,-0.7870586105914701,-0.858007446158582,1.4712754133795316,0.2417589506893042,0.7603712807403198,-0.7927240218893797,1.929432877060531,-0.6973034181134238,0.9170258459183124,1.1717678559725562,-0.6291063199129665,2.403087285350496,0.9125134673218819,1.9683463541445982,1.8451112178566758,1.1256640454504037,0.4580180403229931
SIDM00520,-0.9342417941801716,-0.8479149679264334,1.3426871900253705,-0.25724302071893895,1.2689311810792896,0.12830811023422548,1.8619997259749679,-0.06022229709666717,0.42090141636428374,-0.03269166055212354,-0.8268215619830445,0.8829126835826975,0.6113373166931009,1.2229672427563112,1.177512939624973,0.5540574203966168,1.3378334346815632
SIDM00003,-0.7826742662330639,-0.8480338951346746,1.4761684648312225,-0.25060904588846916,0.8522603718312147,0.1677126594131396,1.0455081121018337,-0.6137005487158581,0.4202760350625777,0.6323622306683765,-0.7295288990922372,1.743138127261527,0.8560591084664283,1.6148288087086375,2.0821908066897543,0.5655941678358075,1.3062902418755509
SIDM00136,-0.4155563189294108,-0.6947358373145922,-1.1271917156314761,-0.18950552795043613,1.015180219079051,-0.7782720558274933,-0.29458057214716765,-0.7096386790832846,0.6900198102725345,1.2686742890803757,-0.7954120792763885,2.3193935650584336,0.9120584969508424,1.5081411729217236,0.6952456097340806,1.0691812233834814,1.5567318195465205
SIDM01155,-0.8179158934954436,-0.842942381950179,1.956606426038332,0.4732739442052372,0.6615226723982854,-0.041434337692741324,1.6010037187194188,0.34318090498957077,1.015594742289794,0.5657320409272942,-0.705962218414668,1.9200489795363689,0.765987825001906,1.7005575839805833,1.7959628551047124,0.7784313681033835,1.297127819509687
SIDM00224,-0.8366764835901332,-0.8067162334193448,2.1060633109609723,-0.5567605591177744,0.5114985235215034,0.28752577866705087,1.880297518435577,-0.047903103203606114,-0.3965263184752181,-0.09423254503274871,-0.5257894450140879,2.2878834884709334,0.7364433331576433,1.4265385951055356,1.1639748447650078,0.9717944616101126,1.2198447129494363
SIDM00783,-0.861660721803268,-0.8838577791885268,1.5238409801639305,0.21253962325185038,1.1273579248408019,-0.7510537084713664,1.19736574865804,-0.648760529733933,0.5438524414778594,0.4635955954204656,-0.6756017158127969,1.8178326961772997,0.5019890836400999,1.5429985323234416,1.2640612532749658,1.0778562403780885,1.1235960457014438
SIDM00490,-0.8240726154416598,-0.8624632926878588,1.2347235425363774,-0.32950973771296893,0.5601963803457718,-0.8869765969441598,1.5458335649681163,-0.5555847260222887,1.0085503372181908,0.5508240127901963,-0.6581547484985651,1.3948238329029463,0.5739970180627385,1.5780229728777293,1.341020376090265,0.8165639447540882,0.5061121288163274
SIDM01090,-0.744694550145052,-0.8344883262540161,-1.1026809461120815,0.28955507822805354,1.1401825372477155,-0.6857264932821437,-0.4539866498926302,-0.6614343311630572,1.2368345741209947,0.22554625440977083,-0.41704042122475266,1.445350535425271,0.5389373596718686,1.892775957095052,1.3996172075229107,0.7198258754775253,1.5220620307511445
