,TSC2,IGF1,RPS6KA6,MTOR,EIF4B,EIF4E,EIF4EBP1,RICTOR,PGF,ULK1,RHEB,BRAF,PDPK1,RPTOR,AKT1,AKT2,RPS6KA2,RPS6KA3,RPS6KB1,MLST8,AKT3,RPS6KB2,TSC1,ULK2,CAB39,MAPK3,CAB39L,RPS6,MAPK1,RPS6KA1,PIK3R5,ULK3,EIF4E1B,STK11,EIF4E2,VEGFA,PRKAA2,VEGFC,PRKAA1,VEGFB,PIK3R3,DDIT4,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2
SIDM00519,-0.40031723297811184,-0.8069700227069544,-0.6265032999048307,-0.22371018627477357,1.836710508118027,-0.8198824720562281,2.0313432249463306,0.27553209374632925,-0.1316333253317547,-0.2887355734437961,1.08522147116545,-0.5413997596560421,1.2480937511442078,-0.6770386014227895,-0.3955558339139622,-0.7032513775795374,0.3671086038404896,1.9030355642735475,0.6891289766408747,0.744316455710606,-0.29600760340522414,0.03515906037870421,0.1155680037934311,0.5075284235756575,0.7384948683331464,0.5154256853947725,-0.28824751871787857,3.4868903920920964,0.20225978087680163,-0.2309502108713907,-0.8367236396892249,-0.42673578040842736,-0.7060432310036802,0.2095692835931396,0.5576444171661096,-0.28184129782331313,-0.6675840276501216,1.161676301362987,-0.27933054517075334,1.8715694589559007,-0.7187735136670106,1.8095050145267286,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714
SIDM00917,-0.4028097823605014,-0.7610539101750744,-0.4618557538954975,0.0006267952656839542,1.763816751727976,-0.758993243029447,2.170942178395428,0.436256472796858,-0.09672882938308264,-0.11039672487973685,-0.3446197161427619,-0.08737606934962737,1.1117795845019818,-0.8203538181901907,-0.44961501627394507,-0.43991493639764384,-0.8424505142219189,0.8139088599922194,0.29835394152441674,0.7369996639720601,-0.53140709085529,-0.13190756479274365,0.08358282547740908,-0.6414440448592466,0.7275934979435563,0.12581611851856564,-0.5475651007930201,3.678472239013959,0.7518296918279702,0.9343583059768635,0.4079912195723818,-0.4750935774148386,-0.8706157279156824,0.3858115266392475,0.472304807401857,0.6749611130665547,-0.8058248723213525,-0.5440472617887283,-0.3356137034329139,1.5947474958848789,-0.33826179106292537,2.991671167761621,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.7207299110933022,0.09639864077465503,-0.45814276637380663
SIDM00309,-0.36307541778909463,-0.8123720685046184,-0.8893726144012618,-0.2046267553936103,1.317445457465586,-0.801526728830621,1.8527698353680302,0.06915376159117405,-0.7376653580839087,-0.34772712044387866,1.0871994664016091,-0.5982155072109197,1.0417012936541494,-0.7044219930398913,-0.2912125403265399,-0.5673413731578653,-0.3961075809183811,1.6740140653320976,0.627212806327107,0.9053743080676303,-0.323607853268389,0.08900680572302652,-0.28618514271325185,0.4733919892868796,0.2549425323140134,0.5986800821643932,-0.49456548460367855,3.2317994780669097,0.19821987316206793,0.1525414500869207,-0.8541154838838494,-0.4864465356444099,-0.8256115895592715,0.32459923228366,0.39885912600171797,-0.2781246700638339,-0.3270748791955065,2.061413170785068,-0.3390231429193135,1.6661583490903769,-0.5719067588538529,1.0086197779921346,0.9023372519923574,0.4332412209128918,-0.5018997117469767,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688
SIDM00099,-0.27636856367964546,-0.8420840144334021,-0.8596776765958183,-0.27999962201641565,2.163669884962536,-0.6925178284027477,1.9070370050475083,0.11946389766655471,-0.7525229775462875,-0.1633998171866841,0.8120971673360026,-0.4747716843383623,0.9734616798497266,-0.6814016411590408,-0.2291313922542609,-0.5616008280392394,0.5461649969927554,1.123279266281021,0.40582766185537367,0.7832008199375174,0.4590628778438762,-0.35470584222096785,0.3252363732484674,0.44581663993328347,0.4758203276594202,0.6202538847874911,-0.4290182040391234,3.5193465661556367,0.4272251428179874,-0.5494898051998036,-0.8097681129008282,-0.49506150755144795,-0.8224122199477153,0.08801391282051436,0.5219317532678371,0.4060440274154541,-0.43641158513789957,1.437593744063728,-0.17406254146970138,1.7200583868663775,-0.745840851085465,2.258098740628463,0.9772417205774084,0.2470462313405816,-0.60403659056009,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994
SIDM00276,-0.42514070220823214,-0.8100300141193602,-0.37843851411481927,0.02324145318821019,1.5800980411343786,-0.8280277550407317,1.8989063136795037,-0.02430725566112851,-0.6618289046515804,-0.07551987190100021,0.9671634175088114,0.4225250613223542,0.833516480644265,-0.7013190066165045,0.11933883765264834,-0.5956790432627415,0.5645127919877357,1.4255143565548307,0.12627098334408426,0.5994639254504817,-0.5519477570600904,0.14335860824793964,-0.10197142016614358,-0.38801817999040195,0.7518669303816574,1.1105277507367421,-0.3815669313364208,3.3149027185374966,0.3901472004011665,0.5398964791057,-0.8267639290855728,-0.6483192071870577,-0.8512592969078415,0.1428180159749062,0.5597325556426138,0.04423901097012558,-0.35750665213871724,1.4320876928010258,-0.09503180392762578,1.781872273037921,-0.6488194164256283,1.9475496297413621,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777
SIDM00311,-0.5299517534330968,-0.8127392125710633,-0.5817542038391551,0.03901809182694378,1.5862594436694561,-0.6818106317264593,2.3545004931606432,0.004551908640658947,-0.7172416337410076,-0.4676384194740981,0.7488938525581541,-0.7453538371884136,0.9924763886210323,-0.6853891090001963,-0.04068572253821361,-0.6105409974472994,0.11842218249655319,1.3898298874174204,0.8941608847471052,0.4351197554572776,-0.27243689547260147,-0.2305903542709228,-0.054850137739118544,-0.665939618482909,0.4724621835232074,0.29001810221540564,-0.6131350947015304,3.570569685510728,0.38729023043362193,-0.4214738375191723,-0.751888574666709,-0.6009626061206741,-0.9385919003162659,0.08271306284222527,0.4741554731495033,0.5132953485645706,-0.6629143808157649,2.338757694612015,-0.19102290521584547,1.7098473332189854,-0.677359328236902,1.6581793636052777,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473
SIDM00970,-0.5651633648478575,-0.7702518987849236,-0.7198589289787303,-0.08777845381550912,1.3841652647516163,-0.800062477699909,1.9733316991102905,-0.06583057741157401,-0.5256549411600988,-0.4222291461398262,0.6239690125884663,0.16764458696924706,1.2089254783997123,-0.7089923618538777,-0.10547988580351268,-0.32945864135872244,-0.8375776316612893,1.0909825668078816,0.434859948864825,0.39731317064449384,-0.8508602838977936,-0.1859696791394609,-0.22439632557894418,-0.808760040380536,0.6361786046303513,0.3293145122295789,1.2094555466671053,3.465950788857911,0.8119872597350951,0.529962347670253,-0.8149726060877294,-0.5593631758771457,-0.8810281399801057,-0.0419643026014374,0.7002272283514848,-0.0411071918593983,-0.7912535894730398,0.18932458388962015,-0.24425768572681933,1.1479066050809417,-0.4642723288066422,2.0121659378147436,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.8051315465966639,0.024174200640533106,-0.3230373291454919
SIDM00103,-0.14481905535678793,-0.7969174172790026,-0.8027069733153116,-0.4002499698683956,1.9208322886207343,-0.7721275556480147,2.1714437596891183,0.1211030526110586,-0.8503776194424709,-0.3381908808974071,0.8834526519297663,-0.3199136617291577,0.9419679025363212,-0.7423414762090045,-0.06847722136698463,-0.5499446939252121,1.2684603535515762,1.1603063175351556,0.30031106169452504,0.5996508635542493,-0.24893693507670495,-0.20046928129675043,0.1827886088494549,-0.17546055241049244,0.7174148550830338,0.80055510601947,-0.04698636657052676,3.678689352250557,0.3533626797819316,-0.627439849722841,-0.8467818040121766,-0.6427174411092674,-0.7187357149197191,-0.01811662329796476,0.3680175522200207,0.2546381519071807,-0.8245646930413032,1.9927127214703348,-0.3951590475236151,2.187522886063633,-0.8018036490477344,2.350225652329247,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122
SIDM00266,-0.2827333452942677,0.3009426408206368,-1.053139858322276,-0.09193443216896079,1.8781815363633334,-0.6326368079501403,2.908317900995055,-0.20207960871730976,0.19499029302853177,-0.37002157673890423,0.3395027861323814,0.1151396341686013,0.6750494982901337,-0.7594224227057867,-0.3555052293772311,-0.5117967119573102,0.22311205420569463,1.067421149161405,0.3124598235535927,0.9750729578718687,-0.8347357449295455,-0.46062109873695345,0.06642249948290792,-0.5549498045113112,0.3017283256840447,0.43598438125523226,-0.3894944706976355,3.709292154612476,0.5203234391390296,-0.5996036741030542,-0.8496389728152324,-0.4433224510465577,-0.8852339203025038,-0.08742689291352694,0.39958562649248974,0.48453409065528474,-0.6429799528274376,-0.7177109417741888,-0.433540571841085,1.4581978107912916,-0.5568906287862644,2.715094252717685,0.975240071825603,-0.33462897669646635,-0.6595534890448225,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085
SIDM01064,-0.4379508537130851,1.0895075749060357,-0.9039246494106622,0.05294810681312053,1.7499359336907054,-0.6296199373037088,1.1048692587293882,0.14958978176934618,-0.6112167123833706,-0.5646014268732705,0.05402054023118915,-0.3823909016943919,1.5397970858077232,-0.8325130265550792,0.12561007301362406,-0.5099221426094163,-0.4729021756941233,1.0964490036293941,0.3721451255392191,0.6030894388011987,-0.4457132286410602,-0.14944063715153091,-0.13502512261475244,-0.2784994304972675,1.109854737781099,1.0024155733741154,-0.48806130821624255,3.6546712438767335,1.324784881453375,0.5824353889962777,0.00999373611543667,-0.32579970462023355,-0.8582325569329887,0.3700465191274481,0.20159432281825668,-0.38390439931453113,-0.7578736138716626,-0.7406362445139985,0.17199441797815895,1.2272982263286853,-0.5222596854068073,2.409223506504339,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.7788569289509498,0.8846240816513324,-0.3221179351293593
