,CNDP1,SRM,ECHS1,ALDH9A1,ALDH3A2,GAD1,GAD2,AOC2,ALDH1B1,HIBCH,ABAT,EHHADH,ALDH2,ACADM,UPB1,ALDH7A1,AOC3,DPYD,HADHA,SMS
SIDM00519,-0.8934169323691848,1.265043644054707,2.13216477576516,1.7085690665840134,0.8409676884375483,-0.34603594329631365,-0.9743958025023094,-0.6773595835182094,0.3268015394243121,1.271279222263452,0.04010448816818238,-0.6502875112869839,1.5815824349005054,0.5307946195844402,-0.7669496259668004,-0.04734848633950823,-0.7354788920999459,-0.20272243541398352,1.443053815955693,-0.8339410542407065
SIDM00917,-0.8824869454768282,1.2401493367534466,1.96213778310516,1.3250852221660985,-0.5058578943192685,-0.7584036041928812,-0.8644450153228179,-0.5914750527795075,0.16178218933883895,0.4382505518502202,-0.7617938222712038,-0.7863668854579664,0.9875022302127456,1.3090953802334417,2.1030302395705887,-0.7657183485170751,-0.6975652984371609,-0.0466241400943333,1.830688492678727,-0.7829008177999752
SIDM00309,-0.8931339676717768,1.4933181693206452,2.4958403760741907,1.8339944601095088,1.4691261244116733,0.5781935862445545,-0.8918326296997277,-0.7720325925128061,0.9844704359577299,1.1897352854468255,-0.4113585497876831,0.01654499889094244,1.6300128197525552,1.1520040286868687,1.0921164828975323,0.24218797152292582,-0.8667008081021658,-0.03676677499295203,1.4606726059453343,-0.7279045379574769
SIDM00099,-0.8391136470635183,1.4689708733197107,2.327041973803112,1.6297378894987773,0.832568243536906,-0.07897458795191185,-0.9150868201531409,-0.45671952384070974,-0.04974230606188002,0.5087650520680388,-0.6917474830066848,-0.5978801841570528,0.8255992518663462,0.9805136105405677,-0.7914102963709965,-0.22052098185750413,-0.6061372755720383,-0.2159444116748704,1.6293688217924034,-0.7285946436823303
SIDM00276,-0.9329883400542486,1.6302237468058887,2.246860824333088,1.3776031459929157,1.4218166096185478,-0.16781939639631047,-0.9077661115840937,-0.7487076210693027,0.2367673266587503,0.6024649524657032,0.0585426557177478,-0.33487278870734893,0.903857136505525,0.6487703604951425,-0.6904394737466383,-0.2715353348482606,-0.841172276725411,-0.6660949011668378,1.4238177048177225,-0.8133339904605756
SIDM00311,-0.9059521360508885,2.019113746757003,2.1618695618340547,1.403225295754775,0.7039665427985154,-0.5431207954389837,-0.8894264826667805,-0.5541310167986698,0.5375278773673092,0.8682538974967949,-0.7756283680565433,-0.2301716100759706,-0.39572946679666754,0.7419550113048103,-0.7515875488341446,0.37060933935053214,-0.7102294450579798,0.26361371541625905,1.475748643604438,-0.8243050477368966
SIDM00970,-0.8182469432000304,1.6828886966493928,2.6139217848980776,1.4491222181167558,1.0380871160648786,-0.2791871913119201,-0.9212351900009538,-0.43205282993818717,0.33591301963711573,1.3710169530704466,0.4731437425641687,-0.042996307038224595,-0.7201920148016463,1.3854808618610146,-0.8157864876357291,-0.6490675668523387,-0.7224096813055845,-0.761816435696296,1.596942190473998,-0.8954558190393963
SIDM00103,-0.9127244525228663,1.6311875056487737,2.4335888331522795,1.9695101279538043,0.24834820655537557,-0.38385892519082304,-0.9443267995857301,-0.8073253969699441,1.2594088871511915,0.8996505911671071,-0.46806993798936175,-0.48274667227848644,0.4389370103908405,0.787759274957548,-0.8314554961319434,-0.2946678181916362,-0.7919031605883169,-0.24849769124605026,1.6350494468922596,-0.6303944617303543
SIDM00266,-0.9400547168168991,1.9435217453244567,2.0199176879113447,1.8155206378386164,0.7871429610249502,-0.7313544410521599,-0.9124655952639844,-0.5410783409292869,-0.10244850770486642,1.404516449672576,0.0176142577268035,-0.625798980939283,1.6582370703601024,0.8013014313342747,-0.7189426757606951,1.1381351972950031,-0.6095028945112159,-0.644675296341873,1.8039581052642732,-0.7862531755837845
SIDM01064,-0.8257300370020454,1.934369961966477,1.8037023463312476,1.1305584264127977,0.4509594922089069,-0.3734773597679325,-0.8722528493409409,-0.4723041408467074,0.5992779551442026,1.7336507530244505,-0.5813017675796824,-0.1848220692968016,-0.7301487036633993,1.4913564051131514,-0.8035764446943288,-0.6808861758033511,-0.7306659830970589,-0.31166913404605656,1.9793839725593319,-0.8536832036649854
SIDM00098,-0.9377276549151252,1.8181188330405933,2.3216922664753876,0.9842510271287487,1.623593964827056,-0.4790961111595918,-0.8892271296168526,-0.7489258586637118,-0.06635347209409072,0.8725871220312795,-0.6964909856979421,-0.6594912139479627,0.5761811551435289,0.8397913384690703,-0.7939806216588853,-0.6527187853564729,-0.6471935071225929,-0.5188760646735386,1.4145889953887472,-0.617637359651049
SIDM00225,-0.8462174578180668,1.7828843546130833,1.9408470784160685,1.358500960488616,0.6221571316640836,-0.06669316510104108,-0.9181196497991891,-0.7860607828238685,-0.29563665618370144,1.0260586373812361,-0.7133275340787619,-0.5500139180266984,0.6713468761532514,1.0339463662314523,-0.8089184944774077,0.4686842488259858,-0.7778626038964874,0.25327727843246195,1.744132655698531,-0.6901973962586868
SIDM00846,-0.9164891165554971,2.0487074822314586,2.1703975565330142,1.440411745512638,1.6678620989330197,-0.5652376962845864,-0.8868535480891232,-0.8568162169361713,0.9238200134030584,0.9445013397084117,-0.6486932617006653,-0.713581891418147,1.3828682917205475,1.1850092655279596,-0.8168319297647656,0.25370049956775415,-0.727276756385405,-0.2696455129642617,1.7933397343280884,-0.81792805652805
SIDM00291,-0.9727062366531477,2.1025469596333135,1.7464980101795977,1.4981781380878465,1.0927225743085471,-0.130756033266215,-0.954769292840023,-0.5665678998269503,-0.5544699149988913,1.2284549597871754,-0.5478649910056982,-0.385602950240719,-0.6241745926626697,1.247136996183335,-0.7956440820568634,-0.8931123829889631,-0.7325926254494937,-0.5654145946440077,1.9683463541445982,-0.7172207206336321
SIDM00520,-0.8875494265901993,1.642700529109468,2.2074329307967124,1.5467747697618395,0.7462904789140488,-0.05382291936633478,-0.946191190764725,-0.7495554425653194,0.5023747738009452,1.1028723049508826,-0.3796976635906945,-0.7152751052481235,0.07089782903247402,0.8270415848840162,-0.8750770719724552,-0.10892524641018639,-0.6739286819027142,0.48618756895917703,1.2229672427563112,-0.540202804151995
SIDM00003,-0.8257079675696559,2.3490871765918606,2.291831323500719,1.6329414801558872,0.5184369272940491,-0.37947258454717137,-0.906348270024369,-0.6358609584303772,0.11832669998126902,1.4634240919642707,-0.8580668110232103,-0.3755625321172625,-0.5802939162625425,1.2111098965547133,-0.7673693854009398,0.076245773004792,-0.7782556816577889,-0.46230410509509445,1.6148288087086375,-0.8068098722420226
SIDM00136,-0.8179898350670056,1.3232878984684755,2.580374198376094,1.270565541827003,1.0299903053124788,-0.1039091541163515,-0.9060788584472268,-0.6735563407342663,-0.09067014027885144,1.1903574008043625,-0.7455855882742087,-0.6664560789211471,2.091804710886594,0.7472664279163761,-0.7841063653690016,-0.13099561485533465,-0.7010872518487627,-0.48892983186321265,1.5081411729217236,-0.776662618770222
SIDM01155,-0.9096364131003924,2.1293700626220007,2.226684835190409,1.4437894610824373,0.6540576746787307,-0.785642781231814,-0.8216176167000384,-0.759539670996558,0.3862317577085262,1.0397781716246923,-0.8573668147752413,-0.5989507692700381,1.22532486885538,0.8114130061097966,-0.7969556522441075,0.03275265004302767,-0.8330460737671745,0.048647699078475506,1.7005575839805833,-0.7526499990168111
SIDM00224,-0.8853635176136051,1.7591507267794235,1.9813489198427898,1.119431220249174,1.1905462745550288,-0.49400240760408276,-0.880329817759466,-0.6065120901223306,0.23703793295840178,1.0636585033073118,-0.6974060060952568,-0.5687115514756441,1.1887490563019467,1.0500855177135067,-0.7014967448662955,0.11194085454775134,-0.7166915821194446,-0.2676256150494923,1.4265385951055356,-0.776272152174535
SIDM00783,-0.9283984003108937,1.683203366127958,1.6656368065658889,1.432951384785273,1.2339173120992784,-0.10010230100024739,-0.9078444865486891,-0.5061579188211525,0.38661856569196,0.9585255708606782,-0.43790767743329756,-0.36918030985873446,1.3148256444323754,1.1287843563048603,-0.6048593888073803,0.07734890988346849,-0.6343635140299478,-0.7123426803514757,1.5429985323234416,-0.8801952068393054
SIDM00490,-0.9304432769899919,1.722951282336912,2.102108517584057,1.5154199800099963,2.43193631352906,-0.4364731439517151,-0.9401429556338469,-0.7911046031371257,0.1591477396533475,1.2096307043945869,-0.6851931510455604,-0.7891142946779963,1.3568513696617832,0.9665623862783058,-0.770423550496965,-0.1052216491724092,-0.7380258611563876,0.06859622381984141,1.5780229728777293,-0.7795310835940867
SIDM01090,-0.8438955480176042,2.0665146993765102,2.254723274556593,1.3844022272129906,0.37259356332460114,0.03303098896904819,-0.8588853944040088,-0.6376045696524448,0.6802870800932579,0.44255921752317817,-0.09691793099782552,-0.6933882296744525,1.5764706660122638,0.9155551752424685,-0.7450515813593555,-0.283149644139446,-0.7649413651133081,-0.8477330517334649,1.892775957095052,-0.8516469660546143
SIDM00394,-0.9494691769483914,1.5668143967385582,1.9129001583781668,1.1611121660365775,1.0614498693316332,-0.10953973651703486,-0.9451159616371738,-0.5920619803424475,-0.17673551723721506,1.0615033675053733,-0.8354135853985211,-0.1773947779416535,0.8166556096108479,0.6523905848354077,-0.7886777335699127,0.3496047494437112,-0.8110641942269522,-0.6795414090796239,1.368755026018358,-0.8530950123153743
SIDM00538,-0.9103339720788554,1.468680225619183,2.27304182521128,1.2533845382928603,1.7418214331933886,-0.6363141176828502,-0.8003212163975114,-0.031084026266488724,-0.38753506820127814,0.41392957675332054,-0.6487840700789488,-0.15677308298357714,2.113475949016514,0.7218006736683623,-0.835593060069131,-0.38158455755844334,-0.04285858148054898,0.29335304273705204,1.859743035283981,-0.9178553751480719
SIDM01140,-0.9119766928111771,2.037950270991945,2.2003655056839286,1.6261522822882362,0.6526124427842548,-0.20203879450851878,-0.9180480058573002,-0.7922299854467073,0.5362616078317186,1.4018511468419284,-0.22797169741963422,-0.4639808721708419,1.6280540186865768,1.2411112571374943,-0.7532191133816455,0.7222588267945949,-0.7180693878637014,-0.5577917240221648,1.6158956131729367,-0.7431331435009901
