,ENGASE,GLB1,MANBA,MAN2B1,NEU4,NEU2,NEU1,FUCA1,FUCA2,AGA,MAN2C1,MAN2B2,NEU3,HEXB
SIDM00519,-0.4354035987495086,1.6752053816951888,0.367697422482445,0.3812318634163297,-0.4651123263894298,-0.4847627741784776,2.393347505668139,0.9920293208868706,1.7765518453393314,0.6644727501787974,-0.24796380187767472,-0.33356772090567144,-0.8182433224718852,2.9666386345170626
SIDM00917,-0.4222323559417403,1.718281251049374,0.975949500221554,0.8789297266894569,-0.2587834510915772,-0.6625270847015222,1.7943889237300228,1.6669313891432815,0.9369883758559729,1.2111934541173377,0.09938046365159524,-0.23928736923963576,-0.756350388513821,2.0502039312738103
SIDM00309,-0.5583116904666069,2.015947495909379,0.27229469660488886,0.40639171931624635,-0.4452528844863782,-0.5454390464533974,2.271923420299915,1.4271634699624225,1.740942469748061,0.9694606169076843,-0.15685451806401826,0.16418831651955773,-0.8076314575432678,2.551099684632923
SIDM00099,-0.6054993171224554,2.1315244285947155,0.22044741788063613,0.4239890551705105,-0.4172876157406758,-0.664888491473701,1.5321099819516868,0.28023668529702483,1.6248366505899472,-0.37552199806418407,0.03573483036716313,-0.28072561205776303,-0.7418248837257705,2.607453557214673
SIDM00276,-0.5374161429774692,1.5121758071734541,0.5314253121323187,0.25414701256321987,-0.4998202066878157,-0.6027094298006286,2.36207400431113,1.358273630159186,2.104690823000288,0.9594661157946898,-0.13621788441486826,-0.26006572718071536,-0.8288614501287506,2.3296042686510585
SIDM00311,-0.45527482727128993,1.9994451970580627,0.6792005889169453,-0.024214040785443706,-0.5646669414871395,-0.6236913705144874,1.7909940388127852,1.0775442625645666,1.8110651203854884,0.6901918613834421,-0.31886922919327926,-0.27699163534312754,-0.824031108223632,2.683327266669489
SIDM00970,-0.48425514382645685,1.6679272554772433,0.596789334442471,0.08073674913074105,-0.540978248179517,-0.6909808557896158,0.8909399810509051,2.0822410735368004,1.3199235027125837,0.5079404929790631,-0.3653519595119031,-0.06738666816340384,-0.8654036198887013,1.7104474490255577
SIDM00103,-0.558089821739,1.5419966569361414,0.2907739356152392,0.4996608175668159,-0.3442037827088978,-0.6641962718514723,1.7591035089427938,0.5110357730890883,1.791687145080222,1.1933471158280466,0.08243668471573214,-0.08924719583738643,-0.7479888058602321,2.699360565859833
SIDM00266,-0.6334484571278599,1.5103851422036285,0.3946800064620193,0.2733826263756168,-0.2963173253948686,-0.8332458881678341,1.6441918507937463,1.0154109267871458,-0.764524940018797,0.9304686200949198,-0.01978029275722627,-0.3585402051058951,-0.7634202700802952,2.1770014275720135
SIDM01064,-0.7409882336396091,1.900677309127898,0.8535640336642606,0.3994415825047339,-0.33418077573379645,-0.5519350686662091,0.9665417016583816,0.9618693435027796,1.7673520621229644,1.0768899723340268,-0.04230959426216563,-0.19668768469557676,-0.7553494044310098,2.2254115848582146
SIDM00098,-0.5439534572526746,2.015664790972788,0.37461958174667953,0.03447900052610638,-0.44954544106566985,-0.6496896782479581,2.3878226453383813,0.30856973067513177,1.833801449405928,0.013217019039210895,-0.31950167936096713,0.0682147545817648,-0.8262446566868441,2.7826945251250796
SIDM00225,-0.6681455731470135,1.5843883858823948,0.1910656596844912,0.11465880175004842,-0.3691535594875193,-0.6593929816914156,1.3894426342121833,1.3968369804282752,1.1068754090838422,1.093234973777701,-0.010707168825489591,-0.4260112606718065,-0.8332301702403903,2.3632054885870404
SIDM00846,-0.5453356280729066,2.027104596637837,0.9572691518645039,-0.2215922235356924,-0.48755005949065877,-0.6272648032234476,1.0450570047919394,0.7828180220647577,1.8079469429286146,0.6237991207006185,0.03841728047355922,-0.2578640233759758,-0.8004044176066496,2.7032567818681654
