,POLR2G,POLR2E,POLR2F,POLR1C,POLR2I,POLR2J,POLR3D,POLR1D,POLR3K,POLR3GL,POLR1B,POLR2K,POLR2L,POLR3H,POLR1A,POLR3C,POLR2B,POLR3A,POLR3G,POLR3B,POLR2A,POLR3F,POLR2D,POLR2C
SIDM00519,1.8906952210369108,1.2005002895060253,-0.007347476623409865,0.6790808608069018,2.55885393368624,2.2937803682632976,-0.1527775026127179,1.4600356879649752,-0.026576883823091195,1.1829116330673017,0.7208996957114346,2.150177868084231,1.9867909357922093,0.3316796818063683,-0.5468917192803847,1.304827088788627,2.411422573341514,-0.4400322483174975,-1.024849104348354,1.0024791178529426,-0.04189753248909167,0.4485762863878174,0.29498962788365574,0.7769951825580051
SIDM00917,2.175396595305352,1.2618056645100213,0.03198837437514632,0.5128446932374165,2.3246291353460755,2.234274767635371,0.6310405671867827,1.7181143996016466,0.2942661194467331,1.3689392581974424,0.7069624454191616,2.5526334209406176,1.3883623075314069,-0.026674927535656742,-0.7684494150961905,0.9153504037986998,2.672546410185307,-0.49906092570314214,-0.7628816379333141,0.415014862606578,-0.24842271340050692,0.3870491090405312,0.24171863014766373,1.1588038306693569
SIDM00309,2.23549108566751,1.3803260037307141,-0.2368268508623635,0.7147202244247107,2.4852540895632416,1.817956948669832,-0.1288674725007711,1.4376407643432865,0.22344328322021934,1.2221592997658202,0.7547658587734876,1.7958044498272852,2.6896036292133165,0.4767801333709869,-0.16072711210125418,0.7609490685242937,2.7668818267020145,-0.6328001589306506,-0.7055154213078744,1.0583744462025357,-0.35506360212434407,-0.056895837255644933,0.2267773834343735,1.3711711379622435
SIDM00099,1.9677299002809183,0.9953477881053988,-0.11519563144214212,0.706515846123952,2.5820156589872187,2.3038507605757914,0.38548272933270294,1.1960584451308518,-0.09663909850470054,1.4258098853042407,0.33726504922650885,1.7287562873247198,2.2725130652855117,-0.006214013425747383,-0.6598974480462808,1.1414553819191116,2.4648264301218297,-0.49519619235364765,-0.9070530223948894,0.6669678050568212,-0.31317590552079083,0.47690086893552636,0.29729339482515665,1.0069561149638733
SIDM00276,2.4640039082809264,1.5863269662558173,0.04899308022604218,0.5510751431278518,2.5293317851459474,2.447150021450007,0.04614207831346724,1.3474571664404649,-0.014957035702055558,1.3146405884013086,0.16686947095903695,2.151337130782409,2.063073623956763,0.2793951734822182,-0.664333007461722,1.2226532785996764,2.2557065678958397,-0.5688611460069404,-1.032143225347502,0.739078659091515,-0.24875296274530506,0.30185957027793847,-0.021503095379554724,1.157655752962655
SIDM00311,2.294336795015045,1.1661095623670927,-0.08104808766799027,0.9195926959726466,2.241922930818972,2.1498403125448435,0.1108151310476778,0.9238431574040666,-0.07548140319221111,1.0787147695944226,0.4967643932395495,2.123254800924496,2.0477270225782793,0.5377912911953556,-0.39915316580804905,0.9721590753672985,2.494427459110564,-0.5978826680096158,-0.7222722023715871,1.0072662458081967,-0.40502177152590746,0.5290038510734459,0.3109580889584591,1.3325739040435496
SIDM00970,2.0201908170168243,1.2264870959611163,0.22501101921868769,0.9577774062332229,2.896930936879699,2.2824954489108458,-0.2755980171768047,1.6333487849724546,0.3024934929070752,0.9801965917639371,0.740655901645065,2.056697470445091,2.2196282221799866,0.5300131494089669,-0.26652349693811267,0.8755751843305982,2.7465754770662683,-0.4831944205692451,-1.0270747199926438,0.9662713488018033,-0.26752980498040796,0.17674701110770608,0.289139353640706,1.2013808404165454
SIDM00103,2.1602555912087205,1.169887008790956,-0.04520818918322785,0.7794806074072205,2.763267396374521,2.338575662339396,0.16251026630287377,1.1494193962525092,-0.189842804146099,1.2927127581217,0.4508767329317923,2.1452366905321414,2.2271387698428,-0.000620700933828243,-0.4237880802871702,1.3492038190763207,2.097210139294294,-0.5172870695542297,0.5943433989712683,0.5540972201273823,-0.6157905516492004,0.3849422144196112,0.1731678427766573,1.0884360477916666
SIDM00266,2.3969199688085965,1.322527249468263,0.05983188239445097,0.7292793844666248,2.6901869847927786,1.9152992844782195,0.46755625616096846,1.8031204228172242,-0.013608505745071215,1.5582485043746648,1.307189283433923,2.096274019302105,1.3293023359564065,-0.048583290891021036,-0.5566696959103078,2.0396904938726723,2.8285885623792493,-0.6413427260976517,-0.6015670568182244,0.6573707794797384,-0.45508128507375634,0.272049853866421,0.4665308693928713,0.8165081118333872
SIDM01064,2.711397606922848,1.128746051742415,0.11245061823096607,0.7743363715106888,2.872710856068504,1.9734170817758807,-0.27603006357259,1.7165297239729345,0.4143339052652582,1.646313539255137,0.7914719384631486,2.3695025117319353,1.9384480501251475,0.3357440439897538,-0.5077078340760788,0.8610008072936102,2.3852012016208506,-0.4657003153364916,-0.2606750601971688,1.0022829654177876,-0.047619301025337214,0.14930971519683034,0.49256808779538297,0.7201388721486595
