,CARS2,DARS2,VARS2,YARS2,FARSA,SARS2,RARS2,LARS2,FARSB,AARS2,NARS2,IARS2,WARS2,PARS2,TARS2,SEPSECS,MTFMT,HARS2,PSTK,EARS2,FARS2
SIDM00519,0.35024446810767285,1.4858602641902505,-0.29014326429178966,1.2543860444352506,0.6826062449475475,-0.2862129924832107,1.9897106844424257,0.27977970960482307,1.3749535638988195,0.5933561192287798,1.450561921667269,2.5613454509410687,-0.21576422295633912,-0.8420429084220669,0.5058480551958953,-0.7793476941950065,-0.02501566800721489,1.4524095578155065,-0.3012486389764378,0.11484509846060277,0.4323114627133173
SIDM00917,0.1105101271461675,0.7325537677340698,-0.2773829224441702,1.154847248858244,0.6743160611462624,-0.38911118643693926,1.5366907277197055,0.39563918975448414,1.494205935605726,0.48314927631804205,1.3875824619633352,1.9592243853210145,0.3047725270349302,-0.8333043068262078,0.5190669854342582,0.3297317024023464,-0.2093308345046396,0.9131363329729479,-0.43137858477011654,-0.10236138524831914,0.49488614502536626
SIDM00309,0.6602046214902797,0.625856997821148,-0.16394900580302538,1.466917743530619,0.8612305036468697,0.1787623571703119,2.0028987211281697,0.9925173650961987,1.1038938506858726,0.3808770804312875,1.8213588024888239,2.4755349459417726,-0.02027261524802615,-0.8173398629940252,0.591909345576568,-0.34545580589837865,-0.058940690037485324,1.0686346670411673,0.7002860947005233,0.15500928602923764,0.5231023448230878
SIDM00099,-0.1856589918193046,0.5575313312869022,-0.36704053598219283,1.3711922152124791,0.7236569832828831,-0.24975949086752317,1.969390559508393,-0.23215844985802217,1.5457139179474129,0.4311654274255346,1.0100068892791274,2.2207691442102226,0.23259755932561998,-0.7436717864357676,0.7050919806389953,-0.2883865979984455,-0.14230428034399295,0.8485038836088333,-0.5461641822473242,-0.23529777390567683,0.19035266806570783
SIDM00276,-0.13512068711490793,1.1126975304855913,-0.07031667727696544,1.349086245844782,0.6953974145067268,-0.3597616611411963,1.7510271189577322,0.27350088035530096,1.5579037734575474,0.5465178358752064,1.3108979507114706,2.0397429036164105,-0.043353135764543624,-0.6221554335080695,0.6282332299388848,-0.35660007069077126,-0.15207741721899257,0.8917448007918253,-0.20234889494526254,-0.2671273422097949,0.5033695966378955
SIDM00311,-0.20043919590793194,0.7773053093990627,-0.2937287940276437,1.43822695964312,0.7786136909647999,0.3539261032618297,1.9238367018199178,0.7126833964552272,1.6892982904880731,0.560179449456602,1.4925758525225532,2.0813010248892505,0.006353076860834053,-0.8373551577029651,0.01743943553394868,-0.4717913114289095,0.14113925380636555,1.1116403380999542,-0.34866636839185916,0.03237544744270767,0.6680340409017391
SIDM00970,-0.012571032945398167,1.2816384826212364,-0.5232121632871553,1.4226351367641323,0.6101154242891466,-0.4147009521571548,1.5813560361764925,0.8662302412709938,1.6235660048705984,0.5543475996780326,1.2196441622726388,2.2234839428918645,0.5017234893271251,-0.724773074360471,0.5032119038418752,-0.40503098661431836,0.31195348367313835,0.8110145319132451,-0.6518708475348913,0.08439221010497028,0.26976867065304766
SIDM00103,0.7589690962881367,0.46689430225953205,-0.4141077214012084,0.8427458120649792,0.9236075161720632,0.12534483356081247,1.8887362630452336,0.5279530752542355,1.7007478099662894,0.43606037285453836,0.9855197722626178,2.1345275392227077,0.07796693748023924,-0.7076511419827513,0.3858941250306288,-0.30386604588963534,0.03777309723355402,0.9068405925234045,-0.23464902330028367,-0.003953753707435947,0.7341817092144218
SIDM00266,-0.41305036433437825,1.1880599900515203,-0.09936548002212994,1.3604177846142362,1.149568885962526,0.3350513961642555,1.8889399108965153,0.5822845000404198,1.9316795753435456,0.45756129643431903,1.5452815539295475,2.237129294803132,0.1147093065592066,-0.8114810349018741,0.5087490921537948,-0.043824080064162586,-0.014891711307926324,0.8395569321138306,-0.6093154859587407,0.3326825516943549,0.5401760966373482
SIDM01064,0.2647658005413395,1.1763972687664361,0.02093134997882256,1.2491849331353444,0.80808756005576,-0.4678808800693325,1.4210294931134047,0.7779559428235963,1.6971252903259155,0.6039632666134893,1.540207551552847,2.1071679306473587,0.21898497987112925,-0.7533313100406223,0.5646203837474911,0.17405025761984488,-0.15503525728579606,0.8558153209204513,-0.3360358676032882,-0.2453037434877047,1.5032816818758472
SIDM00098,0.2726309724367298,1.1358012134443884,-0.3415365314526684,1.6884472877542185,1.007297854760597,-0.45400770588505845,2.515995684729323,0.41653604365643415,1.9377806832740587,0.9270048481005067,1.1895839328798063,1.920191734636219,0.17623030558739564,-0.7437664493115063,0.39313571508857376,-0.33885330455760326,-0.07544726178637995,1.0149959273826548,-0.28555724707401337,0.09485577764754169,0.59899144973326
SIDM00225,-0.417845455211401,1.5512603182783815,-0.08702302693004015,1.5102091251306788,0.615676044649777,-0.08462581776126547,1.727784469043436,0.4903440143910375,1.7538091757355818,1.0206789279037194,1.044621088452436,2.2330601290443295,-0.16663984104437615,-0.8679375944069008,0.6755572446095343,-0.49585598353509325,-0.050493961078799346,1.0174131337068828,-0.4574768454751015,-0.003297650298509699,0.7826238262082866
SIDM00846,-0.01778281216197279,1.0415847063472126,-0.654105908467517,1.2647688580684326,0.9275210632934926,-0.38166132910238554,1.7394430833563521,0.8560597737645762,1.8892348969466832,0.3816984900187106,1.3073183928369159,2.118272333164033,0.5412484907643398,-0.7847818090807209,0.6786061255645596,-0.4999588060505668,0.0777479845655141,1.17891160734124,-0.5851344566926386,0.25669377779386604,0.6145285349972327
SIDM00291,0.025068881718869528,1.3703591699924247,0.2924097322561943,1.6813289537554794,1.1288201901671229,0.14960079839414123,1.5256814494126782,1.4284455627698975,1.3099408048930934,0.9891181907005493,1.6586630416467778,2.2335146705456115,0.37296192425509156,-0.4880502250427355,1.6165194161610072,-0.14825885344460005,0.7911965899630186,1.469914963717974,-0.6542001235927829,0.6025991966360259,1.026219703564123
SIDM00520,0.4795876530677997,0.720683944971679,-0.35759951425314557,1.3766861331264,0.7533892797781031,-0.06552253365108286,1.466318500163785,0.4856189701119937,1.693136286328025,0.5268903586508652,1.310696047728077,2.189877646054067,0.10141258160005805,-0.8135589588412933,0.17081272057112165,-0.4043373622156954,-0.15478478969251355,0.9613172806258768,-0.2937606496389567,-0.1542029738453731,0.5465014504903486
SIDM00003,0.317301928783046,1.419302380854096,0.22668766378447444,1.4561974605544974,0.9797273594019247,0.13894959834711285,1.4892302368053405,0.7036134361945149,1.841695655280001,0.8769144108813732,1.5836322065192037,2.1152071806628396,0.532945427986468,-0.6898581248568975,0.37146864553031006,-0.45191463855650876,0.2681788456793498,0.48412903685059744,-0.04680863627207317,0.20503352053858612,0.6181322034994359
