,PIGP,PIGW,PIGM,PIGN,PIGF,DPM2,PIGQ,PIGH,PIGO,PIGG,PIGZ,GPAA1,PIGU,PGAP1,PIGT,PIGK,PIGL,PIGV,PIGB,PIGX,PIGA,GPLD1,PIGC
SIDM00519,1.1883725649439907,0.4582533039921699,0.4411391966435308,-0.04732812747451257,0.6114819021327144,1.3122117088630587,-0.3996803717234643,-0.8000784854513852,1.0863004598676766,-0.382815500486812,-0.5941825205647356,0.4016764097024207,0.5969347411953759,-0.8169624428266845,0.9931929548805405,-0.051960431863712936,-0.8237098874799285,0.14274397011651327,1.1420929342716757,0.5929635369342756,-0.7548166795381106,-0.4667032048744585,1.0324885015931033
SIDM00917,1.6325621623734254,-0.12799662137085807,0.21100290860648238,0.4072700335486857,0.1349312316807918,1.1868108031289906,-0.5339628560062333,-0.676566283319995,0.4164036834207887,-0.4088303618274096,-0.17283605280253173,-0.0516681526510833,0.6972317116726343,-0.8828074281800667,0.3873378494907312,0.33175402711015806,-0.4763967685709148,0.7978077199908092,1.041556620260056,1.024036971631451,-0.6090413982237383,-0.7586994796168424,0.8922710929612543
SIDM00309,1.7628502692771701,0.553605001679071,0.33567106584925765,0.197026070212817,0.6699719106812729,0.7373300658488817,-0.34023967481402934,-0.7813044742033337,0.7090534206939116,-0.20684198748369245,-0.3533054719791434,0.23558560081442595,0.8389752546098819,-0.9125593417297702,0.8187569685852609,0.53861132637566,-0.7340055568026329,0.4762819085830693,0.9728637934796674,1.317543637627491,-0.6785739498659396,-0.4982455298080337,0.2518639766202113
SIDM00099,1.547921192222529,0.3336825104999996,-0.24004360483985115,0.3748742753605024,0.39873302601332744,1.0845426013382555,-0.3231417989159964,-0.8330901673797914,0.48936730295732916,-0.5693544432306489,-0.13803878765284547,0.2089445446205178,0.4949494707482153,-0.8223219403317176,1.0936863965562467,0.6658109829691258,-0.6203889690542118,0.6689701606541563,1.1982929993053237,0.8863809198934647,-0.6826804912536393,-0.7132870727924682,0.7276673879275776
SIDM00276,1.9188408347096673,0.45284850454712805,0.09018825609703579,-0.6446827240514493,0.3586847796787354,1.0627449304987167,-0.4648267075097364,-0.7848971154339973,1.1263786271114362,-0.6241991869505975,-0.4314960299635749,0.8166108699928758,1.1115609668676814,-0.9484767732356708,0.9623738202078526,0.5743080511757765,-0.8187289882394304,0.8973666489429464,0.6581352686665122,0.7184285501633816,-0.5583589618224207,-0.7485774191846044,1.0101407177434485
SIDM00311,1.2798909883980263,1.2600900744283114,0.13422682999135974,-0.17809337532162578,0.38064550823588295,1.2347228341869845,-0.5158988745475985,-0.7198370826133768,1.0843539651552663,-0.47433565813590084,-0.2009825961762739,0.3773285591830001,0.8640162879017544,-0.9355678587035028,0.8244447044926159,0.8613247160961824,-0.7075872156767002,0.39095178078123144,0.3637721450078283,1.2164627036867726,-0.5965444475555213,-0.7929328460345467,0.33220859757263277
SIDM00970,0.8813405879728138,0.8790461122769341,0.5937706091697816,0.7609998554415012,0.9188426159830986,0.932123831082915,-0.44572402095256164,-0.6786216557739075,0.6473934281697395,-0.35360345233234125,-0.4479899812075263,0.5396766967562509,1.038156056073329,-0.2745426952857995,0.8816203936700261,0.3513199632938532,-0.7839925893347295,0.6848978951717244,0.8540872243017459,0.6650367774960018,-0.5915255694804037,-0.6860939302429656,0.8059395447646835
SIDM00103,1.3138729765006265,0.40771840743579324,0.09245399827400053,-0.34581420689396436,0.2056109289782482,1.3468499044625262,-0.09989567405413001,-0.7624754237577935,0.827986256847922,-0.5435801221837077,0.15202948338479885,0.29161313786301873,0.6428988983777763,-0.902128198802417,1.2573063398460276,0.5666304923752233,-0.6970193624944362,0.25292953923737976,1.1329129412277383,0.8611653442699633,-0.6697270020720141,-0.7968238477405215,0.7133105018586701
SIDM00266,1.7310737165676422,0.3003559124430849,0.52648020981793,-0.2486211661369186,0.4829630751915667,1.2881722646881673,-0.5347656977446974,-0.5618564800845071,1.012478327998587,-0.5995471958481743,-0.3079752519401794,0.7193373369659409,0.9522445057869936,-0.2524400601511689,1.054366342022384,0.5402772508104012,-0.6511022093938676,0.4599160011782985,0.6693558663133915,1.0514185953849713,-0.6677768433929399,-0.5612638837075703,0.5731493981112559
SIDM01064,1.688977840320802,0.6548400515759693,0.30681673156509576,0.6445834611612151,0.9281168496775039,1.4268977120787916,-0.41027334650353825,-0.49182642137935295,0.8175575724715102,-0.552048887418891,-0.6101097871096108,0.4087783432317205,0.39460268500524476,-0.5588359196471188,0.12210452878820653,0.8765008250199329,-0.7477954999374884,0.8856096846866537,1.112023316186622,1.0687730263599575,-0.5595533687864923,-0.7945520856225676,0.9890526057772174
