,CPT1A,CPT1C,ACADS,ALDH1B1,ACADSB,ACADL,ALDH2,ACADM,CYP4A11,ACAT2,ACADVL,ACAT1,HADH,HADHB,HADHA,ADH7,ADH6,ACSL6,ADH1B,ADH1C,ADH4,ECHS1,ADH5,ALDH9A1,ALDH3A2,ACSL5,ADH1A,EHHADH,GCDH,ALDH7A1,ACOX3,ACSL1,ACAA1,CPT2,ACOX1,ECI2,ECI1,ACSL3,ACSL4
SIDM00519,0.36975921779837595,-0.759479303410868,-0.26918091795973564,0.3268015394243121,-0.03798797812520585,-0.8668570164049966,1.5815824349005054,0.5307946195844402,-0.614436203822954,2.115628202017624,1.1069950528509265,0.8010804861327718,1.2177984333023095,1.5510512444963005,1.443053815955693,-0.7999371153626388,-0.7747153403065632,-0.9309422757648084,-0.8639936704632867,-0.8865377809181778,-0.9246894509836264,2.13216477576516,1.4931135479183482,1.7085690665840134,0.8409676884375483,-0.7863828726652579,-0.8972642907709713,-0.6502875112869839,-0.34263670647238326,-0.04734848633950823,0.2000336517211482,0.3491272353651706,0.27295001943534053,0.22006383128756699,0.7955803835811279,0.7570057520769294,2.6714473208062604,2.0228355321948706,-0.25673340427632185
SIDM00917,-0.43633983441759716,-0.9116114573370824,-0.3942493543024153,0.16178218933883895,0.3781570586945869,-0.8830273991420418,0.9875022302127456,1.3090953802334417,-0.5484942115618944,2.328122615397938,0.9391023668983302,0.571618518517897,1.3994936900238482,1.7805028444832876,1.830688492678727,-0.8820351704267511,-0.748018008523109,-0.9494386004412713,-0.8668439199695565,-0.8150553637703514,-0.9204021218444922,1.96213778310516,1.1455941180254978,1.3250852221660985,-0.5058578943192685,1.0865483264958478,-0.7725774738490442,-0.7863668854579664,0.19215466610534623,-0.7657183485170751,0.9117217179509433,1.7462020592958247,1.0313466394691266,0.756094162507657,0.5932969580769787,0.4925199991360728,2.364250165836787,1.6562054414504421,-0.362863193744382
SIDM00309,0.8046562203464478,-0.8423175188807993,-0.16926223996746487,0.9844704359577299,0.3527945021877404,-0.828562966772963,1.6300128197525552,1.1520040286868687,-0.6962775749869374,2.1905855387733393,1.2053487318574583,0.954784090973499,1.2656898353677066,1.7661230179340779,1.4606726059453343,-0.715599381672713,-0.8766172495321594,-0.9290133907354758,-0.8887183344914309,-0.8245196013651369,-0.9403106886783873,2.4958403760741907,1.553993935262898,1.8339944601095088,1.4691261244116733,1.0518633049608574,-0.8872896747363866,0.01654499889094244,0.2640977314185859,0.24218797152292582,0.8223741489603241,0.8799188313795923,0.9150009216813584,0.719082362956878,1.0412652561731683,1.0209053442403293,2.5687629917609063,1.6212011999150493,-0.2550972818611836
SIDM00099,0.2766617769380456,-0.3896317997092145,-0.6531995205323884,-0.04974230606188002,-0.6013750055595245,-0.8670361554527043,0.8255992518663462,0.9805136105405677,-0.6465783724065638,1.6880244254139187,1.4451911663277222,0.6708620725392492,1.2544683191286632,1.794775076688774,1.6293688217924034,-0.8670489196765222,-0.7927259969301272,-0.9107404145304971,-0.8269146587852985,-0.8621557082615988,-0.8854880254952894,2.327041973803112,1.8193570674188622,1.6297378894987773,0.832568243536906,-0.6548915494210273,-0.987828231416663,-0.5978801841570528,-0.36612251449177313,-0.22052098185750413,0.13139396550341237,0.3583828174744509,0.15403558111272542,0.3665649181324981,0.5760785449418231,1.0125725276161335,2.715707718930355,1.7707731665101776,-0.34712417722036126
SIDM00276,0.5383782593656816,-0.48593024345549196,-0.471981143569662,0.2367673266587503,-0.3807381531172237,-0.8768640053434659,0.903857136505525,0.6487703604951425,-0.5956059660062517,2.631149885570977,1.543978019301605,0.6002457059117374,1.4868981790754163,1.402111650688944,1.4238177048177225,-0.8872468249286143,-0.7580648031074187,-0.910138237447085,-0.8155535563952719,0.057271847344521606,-0.8909251959568735,2.246860824333088,1.2484476224471972,1.3776031459929157,1.4218166096185478,0.69620847965388,-0.8283695572375359,-0.33487278870734893,0.044249036224029474,-0.2715353348482606,0.4873748875012283,1.6261137028085917,1.0971796149917779,0.42263445091139934,0.8818583283366955,0.7885673010782636,2.1832079326669294,1.7397649199941088,-0.45959532174503276
SIDM00311,0.8893363869581167,-0.4837011682911766,-0.5564517441064125,0.5375278773673092,-0.20465870986840787,-0.861506606405707,-0.39572946679666754,0.7419550113048103,-0.5667415817865045,2.2510934519976646,0.9468321550026471,0.8141880733349468,1.1739065687588905,1.688462841641703,1.475748643604438,-0.8680359316192019,-0.7550490335675363,-0.8289893046232123,-0.7611277518148802,-0.756682904280826,-0.9904433143650033,2.1618695618340547,1.95318936679265,1.403225295754775,0.7039665427985154,0.04224101047585957,-0.9677750127508427,-0.2301716100759706,0.0013606330383575452,0.37060933935053214,0.6757109989001546,0.5028587900916814,0.8851307764353045,0.1485169580010944,0.5707895788630091,1.3907552056003412,2.023496686382695,1.8252516507111032,-0.048211525330830986
SIDM00970,0.4584026002567436,-0.25394720909825674,-0.3794856573565409,0.33591301963711573,0.2645887571718197,-0.7619061397116842,-0.7201920148016463,1.3854808618610146,-0.65992885125319,2.4488725160241955,0.9865727040940346,0.31301983138880823,2.357603171885655,1.6160381507365333,1.596942190473998,-0.8153819257416929,-0.7713124435329201,-0.9742373656968164,-0.8150242130896151,-0.7928066946601496,-0.8927754489628261,2.6139217848980776,1.7099275011940989,1.4491222181167558,1.0380871160648786,1.926673151233441,-0.9171948463586909,-0.042996307038224595,-0.1749923503371542,-0.6490675668523387,1.2228649583433018,1.738654866649809,1.5413686982450499,1.036638451129967,2.238835985342139,0.3642689902410196,2.160679377862651,2.3398300265738095,-0.6505875087818936
SIDM00103,0.4274633349558516,-0.7961222336371058,-0.14572853298769117,1.2594088871511915,-0.08426871489511888,-0.8186022763696694,0.4389370103908405,0.787759274957548,-0.6021590407304915,1.6886143139599472,0.6819898486118761,0.6755126127311989,1.4209711079921135,1.7003926673269147,1.6350494468922596,-0.8124479978251832,-0.7924359787075794,-0.8945530315137452,-0.8908604158767134,-0.8535660708136315,-1.0223034566746192,2.4335888331522795,1.9251759839969573,1.9695101279538043,0.24834820655537557,-0.5861213807390874,-0.8827647053872165,-0.48274667227848644,0.060626486516501384,-0.2946678181916362,0.587024874161586,0.974877865679588,0.16713992144056,0.2591153433282671,0.7703868763963414,1.2227440923264936,2.3816490033952786,2.2261615829246897,0.0325737062359891
SIDM00266,0.44033578079651536,0.30386174660019,-0.6673349547630905,-0.10244850770486642,-0.45955022254119665,-0.8830468589804561,1.6582370703601024,0.8013014313342747,-0.5888250868275653,2.743270221112306,1.4617590324417453,0.9519662327651953,2.0115804561874238,1.7356517201050514,1.8039581052642732,-0.8155017324503779,-0.8109027286021374,-0.9976230100359899,-0.8868621942949583,-0.8745974852188635,-0.937587049701355,2.0199176879113447,1.7384996067940814,1.8155206378386164,0.7871429610249502,-0.7736520502098653,-0.9037726226685252,-0.625798980939283,0.2035848177475604,1.1381351972950031,0.40137750962147245,1.2479067133876844,0.015587255642535174,0.36901876948253154,0.4830413637200103,0.6939408978003136,2.4225416981169667,2.165157322967314,-0.4086546511440647
SIDM01064,0.5485427670889705,-0.8290230806992986,-0.14817294395094072,0.5992779551442026,0.1381750435990709,-0.8763497399036585,-0.7301487036633993,1.4913564051131514,-0.651073435394108,2.004131513003939,1.4348549973512779,0.7291323055269603,1.8731302715930938,1.6745538989128443,1.9793839725593319,-0.7905561357647367,-0.7666016470171295,-0.8679464943439529,-0.854009946277104,-0.8500028666623597,-0.937290247774769,1.8037023463312476,1.0593909845911706,1.1305584264127977,0.4509594922089069,1.263133138879459,-0.5993474984851579,-0.1848220692968016,0.03226393077740954,-0.6808861758033511,0.12396531115215077,1.6271671695869083,0.5648570228804345,0.4269816129870572,0.19952751856608275,0.5656781693507889,2.350319052816139,1.64517612555805,-0.7639944819580821
