,JUN,CASP9,RAF1,BIRC5,APC2,RHOA,LEF1,MSH6,BAD,MAPK9,MAPK10,RAC3,BRAF,MLH1,MAP2K1,BAX,AKT1,CASP3,AKT2,AKT3,AXIN1,AXIN2,SMAD3,MAPK3,SMAD4,TCF7,RAC1,MYC,TCF7L2,SMAD2,MAPK1,PIK3R5,MAPK8,APPL1,GSK3B,KRAS,CTNNB1,TGFB2,TGFB1,ARAF,TGFBR2,TGFBR1,TGFB3,CCND1,PIK3R3,BCL2,TCF7L1,MSH2,RALGDS,TP53,MSH3,PIK3CA,PIK3CB,PIK3CD,FOS,PIK3CG,DCC,PIK3R1,PIK3R2
SIDM00519,1.450651171689224,-0.16304697270656243,0.41097071018801634,0.7766554257054314,-0.510126572422362,2.336611588025909,-0.7667498242748586,1.5596272116828387,1.3580295249854797,0.7229490449626709,-0.8000735354340742,0.6351820544066088,-0.5413997596560421,-0.27290466421601184,1.4682702253736368,1.1283881213024127,-0.3955558339139622,0.7134332037451958,-0.7032513775795374,-0.29600760340522414,-0.12283781431877214,-0.6602126748609652,1.3093881103578247,0.5154256853947725,0.3261291832515681,-0.7871562844557515,2.769353667407342,2.1568489899129997,-0.3214029222485103,0.6725102154472932,0.20225978087680163,-0.8367236396892249,-0.3898911071975693,-0.09194609812540733,1.3510624486918985,1.5419688881072011,1.2176476867537853,-0.5502732194059194,-0.7328772199613526,0.07456749189187163,0.6853681495679597,-0.4887481317008841,-0.8042327848341712,1.4576129059103546,-0.7187735136670106,-0.8524925481584129,-0.1982741848813393,1.2391569309440982,-0.06900825150706731,-0.5490992699972357,0.78717568159403,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.2966005646921992,-0.8386561761109992,-0.734784251077846,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.3557040154974996,0.2536338368942526,0.6703226732559828,-0.4096710423984006,-0.6694990443666693,2.6126260305947806,-0.845652064579716,0.5813986428491118,0.7032882367405254,0.3279819575978883,-0.4789249487721815,-0.07227826244569432,-0.08737606934962737,0.07306648268743106,2.1682208807797045,2.0651725725111083,-0.44961501627394507,0.9001218501554026,-0.43991493639764384,-0.53140709085529,-0.416401493312339,-0.773726404624795,-0.3992769345693402,0.12581611851856564,0.6018744472152134,0.6162921631342847,2.1032589178303955,2.8043043388059963,-0.8294919534732412,1.0766636643654866,0.7518296918279702,0.4079912195723818,0.7084240651382601,0.5108878689800652,2.04988231234367,0.6747655177517772,1.2852809793337285,-0.7962043363591329,-0.05252370331954249,0.3104583380836929,-0.6035133333529629,-0.6012794748482913,-0.8931751692380971,-0.5683018791586874,-0.33826179106292537,0.9638713702942754,-0.7452880684152653,0.9587969039030441,0.4845379309098915,-0.5377656233603392,0.63615278262708,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.763011425278973,-0.7207299110933022,-0.7227681548732218,0.09639864077465503,-0.45814276637380663
SIDM00309,1.1989135914686246,0.3099802629052463,0.7255659061086115,0.8356452226306816,-0.6080851532395329,2.857779503124727,-0.8265444768270023,1.4341982110195035,1.4346878852123166,0.7807549866059781,-0.8191751222390329,1.127406172706436,-0.5982155072109197,0.13959897711099276,1.533801591408699,1.2889181462810615,-0.2912125403265399,1.5199915871511618,-0.5673413731578653,-0.323607853268389,-0.31054032154941197,-0.6464496591068354,0.694650547024864,0.5986800821643932,0.33231993069445404,-0.7015432307637346,2.5778827866642704,2.5090390498281514,-0.04938563469555932,0.5659886880065685,0.19821987316206793,-0.8541154838838494,-0.39617924839638224,0.5854775002536331,1.5938635558462186,0.44635764588407606,1.531051666763261,-0.9214273137731334,-0.398022946651397,0.07713419241059723,-0.17888301134424955,-0.7515624782056892,-0.7927969404487873,1.750803738259115,-0.5719067588538529,-0.80283909773139,-0.42172379788324077,1.481038196637313,-0.38978151657559446,-0.4883528195407754,0.9755053565903525,0.9023372519923574,0.4332412209128918,-0.5018997117469767,-0.7280138679522405,-0.7952065883643438,-0.8225532266981563,-0.33145082133245723,-0.1603682274832688
SIDM00099,1.2804267594778411,-0.16120780182301667,1.1767266262913327,0.7811136039796753,-0.7477413318460993,2.662829847610818,0.034040901227907885,1.6158182027489807,1.2518102860044347,0.3390362523399091,-0.7705711201622135,0.7354802762086091,-0.4747716843383623,0.039663155830897086,1.4524860221399285,1.778221651865239,-0.2291313922542609,0.7852054929480522,-0.5616008280392394,0.4590628778438762,-0.02928372545294831,-0.6717366358307189,0.516896907106455,0.6202538847874911,0.9889638523853684,-0.7347915157505426,2.5640336413202114,2.8580368365656548,-0.4890676835513929,1.1319607004431007,0.4272251428179874,-0.8097681129008282,0.13335399968062153,-0.03339136690904963,1.7953402335997541,0.6730085000785737,1.4339588043516427,-0.08776125432368843,0.3631753301796315,0.007434448992897634,0.2764188287044035,-0.3991043129623154,-0.8431826104721083,1.9893804939894844,-0.745840851085465,-0.60294501058701,-0.2503047552254338,1.1389197521450347,-0.03778962523997398,-0.4606656978346491,1.2170517487984007,0.9772417205774084,0.2470462313405816,-0.60403659056009,0.032363518786125416,-0.7412131459935081,-0.6652833255039179,-0.30151261608262947,-0.29295489699624994
SIDM00276,1.1495267237151896,0.5405277638057181,0.6944907569106895,1.5718775462338108,-0.7796352833776798,2.5206409028438705,-0.9211039188489438,1.2391791246279664,1.2834932020677752,0.22516520348511637,-0.693685319706086,1.320257080883738,0.4225250613223542,0.002764890117021384,2.019959361654287,1.1320674877821444,0.11933883765264834,1.1949182686427657,-0.5956790432627415,-0.5519477570600904,-0.27162683998993337,-0.583964102634621,0.45809853087418184,1.1105277507367421,0.04471356433910901,-0.6869865589032614,2.537790164982142,2.115272456379971,-0.41397870405731296,0.30639007044058486,0.3901472004011665,-0.8267639290855728,-0.0691404580401485,0.001991798349510387,1.6862762082929676,0.6515748950888393,1.3183493700636075,-0.5075501905398743,-0.48433843117361014,0.3319259955565263,0.3985969001546798,-0.6729384347717665,-0.878878674651359,1.110777565362061,-0.6488194164256283,-0.8295392935450043,-0.6224876156625813,1.4438586478504385,-0.4037775604450337,-0.3152874840479835,0.7757389196061645,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.5043323766106234,-0.8724342233570149,-0.741761899908455,-0.49045962005312094,-0.4121884693058777
SIDM00311,1.6009746532649622,0.016676397282197126,0.5447987316773143,1.4467084205423164,-0.8251381442988124,2.962453528951947,-0.8430178040505248,1.782644605496457,1.179641852767542,0.5474182472045206,-0.8049432169992577,1.0092042678574253,-0.7453538371884136,0.2788588793045448,1.8896826961927777,1.007198245658985,-0.04068572253821361,1.292328226521967,-0.6105409974472994,-0.27243689547260147,-0.0685667908462816,-0.6486039079914081,1.1456864598072072,0.29001810221540564,0.4764579269706616,-0.4863196877432758,2.5336087504973483,2.967969496653463,-0.4086980928180935,0.7209770976879218,0.38729023043362193,-0.751888574666709,-0.07582413085830866,0.6955528941690207,1.282951438624949,0.5102474431294666,1.7525331315109194,-0.46941732480073955,-0.13474756891173795,0.08589945360217498,0.5194520148316456,-0.429418852049095,-0.8596516129349381,1.1408512642531226,-0.677359328236902,-0.829927386537892,-0.19058832911240217,1.6766297430977826,0.03124497890814603,-0.4660973343828472,1.1202137587166474,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,-0.47377415735670114,-0.7787929081177212,-0.785158575006846,-0.1528127154303174,-0.2815786822959473
SIDM00970,1.1125033789495749,0.47699840145989814,1.0032059249628758,1.0993791104113115,-0.6615745010084358,2.798015426118431,-0.8504491830167896,1.4004587372608697,0.926248724312014,0.17957833961123676,-0.0005214666553748757,0.19980267442914598,0.16764458696924706,0.08995091453046675,1.5480021660770813,1.341199287042788,-0.10547988580351268,1.2696085940084265,-0.32945864135872244,-0.8508602838977936,-0.26191338475256437,-0.7835965237620971,1.0362821960047388,0.3293145122295789,0.5498250488021341,-0.6940898776794232,2.70133784532971,2.8190670787098924,-0.12257386523000707,0.8812510655645791,0.8119872597350951,-0.8149726060877294,-0.3662241185702077,0.43003147883236154,1.5783739419319924,0.8955143169693113,1.875124878476745,-0.9062378848792261,-0.24560597450788194,0.016143176077876336,0.07593002238863181,-0.7997441549426471,-0.862421172009199,2.0377973060067225,-0.4642723288066422,-0.7892635762616721,-0.7587748205084407,1.6015161697337896,0.005963953645897561,-0.6567645675008575,0.6286197821510683,0.6516507787099076,0.07842511824996666,-0.7197542934563707,0.970328271120959,-0.8051315465966639,-0.7341112542806503,0.024174200640533106,-0.3230373291454919
SIDM00103,1.9346272657562575,-0.21195830567363155,0.842042295483723,0.594426675056834,-0.771258699060732,2.784596803999962,-0.8549719750111858,1.235284590692662,1.506035085821319,0.06579980602104345,-0.8092251083840144,1.0316353661159339,-0.3199136617291577,-0.24712165650839193,1.3916393884940752,1.3909918724212125,-0.06847722136698463,1.4164805506199207,-0.5499446939252121,-0.24893693507670495,-0.05049095843654175,-0.7633433489682021,0.4168218500162432,0.80055510601947,0.41510557535056075,-0.6853490195046105,2.5729208617833472,2.9416310920056388,-0.32664288476617903,0.6547304352838843,0.3533626797819316,-0.8467818040121766,-0.40114405850187046,0.5218128644369369,1.8739563973929787,0.019609299068091418,1.319050504339812,-0.1489624022248841,-0.5518795733650771,0.0004835080749557808,-0.15713019423056115,-0.31765203890663724,-0.8756849230558732,1.692495608595488,-0.8018036490477344,-0.7675654380186656,-0.3875862553480194,0.8979950399884152,-0.08392783088818365,-0.5608796842096238,0.8850971183003414,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.760248912439599,-0.8415395909860525,-0.7198503211785592,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.7547732186794955,0.1439342599588066,0.7998530910773893,1.1922673223455875,-0.7184499706923594,2.6792092150928486,-0.3384008476793809,1.4761506705933412,0.8550364573565588,0.4323758508759002,-0.3600812305976859,0.9651475071789204,0.1151396341686013,0.11944158008741126,1.3033679463501235,0.7778950231981702,-0.3555052293772311,0.6822150047002127,-0.5117967119573102,-0.8347357449295455,-0.2758500902788404,-0.6148931944708096,0.08454986992931454,0.43598438125523226,0.6734581626959109,-0.7361585838228143,2.423210183355695,2.4907638735127424,-0.6945217951117894,1.2065827682676198,0.5203234391390296,-0.8496389728152324,-0.30005824183715535,0.6960332292947002,1.608867664968994,0.9111993007529532,1.3629373334990487,-0.8524898453995975,-0.17615706719771163,-0.1599034263136676,-0.2661855431909787,-0.717075322252523,-0.6472016918770039,2.5759797624614174,-0.5568906287862644,-0.5357728627624754,-0.3696895716185509,1.257149639483857,-0.0798241463508033,-0.6844618064062402,1.1933249818500395,0.975240071825603,-0.33462897669646635,-0.6595534890448225,1.5013876299231168,-0.6325575608303017,0.048562804102867695,-0.043248545248515055,-0.44868059800330085
SIDM01064,1.1767698825357338,-0.1351704207431215,1.1271093323880224,0.867847312699072,-0.5465099484304817,2.6178962245186987,-0.8129703626216489,1.790055870990513,1.1711456279706722,1.5451934254228694,-0.8948051722627113,-0.038295302397666216,-0.3823909016943919,0.10983759079608121,1.9344409784512715,1.0152931764565603,0.12561007301362406,1.5209681332346896,-0.5099221426094163,-0.4457132286410602,-0.18836069374213119,-0.6454916392872737,-0.18205096731180204,1.0024155733741154,0.7873520739244022,-0.7454782273242749,1.8105522688699511,2.881343173952386,-0.7432987552748739,1.149130373982165,1.324784881453375,0.00999373611543667,0.49006099709420986,0.7552108924779652,1.0044439342394096,1.139741061167428,1.187079652225721,-0.8588586741547825,0.06787615621053905,0.11853981156144153,-0.560569454632862,0.033796607007861836,-0.8664130507518361,-0.7509793774513629,-0.5222596854068073,0.02402569224610241,-0.6416339521020705,1.800298184933194,0.7949764032887504,-0.5881384431654524,0.962694304422983,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.7361677029592799,-0.7788569289509498,-0.7611769889297881,0.8846240816513324,-0.3221179351293593
