,SRM,GSTP1,GSTT1,GSTZ1,RRM2B,SMS,PGD,GSTO1,GSTA5,MGST2,LAP3,MGST1,MGST3,GSTA3,GPX7,GSTA4,GPX6,GSTM4,GGCT,GSTM3,GSTA1,GSTA2,GSR,GSS,RRM1,RRM2,GCLC,GSTK1,GPX5,TXNDC12,GPX1,GPX2,GPX3,IDH2,GPX4,IDH1,OPLAH,GCLM,GGT6,ANPEP,GGT7,GSTO2,GGT5,G6PD,ODC1
SIDM00519,1.265043644054707,3.2634541327993083,-0.5341081955419265,-0.38459068706184535,-0.475503913144917,-0.8339410542407065,1.2847620763041994,2.620395005654532,-0.835277364964678,1.4067248558653191,0.2079635061633634,-0.6201665907358099,2.705321149747115,-0.610663970374928,-1.0331841246226532,1.3319442863955717,-0.6338608999610483,-0.812823201795721,1.958384226670007,-0.25918537825745913,-0.8059189558528619,-0.8796352347559917,1.0154860631738198,0.7916210914920057,1.6977229140992416,1.9840974657628794,0.3746953602997474,-0.34244897893764925,-0.9149953167879891,1.5710752503003664,3.179517172281839,-0.7144442250270076,-0.9404015176317116,0.46015786476783377,2.914832907638229,2.17222796754642,0.525103787906578,0.5102356968981753,-0.8343104027998501,-0.8364035878635845,-0.5593965332280869,-0.7517679169203204,-0.5740919246951359,-0.08666178238456095,2.0653201219581
SIDM00917,1.2401493367534466,3.3573954832989554,-0.24769215062807726,0.8912180375222726,0.46595114342006466,-0.7829008177999752,1.5586763252672766,2.147573813011179,-0.7113371429342117,1.4651527803580158,1.723752529732644,1.9177724631810815,2.160267652711978,-0.47751434518829333,-0.8830720892511449,0.07776544527629657,-0.5766649395218426,-0.582219945389764,1.5067486117643156,-0.6816973346340518,-0.7016434742751102,-0.7613422913717166,1.1577280563269448,0.8431567943935893,0.8964184684056266,0.2704317429673737,0.3652073636144416,-0.384223409377038,-0.8624021440517079,1.4654533107939087,2.9910308463171176,-0.7902961985004571,-0.94338574593318,1.3169627304313216,3.4714249414607634,1.7648392878439796,0.4781682779315514,0.13484389419960147,-0.8740583990448163,-0.7243092327611087,-0.687921036613258,-0.6334072407993528,-0.7234885363061568,-0.463994387468377,2.0015978048671488
SIDM00309,1.4933181693206452,3.206954755368168,-0.5732544618924635,-0.09294409606424353,-0.5877302436272467,-0.7279045379574769,1.4072813000266655,2.620905504116547,-0.8127736716611652,1.5115442480555665,1.3772620146093784,3.267172301032461,2.724481817418659,-0.46363018067337175,0.5645324644574258,0.7731903526032379,-0.7188532590281946,-0.05625278403715779,1.7830788660250136,0.12516513583652336,-0.7872794111062741,-0.9138802883739915,0.9477959733495716,1.1866870968982908,1.8837571908216564,1.979801619724561,0.10216096881478609,-0.32625220037003055,-0.9701923166322931,1.8436136071461549,2.8427601429963176,-0.6407409819675378,-0.8907006299399457,0.08939428658204271,3.2478917762519686,2.0341062549064595,0.2359499892357272,0.0862825610205631,-0.7838587120821718,-0.8175980638542947,-0.5614944798026479,-0.7585798463049903,-0.694463683700607,0.75422468167945,2.7843023063782315
SIDM00099,1.4689708733197107,3.0532204681686075,-0.6237517536701899,0.4945050585068194,-0.045866488760392475,-0.7285946436823303,1.1836810742096688,2.1369115145216275,-0.804485997079439,-0.3148666701896935,-0.014725645174205835,2.499758668211832,2.6791207430720183,-0.590925160464168,-0.20872388406413356,0.2844691828610726,-0.6662038452238613,-0.5483150480017231,1.3309093436299784,-0.018653678513332588,-0.6765479079126646,-0.7437483118530651,0.6855663200072902,0.9443176972001078,1.8304228695341818,1.6164513348200236,0.45583410496438076,-0.699582279995199,-0.8626482417092611,2.1430796701906556,3.0456106820742503,-0.6751503697351215,-0.5515892166448717,0.22892913834739173,3.28628537668671,1.462482917897898,-0.37934038632153466,0.14105571609728867,-0.7951426603546748,-0.8120268655502815,-0.8567819040176885,-0.7873366417338424,-0.7814544783239226,-0.14493613425348478,2.5138790252746563
SIDM00276,1.6302237468058887,3.610447047329042,1.2040415161337075,1.3544866029389446,-0.722810396714422,-0.8133339904605756,2.8729659435166397,2.4186806606912636,-0.8641730574000525,2.3987744259724484,0.6079452284964039,3.3433902782664005,2.6158454047496753,-0.4605384820592175,-0.8046905554343243,-0.3120900980117849,-0.6647572561529481,-0.02368841087614719,2.236900608919782,-0.19228882114169643,-0.8408805769749406,-0.8279985408004302,1.931619679579764,1.6765667043103225,1.5175482600539365,2.2817028739314416,1.3400636496238885,0.12127313706771996,-0.9369025314383058,1.8975343364781858,2.876057651306437,2.6621967595454237,0.25952458623650115,1.4104879881454422,3.1484166412791907,2.56028606164222,0.19660644832609986,1.7725413778614867,-0.8121539048929157,0.49459369642651657,-0.6541955670525608,0.3251962836841278,-0.8151339910042457,2.1616934205431515,1.5640216781455674
SIDM00311,2.019113746757003,3.218455362277995,-0.5541310167986698,0.3507111789196912,-0.571716498982754,-0.8243050477368966,1.6985517113175548,2.3634223735217073,-0.821266438320686,0.7754755181138765,1.6873910413251691,2.189814145882138,2.0611130557917825,-0.5398489020691325,-0.2556341078035617,1.6370620903841224,-0.7071791529535824,-0.796249894412695,1.7830089971826988,-0.31680831572730866,-0.7488376606098617,-0.8736976544317366,0.940123748585735,1.0378789883666244,1.5958134965329744,2.414541203749689,0.5720223035754743,-0.6470885164974755,-0.9066017805235195,1.9779545187201075,3.051024364453274,-0.8485339019446831,-0.9282536383597217,0.6377230874558468,2.8431898901437127,1.3354614899115123,-0.6585408772511924,0.6274269817455479,-0.7975508766031535,-0.8061839889438608,-0.6628220083622929,-0.7824755662564722,-0.5524660092369904,0.6193127592266078,2.539045279415608
SIDM00970,1.6828886966493928,3.551318309040386,-0.6291624134438899,0.784922630438723,-0.7188644869575228,-0.8954558190393963,1.7839608344560531,1.7983079631341752,-0.9230557317569135,2.5562595271423403,0.3953463617241305,3.4078189218571096,1.9731311976219645,-0.6005778583557339,-1.0478164143525555,0.09631013924387656,-0.6888487467025731,-0.6182686509006275,2.2325596417731197,0.47121637508783654,-0.6694495957982813,-0.8717619215323443,1.5518743422292174,1.2436699682062002,1.9795466556437111,1.9555846788506814,1.1686696210244585,-0.4431058335398088,-0.8642337433836417,2.0495991674410265,2.9402181087025188,3.2833314129887854,-0.9631613924419973,1.1304165193232114,3.0362275605699613,2.796208457130495,0.2384864142345318,1.1285679728063491,0.5579703961530522,-0.8019622365184762,-0.4276842354837111,0.300662630659763,-0.8342246479199757,0.5106346458566734,1.7641131068923004
SIDM00103,1.6311875056487737,2.958465604529141,0.7603331164444097,0.192612840727733,-0.585708349734689,-0.6303944617303543,0.7649595975607265,3.0298341532202127,-0.8166480594299386,0.3831476423277169,0.1641086574777166,-0.6575016604317198,2.837402115440242,-0.46556870608465356,-0.0021630716534669276,0.17502060512588818,-0.6670296876302986,-0.7188898294580196,1.429590014092181,-0.265803147344721,-0.6267109346507547,-0.628344558153731,1.010243521972989,1.0895673975263092,1.5925822213845466,0.7069563729782211,0.01581521748080182,-0.5289827337607339,-0.8088362646601369,1.8111193035676023,3.1224348074260213,-0.7469015597961667,-0.8828828234925427,0.03893872534382505,3.107296436422634,1.538149313998884,0.5217026434832933,-0.7620774317134809,-0.7851882209586099,-0.692158617605265,-0.7427785220057906,-0.2939920110154515,-0.7734731552605199,0.09879633133468162,1.6914407568994079
SIDM00266,1.9435217453244567,3.061270423425398,-0.5940917048976189,0.6889244250135003,-0.7713019814099381,-0.7862531755837845,2.080482907783979,2.4650298036148452,-0.7516798463556498,-0.4271835727925545,0.2389111801250424,2.9360691313108953,2.8416095103431047,-0.5318612614893238,1.7869056709224322,2.126520595885823,-0.5427416461358118,-0.1198990706570876,1.862983532267188,-0.16923362521108914,-0.8654384183766977,-0.8144846140881801,1.4007358999591784,1.1663328680540819,1.6491221082302352,2.0306816624152626,0.30585386652097374,-0.6419540701997205,-0.9503826556011934,1.9936932425931944,2.724993152362851,-0.7215506532824782,-0.972612234059577,1.2504568993187772,3.2759450949173505,2.211124289660891,1.2563962425198545,-0.16519594105465285,-0.8253513482911672,-0.827542490602055,-0.3391005541178608,-0.736284181095688,-0.8493928799532559,0.08757826778236696,2.481160321277678
SIDM01064,1.934369961966477,3.2433268058588194,-0.7019786612874508,0.4284488692882142,-0.6276665819869368,-0.8536832036649854,1.69170078469293,2.1683211301404666,-0.7511380756879991,1.1880335663845338,1.2926019289491277,-0.4315529963940889,3.4492448911125133,-0.4704451040946269,-0.805066583763171,-0.31162479107653085,-0.6602877281944826,-0.5805778542985577,1.3237442738890735,-0.6153079639390509,-0.8437704028759831,-0.791225922117296,0.5249916674638652,0.43659700302198773,2.107084511240817,2.8478510220384914,0.5728380669620978,-0.14260094032308798,-0.8613700418068814,1.8115999280330173,2.499719379335193,-0.7665921129236756,-0.8656622098881246,1.5153974895084794,2.914303218965591,0.19692574280515027,-0.338650140878502,0.5936582414421291,-0.7853641747264509,-0.7200577050309689,-0.7170959996877528,-0.7709650321645163,-0.7778829640076794,-0.20468904128973478,2.7355063187965105
