,POLE4,ERCC4,POLE3,ERCC3,ERCC6,ERCC5,GTF2H5,ERCC2,RFC4,CETN2,RFC5,RPA1,RAD23B,RBX1,DDB2,RPA3,POLD3,RPA2,RAD23A,PCNA,DDB1,POLE2,ERCC1,POLD1,POLD2,POLE,RFC1,RFC3,RFC2,XPC,XPA,GTF2H1,CDK7,LIG1,CUL4A,CUL4B,ERCC8,CCNH,GTF2H3
SIDM00519,2.1384924272638086,-0.8073776474296235,1.6073513967262383,0.21485098833354888,-0.07068745104234776,0.5659508529562653,2.0047616638178702,-0.4261953017003124,-0.7856649413334567,2.168113346716743,0.6259420829693065,1.0199962751745408,1.99150889548276,2.141783111660584,0.9261491225796872,1.4185303772704332,-0.24936848684332732,1.297476143247851,1.9670136031890715,2.7327606858126208,0.8423817710376823,0.24244362235961178,0.8224137010442976,0.3165848762445895,1.9498326923352205,1.244519140816281,0.9144054890035103,0.5878876220118293,1.1961362456712947,1.0471581452078667,0.694674351690793,1.5311693272027038,2.430459223265509,-0.016370748055882494,1.567417857521226,1.794741697042336,0.37722673495627096,1.4649608348282097,-0.14964073441320472
SIDM00917,1.5930643807548268,-0.5009589679743336,0.5981325387676407,0.14228770719432077,-0.12171564191096143,0.9027968529882068,1.6153482821312888,-0.3144712858033828,-0.824680528625459,1.5185878345099137,0.06442434817354681,0.8938098834241912,1.543123013224619,2.321654720808499,2.126290826520961,1.5723315369111255,-0.15151569130918577,1.9387927910450704,2.0880053411572663,2.779375140962102,0.39988646136635786,-0.20664857677765444,1.6497872902769635,0.23644065543540851,1.4422157912653375,0.5171258587718964,0.9027227627811961,-0.010147148589549043,0.18956200078510252,1.9100272143341621,0.07878542958056158,1.6992981014560518,2.281319459041501,-0.006317452076907383,1.4249711192916197,0.6535704852230211,0.3447507838240693,1.8590362486150855,-0.04159130903555522
SIDM00309,1.9293256216064725,-0.5773760144266115,1.116975470976379,0.13368721886993506,0.2305110362080331,0.6813826481082416,2.1865157131866777,-0.022669601795399764,-0.7706286476749068,2.404447584145148,0.9041138267707612,1.020300056303163,1.6249611998561484,2.1248117108012785,1.264505398719232,1.5183868527498223,-0.13277874643576304,1.8772496252033897,1.9490486403575638,2.2400897259658406,0.8652354136009438,0.5574197552918685,1.4424511745040536,0.4855099255343653,2.108978496090682,1.2703486173462115,1.2728908357743036,0.6210633918163055,1.178023496908233,1.038167817968872,0.2119289332180287,2.057699396391733,2.5299593737971193,0.32736060045912824,1.5457560244178843,2.0036176572397313,0.09926799402270331,1.6941356601616369,0.07218679096621436
SIDM00099,1.250313914670259,-0.6408440828988734,1.413661242184991,0.39102536091575657,0.2974519729975288,0.6575766538437238,1.8225123315646836,0.12015928894345865,-0.7901847092549532,1.9966168799969313,0.6954371178230333,0.8306037336091929,2.1058533321284156,2.0584913330825896,1.805063748302609,1.2716767434247465,-0.07231240517742589,1.3293418742384464,2.1064486424956512,2.4102379300946764,0.8361405591915155,0.07513913432336514,1.8667510062953412,0.10783445113612303,1.8477326628684752,1.111600889298744,1.1009126097878976,0.14225917723915335,0.8881965865120495,1.7585306357488373,0.3280133620302289,1.9339140976766966,2.7625859989021726,0.06536540432971216,1.402395374456022,1.7141349966046762,0.2365121646956721,1.9766168724267559,0.10669044007991672
SIDM00276,2.0742521001204244,-0.7356307933827376,1.4886599059213106,0.08490928905615702,-0.1855955594362074,0.13521678893810468,1.9359284807056325,-0.3813988120426597,-0.6839707246044628,2.3120857894342586,1.1933196349360378,1.1210831579637184,1.6480985793642418,2.4098998109513494,0.4599676046150678,2.0597926609058246,0.1381613907523391,1.5020510570202696,1.8301709561682813,2.807448987669273,0.9947702028449872,1.0541791905589033,1.297765986944643,0.5988639408418579,2.1725104258122925,1.5220077657656024,0.6149185060633026,0.5608279621292168,1.8585772734769863,0.5736423001060614,-0.03324186740451712,1.2061038587676962,1.9342240038752538,0.38692869402556723,0.855931990608387,1.0993975402900185,-0.0592198633150651,1.178815084326935,-0.060456771150890015
SIDM00311,1.8287379202320553,-0.4833555418633009,1.7430329551714643,-0.05637067729070905,0.21259555462199525,-0.023958833531694857,2.083998056020898,-0.17952110292250073,-0.6486212331744713,2.299203648822901,1.2100652225605382,0.8449839128498353,1.7492687044587398,2.0736205143680584,0.6124507321226147,1.6960682306073087,0.11750128245092141,2.0177624920070993,1.4891200338834363,2.6211745686540064,0.9597278200144178,1.2344117968850297,0.8931862465966087,0.3475943435645107,1.9148410002474876,1.4644693339928594,1.09438369676663,0.6538591721593988,1.624771999701859,0.5211399370911804,0.3373717600025338,1.791984501418391,2.4320160389347554,0.02834431891261846,1.0534044871277684,1.5324078168346267,0.6440392032072997,1.6710065190871113,0.06297358559582479
SIDM00970,1.9062671507921236,-0.7480648432281974,1.5372692915549475,-0.049608600433209075,-0.2642205760578623,0.6633279160836602,1.6928316517733941,-0.1440296837911125,-0.785873656265848,2.2524341116955133,1.2523650490218858,0.7494328251234996,1.7470791993660348,2.4421584814284683,1.2446762124257469,1.792940262583739,0.27893309120855664,2.133304345614857,1.656123769502568,2.9113757645245517,0.8029395371624508,1.5357497107100266,1.5845570407869087,0.9271603799365454,1.9766710874095759,1.678644682477727,1.0446464881727533,1.0405434791924653,1.699928395543959,0.7057116864223789,0.3643434862147368,1.3438483192143937,1.5777635978469913,1.035980022857572,1.39864413121472,0.42023057864767466,-0.07414994027895781,0.790660747903873,0.33329703661864757
SIDM00103,2.092154416092051,-0.6083277030026998,1.3880113860074303,0.09479416068043367,0.30921351394974267,0.5149345670918405,1.8637469577349637,0.8655076825550766,-0.7096898945652024,2.186538383724404,0.711419430957769,0.7845451062670067,2.2842787004132683,2.0346203165490295,0.5747359614595496,1.2050163693968814,-0.09967040348670823,1.1422137631214453,2.1082318857529687,1.9353683228481877,0.9072757326520747,0.6152040352835054,2.018039860027223,0.19028650149354615,2.256905844742905,1.006384585053371,1.1509508610170491,-0.010365725081697289,1.0248794688604002,1.2229242368298214,0.8684192700216513,1.7259881271761708,2.562038757404988,-0.12579776165426976,1.8063505785196619,1.7890765472769223,0.5581596688044588,2.245224494312406,-0.22104100885922548
SIDM00266,1.4891651941304884,-0.4113281368256975,1.6007414743859696,0.21530752537371267,-0.5104195850717252,0.35182248756463386,1.4372468538349121,-0.044396743369168636,-0.6334065330849381,1.851802606812387,1.065664101443661,0.7948505466979907,1.691492754463518,2.3488770597223154,0.29398938457451396,1.4813996617949452,-0.15931160319621784,2.144979063584971,2.285335199788604,1.9755240595868353,0.7380387726044664,0.9555700068270022,2.3915866079937675,0.7896802950401414,2.1764890347533314,1.548025334036751,1.1794493229846756,0.810827309130315,1.510063538176753,0.8813592733163839,0.3712813448116016,1.5641534678177897,1.886596116594668,0.7713305876076951,1.1364413357416736,0.734309713923225,0.46549211923537637,1.8584382279453773,-0.023343299321042354
SIDM01064,1.7410093733321257,-0.3679626014206718,1.3514531171464745,0.374742079616388,-0.4089949070329073,0.7209860121974848,1.750212549737248,-0.20681648551380885,-0.40877258593019544,1.6389851972571425,1.3641171923430622,0.9458913019841614,1.6640850155516127,2.5816055992228444,0.933549581509472,1.463707760719896,0.29049725161110174,2.382273721554794,2.1343729499078616,2.64791462958936,0.799647300378641,1.8964749650295192,1.7747014119059272,1.2491542433695075,1.675223970914805,1.4039378804725278,0.9026564437748412,1.1980676174484994,1.5221066720485699,0.6715655356858456,0.3471543758160495,1.3496591465686054,1.8491565741319425,0.8434968559353442,1.4094133431252363,0.6055782774697135,0.6804943923742994,1.5788866854971741,0.027504996109570384
